Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,2.9392,20.474,1,0,9.5,-0.43702,1.3647,18.435,-5.8122,38.697,11.056,-18.755,40.999,41.03,54.188
2,-0.68849,20.475,1,0,9.5,-0.024648,0.22012,17.115,-4.9297,38.293,13.41,-18.871,41.315,41.636,54.49
3,1.2937,20.476,1,0,9.5,0.44294,-0.39724,17.754,-4.0228,39.286,12.741,-19.402,41.096,42.786,53.366
4,-4.6884,20.479,1,0,9.5,-0.41417,-0.46348,18.682,-2.7299,38.845,12.032,-19.857,41.128,42.122,54.202
5,5.9152,20.482,1,0,9.5,-0.31041,-0.43603,17.748,-1.7417,39.607,11.802,-19.109,40.706,42.138,52.733
6,12.167,20.486,1,0,9.5,2.0298,-0.016375,16.253,-0.80503,39.207,11.162,-19.748,39.626,43.627,52.286
7,-19.692,20.491,1,0,9.5,0.609,-0.72145,16.711,0.10055,40.422,11.283,-18.574,40.817,42.197,52.927
8,-9.3001,20.498,1,0,9.5,-1.0252,-0.89332,15.302,0.77086,38.652,10.898,-18.798,40.583,42.268,50.922
9,11.918,20.506,1,0,9.5,1.2073,-1.2476,14.709,-0.75691,38.521,10.983,-17.036,38.559,42.64,51.596
10,16.354,20.515,1,0,9.5,1.7116,-2.0283,13.231,-1.1966,37.456,9.8497,-16.364,36.483,43.145,51.71
11,-8.61,20.526,1,0,9.5,1.9726,-2.0146,11.82,-0.6803,38.215,9.4247,-16.017,38.48,43.192,50.011
12,4.843,20.539,1,0,9.5,2.8654,-2.177,12.266,-2.9522,38.485,9.1372,-15.368,38.805,43.126,48.988
13,6.3529,20.553,1,0,9.5,3.213,-1.3741,12.22,-2.2104,37.042,8.5424,-16.586,39.126,43.474,53.012
14,8.5498,20.57,1,0,9.5,2.3327,-0.91182,9.1909,-0.72699,36.978,11.211,-17.486,39.292,42.539,52.716
15,2.8971,20.59,1,0,9.5,0.95331,-2.6758,9.2865,-1.692,37.315,12.116,-18.976,38.874,43.638,52.703
16,12.626,20.612,1,0,9.5,0.50027,-2.9157,10.662,-3.7919,38.458,10.245,-20.871,38.074,43.739,54.781
17,-0.36428,20.637,1,0,9.5,0.24698,-2.4788,9.9544,-4.709,37.585,9.902,-20.662,38.185,43.741,55.742
18,-2.7862,20.665,1,0,9.5,-0.87546,-3.6846,11.186,-4.545,37.433,10.495,-20.342,38.692,43.783,55.623
19,-18.006,20.696,1,0,9.5,-2.1656,-4.1548,10.593,-6.3165,38.963,9.8359,-20.456,38.789,44.284,56.015
20,10.6,20.731,1,0,9.5,-4.5096,-3.6259,10.511,-4.2586,38.517,9.0447,-19.841,39.233,44.645,57.321
21,10.804,20.77,1,0,9.5,-5.5841,-4.0127,10.686,-5.1144,39.306,9.4753,-17.928,38.668,45.258,56.674
22,16.394,20.813,1,0,9.5,-5.1755,-3.0324,10.796,-4.6202,39.335,7.7818,-18.479,38.926,44.913,57.053
23,1.07,20.859,1,0,9.5,-5.1509,-3.6295,9.9067,-5.2022,38.163,9.64,-17.758,38.266,45.19,56.775
24,-8.219,20.91,1,0,9.5,-4.3167,-2.0843,10.291,-6.3912,38.292,8.9617,-17.518,38.426,45.134,58.142
