Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-9.9493,23.044,1,0,9.5,60.135,68.317,24.448,-3.158,9.2799,5.607,-2.4282,-43.689,23.822,-75.9
2,-15.69,23.052,1,0,9.5,58.96,67.385,22.776,-3.0266,9.2633,5.7164,-0.99274,-45.754,22.948,-76.398
3,13.089,23.066,1,0,9.5,59.492,67.18,21.105,-4.2108,10.232,7.5797,-1.6679,-47.56,23.612,-76.724
4,0.69156,23.088,1,0,9.5,59.319,67.061,20.77,-2.7459,10.532,8.3782,-1.4725,-49.924,24.526,-77.954
5,9.5327,23.116,1,0,9.5,59.382,67.469,20.66,-1.5593,9.6724,9.0718,-0.56493,-50.532,23.975,-76.948
6,7.0179,23.151,1,0,9.5,58.895,67.343,22.046,-1.0988,9.8925,10.344,-0.33231,-52.632,23.321,-78.496
7,12.537,23.192,1,0,9.5,59.177,67.483,22.207,-2.0858,11.283,8.8826,-0.85805,-52.953,23.668,-79.024
8,7.7755,23.239,1,0,9.5,60.154,68.637,22.972,-2.0336,10.29,9.0002,-0.66803,-53.548,22.926,-79.056
9,6.728,23.292,1,0,9.5,59.842,67.706,22.392,-2.0632,9.6067,7.9536,-1.6502,-53.747,21.608,-80.219
10,-2.124,23.35,1,0,9.5,59.471,68.15,22.893,-1.7991,9.0444,7.5422,0.45962,-53.439,23.21,-79.686
11,1.1197,23.412,1,0,9.5,58.218,66.012,24.151,-3.3616,9.748,6.5565,-0.65573,-53.274,22.461,-79.899
12,11.151,23.478,1,0,9.5,60.361,65.822,24.83,-2.8678,9.6102,5.6305,-0.11658,-55.438,21.174,-78.826
13,4.8227,23.548,1,0,9.5,61.618,65.902,25.179,-3.8998,8.7135,6.0839,0.33045,-55.398,20.816,-77.754
14,0.092254,23.62,1,0,9.5,61.781,65.652,25.455,-4.0232,7.8724,5.7939,0.25105,-56.299,22.916,-76.812
15,14.259,23.694,1,0,9.5,62.645,65.824,26.809,-5.1093,8.3842,5.4346,0.18291,-57.51,23.352,-75.445
16,4.8156,23.77,1,0,9.5,62.837,67.115,26.941,-6.3074,8.1906,5.9763,1.3344,-57.467,24.865,-75.516
17,4.0539,23.846,1,0,9.5,61.594,67.632,26.46,-5.6405,7.9909,6.75,0.22813,-58.504,25.106,-74.861
18,13.033,23.923,1,0,9.5,63.075,67.768,26.315,-6.4422,8.2994,5.8686,-1.6582,-57.54,26.209,-74.591
19,-7.4271,23.999,1,0,9.5,61.476,66.058,26.821,-8.1378,8.6653,3.9778,-3.2153,-59.5,26.793,-74.986
20,18.557,24.073,1,0,9.5,61.092,67.23,25.838,-7.3369,9.1864,3.4846,-1.8301,-58.691,27.649,-75.661
21,11.308,24.145,1,0,9.5,62.592,67.046,25.023,-7.1338,7.8298,4.0707,-0.91693,-58.734,27.611,-75.711
22,26.294,24.215,1,0,9.5,63.901,65.778,25.853,-6.0163,8.1702,3.0295,0.52781,-61.482,27.559,-74.832
23,7.1954,24.281,1,0,9.5,63.896,66.496,27.736,-4.5486,9.3293,2.2984,1.0736,-62.738,26.304,-74.731
24,2.9361,24.343,1,0,9.5,65.658,66.978,26.668,-3.4001,9.6953,3.9012,0.94355,-63.773,29.135,-74.606
25,17.158,24.4,1,0,9.5,64.861,64.649,26.464,-2.2861,9.5299,3.0685,-0.45594,-64.756,30.236,-74.373
