Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-5.2197,20.079,1,0,9.5,5.4126,49.292,-36.088,99.665,45.423,41.648,43.824,-23.655,-89.073,-13.642
2,14.151,20.068,1,0,9.5,6.625,49.37,-35.389,99.461,44.454,40.123,42.685,-22.521,-89.147,-12.502
3,13.56,20.044,1,0,9.5,5.3038,48.616,-34.774,100.13,44.998,39.626,43.494,-22.078,-89.167,-12.157
4,-12.504,20.009,1,0,9.5,6.4085,48.509,-35.302,99.952,44.442,39.302,42.346,-21.072,-87.761,-13.673
5,-5.6422,19.963,1,0,9.5,6.5865,47.286,-34.218,99.047,45.057,39.137,42.695,-20.45,-86.184,-14.021
6,3.4132,19.906,1,0,9.5,4.9186,47.236,-36.378,99.709,44.334,39.815,42.477,-18.878,-88.054,-13.528
7,16.797,19.841,1,0,9.5,4.4191,47.191,-37.676,98.737,44.709,37.794,42.234,-18.188,-87.855,-14.062
8,0.96924,19.766,1,0,9.5,3.1549,45.322,-37.547,99.5,44.898,37.72,41.64,-18.514,-88.263,-13.659
9,-10.413,19.684,1,0,9.5,4.4508,47.105,-39.328,101.69,44.884,38.03,41.158,-20.207,-86.914,-13.818
10,1.7051,19.596,1,0,9.5,3.6694,47.138,-38.315,102.2,45.486,37.815,39.491,-21.541,-87.969,-12.607
11,-16.572,19.503,1,0,9.5,4.6493,46.647,-37.174,99.86,45.822,39.446,40.391,-21.203,-88.24,-14.096
12,-5.0159,19.407,1,0,9.5,4.5806,48.409,-36.839,99.266,46.115,40.195,40.611,-21.251,-86.599,-14.319
13,4.0955,19.308,1,0,9.5,3.8268,48.112,-36.102,99.963,45.999,40.536,40.87,-20.576,-85.868,-13.477
14,-10.811,19.208,1,0,9.5,3.4775,49.031,-36.503,99.147,47.042,38.747,41.402,-20.601,-85.899,-13.173
15,-16.914,19.109,1,0,9.5,3.3082,48.975,-36.791,98.253,45.475,40.039,41.088,-20.632,-85.083,-12.525
16,-15.395,19.012,1,0,9.5,1.7405,48.999,-36.739,99.862,44.048,40.164,40.636,-19.986,-83.984,-12.116
17,14.697,18.92,1,0,9.5,1.6577,47.474,-36.102,99.751,44.339,39.9,38.358,-19.755,-82.894,-12.471
18,5.438,18.832,1,0,9.5,1.2743,48.798,-37.499,100.16,45.171,38.925,38.736,-21.142,-82.212,-13.379
19,24.939,18.751,1,0,9.5,4.767,49.681,-37.824,98.593,45.814,38.223,36.757,-20.716,-82.87,-12.636
20,10.228,18.679,1,0,9.5,3.7846,47.98,-36.374,97.836,45.138,38.898,37.918,-22.323,-83.693,-12.87
21,7.7193,18.615,1,0,9.5,5.1085,50.038,-37.3,97.888,45.102,39.493,36.052,-21.909,-83.088,-14.249
22,8.3391,18.563,1,0,9.5,5.564,50.671,-37.401,97.332,43.88,38.939,35.728,-23.036,-84.408,-15.024
23,16.667,18.522,1,0,9.5,6.4621,49.952,-37.748,96.938,42.59,40.113,36.035,-21.476,-85.61,-14.471
24,22.169,18.493,1,0,9.5,7.9104,49.4,-37.999,96.274,42.624,39.637,36.158,-20.979,-87.111,-14.755
25,9.6109,18.479,1,0,9.5,7.0171,50.185,-39.45,96.621,41.055,38.356,36.39,-22.13,-86.891,-14.584
26,18.803,18.478,1,0,9.5,7.2622,50.255,-40.776,94.878,41.959,38.199,36.154,-22.92,-88.022,-15.109
27,13.016,18.492,1,0,9.5,8.6625,49.309,-40.528,93.927,42.909,38.239,36.356,-23.601,-89.214,-14.389
28,-1.3693,18.521,1,0,9.5,7.055,49.528,-40.953,95.444,43.344,37.982,35.06,-22.939,-86.951,-15.163
29,1.0152,18.566,1,0,9.5,8.3227,49.5,-39.994,95.756,42.606,39.561,35.281,-21.214,-86.953,-12.696
30,27.775,18.626,1,0,9.5,7.3446,49.494,-38.098,94.832,42.511,37.937,36.206,-20.776,-87.255,-12.462
31,47.071,18.701,1,0,9.5,7.3159,49.574,-38.122,94.882,41.764,37.538,36.126,-21.847,-87.416,-15.212
32,87.195,18.79,1,0,9.5,9.3785,49.536,-39.373,95.016,43.076,37.403,36.117,-21.371,-86.811,-14.598
33,93.731,18.894,1,0,9.5,7.5158,48.166,-39.35,96.211,43.984,37.518,36.532,-20.028,-87.879,-16.821
34,134.08,19.012,1,0,9.5,7.8412,49.111,-38.8,96.845,43.998,37.837,36.764,-19.601,-87.2,-17.344
35,148.48,19.142,0,0,9.5,6.369,49.731,-40.496,97.885,44.959,37.826,36.478,-19.786,-87.353,-17.497
36,183.17,19.284,0,0,9.5,6.4274,48.284,-40.381,98.884,45.04,39.546,36.553,-20.164,-87.177,-16.635
37,210.93,19.437,0,0,9.5,5.9256,49.289,-40.545,99.494,44.93,39.695,36.635,-19.791,-85.53,-15.803
38,226.71,19.6,0,0,9.5,6.9834,49.309,-42.118,101.81,45.89,39.199,35.602,-20.279,-87.548,-15.697
39,260.11,19.77,0,0,9.5,7.2227,50.741,-41.427,101.09,45.085,39.521,34.582,-19.105,-87.664,-16.772
40,273.95,19.948,0,0,9.5,6.4986,50.604,-40.522,101.8,43.188,39.435,33.17,-19.095,-88.194,-15.999
41,303.88,20.131,0,0,9.5,5.9127,52.03,-40.705,103.24,45.238,40.278,33.111,-19.922,-87.946,-16.307
42,319.17,20.318,0,0,9.5,7.4908,51.424,-42.5,104.97,45.034,40.609,32.136,-20.247,-88.054,-16.555
43,353.99,20.507,0,0,9.5,6.7435,52.553,-41.859,104.77,45.298,41.948,31.846,-20.856,-89.145,-17.066
44,385.85,20.696,0,0,9.5,6.6855,52.798,-42.704,105.67,43.925,43.488,32.334,-20.282,-88.774,-19.247
45,411.49,20.885,0,0,9.5,7.2034,52.664,-45.202,106.88,44.099,43.508,33.747,-20.103,-86.998,-18.741
46,435.89,21.071,0,0,9.5,6.529,54.509,-44.263,104.41,45.003,43.371,34.308,-20.378,-86.602,-18.751
47,466.75,21.253,0,0,9.5,5.429,53.861,-43.28,103.82,46.075,41.105,35.043,-22.065,-87.235,-19.367
48,470.51,21.43,0,0,9.5,5.0016,53.334,-43.454,103.57,45.474,40.502,34.472,-19.636,-87.278,-20.555
49,469.06,21.6,0,0,9.5,5.1066,53.013,-42.048,104.85,45.235,39.319,36.305,-19.35,-85.6,-20.925
50,531.73,21.762,0,0,9.5,5.2926,53.481,-41.934,105.18,46.311,40.455,36.76,-19.265,-85.538,-21.163
51,551.26,21.914,0,0,9.5,4.734,54.805,-43.763,106.01,45.375,40.505,37.95,-17.049,-83.3,-22.05
52,584.18,22.057,0,0,9.5,3.3392,54.755,-43.857,105.37,45.497,40.882,39.406,-17.987,-83.526,-22.214
53,590.92,22.189,0,0,9.5,2.3802,55.246,-42.003,104.27,45.24,41.808,39.866,-18.062,-83.518,-21.828
54,602.86,22.309,0,0,9.5,0.9086,54.933,-42.015,105.15,44.771,43.346,39.213,-18.373,-82.48,-22.566
55,641.63,22.417,0,0,9.5,1.6942,54.846,-41.921,105.63,43.285,45.118,39.968,-18.11,-83.99,-22.292
56,673.71,22.512,0,0,9.5,1.7688,53.244,-43.156,104.22,41.673,43.861,38.545,-18.72,-87.583,-23.266
57,695.11,22.595,0,0,9.5,0.20073,53.187,-43.348,103.94,41.286,43.268,39.264,-18.141,-86.971,-23.581
58,742.16,22.665,0,0,9.5,0.0006209,53.133,-43.358,102.87,42.213,44.354,40.458,-17.989,-89.006,-23.251
59,745.15,22.723,0,0,9.5,0.28458,53.13,-41.922,102.22,40.285,45.451,40.186,-17.808,-88.576,-22.591
60,775.55,22.769,0,0,9.5,0.83261,52.037,-41.126,102.15,39.987,46.945,39.35,-16.694,-89.046,-23.965
61,795.98,22.804,0,0,9.5,-0.076113,51.671,-40.784,100.59,40.226,46.915,39.694,-17.759,-88.964,-25.059
62,811.51,22.829,0,0,9.5,-1.5379,51.466,-40.24,99.241,40.238,47.061,40.025,-16.119,-89.409,-23.307
63,842.3,22.844,0,0,9.5,-2.397,50.751,-39.603,98.752,42.04,47.517,39.021,-16.234,-89.055,-22.596
64,875.02,22.852,0,0,9.5,-2.5549,49.516,-41.61,98.543,43.197,45.75,38.487,-16.756,-89.064,-21.96
65,890.99,22.852,0,0,9.5,-1.4044,50.631,-39.298,99.908,44.919,45.671,39.344,-15.818,-89.581,-20.778
66,926.44,22.848,0,0,9.5,-0.91763,48.193,-39.334,99.966,44.119,45.399,40.381,-16.172,-89.606,-23.272
67,940.67,22.84,0,0,9.5,-0.41424,47.267,-40.689,99.6,43.913,45.652,41.133,-14.837,-90.2,-23.526
68,980.9,22.83,0,0,9.5,-0.22714,48.315,-39.182,99.94,44.022,45.727,41.99,-15.077,-91.078,-23.225
69,983.65,22.82,0,0,9.5,1.417,46.871,-39.161,100.85,45.031,45.857,41.98,-16.212,-91.632,-23.63
70,1005.8,22.812,0,0,9.5,2.4404,47.744,-38.475,99.625,45.587,46.371,41.895,-15.594,-91.618,-21.371
71,1034.6,22.808,0,0,9.5,3.0515,49.054,-38.391,100.17,45.541,44.866,41.439,-15.81,-91.347,-21.389
72,1086.2,22.81,0,0,9.5,2.3146,49.05,-38.707,99.138,46.969,45.306,40.486,-16.688,-90.648,-22.305
73,1080.9,22.819,0,0,9.5,1.9491,48.123,-38.906,100.68,44.947,45.571,40.474,-15.776,-91.288,-23.594
74,1101.4,22.838,0,0,9.5,2.7567,47.551,-39.766,100.83,44.654,46.362,42.013,-15.885,-89.65,-22.304
75,1145.6,22.869,0,0,8.4444,4.2063,46.945,-40.908,98.133,45.899,45.254,41.719,-15.741,-90.83,-21.235
76,1139.6,22.914,0,0,7.3889,3.0016,44.354,-41.731,97.687,46.345,46.163,42.645,-17.06,-92.097,-21.951
77,1196.2,22.973,0,0,6.3333,1.203,43.979,-42.873,97.903,46.032,44.041,42.471,-16.23,-91.562,-22.832
78,1209.1,23.05,0,0,5.2778,1.8023,42.86,-45.275,98.104,45.971,42.68,41.357,-15.431,-91.94,-22.462
79,1230.3,23.144,0,0,4.2222,0.41331,43.465,-44.807,96.907,45.706,43.031,41.595,-17.805,-91.886,-22.816
80,1275.9,23.259,0,0,3.1667,-0.72219,42.145,-46.185,97.025,46.769,43.722,40.678,-17.604,-92.177,-21.967
81,1269.7,23.394,0,0,2.1111,-1.8438,42.718,-45.192,98.911,45.675,44.532,40.059,-17.293,-89.969,-22.16
82,1302.6,23.55,0,0,1.0556,-0.95955,42.625,-44.494,97.333,45.688,43.228,40.458,-17.32,-88.633,-21.981
83,1316.1,23.729,0,0,0,-0.98688,41.781,-42.385,97.563,46.845,41.14,39.804,-17.119,-87.736,-22.095
84,1365.5,23.931,0,0,0,0.15666,43.724,-41.473,97.241,46.86,42.652,39.036,-16.1,-88.881,-23.223
85,1378,24.155,0,0,0,-1.8152,43.839,-42.555,96.775,47.611,41.961,39.055,-15.111,-89.467,-23.178
86,1406.6,24.403,0,0,0,0.80785,42.826,-43.754,97.628,47.693,41.097,39.129,-14.404,-89.953,-23.813
87,1425,24.673,0,0,0,0.081287,43.262,-43.009,98.736,48.108,41.907,39.418,-15.845,-90.452,-22.988
88,1462.5,24.965,0,0,0,-0.20402,44.037,-44.026,98.045,45.938,41.597,38.999,-14.357,-90.457,-22.619
89,1481.6,25.279,0,0,0,-0.59046,43.51,-45.179,98.208,46.633,43.059,38.266,-13.426,-89.912,-21.786
90,1512.9,25.613,0,0,0,-1.5138,43.448,-43.19,98.598,46.471,42.393,37.942,-12.919,-88.886,-20.157
91,1512.9,25.965,0,0,0,-1.9156,44.167,-45.883,98.042,45.422,41.334,38.126,-13.069,-88.381,-19.908
92,1528.8,26.335,0,0,0,0.70645,45.011,-44.875,98.67,43.33,43.346,37.291,-13.46,-89.185,-21.082
93,1581.3,26.721,0,0,0,0.019194,45.433,-46.4,98.555,42.799,41.57,35.357,-13.546,-88.021,-21.941
94,1613.9,27.119,0,0,0,-1.4364,45.798,-46.724,97.652,43.086,41.565,35.798,-14.677,-86.681,-20.607
95,1637.9,27.529,0,0,0,-1.0369,45.47,-47.578,97.77,42.69,40.836,37.263,-15.049,-89.22,-21.128
96,1649.8,27.947,0,0,0,-1.0414,45.052,-49.126,97.157,43.44,39.936,39.09,-16.141,-89.709,-21.124
97,1681.5,28.371,0,0,0,-1.6482,44.323,-49.53,98.724,43.787,39.551,39.512,-14.677,-90.811,-21.838
98,1699,28.798,0,0,0,-2.6006,42.911,-47.53,99.226,44.946,41.405,38.85,-13.323,-88.639,-20.915
99,1715.2,29.226,0,0,0,-4.2037,44.133,-47.281,97.66,45.911,42.001,37.498,-13.307,-89.065,-21.535
100,1765.6,29.65,0,0,0,-3.4554,44.357,-48.528,95.369,45.525,41.856,36.713,-12.105,-88.583,-21.184
101,1768.1,30.069,0,0,0,-5.4767,44.027,-48.574,95.132,47.029,41.613,35.839,-13.341,-88.872,-21.448
102,1791.8,30.478,0,0,0,-3.8538,43.914,-48.436,95.918,46.364,39.599,34.159,-14.33,-87.866,-21.463
103,1812.1,30.876,0,0,0,-5.4756,44.347,-47.732,93.825,45.488,38.022,35.182,-14.519,-88.17,-21.904
104,1845.2,31.258,0,0,0,-5.742,43.499,-46.709,92.182,44.505,37.04,33.532,-15.031,-89.144,-20.899
105,1878.8,31.621,0,0,0,-6.4885,44.529,-45.209,93.374,44.08,38.03,34.22,-15.574,-89.958,-20.562
106,1912.8,31.963,0,0,0,-6.8664,41.269,-44.872,92.448,44.273,37.532,35.888,-15.352,-91.252,-20.877
107,1912.1,32.281,0,0,0,-6.0597,41.232,-45.649,93.938,44.55,36.25,36.016,-15.256,-91.648,-22.663
108,1943.9,32.571,0,0,0,-6.3026,41.86,-45.535,92.962,44.602,35.085,37.069,-15.537,-92.596,-22.462
109,1961.6,32.832,0,0,0,-5.6527,41.624,-45.266,95.062,46.168,34.582,37.043,-14.462,-92.882,-22.454
110,1994.5,33.06,0,0,0,-5.3041,40.899,-47.288,95.559,44.226,34.914,36.803,-14.454,-93.666,-22.441
111,2008.1,33.255,0,0,0,-6.903,38.933,-46.285,94.909,44.473,36.092,37.58,-15.524,-93.522,-21.792
112,2032.2,33.413,0,0,0,-6.0288,39.531,-45.967,94.366,43.753,38.807,36.969,-14.746,-94.163,-19.763
113,2054.3,33.533,0,0,0,-7.5211,40.74,-47.128,93.785,45.078,38.536,36.766,-15.042,-92.628,-20.805
114,2095.3,33.613,0,0,0,-8.222,41.385,-46.281,94.037,44.311,39.587,38.684,-15.039,-93.19,-21.089
115,2101.5,33.653,0,0,0,-6.9824,41.593,-45.685,94.613,45.794,40.061,39.722,-15.601,-93.861,-21.036
116,2116.8,33.652,0,0,0,-7.0791,41.561,-43.667,94.142,44.462,39.092,39.76,-16.145,-94.194,-22.278
117,2174.7,33.61,0,0,0,-8.7568,41.566,-44.229,95.333,45.762,39.805,40.173,-16.132,-94.386,-22.63
118,2180.9,33.525,0,0,0,-9.0483,42.369,-44.405,96.202,47.621,39.488,40.365,-16.66,-94.407,-23.732
119,2213.5,33.399,0,0,0,-9.3684,41.3,-45.664,96.687,47.47,39.94,41.49,-16.496,-95.175,-19.611
120,2226.8,33.232,0,0,0,-9.414,40.933,-46.118,97.031,48.498,38.73,41.246,-17.868,-94.52,-19.912
121,2273.8,33.024,0,0,0,-9.5908,41.365,-46.095,97.113,46.658,38.687,41.083,-15.013,-94.259,-19.22
122,2295.6,32.778,0,0,0,-9.5415,40.559,-45.652,97.886,47.713,38.007,40.068,-16.689,-96.031,-19.749
123,2298.3,32.494,0,0,0,-9.4143,41.895,-46.457,98.314,47.818,38.151,38.308,-16.32,-94.541,-19.273
124,2350.4,32.175,0,0,0,-9.9085,42.185,-47.347,100.09,48.782,38.7,37.952,-15.182,-91.442,-18.159
125,2348.4,31.823,0,0,0,-9.0285,41.303,-48.053,100.76,49.163,38.561,36.053,-15.309,-91.532,-18.763
126,2386.2,31.439,0,0,0,-9.6819,41.367,-47.827,100.51,48.997,37.723,34.649,-14.597,-88.688,-21.047
127,2417.9,31.027,0,0,0,-11.45,42.502,-48.342,101.36,49.226,37.64,35.628,-15.096,-88.702,-21.257
128,2424.9,30.59,0,0,0,-10.772,42.108,-48.16,100.75,49.334,37.973,34.817,-15.179,-89.026,-21.725
129,2447.7,30.13,0,0,0,-10.539,41.499,-49.34,101.4,48.539,37.424,35.168,-15.868,-90.926,-22.377
130,2491.6,29.651,0,0,0,-10.548,41.073,-49.583,100.92,48.958,37.811,33.192,-17.959,-90.742,-23.947
131,2495,29.157,0,0,0,-8.5736,42.29,-48.736,101.22,47.475,39.786,33.889,-18.524,-90.093,-23.188
132,2542.2,28.651,0,0,0,-6.1063,41.831,-50.133,101.29,45.912,39.159,33.179,-18.555,-91.29,-21.527
133,2561.7,28.136,0,0,0,-6.3208,42.059,-49.149,101.37,44.345,38.818,34.565,-17.688,-91.104,-19.913
134,2583.9,27.617,0,0,0,-7.2985,41.304,-50.073,101.33,44.608,38.63,33.979,-18.459,-90.904,-20.555
135,2589.3,27.097,0,0,0,-7.3962,40.02,-51.11,100.67,45.25,40.137,33.843,-18.438,-91.5,-18.977
136,2634,26.58,0,0,0,-5.3737,38.783,-50.944,100.48,45.869,38.974,34.083,-17.316,-91.469,-18.831
137,2655.7,26.069,0,0,0,-4.3837,40.409,-49.779,100.35,45.253,39.38,33.213,-17.815,-90.437,-17.445
138,2678.5,25.569,0,0,0,-3.8643,39.849,-51.86,100.36,45.179,37.906,31.719,-18.576,-88.491,-17.874
139,2721.7,25.081,0,0,0,-3.3826,38.526,-51.976,101.55,44.026,38.159,31.495,-18.933,-87.137,-17.896
140,2714.5,24.611,0,0,0,-1.5547,38.728,-53.947,101.24,43.425,37.995,30.882,-17.985,-87.524,-15.733
141,2746.6,24.16,0,0,0,-2.1519,39.202,-54.238,102.26,43.878,37.142,31.985,-18.511,-86.073,-14.815
142,2778.2,23.733,0,0,0,-2.6083,39.427,-55.323,102.22,41.912,36.417,31.977,-18.978,-84.668,-13.735
143,2788.3,23.33,0,0,0,-0.7589,38.497,-54.963,101.66,42.199,38.712,32.087,-19.802,-82.839,-12.887
144,2835,22.956,0,0,0,0.20849,40.425,-56.109,101.29,41.367,39.112,31.823,-19.336,-83.659,-12.675
145,2835,22.612,0,0,0,-0.59121,41.558,-55.384,101.52,41.961,37.317,30.656,-17.855,-85.165,-12.26
146,2881.4,22.3,0,0,0,-0.99084,41.8,-55.146,103.08,42.655,37.392,29.212,-18.621,-84.582,-11.565
147,2894.9,22.022,0,0,0,-1.2207,41.961,-54.616,104.18,41.292,36.909,29.623,-15.995,-85.981,-10.624
148,2919.4,21.778,0,0,0,-1.7889,40.86,-54.348,104.23,40.228,35.858,29.44,-15.801,-87.165,-9.8336
149,2940.1,21.57,0,0,0,-1.0719,39.615,-53.713,104.64,40.029,36.338,29.384,-14.663,-88.045,-8.5468
150,2977.3,21.399,0,0,0,-0.34102,39.338,-55.571,104.17,40.836,36.021,29.219,-13.354,-87.501,-10.031
151,3016,21.264,0,0,0,0.81198,39.668,-55.403,103.84,42.05,34.866,27.918,-12.914,-86.559,-9.8106
152,3018.7,21.165,0,0,0,1.8328,38.266,-56.063,104.33,42.237,35.675,27.982,-12.432,-85.505,-10.083
