Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-3.6281,21.398,1,0,9.5,-35.137,88.766,71.116,-126.44,29.007,-56.195,117.12,-24.308,-58.243,45.372
2,-9.3755,21.392,1,0,9.5,-34.654,88.831,70.843,-125.63,29.503,-55.518,116.73,-24.848,-60.294,44.938
3,-6.1699,21.378,1,0,9.5,-34.987,88.863,70.426,-123.66,29.912,-54.777,116.67,-23.844,-61.26,46.248
4,10.403,21.358,1,0,9.5,-35.807,88.802,67.93,-123.47,27.77,-55.846,115.8,-24.358,-60.582,46.644
5,2.6552,21.332,1,0,9.5,-37.857,88.032,69.539,-123.88,27.541,-55.005,115.75,-23.537,-60.391,47.073
6,7.1834,21.299,1,0,9.5,-38.613,90.639,68.23,-122.76,26.686,-55.662,116.59,-25.069,-60.585,47.119
7,-0.1899,21.26,1,0,9.5,-37.832,92.174,68.805,-122.46,26.366,-56.526,117.63,-25.011,-59.436,46.43
8,9.2239,21.215,1,0,9.5,-38.026,92.301,70.599,-122.23,27.014,-56.35,118.62,-26.956,-59.532,46.679
9,-9.0134,21.164,1,0,9.5,-37.589,93.552,70.881,-120.47,25.806,-55.077,117.82,-28.014,-59.477,47.839
10,8.1455,21.108,1,0,9.5,-35.451,92.752,70.197,-120.53,25.078,-56.446,118.08,-28.962,-60.894,47.957
11,-8.0945,21.047,1,0,9.5,-35.909,92.59,70.867,-120.29,25.489,-57.783,117.04,-29.675,-60.742,49.077
12,6.7141,20.981,1,0,9.5,-35.492,93.228,69.811,-120.49,26.813,-58.298,115.45,-29.537,-59.842,48.95
13,14.833,20.91,1,0,9.5,-35.857,94.055,69.778,-120.4,27.924,-58.839,115.97,-30.132,-60.768,49.105
14,13.214,20.835,1,0,9.5,-35.022,94.15,69.086,-119.92,27.057,-58.933,117.16,-31.851,-60.189,46.529
15,1.5697,20.757,1,0,9.5,-36.241,94.213,68.689,-119.89,25.139,-58.795,119.05,-31.28,-60.253,45.791
16,-7.4402,20.675,1,0,9.5,-37.496,94.264,68.402,-120.02,24.591,-58.445,117.39,-30.942,-61.282,47.445
17,8.6772,20.591,1,0,9.5,-39.612,92.929,68.126,-122.67,24.67,-58.092,117.06,-30.217,-61.076,48.344
18,-9.4988,20.504,1,0,9.5,-39.354,94.907,67.758,-122.09,24.135,-56.802,118.66,-28.03,-59.214,49.551
