Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,9.8947,18.153,1,0,9.5,-16.882,52.169,-13.947,15.998,69.004,100.19,-27.448,14.38,-37.277,-29.715
2,12.846,18.159,1,0,9.5,-17.79,52.211,-14.086,16.941,68.913,100.25,-27.981,14.24,-37.532,-28.505
3,2.7571,18.171,1,0,9.5,-16.689,52.535,-13.316,16.975,67.966,100.41,-27.144,14.256,-37.655,-27.909
4,0.69992,18.188,1,0,9.5,-18.167,51.928,-12.091,15.386,67.421,100.41,-26.899,12.55,-36.903,-28.564
5,-5.4976,18.21,1,0,9.5,-19.079,51.878,-13.874,14.53,67.435,100.71,-26.841,11.892,-37.627,-28.22
6,-3.7252,18.238,1,0,9.5,-18.324,50.253,-14.556,16.336,68.418,101.2,-27.258,12.204,-38.917,-27.854
7,16.332,18.271,1,0,9.5,-19.565,51.986,-14.857,16.326,68.58,100.37,-27.307,13.402,-39.078,-29.131
8,7.511,18.309,1,0,9.5,-17.752,52.308,-14.495,15.555,67.94,99.135,-28.157,13.749,-38.682,-28.84
9,2.8862,18.351,1,0,9.5,-17.186,52.382,-14.882,15.761,68.679,98.545,-27.505,13.969,-38.834,-29.659
10,12.907,18.398,1,0,9.5,-14.522,52.034,-13.094,13.628,69.073,99.65,-28.94,14.143,-40.069,-30.041
11,5.0864,18.448,1,0,9.5,-13.289,51.462,-11.696,12.74,70.718,99.033,-29.513,12.542,-39.36,-28.964
12,4.5995,18.501,1,0,9.5,-14.347,52.472,-10.908,12.893,71.006,98.175,-29.26,13.669,-38.54,-28.955
13,8.3939,18.558,1,0,9.5,-15.737,52.485,-11.622,13.916,71.869,98.042,-28.304,13.928,-39.429,-28.606
14,-7.282,18.617,1,0,9.5,-15.169,51.573,-12.453,13.301,71.948,98.019,-29.876,14.272,-37.778,-29.42
15,-21.366,18.678,1,0,9.5,-15.4,50.874,-12.264,11.255,70.519,100.14,-30.086,14.187,-38.568,-29.774
16,4.8798,18.74,1,0,9.5,-16.382,51.662,-11.888,11.567,70.029,98.938,-30.472,13.412,-38.824,-31.067
17,18.286,18.804,1,0,9.5,-16.039,51.271,-12.57,9.6774,71.127,98.882,-30.704,12.508,-39.368,-31.151
18,-5.1734,18.868,1,0,9.5,-16.731,52.152,-13.355,9.8457,69.44,99.037,-30.928,11.908,-39.311,-31.803
19,-5.2128,18.932,1,0,9.5,-17.2,52.227,-13.652,9.6608,69.688,97.527,-30.384,10.692,-38.996,-32.108
20,-7.852,18.996,1,0,9.5,-16.278,51.425,-12.599,9.2073,69.234,95.488,-30.813,8.653,-40.514,-33.22
21,2.7211,19.059,1,0,9.5,-17.01,51.804,-11.941,8.1387,68.625,96.276,-31.191,7.5925,-39.929,-34.675
22,7.0946,19.12,1,0,9.5,-17.63,52.192,-12.677,6.4226,67.153,97.03,-29.547,7.4361,-39.558,-35.49
23,10.426,19.18,1,0,9.5,-18.592,52.374,-12.73,6.4915,66.998,96.231,-29.388,9.2062,-39.951,-35.522
24,-6.157,19.237,1,0,9.5,-17.782,51.995,-12.489,7.7004,66.922,94.76,-27.546,9.2716,-39.634,-34.497
25,0.5385,19.291,1,0,9.5,-18.446,52.134,-12.802,9.4361,67.561,95.734,-27.503,9.6151,-39.244,-31.894
26,9.3575,19.343,1,0,9.5,-18,51.952,-12.669,10.382,67.146,96.358,-28.902,9.9705,-36.72,-31.009
27,-3.155,19.39,1,0,9.5,-17.643,50.516,-14.725,11.035,66.406,96.388,-29.421,9.6681,-36.552,-29.069
28,17.98,19.435,1,0,9.5,-19.159,51.53,-14.214,10.475,66.724,96.826,-30.557,8.9744,-35.678,-27.998
29,5.4705,19.475,1,0,9.5,-20.916,51.157,-13.098,10.774,66.067,97.212,-30.03,9.9166,-36.078,-27.561
30,2.4045,19.511,1,0,9.5,-20.102,52.003,-11.91,10.385,65.525,97.351,-29.991,9.7496,-36.543,-26.14
31,11.599,19.543,1,0,9.5,-21.423,53.441,-10.237,11.663,63.316,96.534,-30.881,10.831,-36.039,-25.913
32,5.8567,19.57,1,0,9.5,-21.283,52.805,-12.362,11.948,63.608,96.45,-32.565,12.453,-35.939,-26.556
33,7.8659,19.593,1,0,9.5,-21.502,53.296,-10.983,11.561,62.372,95.932,-33.145,13.409,-34.228,-27.06
34,22.093,19.612,1,0,9.5,-22.264,53.401,-11.799,11.035,62.154,95.527,-34.152,15.064,-36.1,-26.961
35,48.735,19.626,1,0,9.5,-21.777,53.9,-11.359,11.856,61.864,95.923,-34.857,13.745,-37.658,-27.873
36,55.753,19.636,1,0,9.5,-24.094,54.615,-12.104,11.343,63.582,95.282,-35.604,13.194,-37.739,-28.997
37,76.496,19.641,1,0,9.5,-22.666,54.807,-13.016,12.325,64.502,93.862,-35.936,13.405,-36.59,-28.162
38,91.098,19.644,1,0,9.5,-22.177,55.86,-14.145,11.752,63.599,95.756,-33.033,13.527,-36.503,-28.082
39,115.99,19.642,1,0,9.5,-22.546,56.712,-14.671,10.59,62.826,95.649,-32.602,13.832,-38.428,-27.464
40,147.32,19.638,1,0,9.5,-23.859,55.555,-14.609,10.406,63.687,95.558,-35.202,15.476,-38.309,-27.229
41,167.79,19.631,0,0,9.5,-22.907,56.607,-15.19,11.266,62.689,96.771,-35.733,15.894,-39.622,-27.713
42,186.58,19.622,0,0,9.5,-20.801,57.96,-14.969,11.5,62.4,97.545,-37.601,15.892,-38.933,-27.624
43,221.47,19.611,0,0,9.5,-20.843,56.979,-13.536,10.24,62.036,96.989,-37.197,15.405,-40.481,-26.854
44,229.85,19.599,0,0,9.5,-22.283,56.486,-13.442,9.6205,60.872,96.807,-37.645,15.966,-40.36,-27.337
45,246.16,19.587,0,0,9.5,-21.301,56.709,-13.153,10.509,59.649,97.126,-37.324,15.662,-40.163,-28.211
46,273.93,19.576,0,0,9.5,-21.268,56.92,-12.75,11.483,61.536,97.557,-37.136,16.658,-40.735,-29.354
47,276.53,19.565,0,0,9.5,-21.786,58.412,-11.915,10.894,63.263,97.339,-37.074,17.538,-39.345,-28.998
48,291.67,19.556,0,0,9.5,-24.755,58.566,-11.699,11.924,65.394,97.328,-37.999,15.82,-42.282,-30.441
49,315.11,19.55,0,0,9.5,-26.297,58.217,-11.579,12.243,64.896,97.061,-38.17,15.182,-43.311,-30.331
50,373.88,19.548,0,0,9.5,-27.404,59.86,-11.583,11.46,64.669,97.723,-39.2,15.375,-43.81,-28.888
51,344.59,19.549,0,0,9.5,-26.852,60.574,-10.777,12.135,65.437,98.552,-40.068,15.964,-43.457,-27.521
52,389.9,19.556,0,0,9.5,-27.647,59.409,-10.856,11.752,65.803,99.392,-40.946,16.073,-42.721,-28.933
53,416.22,19.569,0,0,9.5,-28.984,59.571,-9.6669,11.488,66.753,98.311,-41.52,16.302,-43.536,-28.96
54,441.74,19.588,0,0,9.5,-29.143,57.938,-8.9116,11.65,67.991,98.854,-40.66,16.791,-41.27,-29.621
55,468.37,19.615,0,0,9.5,-28.545,56.944,-9.5686,13.029,69.256,98.245,-41.216,16.873,-41.188,-30.4
56,495.22,19.65,0,0,9.5,-28.258,55.246,-11.218,12.989,69.111,99.17,-40.141,13.815,-39.779,-30.64
57,502.58,19.695,0,0,9.5,-29.039,55.755,-10.273,13.525,71.36,98.17,-39.669,12.053,-38.729,-30.036
58,512.99,19.749,0,0,9.5,-27.69,54.718,-9.8469,12.963,70.552,99.08,-38.289,11.788,-39.215,-31.309
59,548.82,19.814,0,0,9.5,-27.547,56.849,-11.353,11.504,71.373,99.292,-37.745,12.018,-38.556,-30.128
60,567.79,19.889,0,0,9.5,-26.722,56.546,-11.718,11.149,71.468,98.32,-37.643,11.889,-38.27,-30.898
61,588.07,19.977,0,0,9.5,-25.618,56.35,-11.34,9.2532,72.653,97.637,-38.82,11.291,-38.004,-32.644
62,599.83,20.077,0,0,9.5,-24.207,56.707,-11.481,8.9872,73.167,98.178,-37.966,11.165,-38.083,-32.321
63,638.73,20.189,0,0,9.5,-24.448,58.333,-10.743,9.0535,75.314,97.925,-37.28,14.296,-38.818,-31.55
64,654.66,20.315,0,0,9.5,-25.942,58.456,-11.408,7.659,74.877,96.972,-37.277,13.414,-38.707,-32.239
65,680.98,20.454,0,0,9.5,-27.305,57.964,-11.593,6.4453,72.798,97.035,-37.926,15.552,-38.78,-32.207
66,702.69,20.606,0,0,9.5,-28.821,59.466,-12.176,6.2069,71.59,96.528,-37.237,15.796,-38.532,-32.891
67,713.63,20.772,0,0,9.5,-29.148,59.517,-11.282,5.0553,72.267,96.474,-37.043,14.788,-39.377,-33.375
68,741.86,20.951,0,0,9.5,-30.068,59.546,-10.477,4.234,73.173,97.186,-37.244,14.046,-38.188,-33.726
69,764.31,21.145,0,0,9.5,-32.806,60.988,-10.216,5.6709,74.164,98.234,-38.487,14.022,-37.111,-34.484
70,791.07,21.351,0,0,9.5,-31.426,60.277,-11.099,4.1269,75.005,98.094,-39.154,13.704,-36.749,-35.83
