Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-27.494,22.372,1,0,9.5,-22.947,-29.009,11.481,-54.532,46.653,65.551,58.554,56.487,-90.566,13.548
2,7.058,22.368,1,0,9.5,-24.238,-29.102,11.724,-54.709,45.555,65.351,59.768,55.587,-88.528,14.527
3,13.972,22.359,1,0,9.5,-23.863,-28.042,10.343,-55.012,44.583,66.104,59.159,55.572,-88.031,12.906
4,-13.244,22.346,1,0,9.5,-23.401,-28.539,10.371,-55.262,44.763,66.28,58.94,55.796,-88.368,13.257
5,10.749,22.329,1,0,9.5,-23.348,-28.649,9.8144,-55.11,45.302,67.278,58.901,54.871,-87.788,13.618
6,-15.542,22.307,1,0,9.5,-22.013,-28.22,9.4255,-55.626,45.068,67.686,58.465,54.487,-87.575,13.347
7,10.959,22.282,1,0,9.5,-19.825,-29.993,9.5996,-55.682,44.98,66.939,58.391,56.474,-87.707,11.603
8,9.9792,22.252,1,0,9.5,-19.967,-29.997,8.1305,-55.745,45.899,66.734,57.498,56.432,-86.431,12.63
9,2.0747,22.218,1,0,9.5,-20.246,-28.522,7.1541,-55.165,46.73,65.418,57.268,56.113,-87.711,13.448
10,23.443,22.181,1,0,9.5,-21.023,-29.682,7.4916,-55.789,48.3,64.277,57.119,54.381,-89.099,13.4
11,2.1285,22.14,1,0,9.5,-20.505,-29.177,6.2515,-54.08,50.365,63.97,57.477,54.248,-88.487,11.7
12,-2.1262,22.095,1,0,9.5,-20.865,-29.398,5.5862,-53.56,50.683,66.625,57.552,54.537,-89.02,10.385
13,16.7,22.047,1,0,9.5,-20.636,-30.622,6.0972,-54.934,51.013,66.486,58.804,54.488,-89.572,10.221
14,16.391,21.996,1,0,9.5,-17.693,-31.172,4.8968,-54.411,49.694,65.414,59.848,54.83,-89.163,10.251
15,5.1036,21.941,1,0,9.5,-18.086,-29.296,7.1142,-56.229,50.359,64.688,60.471,53.992,-88.797,11.957
16,-5.1026,21.884,1,0,9.5,-18.503,-29.07,5.5326,-55.908,50.894,64.006,62.579,53.647,-89.327,12.887
17,-2.0865,21.824,1,0,9.5,-19.232,-30.617,3.8999,-56.036,50.723,64.37,62.467,54.417,-89.286,12.552
18,-0.1065,21.762,1,0,9.5,-19.069,-28.552,2.6657,-54.816,50.09,64.598,61.123,53.817,-90.633,15.508
19,5.0802,21.698,1,0,9.5,-17.267,-28.59,1.4184,-57.223,49.577,63.328,60.752,54.296,-91.779,15.466
20,-0.27395,21.633,1,0,9.5,-17.478,-29.126,1.4315,-56.977,48.61,62.218,61.175,54.129,-91.671,15.057
21,17.215,21.566,1,0,9.5,-17.798,-30.109,-0.49429,-57.385,47.929,60.384,60.948,54.404,-91.406,17.583
