Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-6.3447,22.386,1,0,9.5,70.017,-78.695,-57.337,7.0605,114.05,21.702,-54.375,60.833,-24.697,-3.6873
2,-2.9603,22.402,1,0,9.5,70.277,-77.865,-57.536,7.0209,113.53,22.331,-55.901,60.738,-24.827,-2.5066
3,-0.44358,22.434,1,0,9.5,70.461,-78.18,-57.576,8.2806,112.94,22.891,-56.103,59.184,-23.982,-1.6384
4,4.5938,22.483,1,0,9.5,69.61,-77.371,-57.857,9.145,113.96,23.261,-55.629,58.82,-25.268,-1.0666
5,-13.416,22.546,1,0,9.5,69.311,-78.241,-57.526,10.536,112.06,23.091,-53.815,60.407,-25.633,-2.3802
6,-11.43,22.624,1,0,9.5,69.847,-76.321,-57.443,10.563,112.5,22.591,-52.964,60.199,-27.117,-3.1693
7,-1.8738,22.717,1,0,9.5,72.347,-76.573,-58.705,10.097,112.36,21.23,-53.669,62.251,-26.89,-1.2664
8,3.3164,22.822,1,0,9.5,71.581,-77.2,-58.57,10.309,112.44,21.384,-53.267,60.924,-29.092,-0.88101
9,-2.4523,22.941,1,0,9.5,71.677,-78.39,-59.307,10.54,113.59,21.546,-51.693,62.257,-29.128,-1.6908
10,3.5424,23.07,1,0,9.5,72.75,-79.325,-58.994,11.15,112.53,22.255,-52.813,63.002,-28.878,-2.3774
11,-1.8672,23.21,1,0,9.5,73.574,-78.432,-59.074,8.3034,112.09,22.389,-52.549,62.29,-30.013,-0.78341
12,2.9266,23.358,1,0,9.5,72.58,-78.805,-58.456,7.424,111.75,22.587,-53.335,62.777,-30.586,-0.6766
13,9.2978,23.515,1,0,9.5,71.029,-78.082,-57.593,8.3973,111.53,22.067,-54.006,61.784,-29.993,-0.79589
14,8.9819,23.677,1,0,9.5,71.465,-78.183,-55.635,9.8962,112.6,23.492,-54.436,62.345,-31.603,-0.5107
15,9.1041,23.845,1,0,9.5,72.869,-76.07,-55.339,10.847,112.91,24.726,-53.616,60.788,-31.847,-1.3448
16,3.976,24.016,1,0,9.5,71.992,-76.164,-56.539,12.668,113.73,24.042,-53.785,58.771,-31.212,-0.68485
17,18.526,24.188,1,0,9.5,72.909,-76.766,-55.952,13.578,112.7,24.345,-55.139,59.496,-31.236,-0.94346
18,11.376,24.361,1,0,9.5,73.233,-75.823,-56.081,13.056,113.24,23.22,-54.747,57.993,-32.59,-1.1661
19,0.34893,24.533,1,0,9.5,74.06,-75.576,-55.307,12.352,114.55,23.763,-52.953,58.99,-34.014,1.207
20,1.3905,24.701,1,0,9.5,75.536,-75.306,-55.115,12.481,113.69,24.49,-53.237,59.844,-33.973,1.6992
21,18.907,24.866,1,0,9.5,75.853,-73.448,-54.462,14.922,114.07,24.834,-52.05,58.523,-34.993,1.9323
22,27.385,25.024,1,0,9.5,76.309,-71.957,-55.415,14.853,113.04,24.51,-54.305,59.3,-36.01,-0.13198
23,-7.929,25.175,1,0,9.5,76.819,-71.513,-55.636,14.923,111.82,24.639,-53.969,59.208,-37.572,0.38914
24,11.889,25.318,1,0,9.5,76.875,-72.045,-56.248,14.226,111.23,24.398,-53.252,58.908,-37.088,-1.1722
25,14.308,25.45,1,0,9.5,76.31,-72.739,-58.423,12.505,110.58,25.441,-52.468,58.864,-35.3,-1.931
26,15.272,25.57,1,0,9.5,75.458,-73.44,-58.598,11.292,110.98,24.827,-54.711,60.296,-34.805,-0.48182
27,13.949,25.678,1,0,9.5,76.421,-73.64,-58.387,10.827,110.24,24.952,-55.691,60.567,-34.392,0.46719
28,5.0443,25.772,1,0,9.5,74.64,-72.57,-59.746,9.7051,108.49,24.484,-55.354,60.424,-34.196,-1.1216
29,8.7617,25.852,1,0,9.5,73.23,-73.074,-58.341,9.6834,110.68,22.562,-55.293,60.592,-34.513,-1.8774
30,10.982,25.916,1,0,9.5,73.677,-73.762,-57.544,10.871,111.19,21.937,-56.22,60.785,-36.732,-0.50376
31,10.841,25.963,1,0,9.5,74.063,-73.748,-56.047,11.761,112.06,22.194,-54.899,60.143,-36.455,-0.68978
32,25.249,25.994,1,0,9.5,77.189,-74.556,-56.626,11.965,112.5,23.915,-54.386,60.359,-35.685,-0.70582
33,67.256,26.006,1,0,9.5,78.55,-74.432,-55.708,13.204,112.93,23.558,-53.129,61.774,-34.8,-1.0156
