Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-3.8856,18.647,1,0,9.5,-78.082,40.972,46.028,-68.608,33.458,20.158,10.223,36.678,-18.44,18.987
2,3.7161,18.67,1,0,9.5,-79.558,41.278,46.076,-69.936,33.522,20.074,8.3497,35.306,-16.603,18.087
3,-8.8911,18.717,1,0,9.5,-81.77,40.09,47.266,-69.286,33.095,19.903,8.9342,34.976,-16.65,19.26
4,5.1915,18.786,1,0,9.5,-80.154,38.946,46.137,-68.927,33.261,19.119,10.056,33.867,-17.343,19.344
5,-13.101,18.877,1,0,9.5,-78.923,40.027,46.247,-67.617,32.831,19.573,11.582,34.362,-16.207,19.089
6,-2.0915,18.989,1,0,9.5,-78.51,40.026,47.523,-67.841,35.065,19.907,10.162,34.011,-16.23,18.998
7,-4.7681,19.122,1,0,9.5,-78.627,41.455,47.473,-66.867,35.658,19.535,10.819,33.133,-15.818,19.642
8,8.0578,19.273,1,0,9.5,-76.809,39.404,48.902,-66.423,36.31,19.564,9.8407,34.9,-16.745,19.099
9,6.3874,19.442,1,0,9.5,-77.191,40.047,49.293,-65.61,36.081,19.579,9.9637,36.135,-16.044,18.725
10,2.3786,19.627,1,0,9.5,-78.313,38.058,49.195,-66.479,34.324,21.767,9.5021,38.099,-17.088,20.567
11,1.3594,19.826,1,0,9.5,-78.177,38.523,51.38,-66.411,33.998,20.855,9.3822,40.098,-17.938,20.56
12,8.3645,20.037,1,0,9.5,-79.368,39.035,51.756,-66.603,33.632,21.442,8.4045,39.741,-17.55,19.291
13,3.4702,20.259,1,0,9.5,-80.195,39.735,52.014,-66.685,33.212,21.103,7.7872,39.706,-19.071,19.829
14,4.4814,20.49,1,0,9.5,-80.322,38.872,51.876,-64.785,32.254,20.047,7.9216,38.037,-19.379,18.852
15,-1.9179,20.727,1,0,9.5,-81.693,40.127,53.843,-66.489,30.32,20.136,8.6786,38.543,-19.015,18.873
16,17.771,20.969,1,0,9.5,-81.219,39.212,53.446,-67.209,30.438,20.232,7.5712,38.035,-20.144,17.949
17,4.5095,21.213,1,0,9.5,-80.859,40.547,52.398,-68.338,30.895,19.944,7.0312,38.267,-20.865,17.74
18,-1.6597,21.457,1,0,9.5,-80.234,40.001,52.586,-68.231,31.483,20.299,6.7854,37.68,-20.167,15.858
19,13.544,21.7,1,0,9.5,-79.096,41.03,51.425,-68.253,32.72,18.513,7.4147,38.12,-21.804,16.74
20,12.785,21.938,1,0,9.5,-78.818,41.103,49.476,-67.276,31.135,18.382,7.5778,37.175,-23.255,15.58
21,2.4141,22.171,1,0,9.5,-77.521,40.147,50.696,-66.564,29.512,19.889,9.1908,36.995,-23.023,14.994
22,-1.8135,22.396,1,0,9.5,-78.17,40.405,50.431,-66.893,28.06,19.681,10.648,35.725,-22.941,16.253
23,21.87,22.611,1,0,9.5,-77.574,38.709,49.993,-66.421,29.574,20.154,10.731,36.546,-22.96,16.304
24,14.356,22.815,1,0,9.5,-77.571,38.934,52.269,-67.68,28.506,18.583,11.638,37.317,-23.121,18.176
25,40.119,23.007,1,0,9.5,-76.855,41.473,51.766,-66.694,28.76,18.13,11.179,36.016,-23.197,19.688
26,14.155,23.185,1,0,9.5,-76.383,42.983,52.672,-65.477,29.473,17.349,10.609,34.857,-24.579,20.754
27,16.053,23.347,1,0,9.5,-75.927,42.244,54.161,-64.029,28.749,16.605,11.192,33.924,-24.074,20.976
28,15.125,23.494,1,0,9.5,-76.022,42.262,55.389,-63.514,29.474,16.519,10.528,33.737,-25.605,20.348
29,49.955,23.624,1,0,9.5,-75.253,42.888,55.17,-63.818,29.588,16.098,10.414,35.367,-24.796,18.145
30,58.08,23.736,1,0,9.5,-75.255,42.379,55.553,-64.146,30.666,15.956,9.7623,33.957,-25.659,17.047
31,104.99,23.831,1,0,9.5,-74.574,41.805,54.123,-64.78,29.443,18.224,10.71,34.554,-25.854,17.412
32,111.49,23.908,1,0,9.5,-73.892,41.524,55.134,-63.851,28.01,18.661,11.746,36.294,-26.679,17.173
33,141.47,23.967,1,0,9.5,-73.616,42.038,54.542,-63.333,26.748,19.694,11.572,36.805,-27.996,15.914
34,159.81,24.008,1,0,9.5,-71.943,42.41,53.001,-63.543,27.084,19.516,10.866,36.898,-27.347,16.006
35,177.27,24.032,0,0,9.5,-72.381,41.972,51.144,-63.29,27.854,18.294,11.2,38.097,-29.024,13.505
36,214.67,24.039,0,0,9.5,-72.159,41.102,50.867,-63.865,26.505,17.737,10.58,38.694,-30.962,12.469
37,258.17,24.031,0,0,9.5,-72.869,40.995,49.682,-62.366,26.988,17.355,11.739,39.129,-30.087,10.721
38,275.58,24.009,0,0,9.5,-74.068,40.883,47.973,-63.635,26.566,19.158,10.982,37.796,-30.246,10.818
39,288.22,23.972,0,0,9.5,-74.051,39.632,48.363,-63.559,27.987,19.542,11.754,38.27,-32.259,10.939
40,324.95,23.924,0,0,9.5,-73.375,39.633,48.61,-63.607,27.508,19.318,14.754,38.205,-31.926,9.1687
41,327.44,23.865,0,0,9.5,-74.266,39.502,47.818,-64.275,27.739,19.977,14.478,36.459,-32.429,9.5311
42,351,23.796,0,0,9.5,-75.316,40.454,46.655,-63.869,28.602,19.75,14.087,35.693,-33.257,10.207
43,397,23.72,0,0,9.5,-75.955,41.332,47.009,-64.301,28.642,20.005,12.217,35.807,-34.007,10.011
44,408.34,23.639,0,0,9.5,-74.09,40.353,47.626,-64.793,29.206,18.154,11.282,33.649,-32.466,11.723
45,444.09,23.553,0,0,9.5,-74.188,40.298,48.419,-65.242,27.004,16.505,10.312,34.195,-32.594,12.71
46,448.46,23.466,0,0,9.5,-74.542,41.484,49.027,-66.28,26.005,16.122,9.2237,36.176,-32.394,12.414
47,501.03,23.378,0,0,9.5,-72.102,42.703,47.707,-65.726,28.714,15.211,9.3334,36.028,-32.619,10.963
48,504.48,23.291,0,0,9.5,-71.128,42.138,47.778,-66.065,26.239,17.152,8.3197,36.995,-31.441,11.688
49,538.46,23.208,0,0,9.5,-71.977,44.491,48.454,-65.394,25.723,14.205,7.4263,36.707,-32.086,10.997
