Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,3.3857,21.063,1,0,9.5,-91.787,10.625,-89.952,5.3345,-56.196,-17.006,-14.973,10.565,-33.954,4.3296
2,3.4558,21.046,1,0,9.5,-92.891,9.9328,-89.846,6.4487,-57.255,-15.967,-14.838,11.179,-34.922,5.0822
3,-2.0554,21.012,1,0,9.5,-92.416,9.8717,-89.963,8.3669,-56.24,-17.327,-13.154,9.9904,-34.871,4.4083
4,9.4896,20.96,1,0,9.5,-92.171,9.2525,-89.461,9.9817,-56.662,-16.586,-12.216,9.3301,-34.615,3.8743
5,-11.858,20.892,1,0,9.5,-92.456,7.4731,-88.303,9.4827,-56.585,-16.585,-12.095,10.311,-33.084,5.4846
6,10.094,20.809,1,0,9.5,-93.292,6.6778,-89.237,9.9301,-57.698,-16.716,-11.354,9.5394,-33.602,6.45
7,4.2599,20.711,1,0,9.5,-91.155,6.8687,-90.307,10.264,-58.453,-15.783,-11.724,7.3366,-34.433,5.592
8,4.3284,20.598,1,0,9.5,-91.096,6.0519,-90.778,11.181,-59.441,-15.4,-12.043,6.9791,-32.551,6.1155
9,1.5934,20.474,1,0,9.5,-90.86,7.791,-91.307,11.455,-58.958,-15.318,-12.484,6.7499,-31.982,7.1301
10,10.058,20.337,1,0,9.5,-89.915,8.3783,-90.414,12.268,-58.709,-17.471,-13.047,6.9242,-31.997,7.3545
11,10.539,20.19,1,0,9.5,-89.289,8.495,-90.152,11.61,-59.079,-18.147,-12.54,6.2628,-32.169,7.5483
12,22.411,20.034,1,0,9.5,-88.835,7.2148,-90.843,11.968,-59.228,-18.486,-11.949,6.7204,-29.421,6.3446
13,6.1885,19.872,1,0,9.5,-88.195,6.9965,-89.926,11.338,-60.213,-18.919,-12.237,5.929,-29.72,6.9479
14,6.5112,19.703,1,0,9.5,-88.84,6.4335,-88.873,11.535,-59.944,-18.838,-11.862,5.7331,-28.194,7.8069
15,0.09972,19.53,1,0,9.5,-88.331,5.2014,-88.466,10.619,-58.65,-19.367,-11.34,7.4361,-29.418,7.5042
16,11.471,19.355,1,0,9.5,-89.557,6.4862,-89.577,9.8256,-58.581,-19.065,-11.854,9.5851,-31.03,7.5264
17,-1.0141,19.178,1,0,9.5,-87.894,7.5051,-89.809,9.1942,-59.632,-20.97,-13.352,9.7124,-30.569,7.4823
18,-6.3036,19.003,1,0,9.5,-89.119,8.6767,-90.008,10.093,-57.81,-21.503,-15.126,9.1613,-30.302,5.6569
19,6.0323,18.83,1,0,9.5,-89.74,8,-90.011,9.8472,-58.446,-19.621,-15.138,10.528,-31.008,4.2853
20,-12.706,18.662,1,0,9.5,-88.35,7.101,-90.561,8.0021,-60.119,-19.724,-14.163,9.0068,-33.323,5.3249
21,-2.884,18.498,1,0,9.5,-87.973,7.6065,-90.978,7.1029,-61.312,-20.834,-14.384,9.7626,-33.624,5.4338
22,-3.2082,18.342,1,0,9.5,-87.193,6.3077,-92.164,4.99,-61.514,-20.202,-12.62,8.9104,-35.232,5.8019
23,-2.2341,18.195,1,0,9.5,-89.093,4.4925,-92.98,3.0301,-61.824,-19.156,-12.527,7.767,-35.508,6.7909
24,18.384,18.057,1,0,9.5,-88.866,4.5983,-92.705,1.782,-61.468,-20.046,-13.286,7.4613,-36.15,6.5781
25,5.3148,17.93,1,0,9.5,-89.697,4.0164,-93.551,1.4614,-63.909,-19.55,-13.266,7.5488,-37.592,6.2419
26,-2.5103,17.816,1,0,9.5,-89.01,4.2725,-93.754,1.3845,-63.76,-20.546,-13.18,6.5931,-37.333,5.5185
27,9.5622,17.714,1,0,9.5,-90.534,4.6695,-92.731,-0.10106,-64.565,-20.532,-13.127,6.5426,-35.718,6.8964
28,8.557,17.626,1,0,9.5,-89.174,6.5395,-92.617,0.2827,-66.924,-20.566,-13.658,5.6988,-36.501,8.3953
29,12.316,17.552,1,0,9.5,-90.343,6.9664,-92.578,0.78919,-67.017,-20.968,-12.109,4.2322,-37.113,8.1049
30,2.9275,17.493,1,0,9.5,-89.163,6.8688,-91.787,1.0657,-68.301,-21.775,-12.348,3.3794,-35.513,7.916
31,14.423,17.449,1,0,9.5,-88.766,7.9066,-92.943,2.2994,-69.626,-21.475,-10.674,3.7768,-35.893,9.4718
32,3.4581,17.421,1,0,9.5,-88.404,8.1413,-93.822,2.2343,-68.034,-22.812,-12.005,5.4905,-37.249,10.304
33,4.2163,17.407,1,0,9.5,-89.416,7.9876,-94.285,2.3148,-68.496,-22.673,-12.934,6.8567,-37.819,10.314
34,38.249,17.409,1,0,9.5,-88.097,7.7428,-92.174,2.6926,-69.379,-22.216,-11.75,6.5141,-37.009,10.988
35,71.923,17.425,1,0,9.5,-89.269,7.4877,-91.293,1.5441,-67.076,-23.101,-11.407,6.5139,-37.753,10.647
36,76.944,17.455,1,0,9.5,-88.327,6.5315,-91.144,1.3728,-67.387,-22.949,-11.26,5.2019,-38.157,10.75
37,107.31,17.499,1,0,9.5,-88.181,5.4379,-91.411,1.177,-66.969,-23.468,-11.966,6.735,-36.433,10.042
38,124,17.555,1,0,9.5,-88.597,4.9032,-93.009,0.94163,-66.781,-25.214,-10.446,7.0732,-38.121,10.796
39,126.07,17.623,0,0,9.5,-88.573,4.3265,-92.805,2.2619,-66.282,-25.116,-9.3442,6.1669,-38.08,11.509
40,156.37,17.702,0,0,9.5,-88.029,4.5161,-92.824,1.2236,-66.683,-24.625,-8.3624,7.1895,-39.075,10.359
41,178.69,17.79,0,0,9.5,-90.696,3.8039,-93.794,1.2683,-66.549,-24.14,-9.6276,7.5284,-39.376,9.0749
42,213.84,17.887,0,0,9.5,-91.389,5.0604,-95.717,1.0627,-67.724,-23.825,-10.961,8.0023,-40.82,9.1737
43,227.85,17.99,0,0,9.5,-92.399,4.2385,-96.489,1.1197,-68.55,-23.095,-13.579,7.601,-40.707,8.7679
44,239.95,18.098,0,0,9.5,-90.829,2.4765,-96.919,1.2601,-68.844,-23.121,-11.53,6.33,-42.092,10.762
45,266.34,18.211,0,0,9.5,-90.156,2.1471,-98.953,1.368,-68.376,-21.868,-10.748,7.9343,-42.164,10.166
46,309.19,18.326,0,0,9.5,-87.95,0.93666,-99.288,1.0973,-68.189,-22.309,-8.613,8.369,-40.782,11.512
47,323.26,18.442,0,0,9.5,-88.201,2.5097,-99.967,0.24243,-68.425,-23.22,-9.8917,8.1657,-41.824,10.882
48,350.59,18.557,0,0,9.5,-87.023,3.3566,-99.645,-0.60437,-68.175,-22.932,-10.259,8.1408,-42.355,10.464
49,349.82,18.67,0,0,9.5,-84.954,4.0587,-98.594,-0.24091,-68.398,-21.222,-11.569,8.1886,-42.369,9.2319
50,386.82,18.78,0,0,9.5,-83.881,4.1484,-97.503,0.525,-66.702,-21.486,-9.4142,6.5574,-43.963,10.303
51,407.36,18.885,0,0,9.5,-82.898,4.6351,-99.361,-0.022367,-66.282,-22.113,-9.8274,5.8705,-43.25,10.39
52,416.29,18.984,0,0,9.5,-82.858,4.0835,-98.813,1.3021,-66.315,-23.181,-9.2012,4.5863,-42.213,9.2054
53,474.54,19.075,0,0,9.5,-84.107,4.2166,-97.492,2.4492,-66.472,-23.459,-9.4948,2.1903,-42.453,7.8786
54,474.7,19.157,0,0,9.5,-84.181,3.6631,-96.594,3.5129,-66.447,-22.26,-11.328,2.7909,-43.563,7.602
55,527.05,19.23,0,0,9.5,-84.085,4.8904,-96.287,2.7711,-67.745,-23.368,-13.173,3.1962,-43.746,7.5947
56,526.04,19.292,0,0,9.5,-85.145,3.9578,-96.242,2.1999,-68.425,-22.733,-13.416,4.3226,-43.691,8.1614
57,545.16,19.343,0,0,9.5,-85.438,1.9987,-96.176,3.2384,-67.105,-21.917,-14.778,2.7013,-44.074,8.9284
58,562.26,19.381,0,0,9.5,-84.394,-1.9567,-96.067,2.6694,-68.177,-23.139,-14.972,3.6242,-42.229,8.8986
59,581.38,19.408,0,0,9.5,-83.842,-1.3503,-95.256,3.0247,-69.611,-20.864,-15.586,4.1802,-43.81,8.5033
60,608.95,19.421,0,0,9.5,-84.82,-0.67807,-97.736,2.4877,-69.055,-22.414,-14.87,4.3424,-43.61,9.0435
61,648,19.421,0,0,9.5,-86.582,-0.1893,-99.052,3.8001,-67.911,-22.996,-14.905,6.2976,-43.425,10.121
62,667.37,19.408,0,0,9.5,-85.021,-1.4678,-99.149,3.2783,-67.154,-23.26,-14.207,5.6047,-42.961,11.127
63,676.33,19.382,0,0,9.5,-83.706,-1.5365,-99.213,2.8925,-68.006,-23.709,-14.44,6.0636,-42.364,12.848
64,696.9,19.344,0,0,9.5,-83.839,-3.3753,-100.11,1.8929,-66.666,-24.359,-14.165,5.5188,-41.21,12.365
65,724.04,19.294,0,0,9.5,-83.447,-1.7731,-100.38,1.6657,-67.716,-24.899,-15.194,5.9086,-41.126,12.665
66,746.25,19.232,0,0,9.5,-83.03,-0.89162,-99.728,1.636,-67.367,-24.007,-14.066,5.7341,-42.073,12.385
67,785.38,19.159,0,0,9.5,-82.454,-0.71901,-99.744,2.7479,-68.17,-24.154,-13.798,3.602,-41.615,11.715
68,808.81,19.077,0,0,9.5,-84.196,0.37258,-100.83,3.0261,-69.541,-25.764,-15.631,4.8562,-41.872,11.477
69,830.52,18.986,0,0,9.5,-84.555,-0.57145,-100.07,3.5781,-70.389,-23.001,-15.686,6.3702,-42.195,12.185
70,834.35,18.888,0,0,9.5,-83.764,-2.917,-99.781,5.1876,-70.753,-24.274,-15.179,5.2356,-42.36,12.67
