Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-0.18094,20.981,1,0,9.5,28.048,-15.899,43.977,14.322,103.34,-13.229,-51.587,-106.18,-88.718,-99.903
2,-19.336,20.985,1,0,9.5,28.037,-16.592,41.99,13.737,103.28,-12.077,-51.469,-104.92,-88.022,-99.012
3,9.9211,20.991,1,0,9.5,27.866,-16.135,42.946,14.434,104.02,-11.545,-50.486,-105.22,-88.572,-98.492
4,-7.7555,21.001,1,0,9.5,26.516,-14.966,43.087,14.493,103.75,-12.397,-48.173,-104.28,-88.92,-98.163
5,-16.003,21.014,1,0,9.5,26.526,-15.329,44.643,14.737,104.37,-13.459,-47.357,-105.03,-88.287,-97.277
6,-2.2061,21.031,1,0,9.5,26.549,-16.492,44.988,15.773,103.87,-14.722,-47.052,-105.46,-88.881,-96.376
7,-3.6966,21.051,1,0,9.5,24.398,-18.523,45.448,16.398,104.78,-15.808,-46.998,-105.99,-88.454,-97.641
8,-0.52598,21.074,1,0,9.5,26.397,-20.729,45.728,15.192,104.58,-15.769,-48.71,-105.71,-88.083,-96.251
9,-2.7594,21.101,1,0,9.5,27.384,-22.388,46.905,15.003,103.83,-14.255,-47.958,-106.15,-88.181,-96.803
10,10.028,21.131,1,0,9.5,28.904,-22.806,47.328,14.788,104.83,-13.047,-48.55,-105.21,-87.456,-95.676
11,25.342,21.165,1,0,9.5,29.18,-22.886,46.188,14.211,104.69,-12.551,-49.463,-105.73,-87.005,-95.504
12,7.6335,21.202,1,0,9.5,27.919,-23.06,48.586,15.038,104.14,-12.937,-50.034,-106.45,-85.94,-96.278
13,7.3902,21.244,1,0,9.5,28.215,-22.634,48.256,14.287,102.72,-13.395,-48.337,-107.25,-86.618,-96.138
14,-9.8901,21.289,1,0,9.5,27.472,-21.814,48.538,15.189,100.82,-13.227,-49.081,-106.58,-85.089,-96.117
15,11.44,21.337,1,0,9.5,27.913,-21.901,48.882,17.21,100.02,-13.721,-49.583,-107.72,-84.4,-94.866
16,-1.6548,21.39,1,0,9.5,28.226,-22.822,48.374,17.897,100.66,-14.179,-49.29,-108.03,-85.126,-95.679
17,2.6227,21.446,1,0,9.5,29.01,-24.22,46.767,18.169,101.02,-15.038,-48.277,-105.37,-84.141,-95.903
