Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,5.4333,19.692,1,0,9.5,9.6149,44.213,46.504,33.889,-81.872,-34.683,-74.004,-47.302,-60.619,-36.307
2,-15.908,19.7,1,0,9.5,10.12,43.429,46.898,34.252,-82.883,-36.045,-74.368,-45.953,-60.469,-36.35
3,-29.532,19.716,1,0,9.5,8.9122,43.038,48.322,33.954,-82.937,-36.394,-74.138,-46.008,-62.02,-37.537
4,-5.2336,19.74,1,0,9.5,10.263,42.306,47.891,33.362,-83.222,-35.734,-74.152,-45.874,-61.608,-37.937
5,2.727,19.771,1,0,9.5,9.2846,41.8,47.83,35.499,-84.81,-36.57,-73.143,-44.39,-61.7,-38.735
6,9.899,19.809,1,0,9.5,8.7962,41.146,49.066,35.849,-84.235,-36.365,-72.266,-45.754,-63.919,-37.894
7,-0.91482,19.854,1,0,9.5,9.3146,40.95,50.221,35.607,-85.359,-36.94,-70.375,-45.504,-64.722,-38.644
8,2.7806,19.905,1,0,9.5,9.7062,40.314,50.665,36.451,-85.95,-34.957,-73.321,-46.014,-65.71,-38.346
9,8.6299,19.961,1,0,9.5,8.4238,38.225,50.507,37.796,-86.055,-35.701,-74.897,-44.701,-65.007,-38.668
10,9.9983,20.023,1,0,9.5,7.8914,38.49,49.893,39.326,-84.853,-34.38,-74.121,-43.486,-63.776,-39.134
11,-20.951,20.088,1,0,9.5,7.6173,38.19,50.727,37.353,-84.668,-33.611,-73.223,-42.533,-64.085,-40.561
12,7.9565,20.157,1,0,9.5,6.9026,37.802,50.31,37.991,-83.213,-33.706,-72.211,-43.645,-63.963,-40.2
13,7.933,20.229,1,0,9.5,7.1295,36.826,49.313,37.767,-82.655,-34.263,-72.88,-41.786,-61.544,-39.607
14,28.966,20.302,1,0,9.5,7.6203,35.034,49.034,38.268,-82.236,-35.957,-72.464,-41.548,-60.394,-39.79
15,5.3344,20.377,1,0,9.5,8.0829,35.463,48.575,38.372,-81.352,-37.558,-71.572,-39.968,-61.652,-39.282
16,-12.203,20.451,1,0,9.5,8.0842,35.45,48.013,39.078,-80.25,-37.72,-70.584,-42.305,-61.523,-40.092
17,2.1787,20.525,1,0,9.5,8.0981,35.251,47.926,39.309,-79.661,-37.58,-72.194,-43.33,-61.516,-40.122
18,4.7916,20.597,1,0,9.5,7.3668,36.291,49.078,39.372,-78.941,-39.101,-72.163,-44.133,-61.883,-39.244
19,29.791,20.667,1,0,9.5,6.9801,37.194,49.425,40.751,-78.793,-38.887,-73.802,-45.599,-63.283,-39.338
