Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-5.4402,27.585,1,0,9.5,50.715,-20.255,-48.013,18.546,-86.222,-13.76,62.509,-12.592,0.89109,40.664
2,-0.88729,27.541,1,0,9.5,48.485,-21.533,-48.864,20.936,-83.87,-14.326,61.97,-13.376,1.7863,40.778
3,-27.825,27.455,1,0,9.5,49.102,-22.682,-48.153,19.323,-83.453,-12.901,60.014,-13.208,1.3072,42.194
4,8.4887,27.327,1,0,9.5,48.585,-23.973,-48.069,20.331,-82.698,-12.593,59.714,-12.018,0.87103,41.477
5,7.5914,27.157,1,0,9.5,48.282,-25.143,-47.497,21.642,-82.319,-12.873,58.792,-12.034,-0.97466,43.305
6,-8.2064,26.948,1,0,9.5,48.466,-23.67,-47.74,23.034,-81.091,-11.708,57.708,-11.755,-1.3473,42.381
7,-1.2954,26.702,1,0,9.5,47.652,-23.952,-46.559,22.7,-82.851,-10.974,56.302,-9.6375,-0.57367,42.271
8,12.483,26.419,1,0,9.5,47.13,-24.007,-48.054,22.188,-82.397,-11.203,56.21,-11.115,-0.75819,42.809
9,-3.0597,26.104,1,0,9.5,47.726,-23.299,-47.192,23.014,-82.642,-9.9942,55.739,-10.348,-1.7513,43.487
10,15.997,25.759,1,0,9.5,48.87,-23.449,-46.634,22.785,-81.651,-8.2419,56.532,-10.319,-1.7786,44.004
11,4.3386,25.387,1,0,9.5,48.74,-23.359,-47.638,22.426,-80.768,-8.7866,57.12,-9.8365,-0.72892,44.678
12,4.4466,24.99,1,0,9.5,50.052,-23.097,-47.425,22.135,-81.526,-8.6337,56.083,-10.294,-0.41669,45.468
13,3.7541,24.573,1,0,9.5,49.477,-23.081,-47.431,21.485,-82.822,-8.4416,56.621,-7.8843,-0.078739,45.169
14,4.9034,24.14,1,0,9.5,49.249,-22.9,-48.271,22.67,-82.746,-8.1782,56.892,-8.4253,-1.1105,46.069
15,1.6905,23.693,1,0,9.5,50.085,-22.898,-48.537,23.284,-81.898,-6.9377,57.142,-7.5566,-1.4422,45.413
16,-2.2982,23.237,1,0,9.5,51.034,-22.901,-49.347,25.68,-82.334,-6.9426,57.167,-6.352,-0.42522,45.283
17,4.3373,22.776,1,0,9.5,49.982,-22.177,-50.648,25.884,-81.288,-5.6163,58.486,-5.8026,-1.0248,45.351
18,0.68691,22.314,1,0,9.5,51.169,-21.651,-50.889,25.307,-81.426,-6.1812,58.129,-7.2786,-2.0844,44.204
