Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-5.6982,19.216,1,0,9.5,19.09,-34.689,-22.144,57.95,45.301,-87.53,25.647,11.837,83.289,-1.2636
2,-4.2268,19.242,1,0,9.5,18.228,-34.837,-22.921,58.514,44.139,-87.445,24.562,11.783,82.867,-3.8781
3,4.4165,19.293,1,0,9.5,19.844,-34.441,-23.923,57.695,44.299,-87.163,25.944,13.384,83.029,-5.3961
4,-9.7861,19.37,1,0,9.5,19.347,-34.991,-22.74,59.334,43.477,-86.393,24.854,11.472,82.488,-4.9299
5,22.291,19.471,1,0,9.5,19.115,-34.063,-21.646,58.78,42.428,-87.274,24.943,10.818,82.847,-2.4772
6,12.523,19.596,1,0,9.5,18.743,-34.547,-21.987,58.098,42.991,-87.629,23.23,10.983,83.106,-2.2064
7,-2.2006,19.744,1,0,9.5,17.822,-34.319,-22.299,59.159,42.135,-86.152,23.483,11.644,84.801,-2.1284
8,23.789,19.913,1,0,9.5,16.454,-35.252,-22.77,60.976,42.324,-87.408,24.411,10.966,83.886,-3.5569
9,9.9297,20.103,1,0,9.5,16.218,-34.695,-21.831,61.017,45.382,-86.364,24.415,9.1366,82.915,-3.3831
10,8.4694,20.311,1,0,9.5,16.934,-35.628,-21.179,60.486,46.074,-84.89,25.358,9.1435,81.795,-2.8373
11,5.5167,20.537,1,0,9.5,16.046,-34.062,-21.251,61.431,44.35,-86.245,25.969,9.3198,82.437,-3.5061
12,6.42,20.778,1,0,9.5,14.834,-34.413,-21.828,62.197,43.132,-85.328,26.454,9.0474,82.056,-2.5077
13,4.1228,21.033,1,0,9.5,15.256,-35.175,-22.41,62.764,42.093,-84.384,27.471,8.0528,83.443,-2.5019
14,7.9942,21.299,1,0,9.5,15.701,-35.99,-22.407,61.83,41.245,-83.864,27.662,8.009,86.185,-2.8747
15,-4.0453,21.575,1,0,9.5,18.193,-35.863,-23.078,62.026,40.69,-83.524,27.803,6.5892,85.228,-1.2713
16,2.6545,21.858,1,0,9.5,18.988,-36.473,-25.178,61.313,41.307,-82.424,27.294,4.3178,83.804,-0.30484
17,14.701,22.147,1,0,9.5,20.407,-36.733,-23.702,60.655,41.198,-83.413,28.183,3.6186,82.099,0.2078
18,35.522,22.438,1,0,9.5,20.402,-36.172,-23.521,60.052,41.425,-83.921,27.404,4.197,82.282,-1.1035
19,15.029,22.73,1,0,9.5,20.576,-36.505,-22.837,60.034,42.441,-83.229,27.383,3.3491,82.956,-1.8257
20,3.4435,23.021,1,0,9.5,20.907,-36.723,-23.196,58.687,40.808,-83.845,27.295,4.6906,83.131,-3.9024
21,-3.34,23.307,1,0,9.5,21.589,-36.75,-21.159,58.257,41.485,-82.273,25.939,5.726,82.699,-4.5811
22,19.671,23.588,1,0,9.5,21.595,-36.883,-22.431,59.821,42.685,-83.968,25.195,5.5213,82.56,-4.9378
23,3.7979,23.861,1,0,9.5,23.621,-35.597,-21.987,61.883,42.997,-83.871,24.614,4.8166,82.264,-4.5456
24,-2.6692,24.124,1,0,9.5,24.169,-35.274,-22.822,61.463,42.995,-83.598,26.028,5.1306,83.173,-4.376
25,14.237,24.374,1,0,9.5,23.434,-34.14,-20.332,59.341,44.294,-85.095,25.932,4.8648,82.886,-4.1337
26,1.6065,24.611,1,0,9.5,24.822,-34.824,-19.92,58.63,43.474,-84.337,26.744,6.1368,83.66,-5.1405
27,9.2931,24.832,1,0,9.5,24.872,-35.775,-21.546,58.98,41.451,-84.189,27.056,5.4156,83.396,-4.2355
28,39.354,25.036,1,0,9.5,24.326,-37.056,-21.435,58.666,38.421,-84.628,27.691,5.6206,83.634,-4.1483
29,55.417,25.222,1,0,9.5,24.053,-37,-21.066,57.82,38.56,-84.92,28.682,5.764,82.592,-3.7025
30,89.703,25.387,1,0,9.5,22.145,-37.47,-22.08,58.202,37.18,-86.082,28.36,6.5616,82.536,-4.9578
31,122.89,25.532,1,0,9.5,21.292,-38.082,-21.234,59.48,36.786,-85.373,28.902,7.235,81.684,-3.9338
32,146.52,25.654,1,0,9.5,22.765,-38.28,-21.63,60.124,36.822,-85.296,28.903,6.8505,81.292,-4.8363
33,176.03,25.754,0,0,9.5,25.053,-40.351,-21.409,62.843,36.271,-85.679,28.375,7.2863,79.989,-6.5687
34,203.5,25.831,0,0,9.5,27.331,-41.222,-21.346,63.752,36.434,-86.281,28.339,6.9953,79.249,-7.8655
35,207.11,25.884,0,0,9.5,27.617,-40.69,-20.672,63.333,37.654,-86.571,27.936,8.7466,79.805,-8.4738
36,267.19,25.914,0,0,9.5,27.548,-39.96,-20.611,61.993,38.168,-85.199,28.005,7.7967,80.656,-6.6479
37,284.21,25.92,0,0,9.5,26.774,-39.905,-20.661,62.015,37.003,-84.628,28.17,8.0332,79.539,-5.8152
38,290.21,25.902,0,0,9.5,26.266,-39.915,-22.27,61.795,38.363,-84.918,27.462,8.7365,80.269,-5.2574
39,349.87,25.862,0,0,9.5,26.985,-39.676,-22.855,60.002,38.554,-85.614,28.549,7.4175,81.259,-6.1699
40,360.53,25.8,0,0,9.5,26.728,-39.567,-21.122,60.761,37.725,-84.45,30.134,8.2662,82.061,-6.1474
41,376.9,25.716,0,0,9.5,27.448,-39.295,-21.211,60.5,37.875,-85.114,28.131,8.9097,82.113,-5.9543
42,429.89,25.611,0,0,9.5,26.016,-38.743,-20.93,59.661,37.379,-85.274,28.965,7.5911,82.824,-7.1923
43,416.52,25.488,0,0,9.5,24.61,-40.037,-19.561,59.555,38.843,-85.827,28.642,6.9939,83.891,-6.5131
44,470.23,25.346,0,0,9.5,25.308,-39.589,-18.692,59.067,40.169,-86.452,27.486,7.1636,82.696,-7.7275
45,501.27,25.189,0,0,9.5,26.263,-39.53,-20.179,58.719,40.713,-86.489,26.147,8.5012,82.889,-8.6581
46,516.53,25.016,0,0,9.5,26.062,-41.718,-20.85,60.539,40.858,-85.111,27.484,6.4576,81.568,-9.9582
47,558.04,24.831,0,0,9.5,25.546,-42.541,-20.386,60.575,39.121,-85.465,28.931,4.8098,80.395,-9.2335
48,602.8,24.635,0,0,9.5,24.056,-42.46,-20.328,61.13,39.533,-85.748,29.582,5.1159,81.315,-10.706
49,606.29,24.429,0,0,9.5,23.251,-42.782,-22.033,60.993,39.224,-85.572,30.204,5.7506,81.802,-10.657
50,636.93,24.217,0,0,9.5,23.183,-42.577,-21.812,61.692,36.091,-83.92,29.603,5.2305,81.457,-10.814
51,689.33,23.999,0,0,9.5,24.234,-41.619,-21.935,59.655,35.074,-84.89,28.52,7.2987,81.801,-9.8926
52,709.49,23.779,0,0,9.5,24.031,-41.204,-21.439,60.09,35.451,-85.542,28.83,8.2053,81.834,-9.6199
53,724.62,23.558,0,0,9.5,24.895,-41.349,-19.357,59.973,35.528,-87.349,30.028,8.1116,78.703,-10.681
54,738.91,23.339,0,0,9.5,23.836,-40.742,-20.409,60.405,35.442,-87.842,30.501,7.1587,78.973,-10.3
55,767.78,23.123,0,0,9.5,25.196,-42.087,-20.503,59.812,36.254,-88.733,30.241,5.1734,78.618,-9.1871
56,786.23,22.913,0,0,9.5,24.891,-43.802,-20.332,61.152,36.32,-87.768,30.923,6.1047,79.196,-8.9594
57,826.71,22.711,0,0,9.5,26.017,-44.649,-19.512,62.253,35.13,-86.779,30.14,3.8772,79.94,-8.8714
58,844.29,22.518,0,0,9.5,27.087,-45.398,-21.624,64.13,34.619,-85.389,29.071,2.3679,79.307,-8.9127
59,880.29,22.337,0,0,9.5,25.472,-47.475,-24.098,64.019,36.246,-85.666,31.431,1.7174,79.393,-9.1147
60,914.63,22.17,0,0,9.5,27.435,-48.502,-23.809,63.416,38.448,-84.602,30.787,0.77468,79.249,-10.305
61,920.8,22.018,0,0,9.5,28.814,-48.54,-21.477,63.075,38.165,-84.789,31.186,1.238,80.247,-11.068
