Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,9.6887,14.775,1,0,9.5,33.019,-63.992,5.809,3.3327,-57.803,-77.292,22.257,86.193,-46.404,-54.365
2,-12.034,14.824,1,0,9.5,34.77,-64.898,7.0429,3.6236,-58.966,-76.856,22.82,86.407,-45.933,-53.339
3,6.5705,14.923,1,0,9.5,36.056,-64.316,7.3909,2.4305,-59.094,-75.24,23.595,87.002,-46.08,-54.198
4,-16.253,15.069,1,0,9.5,35.815,-63.546,9.356,1.6558,-57.651,-74.291,25.051,86.432,-46.168,-52.87
5,11.448,15.262,1,0,9.5,36.594,-63.31,7.815,2.2752,-58.814,-73.373,24.458,87.51,-46.912,-52.728
6,-26.026,15.5,1,0,9.5,34.803,-63.831,6.8781,2.5827,-59.418,-73.649,23.8,87.27,-47.518,-52.063
7,14.358,15.782,1,0,9.5,35.36,-63.583,7.8126,2.7929,-60.123,-73.687,23.564,86.425,-47.518,-50.996
8,-6.3257,16.105,1,0,9.5,36.093,-63.64,6.9007,2.373,-59.635,-73.343,24.076,86.67,-48.59,-50.606
9,-10.161,16.467,1,0,9.5,34.283,-62.363,6.9845,4.7727,-61.521,-73.43,24.015,85.428,-51.725,-49.916
10,5.1578,16.864,1,0,9.5,34.745,-63.17,7.622,6.2153,-60.623,-75.148,23.75,87.004,-50.263,-51.951
11,30.934,17.293,1,0,9.5,33.832,-63.063,8.5277,3.4752,-61.018,-75.237,24.294,87.058,-52.808,-52.661
12,10.409,17.751,1,0,9.5,34.585,-62.327,8.3483,4.4344,-60.358,-76.302,23.925,86.791,-53.76,-51.385
13,15.453,18.235,1,0,9.5,34.665,-62.703,9.4429,4.2433,-60.766,-74.828,23.587,89.488,-53.511,-52.019
14,0.095606,18.74,1,0,9.5,34.266,-62.788,9.8084,6.82,-61.341,-75.464,24.696,89.009,-53.137,-51.252
15,-9.7438,19.263,1,0,9.5,32.946,-63.774,6.808,6.7382,-60.963,-74.736,24.1,89.653,-53.614,-51.037
16,17.123,19.799,1,0,9.5,32.898,-62.185,6.4786,7.9778,-61.509,-75.184,24.258,88.484,-54.81,-52.492
17,4.3015,20.345,1,0,9.5,33.73,-62.323,7.5893,8.5951,-61.171,-76.026,22.849,87.369,-55.818,-52.139
18,0.51494,20.895,1,0,9.5,33.606,-62.063,8.1006,8.0112,-60.437,-75.96,22.892,88.73,-54.986,-51.224
19,15.942,21.447,1,0,9.5,32.914,-61.485,7.4877,8.0964,-61.505,-74.851,21.731,89.164,-54.341,-50.857
20,23.626,21.995,1,0,9.5,32.246,-60.533,7.0445,7.2281,-62.495,-75.012,21.236,88.907,-53.022,-50.357
21,-1.3753,22.535,1,0,9.5,31.461,-61.035,7.179,7.3844,-63.562,-75.306,20.913,90.299,-52.11,-51.038
22,7.3727,23.064,1,0,9.5,32.202,-61.439,8.0688,7.6963,-62.255,-76.624,18.625,91.736,-51.933,-51.815
23,-8.2358,23.578,1,0,9.5,34.156,-61.733,8.4397,7.5839,-65.131,-77.738,19.903,92.213,-52.477,-51.771
24,17.039,24.073,1,0,9.5,32.486,-62.347,6.4227,9.3486,-64.295,-79.051,19.86,92.53,-53.756,-51.094
25,6.3029,24.546,1,0,9.5,31.777,-59.462,5.2741,8.4615,-64.388,-78.056,19.803,92.298,-54.242,-50.497
26,20.85,24.993,1,0,9.5,31.1,-59.933,4.2933,9.4773,-64.168,-77.965,20.259,91.858,-53.841,-49.877
27,29.466,25.412,1,0,9.5,29.881,-59.971,4.6083,9.2141,-64.852,-76.867,20.013,93.973,-54.246,-49.322
28,36.156,25.799,1,0,9.5,30.32,-59.416,4.9187,5.6227,-66.052,-76.474,20.034,94.525,-52.363,-49.01
29,-7.6426,26.153,1,0,9.5,30.194,-61.095,5.7297,5.4667,-64.875,-76.827,19.992,93.886,-51.504,-48.863
30,43.36,26.471,1,0,9.5,30.277,-61.274,4.0265,3.8899,-66.585,-76.818,21.137,94.457,-52.248,-49.233
31,70.452,26.752,1,0,9.5,28.211,-62.451,2.8404,5.9997,-68.884,-78.471,21.956,94.27,-50.604,-50.501
32,77.789,26.995,1,0,9.5,28.834,-61.698,1.1001,5.953,-68.342,-78.919,22.732,93.376,-50.543,-49.088
33,113.38,27.197,1,0,9.5,30.804,-60.572,1.8751,6.4149,-67.915,-78.661,21.332,93.141,-51.689,-49.448
34,129.71,27.36,1,0,9.5,30.288,-59.536,1.2324,6.2714,-68.203,-78.844,19.765,94.505,-52.279,-49.94
35,163.42,27.483,1,0,9.5,32.032,-60.259,1.1328,4.7269,-65.686,-78.239,18.791,94.895,-51.411,-50.854
36,188.41,27.565,0,0,9.5,30.381,-61.934,0.64722,3.8947,-66.096,-79.525,18.543,95.987,-51.007,-51.342
37,204.38,27.608,0,0,9.5,29.992,-62.085,1.5926,4.3147,-66.049,-79.623,18.361,98.108,-52.083,-52.921
38,228.75,27.611,0,0,9.5,28.219,-59.171,0.94336,2.9961,-66.387,-77.175,19.71,97.733,-52.911,-51.536
39,269.34,27.578,0,0,9.5,29.9,-59.348,0.22882,4.5151,-68.212,-75.423,18.813,94.237,-52.736,-51.267
40,292.18,27.508,0,0,9.5,29.498,-59.582,-0.82263,4.0182,-69.477,-74.442,18.922,93.711,-52.451,-51.154
41,301.54,27.404,0,0,9.5,29.524,-61.104,-0.78663,4.1054,-70.181,-73.865,18.21,94.472,-52.615,-52.495
42,321.98,27.268,0,0,9.5,29.426,-60.923,-0.3783,3.0733,-69.111,-72.249,19.296,95.475,-51.16,-51.009
43,369.45,27.102,0,0,9.5,30.058,-60.689,0.40336,3.6493,-68.373,-72.312,19.735,96.501,-51.997,-51.756
44,365.49,26.908,0,0,9.5,30.847,-60.055,0.50302,4.3816,-69.672,-71.024,18.17,96.744,-51.207,-52.315
45,425.21,26.691,0,0,9.5,30.419,-59.643,0.46717,3.1468,-70.447,-72.229,18.164,97.386,-50.385,-51.043
46,444.2,26.452,0,0,9.5,28.333,-60.824,0.31218,3.4265,-70.66,-71.396,17.695,100.19,-49.467,-49.697
47,466.25,26.195,0,0,9.5,28.217,-61.521,-0.85357,5.2362,-69.264,-71.659,16.818,101.64,-49.57,-49.595
48,497.51,25.923,0,0,9.5,28.158,-59.15,-0.42507,5.338,-69.584,-69.943,15.484,101.98,-50.168,-50.532
49,514.2,25.64,0,0,9.5,27.512,-58.879,-0.4931,7.2063,-71.056,-70.597,15.473,100.08,-52.68,-50.161
50,545.54,25.348,0,0,9.5,27.604,-59.246,1.0719,8.1001,-72.161,-70.617,15.6,99.164,-53.137,-50.282
51,560.5,25.052,0,0,9.5,25.466,-59.494,1.2163,9.67,-72.983,-69.311,14.375,99.879,-53.341,-50.424
52,592.12,24.753,0,0,9.5,24.389,-60.344,1.347,10.887,-72.091,-69.393,14.981,99.578,-52.948,-51.235
53,622.32,24.457,0,0,9.5,23.3,-61.615,2.3497,9.0339,-71.399,-69.353,14.683,101.43,-53.336,-50.065
54,644.49,24.165,0,0,9.5,23.558,-60.026,0.92308,8.334,-70.908,-69.649,15.999,100.45,-53.562,-50.686
55,671.66,23.882,0,0,9.5,23.175,-61.37,1.7771,9.7255,-71.807,-69.314,14.84,100.18,-53.467,-50.396
56,687.04,23.609,0,0,9.5,22.251,-60.27,0.45122,9.3887,-72.6,-68.881,14.1,101.79,-53.646,-49.649
57,725.77,23.35,0,0,9.5,22.198,-59.186,1.5562,8.7207,-70.432,-70.294,14.588,101.2,-52.991,-48.188
58,737.41,23.108,0,0,9.5,23.535,-58.37,0.76693,7.0679,-69.256,-70.556,14.253,99.745,-51.184,-47.835
59,761.37,22.884,0,0,9.5,23.116,-56.361,-1.4389,6.2334,-68.38,-72.121,14.014,99.341,-50.589,-46.497
60,787.56,22.68,0,0,9.5,24.126,-57.114,-1.5188,4.746,-67.893,-71.362,14.144,101.5,-50.004,-46.13
61,819.76,22.499,0,0,9.5,24.201,-58.022,-1.3189,4.5218,-69.868,-70.828,13.96,102.52,-52.046,-46.22
62,834.98,22.342,0,0,9.5,25.196,-57.171,0.46848,5.273,-69.741,-69.549,15.929,101.37,-50.844,-46.235
63,874.17,22.21,0,0,9.5,25.505,-56.91,0.12469,5.867,-70.215,-70.924,14.978,99.853,-51.693,-47.403
64,883.15,22.104,0,0,9.5,24.945,-57.067,-0.8141,4.8179,-69.357,-72.081,13.393,101.16,-52.908,-45.896
65,909.9,22.024,0,0,9.5,25.424,-58.992,-0.84227,4.6936,-68.415,-71.758,13.28,101.47,-53.194,-47.161
66,936.71,21.972,0,0,9.5,26.396,-58.984,-0.491,4.9936,-68.056,-70.363,12.953,101.39,-53.159,-46.317
67,957.96,21.946,0,0,9.5,26.449,-58.897,0.63117,4.5823,-68.917,-72.395,12.987,101.4,-50.873,-46.299
68,980.26,21.947,0,0,9.5,27.122,-59.453,0.37059,4.538,-69.856,-71.908,13.518,101.47,-50.597,-46.652
69,1017.6,21.973,0,0,9.5,27.85,-59.822,0.80844,5.2734,-69.431,-72.238,11.379,100.87,-50.662,-48.803
70,1049,22.025,0,0,9.5,28.765,-59.955,-0.80995,5.1864,-68.745,-71.554,11.37,99.502,-50.784,-49.977
71,1064.5,22.1,0,0,8.4444,29.867,-60.521,-0.55423,4.1006,-68.351,-71.55,11.126,99.915,-50.064,-48.395
72,1094.3,22.198,0,0,7.3889,30.161,-61.234,-1.7776,3.5378,-67.431,-71.203,10.522,99.519,-51.783,-48.521
73,1105.4,22.316,0,0,6.3333,28.618,-60.188,-1.5041,4.0856,-66.873,-71.713,10.072,99.982,-52.363,-48.697
74,1134,22.453,0,0,5.2778,28.506,-58.939,-1.0573,5.1939,-67.212,-69.806,8.9589,100.3,-51.043,-48.498
75,1172.3,22.606,0,0,4.2222,29.509,-60.29,-0.67147,4.0017,-67.366,-69.089,8.3203,100.3,-51.606,-48.99
76,1215.4,22.774,0,0,3.1667,29.241,-58.723,-0.41094,3.9179,-67.747,-68.117,8.5537,99.101,-51.999,-47.559
77,1203.9,22.953,0,0,2.1111,29.499,-58.237,-1.1195,4.0054,-66.965,-68.259,9.9887,100.36,-53.767,-46.22
78,1246.4,23.141,0,0,1.0556,30.742,-57.89,-1.8555,4.0303,-67.135,-69.96,11.438,100.85,-54.793,-47.5
79,1271.7,23.336,0,0,0,29.055,-59.023,-2.9032,5.3578,-68.511,-70.442,11.349,101.59,-55.204,-47.509
80,1299.6,23.535,0,0,0,29.19,-59.355,-3.1387,8.1979,-68.148,-70.196,12.015,103.02,-54.46,-46.796
81,1313,23.735,0,0,0,28.21,-60.358,-3.0329,8.9678,-70.309,-70.75,11.776,102.47,-54.867,-46.441
82,1319.6,23.933,0,0,0,29.623,-60.595,-4.2963,8.3489,-72.775,-71.456,11.229,102.15,-55.387,-46.342
83,1375.6,24.126,0,0,0,30.499,-59.939,-5.013,8.1402,-72.471,-70.739,10.305,103.45,-56.083,-44.965
84,1399.3,24.313,0,0,0,30.079,-59.956,-4.8448,7.7085,-73.602,-73.171,9.4566,104.11,-55.889,-45.52
85,1404,24.49,0,0,0,32.18,-61.76,-5.3036,9.7652,-75.481,-74.507,9.9241,105.47,-56.114,-46.196
86,1448.6,24.655,0,0,0,30.283,-62.174,-5.3038,10.124,-76.727,-76.073,9.7817,105.98,-55.62,-45.521
87,1479.1,24.806,0,0,0,28.651,-61.247,-5.4572,9.9703,-75.847,-76.188,8.5044,105.92,-55.415,-45.671
88,1500.9,24.941,0,0,0,28.294,-61.357,-5.6693,11.537,-76.369,-77.396,8.0543,105.85,-56.595,-45.939
89,1509.3,25.057,0,0,0,28.708,-62.524,-5.7148,12.645,-76.899,-76.586,7.042,105.96,-54.668,-44.657
90,1551.8,25.153,0,0,0,27.767,-62.087,-5.8207,13.737,-77.625,-77.292,9.376,104.26,-55.143,-43.422
91,1581.9,25.228,0,0,0,26.699,-61.265,-8.9233,14.395,-79.007,-78.934,9.1781,104.42,-54.651,-42.596
92,1602.5,25.28,0,0,0,27.12,-59.852,-9.5536,15.269,-80.478,-79.914,8.3832,104.21,-54.399,-42.516
93,1633.7,25.309,0,0,0,28.183,-59.688,-10.364,16.547,-79.978,-80.916,7.4577,105.59,-54.234,-41.913
94,1657.2,25.314,0,0,0,28.358,-59.608,-11.45,17.677,-79.463,-81.253,6.7145,105.06,-55.21,-44.179
95,1665.5,25.294,0,0,0,30.119,-58.763,-12.474,16.493,-80.921,-84.081,8.0231,106.51,-55.243,-43.314
96,1701.2,25.249,0,0,0,30.165,-58.081,-12.769,15.737,-80.752,-85.912,8.6531,108.56,-54.935,-44.419
97,1720.4,25.18,0,0,0,30.062,-58.39,-12.343,14.727,-80.04,-87.45,7.7687,109.13,-55.745,-46.059
98,1745.6,25.088,0,0,0,29.338,-58.212,-13.932,15.105,-80.498,-87.173,9.2212,108.97,-53.785,-46.103
99,1781.8,24.972,0,0,0,28.962,-58.434,-13.627,15.616,-79.52,-87.562,8.9176,107.52,-52.266,-45.321
100,1811.9,24.834,0,0,0,28.47,-57.287,-15.727,14.816,-79.56,-87.432,10.032,106.96,-52.067,-47.233
101,1833,24.675,0,0,0,27.882,-58.069,-14.73,16.573,-78.33,-85.695,10.005,107.22,-52.233,-47.144
102,1849.5,24.497,0,0,0,27.538,-57.42,-14.461,15.126,-77.1,-85.521,9.3251,106.75,-50.943,-45.724
103,1874.5,24.301,0,0,0,26.044,-58.338,-13.462,14.807,-76.999,-86.353,8.2881,107.07,-50.36,-45.857
104,1901.5,24.091,0,0,0,26.313,-57.471,-13.112,14.589,-76.899,-85.49,7.89,106.53,-49.942,-46.62
105,1939.3,23.867,0,0,0,26.337,-57.105,-14.496,14.855,-75.616,-85.26,6.6919,107.08,-47.791,-45.705
106,1944.3,23.632,0,0,0,25.297,-57.776,-14.798,14.663,-76.746,-85.879,6.8248,107.1,-47.844,-45.259
107,1977.3,23.389,0,0,0,26.865,-57.536,-14.797,14.009,-76.07,-86.971,7.6544,106.55,-47.691,-46.133
108,2019,23.141,0,0,0,27.68,-57.3,-13.303,14.864,-77.497,-87.572,6.6507,107.17,-46.52,-46.721
109,2025,22.889,0,0,0,26.723,-55.786,-12.864,16.099,-76.634,-87.229,5.2816,106.88,-46.207,-45.981
110,2069,22.638,0,0,0,26.733,-54.761,-14.753,16.582,-74.707,-86.901,4.6727,104.26,-46.313,-45.464
111,2077.4,22.389,0,0,0,26.34,-55.637,-14.307,16.574,-74.909,-85.375,4.4583,105.78,-44.391,-44.248
112,2106.8,22.146,0,0,0,27.205,-56.485,-15.007,17.258,-75.751,-85.775,5.6929,106.19,-45.103,-44.711
113,2131.6,21.911,0,0,0,26.14,-56.21,-16.285,19.365,-75.684,-85.566,5.1809,106.04,-44.459,-44.997
114,2137.6,21.687,0,0,0,25.485,-55.888,-17.858,17.893,-76.493,-85.112,5.3671,106.18,-44.184,-44.176
115,2157,21.477,0,0,0,23.281,-53.598,-18.67,18.013,-76.771,-87.495,5.3092,108.21,-44.44,-44.751
116,2200.7,21.283,0,0,0,23.301,-54.088,-18.519,18.07,-76.041,-88.038,5.1631,106.47,-44.039,-45.074
117,2237.9,21.108,0,0,0,22.969,-53.374,-17.965,18.91,-75.634,-90.368,3.952,106.7,-43.438,-45.715
118,2259.2,20.953,0,0,0,22.302,-52.82,-18.272,20.567,-76.448,-90.115,3.3184,107.83,-41.955,-47.203
119,2283.9,20.822,0,0,0,22.061,-53.413,-17.456,19.495,-76.874,-90.294,3.8524,106.66,-41.97,-46.6
120,2277.8,20.715,0,0,0,22.055,-53.021,-18.041,19.403,-75.382,-90.602,3.4734,107.69,-42.141,-46.456
121,2337.8,20.634,0,0,0,21.636,-52.119,-18.516,19.365,-75.336,-90.745,5.0273,108.53,-41.79,-45.891
122,2343.2,20.58,0,0,0,22.306,-52.797,-17.464,19.163,-75.443,-89.496,4.3315,109.96,-42.903,-47.488
123,2403.2,20.556,0,0,0,21.438,-53.444,-17.986,17.999,-74.647,-88.061,3.6321,109.27,-43.648,-46.747
124,2417.3,20.56,0,0,0,23.471,-53.362,-17.788,17.937,-74.059,-88.339,3.4384,109.95,-43.358,-47.944
125,2426.4,20.595,0,0,0,24.391,-54.361,-18.44,16.775,-73.054,-87.711,4.9219,109.29,-44.441,-47.617
126,2485.5,20.659,0,0,0,25.571,-55.098,-17.883,14.834,-71.507,-87.563,4.5336,109.04,-44.167,-46.311
127,2497.9,20.754,0,0,0,25.082,-55.982,-19.109,15.325,-72.379,-87.44,3.4439,109.1,-43.615,-48.169
128,2523.4,20.877,0,0,0,24.771,-57.508,-17.916,15.862,-74.094,-87.639,3.7056,110,-42.622,-48.436
129,2539.8,21.03,0,0,0,25.764,-57.503,-18.272,16,-72.452,-87.49,4.0079,111.07,-42.199,-49.49
130,2553.5,21.21,0,0,0,25.285,-59.26,-18.2,16.36,-72.872,-86.614,4.3959,109.69,-41.426,-48.967
131,2600.7,21.417,0,0,0,24.984,-58.475,-17.728,16.393,-73.131,-87.82,5.0438,108.4,-41.002,-48.443
132,2618.1,21.648,0,0,0,24.487,-58.707,-17.697,17.84,-72.567,-87.855,5.9464,107.99,-42.299,-48.102
133,2642.8,21.903,0,0,0,23.786,-56.342,-18.831,18.157,-72.484,-89.044,6.8639,108.55,-42.83,-48.171
134,2652.9,22.178,0,0,0,25.358,-55.436,-19.574,17.86,-73.037,-89.291,7.0245,109.66,-44.076,-49.14
135,2687.5,22.473,0,0,0,24.723,-55.662,-20.243,17.869,-72.098,-89.497,5.4037,111.29,-44.445,-50.384
136,2718.3,22.783,0,0,0,23.211,-57.205,-19.727,18.139,-72.554,-89.533,5.6464,112.76,-43.562,-50.699
137,2711.7,23.108,0,0,0,24.511,-57.07,-18.941,17.911,-72.153,-90.298,6.2677,112.42,-42.864,-49.807
138,2755.7,23.443,0,0,0,23.435,-56.092,-19.725,15.657,-72.61,-90.079,7.1289,112.62,-41.573,-49.535
139,2790.9,23.787,0,0,0,22.677,-55.881,-20.646,15.77,-70.931,-90.402,6.2149,111.84,-40.842,-50.205
140,2827.5,24.135,0,0,0,24.377,-54.49,-21.273,15.905,-72.298,-92.047,6.1908,113.59,-40.629,-51.743
141,2855.2,24.486,0,0,0,24.434,-54.539,-21.072,14.557,-72.291,-92.296,6.683,112.82,-41.002,-51.353
142,2855.4,24.835,0,0,0,23.78,-53.266,-21.396,14.474,-73.187,-91.906,5.6679,111.08,-41.87,-53.137
143,2888.9,25.18,0,0,0,25.426,-54.221,-22.933,14.742,-73.346,-93.085,4.6953,110.48,-42.684,-54.111
144,2928,25.519,0,0,0,25.052,-52.592,-22.081,15.382,-71.506,-92.656,3.1875,110.26,-41.54,-56.498
145,2947,25.847,0,0,0,24.678,-51.859,-21.655,15.333,-72.193,-92.38,4.8847,109.57,-41.342,-57.489
146,2949.3,26.162,0,0,0,25.076,-49.176,-22.493,15.187,-72.555,-91.971,3.5647,109.08,-40.8,-58.192
147,2991.1,26.462,0,0,0,25.57,-48.671,-21.683,15.318,-71.355,-91.32,3.9632,108.32,-38.98,-57.078
148,3028.9,26.743,0,0,0,26.652,-48.418,-22.882,13.905,-72.001,-91.823,1.5861,108.45,-39.143,-57.162
149,3034.5,27.004,0,0,0,27.61,-48.259,-22.2,15.309,-72.153,-91.816,1.6448,108.13,-38.394,-56.306
150,3076.5,27.242,0,0,0,28.128,-47.948,-19.366,16.17,-71.861,-92.107,0.20832,108.98,-39.172,-55.117
151,3095,27.455,0,0,0,26.733,-48.528,-21.138,16.248,-72.864,-92.345,1.5425,107.26,-38.73,-54.02
152,3119.1,27.642,0,0,0,26.3,-49.046,-21.537,16.312,-73.289,-91.822,-0.093264,107.02,-39.616,-54.225
153,3140.1,27.8,0,0,0,25.945,-48.872,-21.829,15.442,-73.859,-91.888,-0.36794,108.96,-38.622,-52.94
154,3186.4,27.93,0,0,0,24.328,-50.424,-22.277,15.551,-73.267,-91.114,0.49922,108.57,-38.27,-52.597
155,3198.9,28.029,0,0,0,23.439,-50.095,-20.867,15.454,-73.154,-89.348,2.0814,108.73,-38.137,-53.203
156,3201.6,28.097,0,0,0,23.338,-49.346,-21.943,15.957,-71.971,-88.733,2.0883,108.28,-37.257,-53.935
157,3245.8,28.135,0,0,0,24.497,-50.869,-21.511,15.288,-72.52,-89.208,1.6969,109.44,-38.704,-51.949
158,3262.5,28.141,0,0,0,25.401,-49.64,-23.572,15.172,-71.408,-90.443,1.7692,109.9,-37.27,-51.652
159,3284.7,28.117,0,0,0,25.43,-50.994,-22.576,14.485,-71.336,-91.682,2.4227,109.07,-37.597,-53.079
160,3312.3,28.063,0,0,0,25.317,-50.238,-23.329,14.95,-70.312,-92.023,1.9708,109.92,-35.67,-52.335
161,3341.1,27.979,0,0,0,26.805,-51.516,-23.568,13.904,-69.251,-92.141,2.0387,110.28,-34.543,-50.678
162,3381,27.868,0,0,0,27.85,-52.585,-22.66,16.04,-68.043,-91.215,1.6869,112.5,-34.673,-48.162
163,3394.6,27.731,0,0,0,29.551,-51.22,-21.979,15.914,-69.04,-91.928,0.7714,112.81,-35.065,-48.943
164,3416.6,27.569,0,0,0,29.202,-51.29,-22.776,14.007,-69.504,-92.591,0.86118,114.5,-35.772,-48.722
