Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-18.789,25.589,1,0,9.5,-65.74,-23.051,28.635,-29.971,43.173,-44.518,15.329,-68.665,-14.804,-83.983
2,17.084,25.556,1,0,9.5,-66.535,-22.653,28.931,-29.055,43.477,-45.919,15.952,-68.755,-14.461,-83.937
3,10.496,25.49,1,0,9.5,-65.543,-23.487,27.401,-28.849,44.191,-45.628,15.634,-68.955,-15.252,-84.057
4,8.53,25.392,1,0,9.5,-65.706,-22.302,27.439,-29.58,42.99,-46.079,17.155,-69.66,-15.968,-84.234
5,9.5986,25.262,1,0,9.5,-65.619,-21.225,25.968,-30.043,41.742,-45.717,19.12,-71.053,-15.689,-84.772
6,14.757,25.101,1,0,9.5,-66.073,-21.496,27.424,-28.98,42.414,-44.264,21.502,-70.38,-16.252,-85.162
7,23.36,24.912,1,0,9.5,-64.771,-21.391,26.954,-29.466,41.367,-42.745,25.104,-70.008,-16.868,-87.1
8,-8.3143,24.695,1,0,9.5,-63.965,-21.509,27.027,-29.359,41.222,-42.535,25.676,-70.395,-17.217,-85.508
9,12.079,24.453,1,0,9.5,-65.02,-21.854,26.322,-28.293,40.232,-43.586,23.24,-70.108,-18.012,-85.077
10,3.884,24.188,1,0,9.5,-64.885,-21.376,26.581,-28.477,40.78,-43.347,24.937,-70.565,-18.887,-83.767
11,14.586,23.901,1,0,9.5,-66.396,-22.489,25.452,-29.007,42.251,-41.987,27.038,-71.058,-16.145,-83.974
12,0.28068,23.597,1,0,9.5,-67.16,-23.449,26.43,-29.559,41.686,-42.041,26.81,-69.319,-16.265,-82.83
13,6.4071,23.276,1,0,9.5,-68.644,-24.561,25.299,-30.755,40.824,-43.483,26.75,-69.25,-15.944,-82.254
14,-5.0199,22.942,1,0,9.5,-67.03,-26.25,24.403,-30.854,43.115,-42.037,27.238,-69.755,-16.52,-81.536
15,14.718,22.598,1,0,9.5,-64.016,-23.839,24.156,-31.29,44.149,-43.375,27.888,-69.599,-17.911,-81.983
16,13.511,22.247,1,0,9.5,-64.931,-23.018,23.683,-29.794,45.126,-44.7,28.124,-68.422,-19.029,-81.04
17,6.8398,21.891,1,0,9.5,-64.326,-21.525,23.646,-31.55,45.8,-43.971,26.487,-69.285,-17.588,-81.904
18,4.6781,21.535,1,0,9.5,-64.424,-20.524,24.037,-32.043,45.037,-43.888,28.29,-67.896,-18.755,-82.995
19,13.483,21.18,1,0,9.5,-64.72,-20.943,24.117,-30.578,44.317,-44.376,27.783,-67.511,-19.316,-82.877
20,3.8984,20.831,1,0,9.5,-63.993,-23.003,23.19,-28.198,46.045,-43.669,27.98,-68.691,-19.768,-83.777
21,7.4038,20.489,1,0,9.5,-62.667,-21.996,20.57,-27.11,45.583,-46.117,27.599,-68.595,-19.305,-84.137
22,12.196,20.158,1,0,9.5,-62.991,-22.042,20.334,-27.529,45.481,-45.875,24.757,-70.053,-18.919,-85.82
23,2.8896,19.842,1,0,9.5,-64.016,-20.536,20.649,-29.449,46.311,-44.878,25.25,-68.456,-20.17,-86.957
24,-3.3198,19.541,1,0,9.5,-64.256,-19.598,20.754,-28.406,47.202,-44.612,24.738,-68.201,-21.387,-88.197
25,4.0273,19.26,1,0,9.5,-62.741,-18.495,21.374,-30.162,48.952,-44.914,24.99,-68.521,-21.234,-88.494
26,4.7837,19,1,0,9.5,-62.12,-18.622,21.384,-31.378,49.668,-44.088,24.751,-67.253,-22.938,-87.919
27,1.8994,18.763,1,0,9.5,-62.159,-18.423,22.085,-28.675,49.217,-44.202,23.768,-66.652,-23.453,-87.651
28,1.7887,18.552,1,0,9.5,-61.573,-18.19,22.646,-29.718,49.27,-44.371,24.608,-66.733,-23.483,-89.55
29,-0.069194,18.369,1,0,9.5,-60.691,-17.6,23.205,-27.015,49.991,-43.306,23.453,-67.5,-22.782,-89.424
30,5.8137,18.214,1,0,9.5,-60.528,-15.81,22.932,-27.149,48.036,-43.068,23.332,-67.99,-22.113,-89.89
31,-3.5052,18.089,1,0,9.5,-60.955,-17.314,22.423,-27.001,47.079,-43.091,22.06,-67.275,-22.498,-89.988
32,14.681,17.995,1,0,9.5,-60.656,-17.77,21.371,-27.509,47.43,-42.716,24.34,-67.023,-21.938,-89.086
33,9.3788,17.932,1,0,9.5,-59.291,-17.093,22.24,-24.459,49.298,-42.973,23.258,-64.984,-22.013,-89.763
34,12.283,17.902,1,0,9.5,-59.237,-16.64,21.405,-24.152,47.578,-42.799,22.611,-64.223,-22.464,-89.606
35,24.992,17.904,1,0,9.5,-60.141,-16.277,20.8,-25.136,46.751,-42.849,23.856,-65.595,-21.658,-87.848
36,65.834,17.939,1,0,9.5,-61.338,-16.08,20.007,-23.4,48.891,-42.882,23.333,-65.695,-21.814,-88.79
37,68.486,18.004,1,0,9.5,-59.49,-16.368,22.284,-23.505,48.708,-41.467,22.158,-65.329,-20.991,-91.273
38,96.314,18.102,1,0,9.5,-59.237,-15.07,21.348,-23.712,48.865,-41.582,21.423,-64.046,-21.863,-93.102
39,113.33,18.229,1,0,9.5,-58.836,-15.665,22.338,-24.141,48.334,-40.886,22.24,-63.721,-22.383,-92.18
40,158.85,18.385,1,0,9.5,-58.409,-14.619,22.149,-24.417,48.278,-39.677,22.041,-61.606,-22.592,-91.66
41,174.32,18.568,0,0,9.5,-59.306,-14.916,23.164,-25.058,48.464,-41.966,22.097,-61.526,-21.26,-90.043
42,182.83,18.778,0,0,9.5,-58.457,-14.503,22.535,-25.926,47.847,-42.517,20.414,-61.28,-21.575,-91.118
43,206.41,19.011,0,0,9.5,-58.691,-14.386,21.454,-25.135,48.684,-41.937,20.632,-60.452,-21.735,-92.028
44,218.08,19.266,0,0,9.5,-58.712,-15.232,21.632,-24.752,50.483,-42.139,21.932,-59.6,-21.72,-92.213
45,235.78,19.541,0,0,9.5,-57.646,-14.319,21.366,-25.457,49.314,-42.304,21.777,-60.473,-20.912,-95.056
46,258.49,19.833,0,0,9.5,-56.863,-13.535,20.72,-23.476,48.141,-43.62,21.158,-59.629,-20.641,-95.829
47,287.08,20.14,0,0,9.5,-56.588,-14.886,22.09,-22.645,47.982,-43.927,21.686,-59.508,-21.236,-96.081
48,305.56,20.459,0,0,9.5,-56.92,-13.885,22.675,-22.872,47.497,-44.941,22.345,-62.548,-23.181,-96.524
49,324.93,20.788,0,0,9.5,-58.167,-14.615,25.265,-20.982,47.348,-43.836,22.562,-61.25,-24.639,-98.057
50,366.43,21.123,0,0,9.5,-58.515,-14.545,26.951,-20.793,48.116,-44.703,22.833,-61.914,-24.85,-98.408
51,369.46,21.462,0,0,9.5,-58.916,-15.067,26.406,-21.227,47.159,-44.639,23.549,-61.843,-25.21,-98.485
52,378.77,21.803,0,0,9.5,-57.51,-15.594,27.554,-20.887,47.327,-45.625,23.284,-60.326,-27.924,-97.712
53,413,22.141,0,0,9.5,-58.132,-13.812,27.512,-19.887,49.245,-44.74,22.555,-59.653,-27.472,-98.645
54,430.17,22.475,0,0,9.5,-58.87,-12.052,26.489,-18.83,52.048,-44.687,22.689,-61.473,-27.229,-96.907
55,455.46,22.803,0,0,9.5,-60.22,-11.32,25.877,-18.533,51.044,-45.404,22.204,-60.777,-28.143,-95.848
56,482.31,23.12,0,0,9.5,-60.478,-11.386,27.408,-19.134,51.386,-46.77,21.393,-60.941,-28.478,-95.8
57,501.22,23.426,0,0,9.5,-61.387,-10.317,28.526,-17.158,50.595,-45.045,24.057,-61.028,-28.25,-95.336
58,540.35,23.718,0,0,9.5,-61.025,-11.073,28.468,-17.581,51.883,-46.867,24.388,-62.195,-26.166,-95.261
59,547.79,23.993,0,0,9.5,-61.345,-9.885,27.216,-18.292,52.347,-46.258,24.239,-62.662,-26.534,-94.676
60,569.96,24.25,0,0,9.5,-61.706,-10.161,26.698,-17.809,53.1,-45.236,24.052,-61.927,-28.177,-95.068
61,581.09,24.487,0,0,9.5,-62.361,-8.9866,26.362,-18.834,53.285,-44.448,23.539,-62.585,-29.308,-95.254
62,601.11,24.702,0,0,9.5,-62.903,-9.7721,27.234,-19.059,54.685,-44.135,22.628,-62.956,-28.11,-93.2
63,621.49,24.895,0,0,9.5,-63.492,-8.9734,26.722,-18.275,56.367,-41.256,21.142,-64.45,-28.05,-93.874
64,639.86,25.063,0,0,9.5,-65.235,-10.599,28.403,-17.296,57.418,-43.037,22.235,-64.877,-27.587,-94.922
65,657.26,25.207,0,0,9.5,-64.496,-10.303,28.664,-17.092,56.457,-43.424,20.769,-66.067,-27.721,-94.08
66,692.27,25.326,0,0,9.5,-64.161,-10.225,28.581,-16.25,55.921,-44.53,21.68,-64.494,-28.897,-93.665
