Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,12.075,20.483,1,0,9.5,66.16,31.013,35.97,30.152,75.229,-63.361,16.982,49.639,28.75,-47.941
2,12.625,20.477,1,0,9.5,65.876,31.318,37.372,28.492,76.033,-62.228,15.239,48.898,30.982,-47.951
3,4.5993,20.467,1,0,9.5,66.007,30.446,36.611,26.893,74.964,-62.842,15.415,48.749,29.706,-47.017
4,-0.85982,20.451,1,0,9.5,65.817,31.285,37.347,27.599,76.242,-62.451,15.404,48.029,30.053,-47.318
5,4.3461,20.431,1,0,9.5,65.2,30.82,38.043,27.143,77.139,-62.672,13.646,48.022,30.126,-47.487
6,0.32055,20.407,1,0,9.5,65.87,30.61,38.873,27.694,75.874,-61.449,13.667,49.051,30.955,-47.799
7,12.08,20.38,1,0,9.5,65.948,30.933,37.601,27.023,74.419,-60.689,13.803,48.38,31.451,-47.051
8,2.8781,20.35,1,0,9.5,64.685,33.269,39.559,26.546,74.672,-60.301,14.635,48.616,31.376,-45.993
9,-0.30189,20.32,1,0,9.5,64.033,31.469,39.805,26.535,72.859,-59.074,13.425,51.123,31.64,-46.991
10,14.788,20.289,1,0,9.5,63.829,32.36,40.429,25.598,70.801,-59.365,13.091,52.126,30.743,-47.138
11,12.625,20.259,1,0,9.5,63.958,33.678,38.785,25.607,70.906,-58.849,13.733,52.479,30.714,-46.966
12,1.763,20.231,1,0,9.5,63.935,33.179,37.833,27.192,71.426,-57.827,15.002,54.824,31.301,-48.062
13,-6.4374,20.206,1,0,9.5,62.948,34.515,36.794,27.376,71.737,-58.578,14.745,54.222,33.361,-46.897
14,18.112,20.186,1,0,9.5,65.974,33.945,35.497,28.409,71.626,-60.3,13.988,53.42,33.264,-46.457
15,1.9361,20.172,1,0,9.5,65.725,34.532,34.561,28.92,73.455,-61.002,12.956,55.132,33.095,-46.538
