Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-5.9524,24.583,1,0,9.5,-31.22,94.857,40.875,6.2578,-85.254,-27.014,61.471,-10.362,-66.379,40.318
2,-5.8468,24.564,1,0,9.5,-31.078,94.576,40.967,6.2395,-85.036,-28.066,63.434,-9.788,-65.613,41.875
3,-2.2481,24.527,1,0,9.5,-30.438,93.981,40.593,6.5697,-84.379,-28.867,64.13,-10.359,-65.495,40.512
4,-2.8832,24.472,1,0,9.5,-32.102,93.396,41.723,5.3993,-83.961,-29.697,64.137,-10.904,-66.15,38.887
5,-4.9217,24.4,1,0,9.5,-32.722,94.232,43.474,7.0582,-84.908,-28.917,63.767,-11.165,-66.018,38.895
6,-6.483,24.31,1,0,9.5,-32.744,94.567,44.005,7.0167,-84.678,-31.54,65.123,-9.8559,-64.111,36.789
7,7.4832,24.205,1,0,9.5,-32.565,94.696,44,7.6599,-84.75,-29.703,64.864,-9.0836,-63.802,37.115
8,1.6581,24.084,1,0,9.5,-32.929,95.23,43.627,8.9132,-85.015,-31.108,64.79,-8.4,-64.534,37.007
9,19.207,23.95,1,0,9.5,-33.059,94.942,41.723,9.6753,-84.946,-32.597,66.17,-10.511,-64.079,35.952
10,9.9048,23.802,1,0,9.5,-33.89,96.285,41.961,9.3488,-85.931,-32.1,67.224,-11.822,-63.303,36.384
11,2.9681,23.644,1,0,9.5,-32.885,96.985,40.064,9.3406,-84.67,-31.915,66.032,-9.8708,-62.376,34.642
12,9.1833,23.476,1,0,9.5,-31.995,97.092,40.563,9.2822,-84.311,-32.755,66.772,-10.386,-62.496,35.604
13,5.0362,23.3,1,0,9.5,-32.327,97.877,40.261,10.754,-85.393,-34.276,66.363,-9.8349,-64.38,35.657
14,-15.177,23.117,1,0,9.5,-33.398,97.798,40.967,10.959,-84.733,-34.271,66.782,-10.211,-64.316,35.27
15,7.2574,22.929,1,0,9.5,-33.123,95.629,39.388,9.4824,-84.369,-34.198,67.009,-9.5361,-64.357,36.577
16,1.095,22.739,1,0,9.5,-34.324,94.484,37.91,9.1057,-84.352,-33.796,68.394,-9.6716,-64.081,35.224
17,-9.5701,22.547,1,0,9.5,-35.581,94.784,38.53,10.207,-83.658,-33.156,67.279,-9.1582,-65.295,35.758
18,-7.3864,22.356,1,0,9.5,-34.216,93.943,38.912,10.394,-83.675,-32.712,67.31,-9.1161,-65.359,35.737
19,4.1351,22.167,1,0,9.5,-33.349,94.173,39.835,10.743,-83.587,-32.572,66.156,-10.217,-65.01,35.174
20,-2.5295,21.983,1,0,9.5,-36.435,94.167,38.279,9.1853,-84.002,-31.237,66.819,-12.258,-66.988,34.961
21,11.216,21.804,1,0,9.5,-35.891,94.433,39.313,9.4085,-82.602,-31.676,66.306,-13.523,-66.235,34.173
22,-1.669,21.633,1,0,9.5,-36.056,93.91,40.077,10.31,-83.129,-33.589,67.156,-13.843,-66.214,34.167
23,19.947,21.471,1,0,9.5,-36.336,93.828,41.006,10.409,-82.293,-32.048,66.323,-13.274,-66.791,35.671
24,12.359,21.32,1,0,9.5,-36.131,96.335,42.673,12.21,-81.284,-31.726,64.373,-12.562,-65.788,35.296
25,14.106,21.181,1,0,9.5,-36.909,95.755,42.793,13.168,-81.874,-31.358,65.672,-12.404,-66.76,35.41
26,2.4321,21.056,1,0,9.5,-38.452,95.985,41.69,12.9,-80.826,-29.526,65.778,-13.015,-66.838,35.817
27,17.965,20.945,1,0,9.5,-38.363,96.23,42.7,13.673,-81.251,-29.127,64.818,-13.282,-67.156,36.501
28,1.7815,20.85,1,0,9.5,-38.395,93.422,42.047,13.971,-82.314,-28.52,63.823,-13.617,-66.265,34.696
29,4.8105,20.772,1,0,9.5,-39.065,91.973,41.992,15.301,-81.987,-26.986,64.657,-11.892,-67.246,35.089
30,-6.0139,20.711,1,0,9.5,-38.033,90.215,43.186,15.116,-82.471,-27.356,64.851,-11.786,-67.256,35.672
31,17.231,20.669,1,0,9.5,-37.006,89.005,41.81,14.552,-82.003,-26.395,64.869,-12.103,-67.913,33.806
32,8.3774,20.644,1,0,9.5,-36.382,88.937,40.281,14.671,-81.882,-26.704,66.003,-12.497,-69.188,34.122
33,7.8857,20.639,1,0,9.5,-38.168,88.643,40.06,13.052,-81.608,-26.993,67.251,-13.971,-69.189,33.377
34,10.632,20.652,1,0,9.5,-37.426,88.398,41.798,14.627,-81.176,-26.472,69.071,-13.86,-68.49,32.602
35,45.729,20.685,1,0,9.5,-36.392,89.226,41.767,14.62,-82.522,-25.843,69.462,-14.677,-70.35,31.162
36,33.261,20.735,1,0,9.5,-37.204,88.771,41.77,13.184,-83.258,-25.448,69.63,-15.1,-69.589,31.507
37,52.919,20.804,1,0,9.5,-36.195,89.005,41.257,13.854,-85.32,-24.555,70.641,-15.715,-69.571,31.881
38,81.156,20.89,1,0,9.5,-37.365,88.185,41.29,15.764,-87.104,-25.648,69.869,-16.271,-69.57,30.53
39,100.88,20.994,1,0,9.5,-37.05,86.997,41.039,15.985,-88.245,-24.652,70.094,-16.692,-69.279,30.079
40,108.85,21.113,1,0,9.5,-35.539,87.435,40.546,16.619,-88.522,-24.977,71.529,-17.485,-70.106,31.291
41,143.03,21.247,0,0,9.5,-35.633,87.944,40.444,16.428,-87.573,-25.479,73.2,-17.243,-67.822,29.09
42,156.94,21.395,0,0,9.5,-35.266,86.675,39.851,16.367,-87.509,-24.237,74.018,-17.095,-68.288,28.188
43,193.04,21.555,0,0,9.5,-35.329,87.688,39.935,15.619,-87.162,-25.888,73.014,-14.893,-70.471,28.193
44,205.83,21.726,0,0,9.5,-36.014,86.217,37.978,14.92,-87.653,-25.997,73.15,-13.354,-70.456,28.15
45,236.54,21.907,0,0,9.5,-35.8,87.515,36.935,13.539,-87.672,-28.168,73.492,-13.046,-72.483,27.17
46,271.89,22.097,0,0,9.5,-35.462,87.663,36.645,14.2,-87.093,-27.885,73.798,-10.971,-72.344,27.913
47,264.85,22.292,0,0,9.5,-35.447,87.111,33.955,14.161,-87.737,-27.803,73.111,-10.971,-73.791,27.457
48,300.3,22.493,0,0,9.5,-35.365,85.752,34.005,15.057,-88.663,-26.304,74.483,-10.314,-74.317,29.756
49,310.61,22.696,0,0,9.5,-36.181,87.84,33.837,14.591,-89.519,-25.729,73.552,-11.492,-71.992,29.977
50,348.49,22.901,0,0,9.5,-33.704,86.921,33.576,12.736,-88.893,-24.762,72.942,-11.603,-71.803,28.36
51,353.45,23.106,0,0,9.5,-34.424,87.611,33.9,12.643,-89.799,-24.698,70.739,-10.845,-71.281,28.71
52,381.67,23.308,0,0,9.5,-35.22,87.342,35.969,13.361,-89.06,-25.001,70.711,-11.331,-69.962,29.027
53,380.85,23.507,0,0,9.5,-36.663,88.555,35.721,13.919,-89.056,-23.642,71.465,-10.303,-70.558,31.201
54,407.29,23.7,0,0,9.5,-35.94,88.37,35.752,13.224,-89.147,-23.379,69.479,-10.761,-70.756,29.785
55,440.96,23.886,0,0,9.5,-36.969,89.625,37.077,13.505,-90.51,-22.477,68.205,-10.53,-72.174,30.247
56,445.31,24.063,0,0,9.5,-35.478,89.578,38.994,13.829,-90.333,-22.56,70.138,-10.448,-70.299,31.297
57,477.26,24.23,0,0,9.5,-35.297,89.708,38.327,14.621,-90.498,-22.883,70.937,-8.1943,-70.483,31.503
58,509.38,24.386,0,0,9.5,-35.809,89.729,37.706,13.894,-89.775,-24.097,72.847,-7.7461,-71.878,30.506
59,523.37,24.53,0,0,9.5,-36.437,88.027,37.731,13.895,-89.897,-23.594,74.018,-7.4522,-73.512,30.737
60,541.82,24.659,0,0,9.5,-35.169,88.96,38.743,13.682,-91.717,-24.376,73.629,-6.8922,-73.101,31.7
61,561.43,24.774,0,0,9.5,-35.155,89.578,37.956,14.563,-93.215,-23.986,75.087,-7.1983,-73.428,32.587
62,579.52,24.873,0,0,9.5,-37.417,90.222,38.65,13.589,-92.715,-22.482,74.973,-6.9844,-72.671,32.88
63,597.22,24.955,0,0,9.5,-36.989,90.914,37.151,11.569,-91.672,-22.045,73.806,-7.0964,-72.238,33.837
