Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,0.39293,25.158,1,0,9.5,43.044,30.372,18.935,-48.154,-94.403,-58.875,13.253,26.957,13.646,-2.2833
2,7.1341,25.122,1,0,9.5,41.468,29.718,18.684,-47.056,-95.954,-58.372,12.873,26.615,12.638,-2.527
3,-1.2006,25.05,1,0,9.5,42.471,29.991,19.945,-47.678,-95.905,-58.088,13.925,25.784,12.437,-2.1463
4,3.8206,24.943,1,0,9.5,44.195,29.914,19.637,-47.025,-93.956,-58.271,12.918,27.473,12.075,-3.0447
5,-11.546,24.802,1,0,9.5,46.137,30.373,20.06,-45.646,-93.425,-60.093,11.86,26.94,12.507,-3.3034
6,-0.53339,24.628,1,0,9.5,45.231,30.671,21.557,-45.659,-92.096,-60.474,11.226,26.817,11.223,-2.4198
7,-11.803,24.423,1,0,9.5,44.176,28.892,20.318,-45.643,-92.878,-60.459,10.552,24.991,10.849,-1.91
8,5.2422,24.19,1,0,9.5,42.027,29.738,21.32,-45.992,-91.836,-59.602,10.584,26.503,8.5856,-0.64994
9,18.817,23.93,1,0,9.5,43.009,27.904,19.829,-45.394,-91.628,-58.236,13.704,26.565,8.2046,-0.3605
10,6.4731,23.646,1,0,9.5,43.48,29.048,18.674,-45.501,-90.978,-58.389,12.846,26.637,7.0824,0.27494
11,16.759,23.341,1,0,9.5,41.797,29.15,17.329,-45.263,-89.524,-58.84,12.706,26.887,6.5653,0.8394
12,-13.075,23.018,1,0,9.5,44.093,28.712,18.631,-46.462,-88.591,-58.409,12.689,27.091,6.6099,0.31641
13,21.56,22.681,1,0,9.5,44.359,28.54,17.673,-47.07,-89.878,-59.573,13.212,27.023,7.5847,-1.3708
14,12.241,22.332,1,0,9.5,43.933,30.419,17.909,-45.367,-88.468,-58.866,11.931,27.047,7.2846,-0.477
15,6.7055,21.975,1,0,9.5,43.527,30.39,20.025,-44.682,-89.479,-58.312,12.207,25.624,7.4051,-1.4282
16,11.968,21.613,1,0,9.5,43.239,29.848,19.087,-44.418,-86.098,-59.124,11.228,27.007,6.934,-1.8123
17,4.8536,21.251,1,0,9.5,42.429,28.927,18.743,-44.053,-85.115,-59.256,12.376,27.456,6.0673,-3.4537
18,11.617,20.891,1,0,9.5,43.108,31.24,19.635,-44.415,-86.3,-59.391,11.703,28.193,8.3505,-2.615
19,5.5183,20.538,1,0,9.5,43.665,30.406,20.756,-45.497,-87.712,-59.295,13.521,28.219,7.8777,-2.9554
20,4.3013,20.194,1,0,9.5,46.152,31.183,18.731,-46.378,-86.776,-58.75,11.381,29.286,7.1781,-3.7876
21,-6.1404,19.862,1,0,9.5,47.398,30.698,18.329,-46.15,-87.15,-57.04,10.784,30.776,6.5127,-5.9234
22,29.029,19.547,1,0,9.5,47.097,29.562,18.189,-47.141,-86.756,-57.352,9.3249,31.747,7.9734,-7.6561
23,22.424,19.251,1,0,9.5,47.419,29.918,17.182,-46.7,-86.385,-56.37,10.121,31.793,9.4179,-7.7612
24,22.096,18.976,1,0,9.5,49.553,28.099,18.833,-45.292,-86.407,-56.731,10.103,32.545,9.6682,-8.4253
25,-8.369,18.726,1,0,9.5,49.364,27.38,19.76,-43.327,-87.522,-55.932,8.6023,31.274,8.3391,-9.412
26,-16.256,18.502,1,0,9.5,49.704,27.682,19.516,-44.486,-86.224,-55.678,8.4025,31.376,8.1732,-10.828
27,3.6,18.306,1,0,9.5,49.201,27.855,17.759,-44.401,-87.273,-56.615,9.4082,30.859,7.5034,-12.457
28,22.518,18.141,1,0,9.5,48.388,27.633,17.68,-43.889,-87.745,-56.141,7.0333,31.394,7.6738,-11.722
29,27.49,18.006,1,0,9.5,48.824,27.623,18.394,-44.453,-88.776,-57.257,8.1272,29.099,7.445,-11.467
30,73.266,17.904,1,0,9.5,49.637,26.091,18.243,-43.039,-89.492,-57.614,7.8315,29.133,6.6574,-12.464
31,71.967,17.834,1,0,9.5,50.6,26.683,18.855,-42.562,-89.49,-58.277,6.3639,28.503,7.236,-12.478
32,111.02,17.798,1,0,9.5,49.098,27.984,19.438,-42.323,-89,-58.8,6.2184,28.601,7.4016,-11.513
33,141.77,17.795,0,0,9.5,47.722,27.202,19.181,-42.986,-88.039,-59.761,7.1336,29.19,8.8582,-12.92
34,158.61,17.824,0,0,9.5,47.333,27.916,18.706,-44.112,-87.12,-60.718,9.8994,29.059,10.798,-12.381
35,184.42,17.885,0,0,9.5,50.226,28.411,17.42,-42.669,-85.568,-59.48,10.029,30.213,9.2918,-12.908
36,209.93,17.977,0,0,9.5,49.86,28.053,16.921,-42.664,-84.561,-59.549,10.231,29.908,8.9605,-13.03
37,220.66,18.099,0,0,9.5,47.902,29.758,17.04,-43.519,-84.257,-60.195,11.49,29.7,12.126,-13.929
38,243.87,18.247,0,0,9.5,47.01,29.215,17.702,-42.652,-86.293,-59.1,10.941,28.698,13.763,-14.969
39,275.26,18.421,0,0,9.5,46.532,29.315,19.233,-42.893,-85.789,-58.554,9.8675,28.926,13.729,-13.73
