Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-0.089765,20.219,1,0,9.5,56.781,-20.884,25.346,-47.403,-3.6038,-0.2012,-44.701,0.29973,12.712,11.581
2,11.947,20.228,1,0,9.5,56.655,-20.802,24.785,-49.6,-2.2831,-0.87337,-46.617,0.46988,13.045,11.724
3,-16.475,20.247,1,0,9.5,56.912,-22.212,24.334,-51.573,-2.6497,-1.413,-45.356,1.5611,12.653,12.426
4,1.425,20.276,1,0,9.5,55.842,-22.913,23.256,-52.269,-2.5648,-0.9284,-44.785,1.716,12.007,14.55
5,-9.4586,20.313,1,0,9.5,54.714,-21.843,22.317,-51.823,-2.576,-1.2832,-45.686,0.75835,10.449,13.744
6,4.1799,20.359,1,0,9.5,55.079,-22.685,23.148,-50.017,-2.1764,-1.8904,-43.241,1.0693,10.416,12.904
7,-9.0552,20.415,1,0,9.5,55.158,-23.358,23.339,-51.997,-3.4068,-1.8972,-42.19,1.7465,10.894,10.864
8,16.61,20.478,1,0,9.5,56.536,-23.67,25.547,-50.974,-2.3986,-1.7895,-44.475,1.5133,10.623,9.6543
9,-1.5237,20.549,1,0,9.5,57.356,-23.115,25.986,-51.01,-2.7493,-1.333,-42.759,1.1277,10.418,9.4954
10,5.8524,20.628,1,0,9.5,58.661,-23.54,25.784,-50.207,-3.0863,-0.83946,-42.631,2.729,11.244,9.3843
11,6.7188,20.714,1,0,9.5,59.5,-23.862,26.553,-51.114,-2.6348,-0.065095,-42.227,1.9647,11.408,7.268
12,9.1864,20.806,1,0,9.5,59.239,-24.137,27.07,-52.933,-1.8219,-0.75,-44.09,1.6415,13.748,8.0657
13,12.214,20.904,1,0,9.5,59.85,-26.353,28.286,-52.231,-1.8329,-1.3944,-44.274,1.0837,13.484,9.8244
14,22.65,21.007,1,0,9.5,60.375,-26.446,26.815,-54.306,-3.0713,-1.1127,-45.207,-0.53233,13.881,10.469
15,5.623,21.115,1,0,9.5,59.76,-25.553,27.53,-54.454,-2.1467,-2.0268,-45.902,0.37674,13.753,9.7721
16,-1.8734,21.227,1,0,9.5,61.285,-25.227,26.292,-53.002,-1.1409,-2.8132,-45.996,-0.59528,14.243,8.4183
17,0.41819,21.343,1,0,9.5,61.685,-25.061,27.497,-52.332,-1.2296,-2.8965,-45.907,-0.76094,16.054,7.5706
18,-8.441,21.461,1,0,9.5,59.78,-25.237,27.851,-53.158,-2.6639,-2.824,-45.403,-0.3725,17.899,7.6542
19,26.32,21.581,1,0,9.5,58.979,-25.863,28.694,-51.733,-3.4683,-3.2578,-45.219,-2.1323,16.757,6.7674
20,-15.079,21.703,1,0,9.5,58.791,-25.94,29.136,-51.887,-3.801,-2.4821,-44.981,-1.6597,15.932,6.0468
21,11.553,21.825,1,0,9.5,58.18,-26.451,29.487,-52.007,-4.3616,-3.5704,-43.51,-1.498,15.689,4.6061
22,6.5265,21.947,1,0,9.5,58.427,-26.053,27.855,-54.432,-6.1071,-4.3526,-43.606,0.81553,14.847,3.7705
23,20.083,22.068,1,0,9.5,58.282,-24.557,26.489,-54.565,-5.9327,-4.4225,-44.53,-0.061763,16.552,4.8461
24,-10.062,22.188,1,0,9.5,57.474,-25.197,26.875,-55.019,-5.9258,-5.3003,-41.515,0.49009,17.619,5.1666
25,15.165,22.306,1,0,9.5,56.343,-25.352,28.634,-55.186,-5.5133,-3.1863,-40.085,-0.42418,17.595,5.2782
26,2.1506,22.422,1,0,9.5,55.968,-27.523,30.075,-54.222,-6.3324,-2.6297,-42.259,-1.0781,17.89,4.3452
27,4.5632,22.534,1,0,9.5,56.559,-27.714,30.213,-54.189,-7.0304,-2.9799,-41.26,-0.20294,17.98,3.4576
28,6.6492,22.642,1,0,9.5,57.614,-27.181,29.066,-52.802,-7.3892,-3.9397,-42.946,-0.39578,19.551,3.6504
29,3.4822,22.746,1,0,9.5,57.334,-26.877,28.06,-53.222,-7.2155,-2.5504,-43.743,-1.2613,18.927,1.6339
30,-3.2509,22.845,1,0,9.5,56.563,-24.728,27.091,-53.823,-7.6703,-4.4888,-43.017,-0.15165,20.148,1.2687
31,34.021,22.939,1,0,9.5,56.565,-23.16,26.803,-54.271,-7.3078,-4.1473,-41.573,-1.1911,19.196,0.47069
32,46.84,23.028,1,0,9.5,56.133,-23.887,26.006,-53.784,-7.9264,-4.85,-41.168,-2.0013,19.146,1.138
33,80.26,23.11,1,0,9.5,55.959,-25.599,25.3,-54.048,-9.4898,-5.0474,-42.694,-3.3691,18.581,0.28013
34,103.6,23.186,1,0,9.5,57.857,-25.731,25.401,-55.74,-9.5002,-6.0628,-42.412,-3.8288,17.612,1.1958
35,126.4,23.254,1,0,9.5,58.347,-25.72,24.577,-55.305,-9.4411,-5.3137,-41.232,-3.2757,18.204,1.6149
36,148.18,23.316,0,0,9.5,57.686,-25.004,25.236,-55.989,-8.9097,-5.7385,-38.68,-4.3206,19.389,0.46131
37,186.29,23.371,0,0,9.5,57.378,-25.002,24.745,-56.98,-9.8012,-4.7603,-38.851,-4.8935,21.461,3.124
38,198.47,23.418,0,0,9.5,58.97,-24.316,23.879,-56.619,-9.1628,-4.6585,-38.634,-4.9971,20.748,1.7868
39,235.56,23.457,0,0,9.5,57.677,-24.175,24.008,-57.486,-9.8304,-4.5344,-39.179,-3.4031,20.282,1.1384
40,255.46,23.488,0,0,9.5,58.296,-24.11,25.709,-57.886,-9.6436,-5.2589,-40.201,-3.7354,20.969,2.9692
41,277.83,23.512,0,0,9.5,58.29,-24.646,26.91,-58.137,-9.3816,-6.7764,-39.525,-3.6567,21.176,3.9211
42,287.63,23.527,0,0,9.5,58.186,-26.02,27.541,-58.381,-8.8737,-6.4666,-39.468,-3.3045,19.489,6.0734
43,333.1,23.535,0,0,9.5,57.68,-26.553,26.827,-59.174,-7.8811,-6.4517,-42.418,-0.80837,20.114,7.5452
44,356.09,23.534,0,0,9.5,57.952,-25.665,23.231,-57.896,-7.9936,-5.6567,-43.669,-1.2832,20.798,6.5346
45,387.01,23.525,0,0,9.5,58.06,-26.606,23.301,-59.665,-8.7563,-7.0619,-42.201,-2.1235,19.872,4.6462
46,400.11,23.508,0,0,9.5,58.051,-25.3,23.996,-59.712,-8.3773,-9.3489,-41.383,-1.4451,20.118,5.3656
47,421.07,23.484,0,0,9.5,57.656,-25.681,22.962,-60.188,-6.521,-10.087,-40.249,-3.0505,19.186,6.8295
48,448.55,23.451,0,0,9.5,56.268,-25.874,23.545,-59.961,-5.1686,-11.514,-39.091,-3.0918,19.087,8.5671
49,455.12,23.411,0,0,9.5,56.728,-25.028,23.626,-60.365,-4.1741,-10.852,-37.949,-1.9153,19.054,9.1262
50,489.89,23.363,0,0,9.5,57.387,-24.438,23.713,-60.213,-3.7367,-10.127,-38.667,-1.2281,20.03,8.0927
51,516.28,23.308,0,0,9.5,57.919,-23.104,24.96,-58.408,-4.2114,-10.727,-38.93,0.84462,21.251,7.6131
52,525.71,23.246,0,0,9.5,56.451,-21.7,26.208,-57.829,-4.0898,-9.6445,-41.388,-0.36711,19.788,7.5324
53,571.16,23.176,0,0,9.5,54.77,-21.654,26.92,-57.604,-3.4095,-10.761,-42.814,-0.81335,19.889,8.2794
54,580.01,23.099,0,0,9.5,55.865,-22.673,25.721,-56.834,-5.5174,-10.128,-41.609,-1.5085,19.977,7.7583
55,607.89,23.016,0,0,9.5,56.587,-23.308,26.236,-56.68,-6.0331,-8.7039,-40.806,-3.8064,19.415,8.0012
56,634.98,22.926,0,0,9.5,57.625,-22.834,24.676,-54.607,-5.9101,-10.79,-39.831,-3.6032,19.037,7.8457
57,656.7,22.83,0,0,9.5,58.602,-22.963,24.012,-53.76,-5.1505,-11.663,-41.272,-2.6183,20.003,8.0603
58,673.42,22.728,0,0,9.5,59.37,-24.949,24.848,-53.346,-3.6248,-10.811,-41.203,-2.5726,18.495,6.6248
59,708.26,22.62,0,0,9.5,59.607,-25.948,22.99,-54.355,-4.4215,-11.169,-41.947,-2.3483,19.289,6.2029
60,734.92,22.507,0,0,9.5,59.328,-26.143,23.26,-55.317,-5.124,-10.496,-41.602,-1.6938,19.731,5.5879
61,734.28,22.388,0,0,9.5,59.9,-26.321,22.43,-56.092,-4.9781,-9.266,-41.476,-2.4542,18.658,5.5698
62,780.34,22.264,0,0,9.5,60.369,-25.723,24.111,-55.367,-4.9881,-9.505,-42.434,-2.0626,18.59,4.8613
63,801.98,22.136,0,0,9.5,61.985,-25.178,23.581,-54.571,-4.2701,-7.8447,-42.335,-2.2141,18.641,6.6539
64,825.67,22.003,0,0,9.5,62.995,-24.825,26.42,-52.992,-5.2707,-8.7375,-41.951,-2.4113,18.356,6.119
65,841.86,21.866,0,0,9.5,64.421,-23.414,27.22,-54.806,-5.8145,-8.4086,-43.022,-2.3518,20.355,5.8371
66,870.27,21.726,0,0,9.5,63.795,-22.791,28.809,-55.631,-6.3235,-7.2957,-41.505,-2.6186,21.167,5.0237
67,908.55,21.582,0,0,9.5,63.333,-23.585,28.739,-56.281,-7.2273,-8.478,-40.663,-1.8471,20.662,3.9757
68,912.71,21.435,0,0,9.5,63.908,-22.828,29.198,-55.446,-9.3527,-8.8584,-41.594,-3.2162,22.502,3.94
69,949.55,21.285,0,0,9.5,65.093,-22.926,29.465,-55.459,-9.726,-7.8367,-41.101,-3.3508,21.633,4.3619
70,978.7,21.134,0,0,9.5,66.243,-24.232,29.423,-55.523,-10.429,-9.3791,-41.057,-1.3827,23.145,3.1634
71,984.78,20.98,0,0,9.5,65.799,-24.04,27.072,-57.822,-9.9367,-11.294,-42.678,-2.847,22.293,2.9724
72,1007.1,20.826,0,0,9.5,63.765,-24.832,26.517,-59.645,-10.473,-12.342,-43.447,-3.1452,23.304,3.2795
73,1056.7,20.67,0,0,9.5,63.394,-24.25,26.138,-60.053,-12.353,-12.81,-43.334,-1.8783,24.093,3.3561
74,1075.6,20.514,0,0,8.4444,63.33,-21.209,26.36,-59.368,-12.428,-11.397,-41.985,-1.6933,23.497,3.0439
75,1099.4,20.358,0,0,7.3889,64.318,-21.638,23.948,-58.317,-14.193,-10.185,-41.312,-0.93678,22.74,2.2508
76,1124,20.203,0,0,6.3333,64.746,-20.92,26.256,-57.676,-15.2,-11.592,-41.019,-1.1807,23.987,1.7913
77,1129.1,20.049,0,0,5.2778,63.461,-21.057,25.012,-58.283,-14.638,-10.065,-40.575,0.18729,23.996,2.4927
78,1158.8,19.897,0,0,4.2222,64.525,-21.679,25.433,-57.135,-13.789,-11.43,-41.486,1.4567,24.635,4.475
79,1180.2,19.747,0,0,3.1667,64.992,-22.359,24.634,-58.45,-14.1,-11.076,-42.141,0.56636,23.068,3.7411
80,1215.4,19.6,0,0,2.1111,64.319,-22.401,26.242,-58.933,-15.242,-12.397,-41.882,-0.65197,21.947,4.8028
81,1250,19.457,0,0,1.0556,63.78,-21.707,26.745,-56.97,-14.737,-11.453,-39.691,-2.0149,23.983,3.3518
82,1255.4,19.318,0,0,0,62.876,-21.209,27.52,-55.485,-15.053,-12.057,-40.937,-1.523,25.875,2.7435
83,1268.8,19.183,0,0,0,63.517,-20.433,28.451,-55.207,-14.787,-12.386,-42.485,-2.9318,26.872,4.4085
84,1324.6,19.054,0,0,0,63.715,-20.376,28.832,-55.928,-15.424,-12.136,-42.563,-2.9374,25.871,3.9734
85,1335,18.931,0,0,0,65.515,-20.893,28.311,-56.669,-16.674,-11.737,-42.204,-2.5258,25.619,5.7929
