Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,8.5586,14.917,1,0,9.5,30.412,-42.032,21.379,64.543,-7.6795,-84.535,20.899,-108.25,28.491,-51.398
2,-13.124,14.939,1,0,9.5,30.897,-42.33,20.82,64.081,-9.2387,-85.33,20.285,-109.49,29.32,-52.049
3,2.1907,14.982,1,0,9.5,30.941,-43.443,19.709,65.548,-7.8761,-84.973,19.348,-110.99,26.837,-53.027
4,-24.681,15.047,1,0,9.5,32.475,-42.76,19.079,64.751,-9.1243,-85.371,16.31,-110.38,26.732,-53.882
5,13.659,15.133,1,0,9.5,33.287,-42.416,21.131,64.918,-10.745,-84.631,15.687,-109.28,28.029,-55.174
6,18.955,15.239,1,0,9.5,33.64,-42.543,20.507,64.371,-12.164,-83.54,17.097,-109.75,28.678,-55.373
7,19.117,15.364,1,0,9.5,34.644,-41.722,22.006,65.328,-12.186,-83.889,16.981,-109.5,28.487,-55.299
8,16.952,15.506,1,0,9.5,34.27,-42.999,22.846,66.704,-12.948,-82.349,16.271,-109.45,29.214,-54.312
9,1.5772,15.666,1,0,9.5,34.063,-43.359,24.923,67.073,-13.876,-82.608,15.664,-108.37,30.876,-54.291
10,9.6954,15.84,1,0,9.5,34.105,-43.805,23.736,66.813,-12.887,-82.589,14.746,-109.09,28.923,-55.119
11,14.558,16.028,1,0,9.5,33.405,-43.338,24.966,66.575,-13.401,-82.945,15.426,-109.02,27.709,-56.724
12,7.1566,16.229,1,0,9.5,32.905,-42.196,24.739,67.376,-12.264,-82.58,13.181,-108.06,27.857,-57.083
13,0.4074,16.439,1,0,9.5,34.413,-40.561,24.83,67.809,-14.84,-82.43,13.428,-107.42,25.471,-56.312
14,11.705,16.658,1,0,9.5,34.013,-41.366,23.355,67.475,-15.435,-82.113,11.574,-106.91,27.254,-56.026
15,2.5434,16.883,1,0,9.5,33.631,-40.847,22.64,65.569,-13.159,-82.62,11.7,-108.74,26.196,-56.952
16,16.41,17.113,1,0,9.5,33.98,-40.642,22.878,66.185,-12.663,-81.461,11.472,-107.21,25.802,-55.328
17,17.575,17.345,1,0,9.5,33.584,-40.563,22.31,65.448,-13.548,-82.287,11.068,-108.83,25.67,-55.611
18,-8.1265,17.577,1,0,9.5,33.031,-40.753,22.832,66.658,-12.535,-81.56,11.941,-108.07,26.737,-54.6
19,11.212,17.808,1,0,9.5,32.868,-42.059,23.361,67.677,-11.733,-79.32,11.049,-109.38,26.174,-54.482
20,14.921,18.036,1,0,9.5,31.679,-41.651,22.582,69.081,-12.154,-80.656,10.751,-110.35,26.523,-54.957
21,14.147,18.258,1,0,9.5,32.032,-42.076,22.327,68.604,-11.594,-80.948,11.858,-112.2,27.193,-56.141
22,9.1306,18.473,1,0,9.5,32.353,-41.021,21.431,68.333,-11.392,-79.697,12.578,-111.41,25.74,-56.118
23,9.4638,18.678,1,0,9.5,30.777,-39.906,20.576,69.41,-11.143,-79.012,11.272,-112.09,26.194,-55.958
24,13.136,18.873,1,0,9.5,32.191,-40.277,19.163,69.273,-12.203,-78.462,9.4313,-111.95,26.576,-55.391
25,38.195,19.056,1,0,9.5,32.155,-40.836,19.066,70.253,-12.413,-79.041,10.242,-111.98,24.903,-54.866
26,7.2785,19.225,1,0,9.5,31.066,-41.344,18.66,69.441,-14.323,-79.392,11.259,-113.42,23.785,-57.467
27,7.2283,19.379,1,0,9.5,30.245,-41.473,17.629,70.029,-11.286,-79.439,9.9854,-112.91,23.917,-57.565
28,17.846,19.517,1,0,9.5,30.357,-40.491,17.92,71.779,-10.9,-78.959,9.9402,-112.59,26.037,-58.553
29,27.083,19.638,1,0,9.5,29.717,-39.691,17.822,73.795,-11.693,-78.578,9.6985,-111.9,23.32,-58.504
30,56.559,19.742,1,0,9.5,31.857,-39.54,17.482,74.952,-12.738,-79.765,10.858,-110.96,24.856,-59.321
31,95.007,19.826,1,0,9.5,33.256,-40.389,17.005,72.983,-12.396,-80.59,11.126,-111.55,26.391,-57.526
32,115.45,19.893,1,0,9.5,33.261,-41.518,16.684,72.208,-12.904,-80.273,11.611,-111.54,26.224,-56.184
33,155.2,19.94,1,0,9.5,34.002,-42.845,16.45,72.47,-14.482,-80.241,13.324,-111.01,27.162,-56.282
34,173.6,19.968,0,0,9.5,35.756,-45.265,14.721,74.09,-16.291,-80.448,13.827,-110.28,27.362,-56.926
35,197.85,19.978,0,0,9.5,35.994,-45.789,13.531,74.695,-15.96,-80.199,14.654,-112.62,27.896,-56.172
36,231.51,19.969,0,0,9.5,35.397,-46.005,13.427,73.903,-15.499,-80.199,13.571,-113,26.39,-57.838
37,258.5,19.942,0,0,9.5,34.207,-45.653,13.412,74.87,-15.519,-78.929,13.949,-111.71,26.625,-57.909
38,270.76,19.899,0,0,9.5,33.99,-45.497,11.974,73.62,-15.747,-77.032,12.867,-112.37,25.62,-58.515
39,312.54,19.839,0,0,9.5,34.708,-46.993,13.433,75.115,-15.765,-77.579,14.699,-115.73,25.864,-59.102
40,329.04,19.765,0,0,9.5,34.177,-46.429,13.053,75.4,-15.443,-77.232,15.167,-116.23,26.409,-59.963
41,360.29,19.676,0,0,9.5,33.943,-45.506,13.038,76.434,-14.935,-76.852,14.518,-116.72,25.773,-58.878
42,399.45,19.576,0,0,9.5,33.082,-45.81,13.046,76.852,-16.36,-76.728,13.468,-117.08,26.295,-59.349
43,426.68,19.465,0,0,9.5,34.163,-46.03,12.273,76.989,-18.543,-76.375,10.842,-117.44,25.799,-59.962
44,468.95,19.344,0,0,9.5,34.989,-46.687,11.799,75.871,-19.122,-75.793,9.0716,-117.62,25.419,-60.757
45,498.2,19.216,0,0,9.5,33.765,-45.903,12.686,76.491,-19.802,-76.485,10.685,-117.02,26.266,-61.33
46,507.32,19.083,0,0,9.5,32.513,-45.528,14.316,76.691,-19.791,-75.944,11.599,-117.34,27.366,-60.741
47,535.19,18.946,0,0,9.5,32.386,-44.784,14.267,77.102,-19.213,-75.052,11.435,-115.7,27.284,-60.366
48,575.28,18.808,0,0,9.5,32.035,-45.811,13.191,76.285,-19.174,-74.004,12.143,-116.82,26.799,-60.747
49,591.29,18.67,0,0,9.5,33.501,-44.473,13.38,76.277,-19.985,-73.639,12.583,-117.93,25.672,-60.14
50,609.98,18.534,0,0,9.5,32.787,-44.089,13.281,76.243,-20.156,-73.898,13.172,-120.07,24.018,-63.163
51,624.31,18.403,0,0,9.5,33.694,-43.629,12.367,76.025,-20.552,-72.61,13.72,-120.09,24.535,-63.488
52,684.86,18.278,0,0,9.5,34.017,-44.154,12.683,76.661,-20.238,-71.966,15.326,-120.16,25.129,-64.381
53,699.35,18.161,0,0,9.5,32.653,-45.595,12.961,79.164,-20.456,-71.33,16.484,-119.71,23.058,-64.333
54,723.36,18.054,0,0,9.5,32.745,-45.404,13.548,79.462,-20.955,-71.168,16.828,-119.11,22.79,-63.867
55,771.49,17.958,0,0,9.5,32.31,-45.743,12.959,79.289,-21.082,-69.759,17.418,-117.83,23.357,-64.18
56,780.31,17.877,0,0,9.5,31.869,-47.957,13.311,79.143,-22.439,-67.3,17.577,-118.83,23.764,-65.44
57,823.81,17.81,0,0,9.5,30.886,-52.198,12.65,81.126,-22.378,-68.399,19.163,-120.41,24.242,-64.04
58,858.84,17.759,0,0,9.5,30.175,-50.786,12.388,78.936,-22.583,-67.728,20.037,-119.36,25.625,-63.719
59,859.87,17.727,0,0,9.5,30.05,-49.198,12.345,80.584,-24.167,-67.325,18.056,-119.05,26.243,-63.753
60,894.1,17.713,0,0,9.5,31.237,-49.56,12.013,80.664,-24.339,-66.393,18.724,-118.25,26.778,-62.312
61,912.54,17.719,0,0,9.5,30.724,-48.687,11.515,80.813,-23.687,-67.929,19.441,-117.31,26.253,-61.817
62,967.77,17.745,0,0,9.5,32.255,-48.571,11.145,81.424,-24.256,-68.367,18.429,-117.44,25.124,-61.711
63,990.44,17.793,0,0,9.5,33.235,-46.947,11.779,81.425,-26.361,-68.693,18.325,-117.98,24.11,-61.893
64,1012.6,17.862,0,0,9.5,32.735,-46.09,12.872,80.445,-25.741,-68.287,19.442,-116.78,22.5,-63.655
65,1025.9,17.954,0,0,9.5,32.054,-46.514,11.714,81.905,-26.801,-69.214,19.981,-116.43,21.85,-64.506
66,1056.3,18.067,0,0,9.5,32.619,-47.338,10.899,82.164,-27.392,-69.914,20.893,-117.23,21.073,-65.167
67,1110.4,18.202,0,0,8.4444,33.406,-47.736,11.901,83.901,-27.636,-70.386,21.024,-116.56,19.784,-65.664
68,1126,18.359,0,0,7.3889,33.187,-46.332,9.3318,84.308,-25.878,-71.236,20.911,-117.02,19.045,-63.185
69,1153.4,18.536,0,0,6.3333,32.944,-47.079,10.514,84.31,-27.566,-72.076,21.072,-116.52,19.996,-62.799
70,1188.1,18.734,0,0,5.2778,32.61,-46.432,9.0283,83.264,-27.828,-73.878,21.054,-115.91,21.723,-61.221
71,1210.7,18.952,0,0,4.2222,33.192,-46.519,10.5,82.731,-27.229,-76.203,22.057,-116.55,23.334,-62.227
72,1208.3,19.188,0,0,3.1667,34.374,-45.926,10.684,83.742,-25.811,-76.391,21.762,-116.5,23.972,-62.383
73,1258.9,19.441,0,0,2.1111,33.537,-46.315,10.679,84.182,-25.625,-77.004,22.097,-117.47,25.602,-62.226
74,1280.4,19.71,0,0,1.0556,33.022,-47.696,9.6714,84.225,-25.518,-76.458,21.734,-116.85,26.662,-63.081
75,1317.6,19.993,0,0,0,33.068,-47.682,11.173,84.133,-26.167,-76.787,23.003,-115.6,26.725,-64.606
76,1344.8,20.29,0,0,0,32.538,-48.109,9.9653,84.285,-26.941,-76.889,23.14,-116.92,24.837,-63.173
77,1360.3,20.598,0,0,0,34.125,-48.955,7.5479,85.086,-27.614,-76.963,21.873,-117.19,23.966,-63.338
78,1392,20.915,0,0,0,34.354,-49.255,7.2989,84.039,-26.673,-76.93,23.084,-116.72,25.377,-64.243
79,1396.6,21.24,0,0,0,31.669,-48.864,7.6202,84.213,-27.134,-76.339,22.694,-117.95,25.617,-63.847
80,1429.4,21.571,0,0,0,31.207,-49.368,8.268,81.994,-28.533,-77.459,22.975,-119.44,24.894,-62.253
81,1471.2,21.905,0,0,0,31.314,-51.201,9.0986,79.583,-26.591,-78.003,23.154,-119.06,25.17,-63.474
82,1508.6,22.242,0,0,0,32.183,-51.52,8.4898,77.302,-26.675,-80.044,23.16,-118.35,24.764,-65.184
83,1535.5,22.578,0,0,0,32.604,-53.562,8.8522,75.956,-28.732,-79.345,22.7,-118.81,24.469,-64.826
84,1573.4,22.913,0,0,0,32.608,-54.474,8.8968,76.633,-29.705,-78.499,22.48,-119.4,24.365,-65.226
85,1598.5,23.243,0,0,0,32.407,-53.321,11.285,75.925,-28.878,-77.765,22.345,-119.58,24.808,-63.6
86,1613.1,23.568,0,0,0,33.002,-52.997,10.956,72.714,-30.572,-77.314,23.543,-119.64,25.291,-62.303
87,1641.6,23.885,0,0,0,33.833,-53.648,10.54,72.564,-30.13,-79.146,23.469,-118.81,24.165,-61.893
88,1675,24.193,0,0,0,34.577,-53.673,11.387,72.525,-30.246,-79.219,23.07,-119.32,25.108,-61.952
89,1702.5,24.49,0,0,0,34.518,-54.228,10.45,71.473,-29.867,-78.688,23.789,-119.37,24.137,-62.736
90,1740.2,24.774,0,0,0,34.597,-54.385,10.334,71.514,-31.974,-77.42,22.182,-120.72,24.01,-61.119
91,1754,25.044,0,0,0,35.632,-54.379,11.646,72.855,-31.593,-77.975,22.622,-120.57,23.222,-60.437
92,1790.8,25.3,0,0,0,35.782,-55.501,11.262,73.022,-30.369,-77.771,21.51,-119.3,23.585,-62.235
93,1811.7,25.538,0,0,0,36.623,-55.824,11.693,73.843,-28.253,-77.485,19.539,-118.92,23.757,-64.013
94,1839.5,25.76,0,0,0,36.46,-55.208,10.653,73.171,-27.228,-77.919,18.337,-116.35,23.09,-64.083
95,1869.1,25.963,0,0,0,36.399,-55.643,9.8389,73.794,-26.382,-78.749,18.16,-114.38,21.582,-64.655
96,1899.5,26.147,0,0,0,38.943,-56.96,10.547,73.376,-26.694,-79.854,18.682,-113.66,21.826,-62.941
97,1927.6,26.311,0,0,0,37.102,-58.829,11.399,72.02,-26.599,-80.639,19.606,-114.73,23.821,-64.081
98,1941.9,26.456,0,0,0,37.124,-58.89,11.778,73.018,-25.744,-81.302,17.969,-112.91,22.839,-64.827
99,1965.2,26.581,0,0,0,36.222,-59.359,10.519,74.131,-26.599,-81.922,19.211,-113.6,24.03,-64.087
100,2025.6,26.685,0,0,0,35.865,-60.013,10.726,74.732,-26.467,-81.638,18.959,-112.75,23.452,-64.936
101,2037.1,26.769,0,0,0,36.032,-58.694,12.218,74.606,-26.603,-81.006,19.63,-111.92,25.367,-65.518
102,2067.9,26.833,0,0,0,34.479,-58.44,10.645,75.003,-26.485,-81.096,20.806,-111.49,25.757,-65.833
103,2087.3,26.878,0,0,0,33.326,-57.128,10.182,74.006,-24.611,-82.005,20.703,-112.71,26.307,-66.705
104,2128.9,26.903,0,0,0,33.843,-57.974,10.47,75.1,-24.761,-83.863,20.084,-112.87,26.338,-66.647
105,2152.3,26.911,0,0,0,33.646,-58.052,10.321,74.946,-23.612,-86.097,18.615,-112.53,26.666,-67.916
106,2176.4,26.901,0,0,0,34.25,-57.645,9.7313,73.692,-23.011,-86.592,19.065,-114.69,26.717,-67.755
107,2202.4,26.874,0,0,0,33.566,-56.618,9.6576,72.81,-22.237,-87.558,19.412,-114.09,26.179,-69.081
108,2218.2,26.832,0,0,0,33.488,-57.464,9.0857,71.535,-23.382,-87.248,18.794,-114.45,25.774,-68.851
109,2267.6,26.776,0,0,0,32.993,-59.285,8.0076,69.006,-23.646,-88.313,18.974,-115.69,25.793,-68.665
