Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,6.3014,17.678,1,0,9.5,57.51,36.311,87.569,-38.225,48.873,47.632,-0.07595,57.865,-33.425,93.596
2,-8.1925,17.653,1,0,9.5,58.096,37.989,88.271,-38.155,48.651,47.289,-1.4448,57.832,-32.831,92.858
3,-4.2476,17.603,1,0,9.5,57.434,38.916,87.158,-37.332,48.22,48.012,-0.40114,58.305,-32.509,93.241
4,-3.3434,17.529,1,0,9.5,58.54,38.072,86.56,-37.052,50.644,45.301,0.11986,58.043,-32.312,94.29
5,-1.4816,17.431,1,0,9.5,57.214,36.367,84.406,-36.824,51.059,44.866,-0.16827,59.517,-31.878,96.775
6,11.686,17.311,1,0,9.5,56.978,35.459,85.67,-34.979,51.87,44.247,0.80712,58.351,-32.38,97.191
7,14.438,17.169,1,0,9.5,55.029,34.42,86.973,-35.215,53.19,43.68,0.11353,58.188,-33.285,97.253
8,15.775,17.008,1,0,9.5,56.094,33.198,85.846,-36.525,55.113,44.438,-0.62494,55.972,-34.827,95.079
9,-4.395,16.829,1,0,9.5,56.049,34.451,84.875,-36.652,56.11,44.421,-0.27557,54.776,-33.758,96.239
10,-2.8789,16.634,1,0,9.5,56.18,33.717,84.802,-37.496,57.325,44.341,-0.25927,55.007,-33.578,98.589
11,9.3037,16.426,1,0,9.5,56.386,33.045,85.603,-37.257,57.286,43.578,-0.39081,55.543,-33.882,98.83
12,18.321,16.206,1,0,9.5,56.164,31.148,86.86,-39.083,56.737,42.191,1.5451,55.608,-34.917,98.78
13,12.032,15.978,1,0,9.5,56.712,31.697,86.779,-39.9,56.098,40.351,3.7231,55.601,-35.315,100.11
14,9.138,15.743,1,0,9.5,55.454,32.971,86.235,-40.108,54.669,40.92,4.7773,56.812,-34.118,102.49
15,-0.82349,15.505,1,0,9.5,55.441,31.822,87.262,-39.602,55.236,42.525,4.8673,55.414,-34.752,102.17
16,15.594,15.266,1,0,9.5,56.064,30.579,86.806,-37.392,54.432,42.892,6.0792,54.249,-33.735,102.2
17,-4.9271,15.03,1,0,9.5,54.427,27.3,87.89,-36.93,54.423,42.103,6.8422,53.692,-33.665,103
18,23.645,14.799,1,0,9.5,54.255,26.233,85.558,-37.706,54.927,42.764,5.5107,54.742,-32.597,104.4
19,19.885,14.576,1,0,9.5,54.683,29.091,85.899,-36.941,54.26,41.896,5.2263,54.015,-34.827,104.53
20,24.18,14.365,1,0,9.5,54.337,28.737,83.791,-36.388,55.315,42.095,4.3134,52.914,-34.262,103.03
21,7.4312,14.168,1,0,9.5,55.601,27.643,83.115,-36.887,54.371,42.783,3.5371,52.464,-34.217,101.47
22,30.704,13.988,1,0,9.5,57.129,28.752,84.224,-38.757,55.682,44.393,3.3852,52.446,-32.665,103.39
23,16.009,13.828,1,0,9.5,56.52,30.228,85.665,-38.827,55.348,45.717,2.976,53.997,-32.103,104.84
24,-11.603,13.69,1,0,9.5,56.363,30.765,85.509,-38.463,55.158,45.316,4.3556,52.306,-31.207,105.62
