Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,3.32,22.097,1,0,9.5,-4.5118,-23.324,68.613,0.62224,-47.94,-16.61,-21.292,53.524,-6.1543,79.751
2,-11.312,22.107,1,0,9.5,-3.2069,-23.312,67.93,-0.37898,-47.76,-16.043,-20.348,53.301,-5.943,79.119
3,4.1579,22.128,1,0,9.5,-4.816,-23.025,67.96,-1.7272,-49.805,-15.145,-20.363,53.087,-4.8096,78.252
4,3.1209,22.159,1,0,9.5,-3.4945,-23.964,67.809,-0.88165,-50.071,-15.109,-19.449,53.963,-4.7519,78.496
5,7.6238,22.2,1,0,9.5,-3.4286,-23.92,67.657,0.74279,-48.263,-15.759,-18.414,53.062,-5.3989,78.631
6,1.1654,22.25,1,0,9.5,-3.5076,-24.448,67.246,-0.99571,-48.67,-15.205,-19.234,54.405,-4.781,77.896
7,17.423,22.307,1,0,9.5,-3.1514,-23.918,67.209,-1.9375,-49.528,-15.189,-19.054,54.025,-5.7018,79.999
8,5.4404,22.372,1,0,9.5,-2.8291,-25.219,67.511,-2.4793,-50.082,-16.036,-18.475,53.382,-5.3058,78.974
9,12.646,22.443,1,0,9.5,-1.4278,-25.571,68.464,-3.023,-48.819,-14.097,-18.732,52.56,-5.2336,79.043
10,-15.901,22.519,1,0,9.5,-3.8236,-27.766,68.905,-2.9736,-50.082,-13.182,-18.893,52.077,-5.7818,78.399
11,14.741,22.598,1,0,9.5,-3.7456,-28.565,66.813,-2.504,-49.979,-13.954,-19.25,52.82,-5.5585,77.672
12,18.111,22.679,1,0,9.5,-4.3257,-29.094,65.638,-3.4065,-49.594,-13.795,-17.985,51.873,-6.0059,78.083
13,11.661,22.761,1,0,9.5,-5.0192,-27.608,66.612,-2.7795,-50.571,-14.078,-19.181,49.467,-7.2677,78.47
14,9.5551,22.842,1,0,9.5,-4.4028,-28.195,68.237,-1.4993,-50.289,-11.887,-20.313,51.01,-7.9174,78.733
15,8.2547,22.92,1,0,9.5,-5.5535,-26.448,68.504,-1.6266,-49.047,-11.592,-19.453,50.711,-8.5646,79.056
16,10.696,22.995,1,0,9.5,-5.3842,-25.351,67.633,-1.0039,-48.453,-12.316,-19.424,51.625,-8.812,77.902
17,27.792,23.064,1,0,9.5,-4.1886,-25.517,67.95,-1.295,-48.594,-12.375,-19.819,51.479,-7.4052,78.193
18,13.155,23.126,1,0,9.5,-3.4734,-25.545,67.715,-1.3181,-47.646,-12.715,-19.861,51.052,-8.4711,77.449
19,-4.7585,23.18,1,0,9.5,-3.6189,-25.879,67.884,-0.47683,-48.673,-12.807,-19.213,52.516,-7.666,76.946
20,-1.2444,23.223,1,0,9.5,-2.2615,-25.169,67.681,-0.77646,-49.253,-11.652,-18.518,51.653,-6.9903,76.675
21,1.3473,23.256,1,0,9.5,-1.2877,-24.566,68.621,-2.0946,-49.253,-11.481,-20.578,52.18,-5.6359,77.504
22,10.843,23.276,1,0,9.5,-1.7105,-24.105,68.393,-3.5491,-48.869,-9.318,-21.196,52.035,-8.001,78.06
23,18.74,23.282,1,0,9.5,-2.7984,-24.212,68.202,-3.2906,-48.022,-9.0033,-21.364,51.171,-6.8859,78.31
24,1.155,23.275,1,0,9.5,-2.4236,-23.711,66.995,-2.2424,-48.51,-9.0273,-21.815,51.92,-5.9633,78.448
25,17.406,23.251,1,0,9.5,-2.0904,-24.622,65.499,-1.4952,-49.784,-6.3844,-21.778,49.632,-5.1708,78.881
26,2.9853,23.213,1,0,9.5,-2.4474,-25.566,65.98,-2.3526,-49.926,-6.6805,-22.486,49.156,-3.0232,77.75
27,17.014,23.157,1,0,9.5,-2.2812,-24.634,67.424,-1.0947,-50.028,-8.1379,-23.601,49.62,-3.5641,76.493
28,14.404,23.086,1,0,9.5,-4.6281,-24.651,68.072,-1.7242,-48.236,-9.6599,-22.538,48.442,-4.2223,77.397
29,0.13483,22.997,1,0,9.5,-2.9468,-25.438,68.442,-1.1076,-46.847,-10.795,-21.225,49.383,-4.4045,76.823
30,33.987,22.892,1,0,9.5,-1.3446,-24.133,68.62,-0.59275,-46.068,-12.68,-21.705,49.083,-2.5199,77.492
31,71.779,22.771,1,0,9.5,-2.0942,-22.755,67.789,-0.53419,-45.745,-14.162,-21.805,48.875,-2.9584,78.917
32,64.247,22.635,1,0,9.5,-0.76594,-22.113,66.752,-0.22702,-45.507,-13.422,-23.625,49.62,-3.7639,78.143
33,104.24,22.483,1,0,9.5,0.25546,-21.605,66.008,-0.53717,-45.69,-13.481,-23.953,50.051,-3.2449,77.453
34,136.48,22.318,1,0,9.5,-1.0853,-21.064,64.86,-0.93055,-45.595,-14.339,-25.075,49.072,-2.6162,77.188
