Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,1.06,16.692,1,0,9.5,133.73,47.407,23.06,-4.9132,-17.458,63.888,-56.959,19.454,-4.2164,12.428
2,-2.5355,16.71,1,0,9.5,131.63,48.738,23.524,-6.1255,-16.208,62.044,-57.205,19.307,-4.9334,12.638
3,-0.55861,16.746,1,0,9.5,131.14,50.384,24.178,-6.5047,-16.962,61.685,-56.374,20.16,-3.8582,12.76
4,12.693,16.799,1,0,9.5,131.5,48.305,22.65,-6.0234,-16.64,60.989,-56.766,19.918,-2.0367,12.921
5,-11.438,16.869,1,0,9.5,132.67,49.879,22.718,-6.8717,-15.78,61.078,-56.989,20.168,-1.4063,11.197
6,-13.322,16.956,1,0,9.5,132.28,49.832,24.577,-7.2497,-16.912,61.91,-57.984,21.116,-1.2307,10.192
7,24.402,17.058,1,0,9.5,134.49,48.815,23.603,-8.1258,-16.692,61.57,-56.344,22.207,-4.0844,10.967
8,7.172,17.176,1,0,9.5,135,50.014,24.784,-7.9209,-19.785,61.459,-56.509,22.908,-4.5519,9.716
9,17.396,17.308,1,0,9.5,134.28,50.697,24.791,-8.9439,-19.166,60.502,-57.506,22.891,-4.612,9.7237
10,21.492,17.453,1,0,9.5,134.11,50.845,25.186,-9.719,-20.222,60.683,-57.141,23.207,-5.4714,9.2576
11,5.6438,17.611,1,0,9.5,134.05,51.737,25.515,-10.463,-18.18,61.268,-57.367,22.883,-5.3163,8.3829
12,1.5776,17.779,1,0,9.5,134.92,50.985,27.152,-10.193,-18.058,61.944,-58.777,23.765,-6.1487,6.5618
13,8.9164,17.957,1,0,9.5,133.13,51.638,27.219,-9.4074,-20.94,63.209,-59.074,21.961,-5.2427,7.5908
14,-1.9667,18.144,1,0,9.5,132.28,51.099,28.413,-7.6286,-19.717,64.045,-59.272,23.201,-5.2978,7.695
15,1.4756,18.337,1,0,9.5,133.49,51.964,27.687,-7.4591,-19.3,63.935,-59.303,24.325,-6.6281,7.7203
16,-5.1687,18.536,1,0,9.5,132.42,51.701,28.71,-6.5139,-19.232,64.016,-59.4,23.832,-6.4655,8.4846
17,5.7369,18.739,1,0,9.5,132.47,52.003,27.49,-6.8432,-20.345,63.236,-58.981,23.003,-6.197,9.1698
18,-3.8103,18.945,1,0,9.5,132.31,52.966,27.165,-6.7416,-20.575,63.951,-60.446,24.229,-6.0751,9.2311
19,9.0153,19.151,1,0,9.5,132.22,52.994,26.554,-8.0537,-18.611,63.837,-59.057,24.296,-6.6633,10.638
20,9.4876,19.358,1,0,9.5,131.97,54.914,26.956,-8.4605,-20.434,63.631,-61.403,25.118,-5.3822,10.042
21,10.905,19.562,1,0,9.5,132.22,54.464,27.767,-7.9689,-21.21,64.241,-61.384,25.247,-4.0248,9.4621
22,7.965,19.762,1,0,9.5,129.62,53.476,27.21,-7.7447,-21.02,64.384,-63.215,23.782,-0.77684,8.6369
23,1.0119,19.958,1,0,9.5,127.6,51.914,26.879,-7.97,-20.182,65.941,-62.383,23.501,-0.72861,8.5263
24,-1.0876,20.147,1,0,9.5,126.61,51.833,26.636,-9.1371,-19.011,65.926,-61.102,24.639,0.15127,9.4467
25,9.9438,20.328,1,0,9.5,126.24,51.96,26.652,-9.0627,-18.452,67.516,-60.886,24.773,-0.17138,9.3544
26,6.4908,20.501,1,0,9.5,128.7,51.826,26.069,-9.0832,-19.114,66.915,-61.133,24.601,0.023423,10.442
27,28.948,20.662,1,0,9.5,127.93,52.029,26.223,-8.997,-18.02,67.842,-60.099,23.656,2.1755,10.203
28,27.516,20.813,1,0,9.5,126.27,52.743,27.148,-7.4241,-17.78,68.332,-60.103,24.768,1.8106,11.28
29,8.6585,20.95,1,0,9.5,127.19,54.965,27.337,-8.4878,-17.468,69.64,-59.082,25.011,1.8028,12.008
30,11.971,21.074,1,0,9.5,127.71,55.939,27.9,-8.5672,-15.52,69.473,-58.076,26.526,2.3146,13.504
31,7.5123,21.184,1,0,9.5,127.81,55.854,25.967,-7.7345,-14.54,68.757,-56.562,25.798,2.498,12.734
32,29.743,21.278,1,0,9.5,127.87,57.667,26.938,-8.4913,-14.039,68.777,-57.041,26.496,2.5591,11.938
33,43.124,21.357,1,0,9.5,128.84,60.399,27.065,-7.6099,-14.735,68.752,-58.003,26.447,2.6609,11.836
34,87.581,21.419,1,0,9.5,129.8,60.192,29.275,-8.0072,-14.135,68.936,-58.526,26.118,3.3701,12.427
35,118.74,21.465,1,0,9.5,130.83,60.502,28.334,-8.9112,-13.202,67.995,-59.444,26.974,4.3289,13.146
36,119.1,21.494,1,0,9.5,132.46,59.166,28.045,-7.2377,-13.005,66.834,-60.508,27.104,5.3,11.583
37,149.44,21.505,1,0,9.5,134.39,59.386,27.311,-6.3483,-13.993,67.465,-59.404,26.19,4.1288,11.898
38,171.53,21.5,0,0,9.5,133.51,59.97,26.887,-6.6892,-14.247,69.161,-59.21,25.413,3.3959,10.173
39,172.7,21.478,0,0,9.5,134.96,61.176,22.851,-7.6788,-14.388,69.757,-58.944,24.781,3.5641,10.928
40,222.41,21.439,0,0,9.5,133.35,61.232,21.35,-6.986,-14.811,71.388,-57.354,23.519,4.1272,10.338
41,232.25,21.385,0,0,9.5,132.35,61.567,20.358,-6.5204,-14.317,70.11,-56.694,24.577,4.7629,9.9158
42,249.79,21.315,0,0,9.5,133.29,61.086,18.813,-6.2171,-14.613,69.788,-55.517,24.012,5.2996,10.434
43,283.82,21.23,0,0,9.5,133.87,61.453,18.944,-7.3214,-13.845,68.914,-55.856,25.107,5.4254,10.384
44,294.34,21.131,0,0,9.5,131.92,62.636,18.733,-7.0958,-16.648,66.372,-57.221,24.253,5.537,9.675
45,346.81,21.019,0,0,9.5,131.28,63.093,19.542,-8.256,-15.466,68.142,-58.146,24.808,4.8754,11.218
46,363.73,20.894,0,0,9.5,130.7,64.957,18.783,-7.2876,-13.76,65.475,-57.83,23.865,5.4691,11.033
47,373,20.76,0,0,9.5,130.96,66.03,19.047,-7.0589,-13.671,65.35,-57.116,24.409,3.8232,12.488
48,395.59,20.615,0,0,9.5,131,67.222,19.634,-8.0125,-15.72,66.095,-55.472,25.363,4.4059,11.898
49,411.91,20.462,0,0,9.5,129.22,66.61,18.977,-7.5832,-16.345,66.473,-55.535,24.427,5.2883,11.442
50,447.61,20.302,0,0,9.5,128.7,65.903,18.79,-6.6962,-14.359,68.073,-54.376,25.134,7.2238,10.553
51,471.41,20.137,0,0,9.5,129.36,66.065,18.447,-5.2684,-13.432,68.032,-52.857,25.64,6.2447,12.014
52,487.14,19.967,0,0,9.5,127.35,66.253,19.124,-5.893,-11.204,68,-53.377,26.287,6.7294,11.752
53,500.04,19.795,0,0,9.5,126.65,67.691,20.086,-5.5943,-11.728,67.877,-54.413,27.55,6.4023,12.223
54,554.44,19.623,0,0,9.5,127.27,65.333,20.37,-5.2693,-12.234,67.555,-54.526,25.964,6.4061,13.12
55,564.62,19.451,0,0,9.5,125.56,63.962,19.261,-4.6006,-12.293,67.625,-55.731,26.711,6.2754,12.144
56,583.91,19.281,0,0,9.5,127.05,64.359,18.037,-4.1665,-11.212,67.467,-55.428,26.012,4.7251,11.674
57,611.66,19.116,0,0,9.5,128.04,65.265,19.331,-3.8682,-10.493,68.078,-54.787,25.992,6.7774,13.436
58,613.86,18.956,0,0,9.5,128.82,65.811,19.784,-3.7113,-8.6143,67.73,-53.97,28.066,6.032,13.909
59,662.51,18.803,0,0,9.5,129.37,66.3,19.336,-5.7164,-7.6351,65.401,-55.656,29.479,7.6344,13.107
60,669.16,18.659,0,0,9.5,129.13,65.307,19.532,-6.0848,-8.757,64.78,-56.495,28.802,7.2645,13.898
61,688.35,18.525,0,0,9.5,128.83,64.704,19.466,-5.8674,-8.4605,64.738,-57.142,27.835,7.4858,14.742
62,714.44,18.403,0,0,9.5,129.1,65.023,19.965,-5.2687,-10.819,64.25,-58.33,28.271,8.9687,14.008
63,752.97,18.294,0,0,9.5,130.58,64.395,19.779,-5.9745,-11.285,65.841,-57.371,29.69,7.4757,13.757
64,775.22,18.2,0,0,9.5,129.77,63.147,18.412,-7.3479,-9.4762,63.624,-58.604,30.761,6.8057,14.814
65,792.75,18.12,0,0,9.5,131.41,62.681,18.742,-7.7201,-9.2791,63.668,-58.739,28.404,7.7948,14.427
66,813.27,18.058,0,0,9.5,132.48,60.525,20.179,-6.7318,-8.9153,63.258,-59.602,29.305,7.2879,14.808
67,826.09,18.013,0,0,9.5,131.27,59.798,18.921,-8.0417,-9.897,64.676,-61.503,30.236,6.0407,13.045
68,856.58,17.987,0,0,9.5,131.26,59.866,19.217,-7.9236,-10.077,63.93,-60.769,28.682,5.7476,13.852
69,885.02,17.98,0,0,9.5,132.11,58.235,18.532,-9.064,-10.778,63.026,-59.676,27.922,6.578,13.12
70,892.68,17.993,0,0,9.5,131.93,57.69,20.311,-7.8936,-10.143,63.253,-57.794,28.195,5.7218,12.322
71,934.5,18.027,0,0,9.5,132.25,58.179,19.326,-9.3196,-9.0104,64.257,-57.796,27.82,6.3579,11.272
72,933.73,18.081,0,0,9.5,132.61,58.824,18.546,-9.6232,-9.2053,65.27,-58.371,27.54,6.4505,13.066
73,966.12,18.157,0,0,9.5,133.54,58.479,19.346,-9.5194,-6.7223,64.922,-57.736,26.984,5.7723,11.847
74,1011.5,18.254,0,0,9.5,135.05,58.592,20.028,-10.69,-6.7304,64.152,-56.457,26.374,4.2394,12.046
75,1013.5,18.373,0,0,9.5,135.81,57.812,20.414,-9.9786,-8.0586,64.384,-55.603,24.917,3.4577,11.367
76,1044.1,18.512,0,0,9.5,137.19,57.814,20.791,-10.36,-6.4385,62.664,-54.334,25.711,2.8925,12.223
77,1041.5,18.673,0,0,9.5,138.33,58.439,21.303,-8.6839,-6.2994,61.347,-51.742,25.368,3.0399,12.055
78,1081.9,18.854,0,0,9.5,137.06,58.767,19.845,-7.1959,-5.8319,60.803,-51.579,24.253,3.561,13.328
