Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,3.7148,22.747,1,0,9.5,-5.0424,-95.219,-36.867,34.868,58.858,69.199,-5.5944,13.596,-84.208,50.381
2,7.0804,22.733,1,0,9.5,-4.6952,-96.141,-36.198,36.019,57.935,69.916,-6.1207,12.359,-84.814,49.856
3,-12.401,22.706,1,0,9.5,-5.4487,-95.365,-36.491,36.663,57.189,70.953,-5.6701,12.487,-84.512,51.27
4,-10.054,22.667,1,0,9.5,-4.7179,-95.702,-35.976,35.014,56.506,69.164,-5.5678,12.837,-83.838,51.718
5,3.0876,22.614,1,0,9.5,-2.9198,-93.961,-36.055,36.875,56.868,68.232,-4.236,13.342,-83.128,52.782
6,-2.211,22.55,1,0,9.5,-2.4301,-92.738,-35.507,36.309,57.848,69.313,-3.101,14.101,-82.719,52.259
7,-19.054,22.474,1,0,9.5,-2.4755,-92.204,-36.791,37.199,58.31,67.988,-3.0355,15.739,-83.255,54.635
8,11.578,22.388,1,0,9.5,-5.3739,-91.539,-37.894,36.605,56.676,67.326,-3.2817,14.747,-84.204,54.548
9,22.586,22.292,1,0,9.5,-6.2156,-92.445,-37.678,35.8,56.13,66.104,-3.044,14.653,-84.911,55.453
10,-10.376,22.188,1,0,9.5,-7.16,-92.898,-37.563,36.85,55.891,65.767,-4.3424,14.081,-85.992,56.106
11,11.958,22.077,1,0,9.5,-7.0293,-92.313,-37.574,35.493,54.063,66.659,-3.5125,15.625,-85.709,56.294
12,-10.927,21.961,1,0,9.5,-7.3067,-90.312,-37.562,34.431,55.822,67.756,-4.0534,15.059,-85.158,55.46
13,0.63099,21.839,1,0,9.5,-7.2853,-89.079,-38.37,33.668,54.254,67.455,-5.5075,12.709,-84.845,54.872
14,4.9916,21.715,1,0,9.5,-8.0169,-88.605,-38.256,34.476,54.968,65.63,-5.7338,13.881,-85.086,55.297
15,17.524,21.589,1,0,9.5,-6.5252,-88.711,-37.463,34.325,56.743,66.153,-7.4126,13.978,-83.896,56.313
16,2.0655,21.463,1,0,9.5,-6.3969,-88.816,-36.16,34.219,56.034,65.601,-8.1901,14.844,-81.718,56.895
17,-3.3132,21.338,1,0,9.5,-6.177,-90.38,-36.097,32.496,54.295,65.964,-9.2383,14.963,-81.355,55.67
18,29.945,21.216,1,0,9.5,-5.2828,-89.611,-36.335,34.687,54.945,64.909,-9.6574,16.414,-81.602,54.918
19,12.124,21.098,1,0,9.5,-7.0096,-89.555,-36.173,32.884,55.046,63.599,-9.4711,17.202,-82.979,54.37
