Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-4.4751,20.747,1,0,9.5,62.981,24.071,-27.948,-4.6491,45.095,50.775,56.946,74.769,-63.449,24.597
2,15.142,20.758,1,0,9.5,63.146,23.373,-28.389,-5.1383,44.431,50.068,57.243,72.913,-64.664,23.371
3,4.3013,20.78,1,0,9.5,62.605,24.202,-29.657,-4.5542,45.495,49.825,55.974,72.854,-65.666,23.278
4,1.4736,20.812,1,0,9.5,63.384,23.765,-31.018,-3.6921,45.61,49.939,56.76,73.545,-64.703,24.862
5,12.585,20.855,1,0,9.5,65.02,23.565,-32.646,-2.566,47.596,49.8,57.457,73.994,-64.602,24.712
6,1.9405,20.909,1,0,9.5,64.494,24.742,-32.448,-1.6916,47.722,49.463,58.934,74.966,-64.939,25.06
7,18.938,20.973,1,0,9.5,63.465,25.452,-31.211,-0.82829,48.928,49.555,60.064,74.438,-64.219,24.431
8,26.681,21.046,1,0,9.5,64.883,24.836,-30.939,-0.89998,48.402,51.769,58.179,74.64,-64.154,24.705
9,-0.19665,21.13,1,0,9.5,65.634,25.507,-31.948,-0.26055,47.498,50.971,57.78,75.075,-64.182,23.26
10,4.4224,21.223,1,0,9.5,65.538,24.958,-33.569,2.0794,48.337,50.061,58.928,75.182,-64.255,22.042
11,-1.3938,21.324,1,0,9.5,62.575,24.487,-35.382,2.5925,48.432,49.036,61.041,74.599,-63.12,22.665
12,-8.0335,21.434,1,0,9.5,62.863,24.678,-35.502,1.5636,49.164,46.931,60.607,74.832,-61.963,23.667
13,8.1299,21.552,1,0,9.5,63.869,25.41,-39.089,2.7013,46.878,45.163,59.356,73.131,-61.557,23.452
14,13.37,21.678,1,0,9.5,64.183,24.804,-40.118,2.94,46.399,44.609,58.818,73.908,-62.339,22.611
15,-7.518,21.81,1,0,9.5,65.614,24.347,-39.817,2.6592,44.102,45.09,60.773,75.972,-62.769,21.977
16,16.55,21.948,1,0,9.5,65.854,25.133,-38.551,3.0742,45.747,44.518,60.584,75.504,-63.262,21.695
17,29.923,22.092,1,0,9.5,67.428,25.464,-37.164,3.0976,46.553,45.305,60.52,74.995,-62.293,19.696
18,-13.554,22.241,1,0,9.5,66.659,24.051,-37.039,3.11,46.075,46.112,62.085,76.122,-63.008,19.422
19,4.687,22.393,1,0,9.5,67.903,21.818,-37.98,2.1083,47.164,45.575,60.672,77.381,-62.753,20.327
20,12.932,22.549,1,0,9.5,67.561,21.355,-38.434,1.8714,47.468,45.813,60.402,77.497,-63.621,20.169
21,29.573,22.708,1,0,9.5,67.627,22.027,-36.905,2.1751,46.384,46.185,60.526,76.98,-63.755,20.605
22,4.4185,22.868,1,0,9.5,68.614,21.551,-37.973,1.1129,44.764,46.683,59.743,77.052,-64.845,21.89
23,1.8111,23.028,1,0,9.5,68.925,20.673,-38.867,0.056635,44.099,47.443,58.693,77.886,-63.229,22.472
24,18.195,23.189,1,0,9.5,71.732,19.912,-37.064,0.32863,42.782,47.512,58.45,77.769,-63.796,22.349
25,18.057,23.348,1,0,9.5,72.303,21.388,-36.798,0.69517,41.777,48.275,58.153,75.921,-62.735,22.118
26,19.144,23.505,1,0,9.5,72.504,20.068,-36.668,0.2493,43.195,49.649,59.005,75.407,-63.877,21.598
27,25.87,23.658,1,0,9.5,71.287,18.639,-38.623,0.57209,44.245,49.963,59.707,75.618,-65.401,22.341
28,14.793,23.808,1,0,9.5,71.874,18.348,-38.703,-0.29988,43.804,51.749,58.663,76.398,-66.739,21.135
29,29.898,23.953,1,0,9.5,73.065,17.466,-37.656,-0.22894,43.841,51.465,57.634,75.577,-66.715,22.399
