Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,10.383,11.707,1,0,9.5,42.576,-14.238,22.423,79.086,-48.968,20.732,-37.442,30.248,-102.37,-23.831
2,5.696,11.734,1,0,9.5,42.4,-14.667,23.089,76.758,-49.514,21.848,-36.842,31.456,-103.3,-22.717
3,-10.258,11.788,1,0,9.5,42.801,-14.516,23.687,76.514,-49.749,20.341,-37.858,28.949,-103.32,-21.834
4,-4.2044,11.868,1,0,9.5,41.304,-14.899,22.517,76.008,-49.321,21.927,-40.053,28.994,-104.16,-22.105
5,-6.7276,11.975,1,0,9.5,41.512,-15.718,23.294,76.082,-49.129,22.043,-40.504,29.461,-104.14,-21.961
6,-3.3904,12.107,1,0,9.5,41.936,-14.652,22.417,75.7,-49.405,20.194,-37.841,28.171,-104.62,-21.689
7,12.225,12.265,1,0,9.5,41.233,-14.621,22.068,74.871,-48.529,20.306,-39.677,27.148,-105.03,-21.107
8,-0.1504,12.448,1,0,9.5,41.415,-15.396,21.499,74.35,-50.488,20.599,-40.773,25.568,-106.66,-20.637
9,1.9217,12.654,1,0,9.5,41.471,-16.255,21.776,71.775,-49.559,19.687,-40.043,24.534,-104.69,-19.967
10,32.073,12.883,1,0,9.5,41.511,-16.171,20.892,71.502,-49.251,17.396,-39.758,24.063,-104.15,-22.614
11,2.38,13.135,1,0,9.5,40.584,-16.942,20.224,72.447,-49.173,16.532,-36.011,23.797,-103.63,-23.384
12,2.8006,13.408,1,0,9.5,40.046,-17.12,19.874,72.546,-49.528,16.639,-36.24,24.042,-103.93,-24.963
13,0.69289,13.7,1,0,9.5,39.562,-17.465,21.352,72.204,-49.653,18.082,-36.812,24.161,-102.36,-23.461
14,4.3666,14.011,1,0,9.5,39.661,-17.782,23.256,72.942,-48.714,17.171,-35.863,24.976,-103.75,-22.493
15,11.502,14.34,1,0,9.5,38.695,-17.847,23.234,72.444,-49.492,19.075,-35.116,25.907,-102.67,-22.599
16,9.8277,14.685,1,0,9.5,38.829,-17.062,23.603,73.542,-48.247,18.676,-35.142,24.684,-103.19,-21.931
17,-1.1431,15.045,1,0,9.5,39.568,-16.864,25.44,72.965,-48.636,19.007,-36.894,23.495,-103.94,-21.881
18,-12.196,15.418,1,0,9.5,39.344,-15.37,25.226,72.142,-48.661,18.311,-37.105,22.907,-103.46,-21.578
19,5.4973,15.803,1,0,9.5,37.362,-14.463,25.324,71.639,-47.777,16.981,-36.513,23.758,-102.49,-21.167
20,7.0599,16.198,1,0,9.5,39.271,-14.505,23.699,71.748,-49.155,16.808,-35.757,22.957,-103.12,-21.374
21,8.8025,16.602,1,0,9.5,39.826,-14.937,24.293,71.312,-50.15,16.531,-34.271,23.013,-103.09,-21.415
22,4.9114,17.013,1,0,9.5,40.266,-14.575,21.4,71.729,-51.226,14.271,-33.583,24.328,-102.9,-20.077
23,5.2584,17.43,1,0,9.5,41.9,-13.339,22.499,71.393,-51.587,15.697,-33.679,23.695,-102.84,-20.296
