Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,4.003,14.942,1,0,9.5,-121.11,17.276,-76,2.5022,-36.499,-47.684,-18.251,19.929,50.817,110.6
2,-4.8175,14.972,1,0,9.5,-121.41,16.598,-74.733,2.8328,-37.019,-47.364,-17.689,20.896,50.483,109.84
3,-5.3927,15.032,1,0,9.5,-120.57,16.898,-74.249,2.9414,-37.392,-47.843,-17.848,21.265,49.295,109.97
4,1.3876,15.12,1,0,9.5,-120.02,16.604,-75.025,3.3638,-36.43,-47.351,-19.585,21.315,48.428,111.62
5,6.9388,15.237,1,0,9.5,-119.62,19.224,-74.464,2.5843,-36.07,-47.762,-21.487,21.261,49.33,112.44
6,10.354,15.382,1,0,9.5,-119.24,18.28,-73.055,3.2579,-35.479,-48.033,-21.833,19.941,48.8,111.97
7,13.133,15.553,1,0,9.5,-117.38,17.635,-73.124,2.6396,-36.006,-47.803,-23.028,19.722,49.125,111.97
8,9.1242,15.75,1,0,9.5,-117.94,18.425,-73.538,2.0291,-37.339,-47.509,-21.671,18.538,47.792,111.63
9,-0.0039818,15.97,1,0,9.5,-117.26,18.353,-73.01,1.0094,-35.849,-48.859,-21.773,20.023,47.128,111.69
10,15.713,16.212,1,0,9.5,-117.62,18.217,-73.285,0.40564,-35.02,-50.489,-23.301,18.899,48.055,111.46
11,-17.261,16.475,1,0,9.5,-117.34,16.985,-73.114,1.2151,-34.938,-49.881,-22.467,19.282,48.999,111.37
12,9.7404,16.756,1,0,9.5,-116.31,16.372,-72.516,1.366,-34.326,-50.249,-22.94,18.661,47.375,109.97
13,8.0708,17.053,1,0,9.5,-116.58,15.232,-73.292,2.2012,-33.013,-50.094,-22.757,17.445,47.073,109.16
14,18.46,17.365,1,0,9.5,-116.55,14.097,-75.104,2.7887,-32.643,-49.579,-22.094,17.746,46.543,107.37
15,2.423,17.688,1,0,9.5,-114.61,15.618,-76.242,2.4211,-30.894,-48.357,-20.368,18.696,46.17,108.35
16,-6.2276,18.021,1,0,9.5,-114.84,15.599,-77.514,0.79201,-30.245,-47.349,-20.737,18.939,46.541,106.87
17,3.2803,18.362,1,0,9.5,-114.64,14.635,-77.744,0.085322,-29.667,-46.006,-18.702,19.041,48.483,106.58
18,7.3275,18.708,1,0,9.5,-114.11,15.443,-77.975,-0.74677,-31.116,-46.005,-19.194,17.618,49.585,104.74
19,8.1858,19.056,1,0,9.5,-115.73,14.207,-78.816,0.96155,-31.95,-46.582,-18.563,16.934,50.573,105.3
20,-2.1027,19.405,1,0,9.5,-116.04,13.2,-78.801,2.7899,-30.94,-47.229,-18.808,16.376,50.655,107.11
21,-0.2259,19.752,1,0,9.5,-116.93,12.035,-78.885,3.5301,-32.701,-47.702,-18.049,16.623,49.992,106.55
22,-3.1213,20.095,1,0,9.5,-116.31,12.109,-80.174,2.529,-34.116,-47.429,-17.976,15.385,50.881,106.47
