Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-5.7469,19.082,1,0,9.5,-17.581,-14.201,51.839,-47.44,56.148,56.144,23.122,63.964,15.93,8.9964
2,2.6971,19.074,1,0,9.5,-17.873,-13.765,49.417,-46.72,55.793,55.992,23.652,63.807,14.124,9.19
3,-2.0883,19.059,1,0,9.5,-18.376,-11.357,49.187,-44.168,55.73,54.428,24.023,64.215,13.913,6.8403
4,-0.98079,19.036,1,0,9.5,-18.13,-8.2044,50.339,-44.941,57.137,54.233,24.765,63.427,14.531,7.5112
5,0.17395,19.006,1,0,9.5,-14.956,-6.785,52.79,-46.514,56.515,54.457,23.905,63.246,14.744,8.0217
6,20.406,18.969,1,0,9.5,-14.257,-6.3868,52.215,-46.891,56.104,52.559,22.999,62.454,15.192,8.984
7,-2.0262,18.925,1,0,9.5,-15.269,-6.6209,51.424,-48.431,57.29,54.071,23.293,61.946,16.845,9.6827
8,15.613,18.875,1,0,9.5,-15.33,-9.1083,49.98,-48.757,57.159,51.913,24.521,63.239,15.899,12.274
9,1.1386,18.819,1,0,9.5,-13.893,-8.3788,50.054,-49.148,57.984,49.93,22.373,61.876,16.674,12.28
10,-1.1175,18.758,1,0,9.5,-14.527,-9.1086,50.941,-48.485,57.62,50.408,22.308,62.674,15.794,12.368
11,4.6658,18.691,1,0,9.5,-14.481,-9.6727,51.781,-48.725,57.224,50.153,23.456,62.654,16.354,13.209
12,19.708,18.621,1,0,9.5,-16.181,-10.447,54.64,-48.397,58.167,50.586,22.784,62.392,14.304,13.037
13,1.8257,18.546,1,0,9.5,-14.714,-11.511,54.293,-48.601,56.888,50.958,22.269,63.402,16.696,11.991
14,5.8069,18.469,1,0,9.5,-15.351,-11.85,53.536,-47.75,58.091,50.725,22.036,62.316,16.786,11.221
15,7.1749,18.389,1,0,9.5,-14.805,-12.094,53.543,-47.546,57.52,50.007,21.672,62.297,16.226,11.719
16,-5.6507,18.307,1,0,9.5,-15.441,-11.713,54.849,-49.012,56.535,48.318,21.003,62.244,15.778,12.624
17,12.453,18.225,1,0,9.5,-14.721,-10.861,55.01,-48.746,55.989,48.229,20.956,61.951,15.372,12.14
18,-6.8854,18.142,1,0,9.5,-15.827,-10.44,53.732,-50.121,55.246,46.928,20.25,62.848,14.502,12.946
19,-3.313,18.06,1,0,9.5,-16.428,-11.161,52.974,-50.077,56.67,47.598,20.816,63.891,14.689,13.364
20,8.0566,17.979,1,0,9.5,-16.15,-10.024,53.327,-51.074,57.32,49.79,22.028,62.162,13.79,14.144
21,24.987,17.899,1,0,9.5,-17.597,-10.791,53.268,-51.722,58.72,48.901,21.533,63.703,13.152,14.073
22,-9.0597,17.823,1,0,9.5,-16.143,-11.688,54.037,-50.995,58.745,48.023,21.81,61.975,14.377,13.564
23,6.4861,17.749,1,0,9.5,-16.959,-10.783,53.821,-53.267,59.664,46.936,22.253,61.852,12.847,13.919
24,-3.3207,17.68,1,0,9.5,-18.08,-11.579,53.273,-53.652,59.133,47.509,22.693,62.835,13.357,13.81
25,9.3388,17.615,1,0,9.5,-19.742,-10.553,55.233,-54.12,61.386,47.9,24.338,61.567,14.644,14.333
26,3.3292,17.555,1,0,9.5,-22.332,-11.557,56.288,-55.556,60.024,47.73,24.459,62.268,16.113,13.383
27,23.405,17.501,1,0,9.5,-22.514,-12.153,56.54,-56.307,60.885,47.506,26.928,63.247,17.528,13.889
28,14.441,17.452,1,0,9.5,-22.289,-11.547,56.769,-55.89,59.723,48.882,27.888,64.014,15.885,15.528
29,17.433,17.411,1,0,9.5,-22.104,-12.584,56.129,-55.569,59.185,48.078,24.991,62.566,15.349,15.706
30,3.2069,17.376,1,0,9.5,-23.647,-13.404,54.96,-54.438,59.591,48.832,24.5,62.45,15.988,18.24
31,39.359,17.349,1,0,9.5,-23.244,-14.334,55.05,-54.912,58.832,49.72,24.34,61.752,15.85,17.553
32,44.226,17.33,1,0,9.5,-23.093,-14.125,54.034,-55.41,58.349,50.782,24.587,62.104,16.591,16.373
33,90.745,17.318,1,0,9.5,-25.392,-13.685,53.329,-56.509,59.426,52.28,25.625,61.188,18.114,16.991
34,126.2,17.315,1,0,9.5,-26.515,-13.81,55.853,-56.655,61.541,52.214,24.2,60.464,18.773,15.324
35,135.01,17.32,1,0,9.5,-25.405,-15.726,57.484,-57.019,59.778,50.903,23.074,60.361,19.631,14.285
36,145.92,17.333,0,0,9.5,-26.067,-15.04,58.08,-57.016,59.09,50.109,22.386,59.894,19.769,14.974
37,179.65,17.355,0,0,9.5,-26.26,-15.906,59.421,-57.555,57.377,48.575,21.043,60.651,18.728,14.636
38,192.9,17.385,0,0,9.5,-25.485,-16.567,60.174,-59.244,57.965,48.958,20.793,60.445,18.562,14.887
39,240.08,17.423,0,0,9.5,-24.595,-14.84,59.303,-59.28,57.457,47.516,21.885,59.863,18.378,15.285
40,268.83,17.469,0,0,9.5,-25.717,-13.631,58.054,-58.701,57.015,47.712,22.429,61.14,17.521,16.35
41,277.41,17.523,0,0,9.5,-25.736,-15.542,59.797,-58.842,58.575,48.804,21.546,62.211,18.59,16.859
42,289.64,17.585,0,0,9.5,-26.654,-14.658,61.184,-61.371,60.219,49.11,21.659,61.565,19.815,17.945
43,320.08,17.654,0,0,9.5,-27.729,-13.507,61.081,-63.288,60.788,50.199,21.979,61.641,19.351,16.82
44,353.2,17.73,0,0,9.5,-27.35,-14.134,62.315,-64.153,59.712,50.441,21.938,60.907,19.275,15.234
45,373.81,17.813,0,0,9.5,-26.891,-13.883,62.673,-64.391,57.913,50.148,21.667,61.676,18.829,13.746
46,397.43,17.902,0,0,9.5,-27.667,-13.66,62.616,-64.418,57.219,49.601,20.8,61.437,18.852,13.18
47,437.05,17.997,0,0,9.5,-27.604,-13.141,63.775,-64.247,57.378,48.859,20.553,62.561,20.77,13.43
48,446.01,18.097,0,0,9.5,-26.099,-14.573,62.482,-64.089,57.903,49.368,21.191,62.476,20.756,12.719
49,471.99,18.203,0,0,9.5,-24.113,-12.688,61.721,-63.521,56.095,49.139,23.122,61.37,20.976,13.34
