Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,6.0011,20.883,1,0,9.5,-5.7158,-76.159,-7.0861,45.225,16.922,-28.191,16.566,16.582,45.823,35.205
2,8.1291,20.866,1,0,9.5,-7.4776,-75.271,-7.0311,45.01,16.044,-26.639,16.734,16.67,47.054,36.548
3,-2.8977,20.834,1,0,9.5,-6.7188,-75.244,-6.229,45.48,16.707,-26.113,17.694,17.14,47.461,36.058
4,8.2638,20.786,1,0,9.5,-8.7014,-73.755,-7.9428,44.272,17.414,-26.729,18.403,17.161,49.138,34.853
5,-3.3247,20.723,1,0,9.5,-8.4698,-74.233,-9.0774,43.355,16.735,-26.651,16.749,17.111,49.17,33.605
6,-6.8833,20.646,1,0,9.5,-9.0534,-74.125,-8.372,43.915,16.775,-26.131,14.883,17.979,49.16,33.707
7,6.6527,20.555,1,0,9.5,-8.8452,-73.194,-8.2203,45.159,16.076,-25.791,15.776,18.883,48.546,33.462
8,-0.27829,20.453,1,0,9.5,-10.093,-74.763,-8.1997,45.506,15.078,-25.247,16.323,18.733,48.392,34.307
9,-0.98895,20.34,1,0,9.5,-9.1452,-75.772,-9.6115,43.872,14.697,-24.977,16.745,19.036,48.796,33.155
10,9.15,20.218,1,0,9.5,-7.9104,-77.314,-10.047,45.134,15.24,-26.248,15.67,19.351,50.378,32.541
11,-10.656,20.088,1,0,9.5,-9.6926,-77.388,-10.898,44.55,14.697,-26.05,15.733,20.652,49.668,33.471
12,-9.4028,19.953,1,0,9.5,-12.519,-77.817,-11.99,44.255,16.24,-25.869,16.741,21.409,49.401,32.201
13,-10.469,19.814,1,0,9.5,-11.847,-75.523,-13.401,44.695,17.715,-27.933,17.177,20.44,48.994,29.62
14,12.249,19.674,1,0,9.5,-11.404,-73.924,-12.441,44.007,19.782,-28.76,17.868,20.005,48.863,28.6
15,24.385,19.533,1,0,9.5,-11.599,-73.325,-12.13,45.924,20.325,-30.026,15.556,20.751,49.056,28.521
16,-9.9406,19.395,1,0,9.5,-13.459,-74.197,-12.765,46.003,20.98,-30.329,15.68,21.211,47.095,27.545
17,2.3745,19.261,1,0,9.5,-14.185,-74.887,-12.995,46.217,19.949,-31.24,14.028,21.503,47.255,26.366
18,11.791,19.133,1,0,9.5,-14.09,-74.193,-12.124,45.428,21.213,-29.799,13.221,19.456,49.329,25.279
19,4.7446,19.014,1,0,9.5,-14.683,-75.463,-10.62,45.76,21.245,-29.794,14.409,18.88,49.878,25.476
20,19.372,18.905,1,0,9.5,-15.434,-75.483,-11.285,45.04,22.725,-29.623,14.456,19.509,50.019,26.374
21,16.2,18.808,1,0,9.5,-15.321,-75.432,-9.9048,46.304,22.376,-30.262,15.299,19.25,50.976,25.907
22,0.34232,18.726,1,0,9.5,-15.215,-75.297,-7.5206,45.149,21.906,-29.306,15.766,18.444,51.679,24.413
23,21.292,18.659,1,0,9.5,-16.725,-75.379,-6.5086,44.916,21.042,-27.43,16.114,17.439,51.52,21.945
24,5.5935,18.609,1,0,9.5,-16.883,-75.98,-7.2806,44.664,20.962,-27.652,16.043,16.932,52.54,21.755
25,18.525,18.579,1,0,9.5,-14.836,-75.72,-8.3472,43.664,20.568,-27.451,17.432,15.192,53.944,24.716
26,7.7431,18.568,1,0,9.5,-15.371,-74.368,-8.0946,45.336,20.529,-28.413,14.949,16.451,54.336,24.449
27,-4.0816,18.578,1,0,9.5,-17.065,-74.527,-9.1072,44.775,20.248,-29.617,15.372,14.203,53.617,24.45
28,13.158,18.61,1,0,9.5,-17.683,-74.55,-9.9975,45.001,18.91,-28.208,14.234,12.546,54.369,23.643
29,10.134,18.665,1,0,9.5,-18.479,-75.729,-9.0124,45.362,18.942,-29.414,14.451,12.747,55.046,23.51
30,26.353,18.743,1,0,9.5,-19.47,-76.115,-8.7939,44.583,18.861,-29.537,16.298,12.734,52.566,22.602
31,72.278,18.844,1,0,9.5,-19.268,-76.129,-9.0943,43.685,18.377,-30.546,16.908,11.992,52.629,23.744
32,81.672,18.968,1,0,9.5,-19.813,-77.158,-9.165,43.595,18.331,-32.268,17.574,10.708,52.31,22.953
33,113.09,19.115,1,0,9.5,-20.497,-77.698,-10.904,45.229,18.403,-31.634,17.464,11.608,54.377,25.429
34,149.53,19.284,0,0,9.5,-21.317,-77.844,-11.14,46.105,17.214,-30.444,17.483,12.073,53.924,25.461
35,182.3,19.475,0,0,9.5,-20.127,-78.388,-9.4655,44.771,16.547,-28.614,18.779,11.471,52.45,27.201
36,176.98,19.687,0,0,9.5,-20.823,-78.362,-7.8301,43.221,17.463,-28.249,17.3,12.932,52.51,27.304
37,246.74,19.919,0,0,9.5,-21.946,-78.025,-6.7043,42.371,16.503,-28.059,16.048,11.023,51.805,28.792
38,233.99,20.168,0,0,9.5,-22.081,-76.782,-7.5452,41.236,15.532,-27.592,16.524,10.757,53.221,28.704
39,260.06,20.435,0,0,9.5,-22.58,-77.515,-6.7764,38.767,13.837,-27.346,14.734,9.6908,51.913,27.772
40,296.75,20.716,0,0,9.5,-23.411,-77.771,-7.8191,37.63,12.644,-26.031,14.965,9.6543,51.838,28.397
41,321.55,21.011,0,0,9.5,-24.077,-77.328,-6.6362,38.901,14.171,-25.094,14.348,9.5697,51.452,28.121
42,348.45,21.316,0,0,9.5,-24.178,-76.371,-5.0132,42.24,12.405,-24.301,14.048,10.131,51.389,28.767
43,380.41,21.631,0,0,9.5,-24.581,-75.842,-5.3989,42.257,13.176,-24.95,14.791,11.116,51.046,28.113
44,392.81,21.951,0,0,9.5,-24.169,-75.36,-5.7586,41.993,12.478,-24.891,13.418,10.075,48.298,26.89
45,430.59,22.276,0,0,9.5,-24.434,-76.544,-4.0993,43.724,12.909,-25.408,13.085,9.1788,49.615,26.446
46,443.78,22.602,0,0,9.5,-26.09,-77.182,-3.4299,43.964,13.416,-25.206,13.214,9.8387,48.899,29.049
47,478.93,22.927,0,0,9.5,-26.358,-77.809,-4.8429,42.884,14.235,-25.132,14.238,10.139,48.283,29.077
48,512.49,23.248,0,0,9.5,-27.664,-77.282,-2.7765,43.58,14.258,-24.334,16.142,10.834,48.363,29.967
49,539.47,23.564,0,0,9.5,-29.418,-76.712,-2.4724,44.379,14.867,-23.532,15.827,9.1183,48.196,28.817
50,537.37,23.87,0,0,9.5,-28.572,-76.336,-0.67887,44.411,15.829,-22.228,17.765,9.1071,48.191,27.771
51,558.72,24.165,0,0,9.5,-29.132,-75.699,0.6043,44.558,17.902,-22.491,19.754,11.045,47.269,27.558
52,615.04,24.446,0,0,9.5,-29.637,-76.277,2.2095,43.489,18.388,-21.892,20.338,10.297,47.973,28.109
53,648.41,24.711,0,0,9.5,-30.267,-75.794,2.2078,43.319,19.292,-22.246,19.955,9.2836,45.464,26.909
54,663.2,24.958,0,0,9.5,-31.521,-75.544,2.6519,43.159,18.88,-22.265,21.132,9.7621,45.655,28.009
55,699.11,25.184,0,0,9.5,-32.317,-75.747,2.8017,43.155,18.343,-22.363,20.695,8.94,44.572,27.8
56,704.59,25.388,0,0,9.5,-32.844,-74.466,1.9352,43.53,20.651,-22.786,20.511,10.033,44.471,30.104
57,740.78,25.567,0,0,9.5,-31.513,-74.702,2.3966,43.579,19.665,-22.635,21.508,9.7154,44.032,29.954
58,742.04,25.721,0,0,9.5,-31.494,-72.999,2.5593,41.783,20.759,-24.82,21.892,9.2938,44.704,30.067
59,800.71,25.847,0,0,9.5,-31.614,-72.068,0.46039,40.785,20.97,-24.52,22.549,10.134,45.243,31.614
60,800.99,25.944,0,0,9.5,-31.965,-70.888,0.6933,39.243,21.95,-22.91,21.661,11.557,44.765,31.839
61,828.23,26.012,0,0,9.5,-30.872,-72.478,-1.5996,38.141,21.19,-23.037,18.803,10.151,44.181,31.521
62,873.55,26.05,0,0,9.5,-30.556,-71.77,-1.2448,36.947,22.477,-23.17,17.257,10.027,45.186,32.535
63,914.66,26.057,0,0,9.5,-29.367,-72.519,-1.1057,38.13,22.78,-23.471,17.679,10.242,44.206,33.2
64,917.98,26.033,0,0,9.5,-29.253,-72.909,-1.5788,37.311,24.021,-24.26,17.5,12.479,44.051,32.595
65,964.76,25.978,0,0,9.5,-28.72,-73.723,-1.0511,39.189,24.372,-23.749,17.954,13.502,45.414,31.958
66,959.76,25.892,0,0,9.5,-27.721,-71.313,-2.4588,37.394,24.56,-23.689,17.201,12.171,44.765,31.246
67,995.66,25.776,0,0,9.5,-27.435,-71.41,-2.5801,37.415,26.496,-23.278,17.482,12.785,44.387,29.836
68,1017.9,25.631,0,0,9.5,-27.07,-71.365,-1.9539,37.152,26.578,-23.218,16.464,13.173,45.937,29.638
69,1052.1,25.457,0,0,9.5,-27.323,-71.383,-1.8033,37.359,26.361,-24.668,15.223,11.42,46.208,29.816
70,1073.9,25.256,0,0,8.4444,-25.609,-70.875,-2.0742,37.105,25.706,-25.075,16.793,9.249,46.541,29.597
71,1100.7,25.03,0,0,7.3889,-25.381,-72.229,-1.6554,36.016,25.165,-22.908,18.29,10.012,48.764,28.944
72,1120.1,24.779,0,0,6.3333,-24.835,-72.401,-1.1021,36.374,22.975,-21.811,19.207,8.7528,48.689,29.239
73,1165.2,24.507,0,0,5.2778,-23.443,-71.805,-1.9285,37.087,23.971,-20.054,19.28,8.4423,48.849,29.62
74,1199.9,24.214,0,0,4.2222,-24.037,-71.94,-2.8452,36.722,21.802,-20.119,19.626,8.8423,49.361,30.948
75,1210.2,23.904,0,0,3.1667,-25.304,-72.096,-2.9805,39.151,21.223,-20.117,18.068,8.7693,49.391,29.905
76,1239.8,23.578,0,0,2.1111,-25.448,-72.12,-3.3486,37.028,20.364,-17.975,17.269,10.049,47.786,28.736
77,1252,23.239,0,0,1.0556,-26.713,-71.462,-2.1067,37.403,19.814,-17.3,16.461,9.4017,47.048,27.806
78,1278.6,22.89,0,0,0,-25.739,-71.774,-2.2861,36.793,20.861,-16.771,13.728,9.9389,48.2,29.281
79,1309.3,22.533,0,0,0,-26.25,-73.729,-0.96623,35.154,21.733,-17.259,12.563,9.7391,48.24,29.546
80,1325.3,22.172,0,0,0,-27.266,-74.375,-0.78796,34.661,22.377,-18.975,11.463,11.227,47.971,30.892
81,1375.9,21.808,0,0,0,-25.066,-73.528,-2.0423,35.722,23.14,-18.464,11.388,11.338,49.213,29.734
82,1404.6,21.444,0,0,0,-26.309,-73.093,-1.3751,35.866,23.836,-20.367,12.531,11.418,48.267,29.428
83,1425.4,21.084,0,0,0,-27.245,-73.176,-0.012296,36.346,23.774,-22.234,12.337,11.211,48.174,31.481
