Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,0.20155,20.496,1,0,9.5,-34.89,46.879,6.0249,-63.919,4.5511,29.316,64.084,21.327,-4.7714,-6.4266
2,21.405,20.512,1,0,9.5,-36.648,46.178,5.98,-64.308,3.3013,28.032,64.739,23.076,-4.0176,-6.0016
3,-6.9038,20.544,1,0,9.5,-35.793,44.436,7.1399,-64.167,3.5775,27.063,65.887,22.861,-4.9458,-6.1702
4,-0.7386,20.592,1,0,9.5,-36.823,44.213,6.8282,-63.776,3.3994,28.253,65.887,22.536,-4.0848,-4.3261
5,-11.097,20.654,1,0,9.5,-36.949,45.563,4.9679,-64.898,4.111,28.94,66.118,22.628,-3.4113,-3.6644
6,-4.0116,20.731,1,0,9.5,-37.958,45.182,5.2442,-65.809,5.4675,28.13,67.084,21.837,-4.1202,-2.5746
7,-9.1232,20.821,1,0,9.5,-39.257,45.964,5.1419,-63.309,5.6057,26.382,65.185,22.833,-4.5267,-2.7807
8,9.6287,20.924,1,0,9.5,-39.395,45.867,5.0382,-63.623,5.2969,25.703,65.882,20.552,-5.5695,-3.6584
9,-16.513,21.037,1,0,9.5,-37.852,45.74,5.4987,-63.957,6.3734,25.605,65.703,20.896,-5.4346,-4.0701
10,10.246,21.159,1,0,9.5,-38.552,45.767,6.2505,-63.544,4.8394,27.421,66.988,21.115,-6.0338,-2.5315
11,4.0265,21.29,1,0,9.5,-40.062,44.999,7.4992,-64.608,5.6446,28.358,67.069,22.23,-5.3357,-1.372
12,21.685,21.427,1,0,9.5,-39.915,45.941,6.766,-65.003,6.7405,28.653,68.04,23.396,-4.4109,-2.0525
13,1.6622,21.569,1,0,9.5,-40.709,47.416,5.0141,-64.603,7.5054,29.705,68.195,22.999,-3.6033,-2.2105
14,-2.0773,21.713,1,0,9.5,-40.827,49.542,4.0063,-65.645,6.7629,29.391,67.934,23.907,-3.7701,-1.5999
15,-5.3063,21.858,1,0,9.5,-39.714,50.36,3.8366,-65.71,7.1374,29.942,68.258,22.388,-2.8106,-0.91284
16,-2.953,22.003,1,0,9.5,-39.74,49.378,2.5694,-66.043,6.9292,30.828,68.055,21.761,-3.369,1.5943
17,-2.203,22.144,1,0,9.5,-38.998,48.561,2.858,-63.793,6.5827,31.065,69.66,19.63,-3.4699,2.0947
