Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-2.525,20.081,1,0,9.5,-11.06,-10.073,-52.079,-91.978,77.487,35.296,-16.866,56.688,30.504,-66.312
2,-10.375,20.072,1,0,9.5,-10.745,-10.324,-52.659,-90.838,77.205,34.662,-15.286,55.774,31.259,-67.334
3,-2.5113,20.054,1,0,9.5,-9.108,-9.9928,-53.521,-90.248,77.995,34.889,-15.859,55.75,30.348,-67.7
4,22.759,20.027,1,0,9.5,-7.9412,-10.729,-53.221,-90.587,76.878,32.356,-16.152,55.499,29.835,-68.8
5,2.005,19.993,1,0,9.5,-8.1187,-10.605,-52.478,-90.747,76.308,32.508,-16.049,55.192,29.433,-68.193
6,4.3053,19.952,1,0,9.5,-7.4192,-10.595,-51.884,-89.669,74.905,33.418,-16.38,54.576,29.628,-68.894
7,0.86158,19.904,1,0,9.5,-5.3779,-8.9332,-51.237,-91.703,75.93,32.773,-17.381,54.024,30.199,-68.154
8,5.98,19.85,1,0,9.5,-5.7845,-8.9732,-50.99,-91.605,78.369,32.173,-16.362,54.573,29.619,-67.245
9,1.163,19.793,1,0,9.5,-5.8962,-8.6879,-50.153,-91.751,77.798,34.159,-15.48,54.259,29.043,-68.016
10,-6.3385,19.732,1,0,9.5,-5.095,-8.1313,-48.746,-92.165,77.625,35.988,-14.617,53.972,29.683,-69.121
11,7.675,19.67,1,0,9.5,-6.478,-7.4678,-49.526,-92.647,78.172,36.108,-14.809,53.124,30.282,-68.297
12,19.081,19.607,1,0,9.5,-5.9882,-5.77,-50.241,-95.95,77.007,37.817,-15.362,53.265,30.046,-67.842
13,4.5827,19.546,1,0,9.5,-5.6867,-5.9249,-49.362,-97.474,75.038,38.349,-15.219,52.784,31.282,-66.12
14,-2.0498,19.488,1,0,9.5,-5.5532,-5.7769,-50.7,-97.325,74.623,38.614,-15.339,53.477,29.969,-65.967
15,1.5277,19.434,1,0,9.5,-4.9031,-7.1888,-50.997,-97.197,73.358,38.882,-15.29,52.98,29.172,-65.278
16,14.896,19.386,1,0,9.5,-3.9198,-8.4107,-51.849,-98.444,73.45,39.631,-16.088,53.195,29.989,-65.752
17,4.368,19.346,1,0,9.5,-4.141,-9.757,-51.467,-96.704,72.8,41.045,-15.066,52.252,29.45,-64.784
18,11.087,19.314,1,0,9.5,-4.0549,-9.7603,-52.265,-97.438,73.833,42.35,-13.376,51.821,28.829,-66.889
19,-8.6181,19.294,1,0,9.5,-4.1145,-9.8841,-52.682,-98.168,74.103,42.579,-11.74,52.532,30.772,-66.944
20,-1.0353,19.285,1,0,9.5,-3.5923,-10.232,-52.532,-97.446,73.495,42.241,-12.542,52.617,29.51,-65.906
21,0.84049,19.29,1,0,9.5,-3.9303,-10.314,-52.165,-96.901,74.815,42.14,-12.598,56.007,30.621,-66.051
22,-0.30146,19.31,1,0,9.5,-3.8922,-9.8125,-52.161,-97.336,74.203,43.271,-10.818,55.707,31.608,-66.031
23,10.107,19.345,1,0,9.5,-4.6635,-9.5791,-52.928,-97.546,73.464,43.843,-11.087,54.741,32.535,-66.042
24,3.9508,19.396,1,0,9.5,-6.567,-9.0066,-51.835,-97.174,73.197,44.636,-11.024,54.234,32.648,-67.83
25,0.6776,19.465,1,0,9.5,-7.5538,-9.4095,-51.954,-98.096,73.127,43.466,-12.48,54.59,32.182,-68.961
26,13.606,19.551,1,0,9.5,-7.0259,-9.8129,-51.458,-97.187,73.691,42.389,-13.202,55.028,32.84,-69.584
27,1.5346,19.656,1,0,9.5,-6.8067,-8.1953,-50.403,-96.384,73.525,41.971,-12.748,55.725,34.382,-70.317
28,-2.7885,19.779,1,0,9.5,-6.5142,-8.8361,-50.757,-96.641,74.105,41.73,-12.557,53.482,33.341,-70.79
29,17.683,19.92,1,0,9.5,-6.8184,-8.4496,-51.022,-95.826,72.86,41.078,-12.404,54.235,33.495,-70.745
30,18.697,20.08,1,0,9.5,-5.8303,-9.608,-49.182,-96.518,73.293,40.468,-12.028,54.965,32.444,-70.781
31,12.895,20.257,1,0,9.5,-6.7624,-9.967,-48.986,-95.917,73.29,39.945,-13.507,54.206,31.278,-70.865
