Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-1.1629,22.283,1,0,9.5,85.203,-84.884,-19.421,14.117,-13.592,37.394,64.39,-16.549,-8.2088,74.549
2,12.41,22.273,1,0,9.5,84.772,-84.881,-19.462,15.032,-14.045,37.41,63.773,-16.644,-10.003,72.661
3,3.6663,22.254,1,0,9.5,83.717,-83.939,-19.126,15.208,-14.488,37.418,63.888,-16.826,-11.762,72.057
4,11.871,22.226,1,0,9.5,84.363,-82.997,-19.18,15.136,-13.954,37.431,64.642,-16.654,-11.871,73.802
5,16.147,22.188,1,0,9.5,85.12,-81.848,-19.411,15.289,-14.159,38.906,65.078,-16.205,-10.493,74.471
6,-10.068,22.142,1,0,9.5,85.516,-82.647,-19.387,15.472,-12.584,38.954,65.493,-15.957,-10.208,74.739
7,-6.5698,22.089,1,0,9.5,84.544,-81.397,-18.876,16.131,-12.041,40.628,68.091,-16.03,-10.491,76.28
8,3.4821,22.028,1,0,9.5,84.287,-81.638,-19.349,13.947,-11.843,40.791,68.039,-17.096,-10.786,75.329
9,-6.7648,21.961,1,0,9.5,83.003,-79.486,-18.496,11.606,-11.488,41.767,67.674,-16.949,-10.754,73.896
10,15.724,21.889,1,0,9.5,80.57,-80.48,-18.211,11.195,-9.9709,41.018,67.971,-17.289,-11.211,74.646
11,23.629,21.813,1,0,9.5,81.391,-78.493,-18.328,10.277,-8.8151,41.287,67.102,-16.147,-13.354,73.322
12,6.2025,21.734,1,0,9.5,82.783,-76.629,-18.759,11.328,-11.13,42.208,66.974,-16.675,-13.42,72.474
13,14.597,21.653,1,0,9.5,82.527,-75.001,-18.712,12.218,-9.8593,41.866,67.266,-16.993,-13.99,73.467
14,-2.3546,21.57,1,0,9.5,83.185,-75.87,-18.767,12.941,-9.1234,42.631,67.791,-17.464,-13.471,73.987
15,-9.4194,21.489,1,0,9.5,80.952,-75.603,-18.353,13.481,-9.0614,42.563,65.831,-17.255,-14.115,74.163
16,-0.67633,21.409,1,0,9.5,81.404,-75.798,-17.876,12.884,-7.9313,42.383,66.222,-15.972,-13.991,73.897
17,21.871,21.332,1,0,9.5,81.347,-76.298,-16.389,12.239,-7.335,42.935,65.58,-15.859,-12.871,74.757
18,-0.78728,21.259,1,0,9.5,82.242,-77.938,-16.197,12.766,-6.2285,41.945,66.294,-16.202,-11.995,74.885
19,3.0779,21.191,1,0,9.5,82.669,-78.132,-14.304,14.277,-6.8525,42.962,64.891,-16.689,-11.638,73.981
20,-0.16811,21.129,1,0,9.5,82.414,-78.301,-13.424,14.135,-7.1256,43.181,66.288,-15.205,-12.23,74.909
21,7.8745,21.075,1,0,9.5,82.065,-78.225,-14.034,15.04,-7.5271,42.659,65.377,-13.185,-11.828,75.041
22,5.3574,21.03,1,0,9.5,81.529,-78.167,-13.872,15.766,-6.9997,42.147,66.32,-12.747,-11.476,76.704
23,24.097,20.993,1,0,9.5,81.855,-78.78,-12.416,16.639,-9.1184,43.132,66.489,-12.231,-13.164,77.206
24,12.477,20.967,1,0,9.5,81.935,-78.41,-11.671,16.921,-9.285,40.886,65.695,-11.056,-13.053,77.265
25,25.272,20.952,1,0,9.5,80.266,-78.832,-11.612,15.645,-9.024,40.403,63.21,-12.143,-14.226,77.17
26,7.3945,20.948,1,0,9.5,81.68,-79.275,-11.135,15.869,-9.5744,43.639,62.749,-13.03,-13.358,76.327
27,19.394,20.956,1,0,9.5,84.504,-78.747,-10.826,16.425,-9.2943,42.808,61.734,-13.614,-13.286,76.45
28,13.95,20.976,1,0,9.5,84.938,-79.062,-11.798,15.939,-9.7996,43.236,60.887,-12.303,-12.801,76.462
29,39.243,21.008,1,0,9.5,86.874,-77.95,-11.683,16.793,-8.9876,44.027,61.492,-11.136,-12.177,76.105
30,39.362,21.053,1,0,9.5,86.329,-77.172,-11.681,17.294,-9.5766,43.73,62.229,-9.7995,-10.407,77.831
31,90.437,21.11,1,0,9.5,87.825,-79.196,-12.819,17.447,-8.7419,44.957,60.277,-11.123,-9.2494,78.586
32,114.76,21.179,1,0,9.5,86.921,-79.805,-14.317,17.236,-7.1986,45.193,59.667,-11.326,-8.9627,79.892
33,127.62,21.26,1,0,9.5,85.737,-79.567,-14.9,17.102,-8.0761,46.161,59.235,-9.3726,-11.13,79.103
34,148.8,21.352,1,0,9.5,85.597,-81.34,-14.504,18.806,-7.8836,45.546,59.525,-9.6719,-11.799,79.563
35,176.84,21.455,0,0,9.5,85.816,-80.495,-14.608,18.019,-8.4447,45.312,58.295,-8.7201,-11.844,81.158
36,200.02,21.567,0,0,9.5,85.481,-80.411,-15.517,16.821,-7.7938,43.346,58.582,-8.4101,-10.991,82.855
37,239.79,21.688,0,0,9.5,85.72,-80.6,-14.964,17.389,-7.49,42.979,57.92,-7.5713,-9.1199,83.277
38,264.02,21.817,0,0,9.5,86.779,-80.237,-14.944,17.317,-6.4236,42.082,57.539,-6.4623,-8.8508,84.687
39,274.56,21.952,0,0,9.5,86.028,-80.465,-14.849,18.845,-7.0436,41.352,57.654,-6.7955,-10.698,83.394
40,308.75,22.093,0,0,9.5,85.552,-79.808,-14.155,20.31,-7.7146,40.967,56.993,-6.6168,-10.221,83.571
41,344.16,22.239,0,0,9.5,84.162,-79.116,-14.512,18.294,-8.1862,41.178,57.331,-7.2595,-10.136,84.349
42,339.84,22.387,0,0,9.5,84.536,-79.497,-15.829,15.671,-6.9928,41.833,58.245,-6.5569,-10.349,85.231
43,389.67,22.537,0,0,9.5,84.042,-79.374,-17.227,16.683,-5.9321,41.713,59.295,-6.2362,-10.99,84.728
44,406.54,22.686,0,0,9.5,84.402,-79.055,-17.231,16.553,-5.9132,40.2,58.699,-5.974,-12.983,84.398
45,446.59,22.835,0,0,9.5,84.976,-79.173,-17.276,16.372,-5.8096,40.861,58.985,-5.8442,-12.368,86.043
46,446.53,22.981,0,0,9.5,83.662,-78.603,-17.602,17.207,-7.4432,40.525,57.873,-4.6084,-11.163,85.651
47,480,23.122,0,0,9.5,86.009,-78.707,-19.699,17.591,-5.6586,43.115,59.867,-4.7289,-11.172,86.433
48,517.42,23.258,0,0,9.5,87.052,-78.485,-20.493,16.784,-6.0669,44.862,60.654,-5.3464,-11.173,86.395
49,515.51,23.387,0,0,9.5,86.396,-78.655,-18.525,17.082,-5.4117,45.539,60.327,-6.2433,-10.989,87.417
50,562.08,23.507,0,0,9.5,87.889,-78.693,-17.803,16.321,-6.7843,44.534,61.12,-6.2736,-9.5524,86.015
51,585.76,23.619,0,0,9.5,88.771,-79.182,-16.353,19.085,-6.3992,45.094,62.785,-5.4278,-10.123,85.642
52,608.95,23.719,0,0,9.5,88.663,-78.897,-15.707,18.22,-5.5264,45.431,63.377,-4.6946,-10.036,85.538
53,647.79,23.809,0,0,9.5,88.007,-79.568,-13.541,18.434,-6.3505,44.878,61.188,-4.7914,-10.076,87.313
54,668.71,23.885,0,0,9.5,89.8,-80.13,-15.123,17.695,-7.0164,46.836,60.293,-3.4343,-9.4538,86.852
55,676.94,23.949,0,0,9.5,90.108,-81.141,-14.868,18.227,-8.1041,48.151,61.245,-2.0084,-9.8422,87.137
56,716.57,23.999,0,0,9.5,87.751,-81.192,-15.311,18.507,-7.1911,48.583,62.278,-2.4175,-11.156,86.587
