Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,0.89794,16.874,1,0,9.5,-44.246,18.692,27.33,-12.4,-43.245,9.1186,6.9455,-14.801,6.3382,69.299
2,9.641,16.891,1,0,9.5,-43.602,18.722,26.92,-13.912,-43.425,8.3425,6.7607,-14.573,6.2552,69.722
3,3.6833,16.923,1,0,9.5,-44.622,19.497,24.747,-13.747,-43.086,7.5522,8.7302,-14.819,6.0615,69.67
4,12.201,16.971,1,0,9.5,-43.634,17.532,24.312,-13.614,-44.046,6.9647,10.246,-14.922,6.5219,70.832
5,0.64744,17.035,1,0,9.5,-44.72,18.075,23.399,-15.174,-42.832,7.0431,10.242,-14.179,6.4231,70.355
6,-4.6929,17.113,1,0,9.5,-45.225,18.149,24.979,-16.128,-42.356,7.1434,9.6782,-13.047,6.1476,70.992
7,0.69429,17.206,1,0,9.5,-44.686,18.329,26.956,-16.777,-42.067,8.8492,8.9232,-12.749,6.3561,73.413
8,3.0997,17.313,1,0,9.5,-43.793,18.734,25.701,-17.322,-42.659,10.54,10.068,-12.622,7.6623,73.432
9,-8.7124,17.432,1,0,9.5,-42.542,18.789,26.246,-15.461,-42.304,10.163,10.497,-13.381,9.2019,73.111
10,4.6134,17.564,1,0,9.5,-41.416,18.676,25.351,-15.561,-41.972,9.8443,11.321,-13.713,9.2947,73.728
11,12.44,17.707,1,0,9.5,-41.991,17.936,25.819,-16.292,-44.038,9.1302,10.351,-14.486,9.5087,74.025
12,0.11224,17.859,1,0,9.5,-42.286,17.838,27.163,-16.568,-43.631,8.4325,11.803,-15.031,8.9719,74.526
13,9.9058,18.021,1,0,9.5,-42.712,17.401,26.387,-18.542,-43.637,10.069,10.398,-13.464,8.4908,74.015
14,-8.3937,18.19,1,0,9.5,-43.278,17.054,24.757,-18.34,-43.858,9.3024,10.364,-13.649,9.7504,75.565
15,13.516,18.366,1,0,9.5,-43.091,16.945,23.026,-18.895,-44.841,9.3905,11.057,-14.354,9.3141,75.607
16,-5.2305,18.547,1,0,9.5,-44.692,15.668,22.552,-19.175,-44.728,9.3128,10.414,-13.978,8.2816,75.696
17,-11.356,18.733,1,0,9.5,-43.619,15.661,23.656,-20.476,-46.478,8.7095,9.366,-14.701,9.3413,77.539
18,7.6264,18.921,1,0,9.5,-42.955,13.862,25.827,-20.698,-46.886,8.307,8.1827,-17.197,9.5989,76.641
19,-9.7522,19.111,1,0,9.5,-44.678,14.719,27.537,-19.9,-45.962,8.2079,9.1692,-16.933,10.315,75.268
20,12.297,19.301,1,0,9.5,-43.319,14.348,25.894,-19.61,-46.445,10.113,7.4703,-16.574,11.341,75.326
21,20.126,19.491,1,0,9.5,-43.793,12.781,24.944,-20.318,-45.888,9.7844,8.6013,-17.888,10.84,75.63
22,11.778,19.679,1,0,9.5,-44.799,12.835,26.636,-20.281,-45.885,9.2156,10.193,-18.671,11.711,75.27
23,18.342,19.865,1,0,9.5,-46.365,13.047,27.144,-21.379,-45.994,9.7143,9.8236,-17.445,12.017,74.015
24,0.16663,20.046,1,0,9.5,-45.811,12.901,29.043,-20.703,-45.651,10.273,12.546,-16.926,11.478,75.515
25,7.2424,20.223,1,0,9.5,-47.237,10.304,31.596,-19.167,-45.733,9.6718,10.706,-17.916,10.603,75.905
26,12.824,20.394,1,0,9.5,-46.287,9.8196,32.802,-18.907,-46.123,11.642,11.224,-17.264,11.609,78.324
27,4.1698,20.559,1,0,9.5,-45.262,9.8403,33.352,-18.187,-45.051,11.691,10.253,-16.54,12.286,79.86
28,11.897,20.717,1,0,9.5,-45.331,10.486,32.337,-18.803,-45.307,13.155,9.2418,-14.661,12.32,78.94
29,12.226,20.868,1,0,9.5,-45.421,9.9269,32.295,-18.038,-45.617,12.152,8.6674,-16.186,12.731,77.773
30,20.429,21.011,1,0,9.5,-45.307,8.4743,31.963,-18.137,-46.63,10.39,9.0518,-15.915,11.422,78.142
31,10.744,21.146,1,0,9.5,-45.352,7.6223,32.034,-18.1,-47.336,9.0999,9.2895,-16.167,12.135,79.49
32,-0.35176,21.272,1,0,9.5,-44.349,8.287,31.523,-17.009,-47.398,9.4898,8.0311,-16.26,12.302,79.618
33,10.479,21.39,1,0,9.5,-42.783,8.6387,30.951,-16.237,-48.359,11.12,7.6385,-14.198,12.26,80.211
34,40.384,21.5,1,0,9.5,-41.778,7.9349,29.953,-17.518,-49.541,11.195,6.734,-14.629,12.784,79.925
35,75.253,21.601,1,0,9.5,-40.824,6.3264,30.13,-16.024,-49.479,11.781,5.6559,-15.471,12.457,79.218
36,81.42,21.695,1,0,9.5,-40.74,6.2396,30.837,-15.961,-49.368,8.1086,5.1136,-16.575,11.67,78.756
37,119.6,21.781,1,0,9.5,-40.856,6.8101,32.082,-16.876,-49.574,8.5666,4.8565,-17.896,10.219,77.457
38,114.87,21.86,1,0,9.5,-40.925,7.812,31.726,-16.079,-48.861,9.3144,4.5239,-17.821,9.8295,76.278
39,153.36,21.932,1,0,9.5,-41.871,7.88,31.972,-17.438,-50.596,8.4317,4.313,-17.866,9.035,73.384
40,172.43,21.999,0,0,9.5,-42.057,7.9097,31.223,-17.524,-50.45,7.626,4.0278,-17.641,8.3807,73.24
41,173.27,22.06,0,0,9.5,-42.966,8.3696,30.803,-17.511,-49.373,6.6474,3.5721,-17,6.4736,72.1
42,219.73,22.117,0,0,9.5,-41.603,9.4008,31.005,-18.512,-46.943,5.5337,5.6863,-17.888,5.4953,72.349
43,232.84,22.171,0,0,9.5,-43.001,9.9594,31.802,-16.981,-46.128,4.8244,6.1404,-17.943,5.7597,71.065
44,268.43,22.221,0,0,9.5,-43.85,9.0975,30.24,-15.847,-46.173,3.6583,6.3807,-18.889,6.8312,70.981
45,265.79,22.27,0,0,9.5,-44.123,10.446,30.461,-16.773,-48.518,2.762,4.3913,-18.105,8.5835,70.922
46,302.93,22.318,0,0,9.5,-44.758,10.183,28.938,-16.814,-47.423,2.9522,4.7988,-18.843,8.3494,70.739
47,319.78,22.367,0,0,9.5,-44.624,10.409,28.857,-17.645,-47.893,1.1548,5.8816,-18.115,8.4539,71.171
48,341.4,22.416,0,0,9.5,-44.417,10.607,28.36,-16.77,-48.695,1.1293,4.7432,-17.555,7.0839,73.421
49,361.8,22.468,0,0,9.5,-43.338,9.909,30.501,-14.601,-46.796,2.2621,6.5613,-18.208,5.4648,73.532
50,389.78,22.522,0,0,9.5,-42.867,11.129,30.124,-15.744,-47.771,1.8904,6.8852,-18.371,6.7739,73.653
51,398.09,22.58,0,0,9.5,-41.558,10.336,30.154,-15.475,-46.795,4.0707,8.3243,-17.079,7.8882,73.722
52,428.2,22.643,0,0,9.5,-40.707,11.028,28.758,-14.271,-46.952,5.2161,8.6332,-17.945,7.2982,73.459
53,461.18,22.711,0,0,9.5,-39.772,11.242,28.452,-15.954,-48.342,4.6752,8.9151,-15.788,6.2276,74.136
54,472.51,22.786,0,0,9.5,-38.752,12.82,29.103,-13.851,-49.785,3.7057,8.0884,-15.353,5.3369,74.297
55,486.55,22.867,0,0,9.5,-40.054,12.133,29.375,-15.879,-51.042,5.2145,10.157,-15.266,6.8281,72.991
56,516.72,22.955,0,0,9.5,-40.021,12.544,28.501,-16.853,-51.868,6.2928,8.9923,-14.528,7.5499,73.98
57,531.31,23.05,0,0,9.5,-40.263,11.209,29.182,-18.494,-53.39,7.6201,7.2127,-13.805,7.9128,73.348
58,561.61,23.154,0,0,9.5,-40.326,12.758,30.601,-19.619,-54.068,6.0138,4.9355,-13.952,8.0283,73.444
59,588.98,23.266,0,0,9.5,-38.157,12.686,31.687,-20.234,-53.837,6.6832,4.3814,-12.605,6.7678,71.623
60,615.58,23.386,0,0,9.5,-38.38,12.519,31.465,-20.736,-54.471,6.3147,4.9388,-9.6776,5.4358,71.377
61,617.6,23.514,0,0,9.5,-39.553,12.964,32.889,-21.198,-52.935,6.7162,4.9187,-8.7937,5.6986,71.693
62,647.06,23.65,0,0,9.5,-38.865,12.77,33.274,-21.268,-54.408,4.0526,5.4812,-10.749,4.519,72.481
63,682.53,23.793,0,0,9.5,-38.889,11.748,33.939,-23.497,-53.377,4.4791,5.8059,-11.531,4.2894,73.052
64,695.97,23.945,0,0,9.5,-36.886,11.079,34.03,-22.686,-53.471,5.2109,6.2516,-12.169,4.1758,71.103
65,703.79,24.103,0,0,9.5,-37.206,11.16,34.765,-24.208,-54.135,4.1069,5.1217,-12.448,3.7343,71.846
66,757.16,24.267,0,0,9.5,-37.145,12.785,35.689,-24.243,-53.051,2.8404,6.7346,-11.641,4.3021,71.168
67,768.57,24.436,0,0,9.5,-37.081,11.99,36.297,-23.799,-52.936,3.8475,5.9599,-11.457,5.4223,72.931
68,778.96,24.611,0,0,9.5,-36.164,11.421,35.803,-24.476,-53.302,2.9505,6.2604,-10.94,6.8713,72.497
69,819.14,24.789,0,0,9.5,-35.936,11.875,34.792,-23.928,-53.601,2.9706,6.5612,-11.688,6.963,73.487
70,831.3,24.97,0,0,9.5,-35.416,12.196,35.726,-24.348,-51.076,2.6585,5.4643,-9.9159,7.9889,72.729
71,869.92,25.152,0,0,9.5,-36.132,9.7163,34.818,-24.626,-50.582,2.4638,6.163,-11.26,8.9911,72.802
72,858.32,25.335,0,0,9.5,-35.806,9.4013,34.01,-24.354,-50.632,4.3526,7.2636,-9.1676,7.0006,72.623
73,901.06,25.517,0,0,9.5,-38.081,7.9192,34.295,-24.683,-50.364,3.5925,6.3967,-9.2435,5.5726,72.513
