Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,1.0526,16.588,1,0,9.5,26.723,-87.098,1.3568,59.879,1.3746,-33.467,9.6937,44.427,24.207,50.897
2,4.4539,16.601,1,0,9.5,25.841,-87.033,0.044361,60.835,1.3913,-33.654,9.5229,45.476,23.074,51.099
3,-20.062,16.627,1,0,9.5,24.371,-89.571,-0.94037,61.379,0.43589,-35.099,7.9754,46.658,22.74,51.516
4,10.516,16.665,1,0,9.5,25.467,-89.637,-0.33589,61.931,-0.25278,-33.898,8.6259,47.358,21.081,52.179
5,6.1386,16.716,1,0,9.5,25.398,-90.518,-1.1242,62.372,0.95616,-34.283,8.4666,47.465,20.52,51.585
6,-10.105,16.778,1,0,9.5,25.262,-91.044,-0.88497,61.768,0.84251,-34.213,6.3778,47.608,20.859,52.215
7,-4.5088,16.852,1,0,9.5,24.448,-90.012,-0.64301,61.013,0.94355,-33.844,7.1662,46.485,20.586,50.259
8,-5.6533,16.935,1,0,9.5,24.911,-89.98,-2.267,59.01,1.8627,-34.536,6.3552,48.963,21.065,51.994
9,-4.5256,17.027,1,0,9.5,24.732,-88.674,-0.019995,59.544,4.1085,-33.446,5.4629,48.742,21.036,52.907
10,8.1372,17.127,1,0,9.5,26.416,-89.348,1.5973,61.281,4.0101,-32.472,6.47,47.856,20.969,53.394
11,-15.488,17.234,1,0,9.5,26.137,-89.014,0.00014829,63.268,3.7841,-31.433,5.9322,47.451,20.647,53.144
12,8.3196,17.347,1,0,9.5,24.291,-87.687,0.33087,63.117,5.2643,-31.619,5.5489,49.707,20.303,52.462
13,20.495,17.463,1,0,9.5,25.708,-87.031,2.2402,62.803,3.9126,-31.827,5.9598,49.42,19.08,53.337
14,6.5832,17.583,1,0,9.5,26.329,-86.656,2.7013,62.777,6.9925,-32.931,6.9451,49.809,18.93,53.383
15,-3.6547,17.704,1,0,9.5,26.312,-85.918,3.3612,64.282,6.3633,-33.234,7.7152,50.108,20.086,53.912
16,4.1828,17.825,1,0,9.5,26.953,-84.126,5.277,64.239,6.1224,-33.237,8.508,49.179,21.138,53.102
17,-7.3569,17.944,1,0,9.5,27.156,-85.279,6.2882,62.143,5.7865,-31.996,9.4167,48.5,22.019,52.684
18,4.394,18.061,1,0,9.5,28.315,-86.845,6.0614,63.376,5.5266,-32.383,9.5328,49.391,21.778,52.239
19,-14.966,18.173,1,0,9.5,27.932,-84.272,6.2314,62.563,6.2468,-32.801,8.4274,48.61,20.912,51.68
20,11.573,18.279,1,0,9.5,27.441,-83.415,5.0523,61.163,6.8715,-32.845,8.3788,48.667,20.612,48.916
21,28.196,18.379,1,0,9.5,26.96,-84.254,4.8983,63.504,6.7101,-33.228,8.4748,49.99,21.008,48.573
22,4.1867,18.471,1,0,9.5,27.174,-84.449,4.6138,62.968,7.2118,-32.663,10.784,50.313,21.94,48.579
23,2.3049,18.553,1,0,9.5,26.057,-85.225,4.3239,63.384,6.3162,-32.814,10.757,50.046,22.331,49.406
24,4.5463,18.625,1,0,9.5,26.428,-84.991,4.4644,63.723,5.815,-33.071,10.654,52.283,25.365,49.415
25,-9.0463,18.686,1,0,9.5,26.877,-86.438,3.7632,63.739,5.3338,-32.739,10.998,52.507,24.068,47.786
26,18.361,18.734,1,0,9.5,27.027,-86.518,5.1484,63.715,5.422,-32.116,11.389,50.469,25.201,47.192
27,17.415,18.77,1,0,9.5,27.345,-87.609,3.9115,64.847,5.6528,-30.198,10.264,49.392,24.814,46.397
28,-5.7865,18.793,1,0,9.5,26.933,-85.831,4.8375,65.638,6.965,-28.485,10.83,50.708,24.077,47.88
29,5.9514,18.803,1,0,9.5,26.622,-86.908,4.7605,66.042,6.4682,-27.988,10.881,49.466,23.188,49.223
30,1.2094,18.798,1,0,9.5,26.541,-88.225,3.5692,65.761,5.6621,-27.365,11.049,49.631,22.727,48.849
