Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,12.958,23.193,1,0,9.5,75.163,-50.551,28.108,-23.781,18.648,25.875,54.707,136.62,30.921,-57.515
2,-7.8811,23.191,1,0,9.5,75.931,-52.016,29.112,-23.398,19.097,25.43,53.252,135.21,31.879,-57.327
3,-0.029131,23.186,1,0,9.5,75.977,-53.192,29.309,-25.034,18.473,25.666,52.648,136.14,31.977,-56.96
4,5.8817,23.18,1,0,9.5,75.157,-52.127,30.017,-25.353,19.182,27.465,51.525,135.22,32.467,-56.048
5,20.776,23.171,1,0,9.5,75.434,-53.029,29.025,-26.074,17.93,26.634,50.674,136.67,32.641,-55.19
6,3.8185,23.161,1,0,9.5,76.655,-53.127,28.634,-26.553,18.5,27.53,49.65,136.08,32.678,-56.046
7,5.1399,23.15,1,0,9.5,76.505,-54.646,28.372,-25.957,17.017,27.904,48.93,136.39,32.722,-54.831
8,-13.578,23.138,1,0,9.5,76.28,-53.881,27.68,-24.106,15.248,26.435,48.628,136.91,32.81,-53.845
9,-5.6909,23.126,1,0,9.5,77.435,-54.894,28.013,-22.683,14.695,26.382,48.007,137.05,33.409,-54.248
10,-1.7696,23.114,1,0,9.5,76.926,-56.245,28.041,-23.561,14.037,27.395,47.579,136.7,35.362,-55.166
11,7.7801,23.102,1,0,9.5,76.924,-56.124,26.637,-23.352,14.578,28.566,49.01,139.07,34.411,-56.536
12,2.0136,23.092,1,0,9.5,76.654,-57.189,25.407,-23.412,15.614,29.366,49.393,137.92,34.882,-58.179
13,-4.5646,23.083,1,0,9.5,76.232,-56.69,24.093,-22.053,16.308,28.965,47.445,138.96,34.746,-59.452
14,5.429,23.077,1,0,9.5,75.999,-56.509,25.429,-22.106,17.735,29.05,47.191,137.19,34.443,-58.36
15,11.365,23.075,1,0,9.5,74.22,-55.668,26.008,-23.063,20.689,28.526,47.151,135.74,34.158,-58.351
