Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,8.9801,10.787,1,0,9.5,57.045,37.786,-81.646,10.555,-20.326,76.34,37.036,2.6492,23.294,68.399
2,-11.254,10.84,1,0,9.5,57.767,38.399,-79.386,10.104,-20.731,76.31,36.402,0.92081,21.963,67.778
3,5.3519,10.944,1,0,9.5,56.054,37.759,-77.468,9.901,-20.704,74.966,35.892,1.3438,22.866,68.52
4,-4.3806,11.099,1,0,9.5,55.009,37.062,-76.933,9.8277,-23.226,75.699,36.031,0.95437,23.153,68.687
5,3.6598,11.305,1,0,9.5,53.767,36.615,-76.799,10.931,-22.318,74.739,35.874,2.2434,21.601,67.552
6,15.391,11.56,1,0,9.5,52.821,35.745,-77.809,10.848,-23.78,75.101,35.366,0.25848,21.935,69.758
7,4.2577,11.861,1,0,9.5,52.433,35.967,-77.971,11.815,-24.658,75.54,36.05,0.10424,21.854,69.542
8,32.102,12.208,1,0,9.5,53.145,35.079,-78.294,12.049,-25.626,73.237,34.791,-0.77477,20.806,67.888
9,5.5052,12.596,1,0,9.5,54.063,33.924,-79.281,12.856,-24.844,74.553,34.057,-1.8124,22,66.804
10,5.7487,13.025,1,0,9.5,54.136,35.333,-77.555,12.127,-26.755,74.224,33.407,-2.0302,23.135,67.276
11,-4.3716,13.491,1,0,9.5,53.284,35.693,-77.073,13.002,-27.336,73.152,32.527,-2.3412,20.659,67.649
12,-3.8287,13.991,1,0,9.5,54.007,34.7,-79.532,13.277,-26.276,72.722,30.683,-0.80682,18.826,68.65
13,-0.79083,14.521,1,0,9.5,52.706,35.641,-80.224,13.292,-27.121,74.184,29.603,-0.66487,17.868,67.586
14,-4.4146,15.077,1,0,9.5,50.511,36.023,-79.56,11.75,-27.296,72.978,29.087,-1.3197,19.873,67.382
15,23.976,15.657,1,0,9.5,51.112,35.148,-78.896,12.497,-27.399,72.767,30.539,-1.1528,20.49,68.877
16,13.685,16.256,1,0,9.5,51.278,36.669,-78.679,11.657,-26.886,73.507,30.74,-0.51025,19.457,68.626
17,3.8353,16.87,1,0,9.5,51.012,37.055,-78.436,10.265,-24.05,73.815,30.47,-0.75807,19.79,68.815
18,1.8616,17.496,1,0,9.5,52.081,37.741,-79.177,11.791,-22.245,74.537,31.222,-1.8259,19.099,69.684
19,-3.696,18.128,1,0,9.5,53.593,37.653,-79.062,12.575,-22.447,75.249,29.621,-1.2014,16.753,69.797
20,12.096,18.764,1,0,9.5,52.68,38.123,-80.293,13.25,-22.966,74.272,30.328,-0.32069,16.802,70.226
21,30.724,19.398,1,0,9.5,53.461,37.74,-80.641,13.145,-22.25,74.157,28.449,0.50587,16.984,70.219
22,0.75097,20.027,1,0,9.5,54.826,37.577,-80.718,14.43,-20.988,74.179,29.615,0.94917,18.285,69.914
23,23.298,20.647,1,0,9.5,55.38,38.231,-80.933,15.043,-21.492,74.764,28.773,0.37535,17.29,70.44
24,5.1833,21.254,1,0,9.5,56.983,38.497,-80.78,14.051,-21.811,74.664,29.252,-1.2827,17.667,71.1
25,4.9968,21.844,1,0,9.5,55.528,38.972,-79.958,13.382,-21.927,73.257,29.312,-1.029,18.875,70.272
26,-4.9966,22.415,1,0,9.5,54.074,39.376,-80.56,14.296,-22.993,73.438,30.061,0.38046,18.944,69.755
27,25.232,22.961,1,0,9.5,53.436,39.329,-81.144,15.258,-24.692,73.88,30.247,-0.82127,18.955,70.69
28,-3.6017,23.481,1,0,9.5,53.371,38.143,-81.935,15.379,-25.924,75.837,29.195,-0.57184,19.658,70.474
29,6.5947,23.971,1,0,9.5,54.425,38.714,-81.168,15.71,-25.88,75.427,30.393,0.18032,20.591,70.533
30,16.649,24.429,1,0,9.5,54.805,38.872,-81.818,15.341,-25.136,75.086,29.859,2.0233,19.403,70.637
31,23.055,24.852,1,0,9.5,54.432,38.225,-80.924,15.595,-22.799,74.711,29.442,1.0009,21.417,70.97
32,-3.0378,25.239,1,0,9.5,54.703,37.632,-81.639,14.698,-23.223,75.103,28.046,-0.62557,20.428,71.277
33,11.772,25.587,1,0,9.5,53.503,38.135,-80.399,16.129,-22.976,75.616,29.643,-0.80113,20.464,72.199
34,26.664,25.894,1,0,9.5,50.682,36.996,-78.378,15.117,-22.356,75.449,29.632,-1.4617,20.086,72.986
35,42.885,26.161,1,0,9.5,48.417,35.803,-78.236,13.122,-20.955,75.643,31.026,-2.6611,20.271,73.884
36,81.861,26.385,1,0,9.5,46.346,35.279,-78.602,12.766,-20.875,76.299,30.203,-3.8033,21.404,72.708
37,109.88,26.567,1,0,9.5,46.155,34.433,-79.099,13.275,-20.887,75.631,28.164,-2.4703,20.91,71.689
38,119.46,26.706,0,0,9.5,46.837,35.554,-79.492,14.004,-22.741,76.569,28.164,-3.8333,21.485,70.407
