Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-9.7866,21.771,1,0,9.5,-58.338,-21.546,6.9575,67.768,27.531,67.775,32.754,29.584,2.8218,67.348
2,-3.2148,21.767,1,0,9.5,-57.716,-21.879,5.4683,67.353,28.228,68.379,32.525,31.531,3.6343,68.114
3,14.207,21.758,1,0,9.5,-58.685,-23.47,7.9191,67.385,29.205,68.178,30.783,31.292,3.9748,68.733
4,11.931,21.745,1,0,9.5,-56.241,-22.505,7.1074,67.526,27.501,68.329,30.803,30.905,4.3002,71.335
5,-5.7641,21.728,1,0,9.5,-56.222,-22.224,8.5895,69.106,26.466,68.401,29.577,30.449,4.6647,71.279
6,-6.8806,21.707,1,0,9.5,-55.09,-22.145,7.3693,70.48,25.082,69.396,28.384,29.514,3.4774,69.379
7,-5.2288,21.683,1,0,9.5,-55.052,-21.723,8.4845,70.262,24.561,69.24,29.048,28.544,3.1048,68.281
8,-6.0618,21.657,1,0,9.5,-55.449,-21.066,7.0175,69.455,25.719,68.732,27.808,29.933,2.6518,67.539
9,16.548,21.628,1,0,9.5,-55.62,-20.586,8.015,68.557,23.963,69.056,28.568,30.542,2.6835,68.509
10,-1.9079,21.598,1,0,9.5,-56.593,-19.82,7.3772,67.297,24.818,70.328,28.91,30.515,2.954,69.047
11,4.6158,21.567,1,0,9.5,-57.12,-21.347,6.3557,68.401,24.481,69.657,29.223,30.538,3.2699,70.599
12,-1.9949,21.537,1,0,9.5,-57.851,-22.45,5.8071,68.063,23.814,68.332,28.29,31.039,5.2163,69.645
13,19.137,21.506,1,0,9.5,-58.37,-21.843,5.6677,66.98,24.841,67.982,28.719,31.2,5.3346,69.818
14,-0.26352,21.478,1,0,9.5,-58.802,-22.031,6.2922,67.566,24.117,67.647,28.962,30.016,5.0657,69.547
15,29.071,21.452,1,0,9.5,-57.834,-20.141,6.9142,66.495,24.339,66.303,29.186,32.177,2.3037,69.769
16,6.3687,21.429,1,0,9.5,-57.32,-20.27,6.7372,66.037,25.957,66.399,28.673,32.346,2.8199,68.066
17,17.257,21.41,1,0,9.5,-56.279,-20.098,5.3798,66.679,26.119,65.225,27.909,32.175,2.0254,67.206
18,12.418,21.396,1,0,9.5,-55.584,-17.919,4.2298,67.913,25.395,64.301,26.918,32.559,2.4329,66.377
19,15.367,21.387,1,0,9.5,-56.541,-16.51,4.2301,66.236,24.57,64.849,28.118,33.092,-0.03612,67.308
20,1.6371,21.385,1,0,9.5,-55.268,-15.656,2.7617,65.648,24.36,65.583,27.915,33.957,0.17423,66.874
21,-5.2037,21.39,1,0,9.5,-54.19,-15.236,2.8204,65.593,25.681,66.504,28.485,33.961,-0.41759,66.068
22,13.727,21.403,1,0,9.5,-54.239,-15.603,2.7937,65.415,24.936,66.827,28.66,33.81,-0.00084203,64.892
23,6.7326,21.424,1,0,9.5,-53.789,-15.116,1.8885,64.938,24.038,66.866,30.823,32.839,1.1227,64.939
24,0.29712,21.453,1,0,9.5,-54.716,-14.257,1.664,65.064,24.936,66.041,29.594,33.094,3.0156,63.673
25,16.974,21.492,1,0,9.5,-53.658,-14.692,-0.75623,65.107,26.799,68.112,27.757,33.224,2.1208,62.49
26,20.073,21.54,1,0,9.5,-54.852,-15.035,-0.9228,65.204,26.931,68.342,28.21,32.981,2.8951,62.357
27,13.572,21.598,1,0,9.5,-54.695,-16.222,-1.3716,64.765,26.836,68.735,28.526,32.185,2.1577,62.016
28,12.653,21.666,1,0,9.5,-55.854,-18.119,-2.9884,64.391,25.359,69.621,29.612,30.348,2.9009,62.461
29,10.476,21.744,1,0,9.5,-56.957,-18.057,-3.5743,61.926,24.092,69.355,30.57,31.324,3.3345,62.225
30,81.771,21.832,1,0,9.5,-55.006,-19.56,-3.8164,61.135,23.852,70.327,32.337,30.247,2.0287,62.914
31,78.426,21.93,1,0,9.5,-54.404,-20.611,-2.7811,63.44,22.617,72.176,32.465,29.835,2.2506,61.083
32,105.53,22.037,1,0,9.5,-54.34,-19.522,-3.9527,64.733,22.043,71.062,33.651,30.71,3.1012,60.804
33,141.84,22.153,1,0,9.5,-54.046,-18.975,-4.3799,65.775,23.516,68.45,34.732,32.158,1.6984,61.45
34,145.68,22.278,0,0,9.5,-53.685,-17.635,-3.6267,66.126,22.793,67.052,36.987,31.785,2.3118,62.846
35,190.79,22.411,0,0,9.5,-53.218,-18.048,-3.8354,65.975,23.913,67.803,37.336,33.199,1.8229,62.701
36,205.04,22.551,0,0,9.5,-53.787,-17.778,-3.0042,65.324,22.43,67.606,36.511,32.666,1.2182,62.051
37,252.06,22.699,0,0,9.5,-54.641,-17.869,-3.0599,63.808,23.314,66.843,35.217,33.685,1.0751,62.86
38,274.24,22.851,0,0,9.5,-56.143,-17.341,-2.9285,65.052,24.484,66.625,35.215,33.736,0.44708,62.294
39,286.71,23.009,0,0,9.5,-54.849,-17.991,-1.9613,65.845,25.579,67.201,35.154,32.947,-0.20254,61.783
40,313.35,23.171,0,0,9.5,-53.553,-17.47,-2.4428,65.085,26.941,66.071,34.557,32.833,-2.1737,62.494
41,350.22,23.336,0,0,9.5,-54.113,-17.845,-0.54185,65.318,27.048,65.327,33.748,32.524,-1.8021,63.072
42,365.72,23.502,0,0,9.5,-54.832,-17.776,-1.3484,64.741,27.841,65.271,34.416,31.45,-2.8579,62.896
43,388.65,23.67,0,0,9.5,-55.393,-17.467,-1.4114,64.955,27.869,65.097,33.242,31.888,-2.9559,61.996
44,446.41,23.836,0,0,9.5,-54.056,-17.392,-0.030281,64.708,26.998,65.3,33.162,31.301,-3.3006,62.078
45,440.69,24.001,0,0,9.5,-55.217,-18.309,0.19507,64.844,28.32,65.879,32.688,33.353,-3.5275,61.017
46,490.77,24.163,0,0,9.5,-55.72,-18.728,-0.47577,66.077,28.675,64.476,33.967,33.853,-3.0504,61.03
47,498.79,24.321,0,0,9.5,-56.401,-17.774,1.443,65.891,27.942,65.87,32.892,33.758,-3.0382,61.523
48,536.91,24.474,0,0,9.5,-56.141,-17.785,1.3983,65.912,27.55,65.132,32.541,35.271,-5.1598,60.757
49,558.08,24.62,0,0,9.5,-57.732,-16.73,1.3705,65.686,29.014,65.866,33.002,35.203,-6.0573,59.765
50,592.65,24.759,0,0,9.5,-56.049,-17.559,0.71272,65.867,28.804,66.206,33.075,34.788,-7.1954,61.328
51,604.38,24.89,0,0,9.5,-57.668,-18.222,0.97934,64.995,29.963,66.926,34.866,35.71,-7.3213,60.399
52,614.45,25.01,0,0,9.5,-58.114,-17.284,1.167,63.775,30.583,66.534,35.699,36.103,-8.1221,59.669
53,650.34,25.121,0,0,9.5,-56.685,-17.64,1.1341,62.976,29.026,66.736,37.038,36.952,-7.3348,60.844
54,677.23,25.22,0,0,9.5,-56.5,-17.057,2.3031,63.235,29.648,67.865,36.294,37.505,-7.6156,63.05
55,722.57,25.307,0,0,9.5,-56.818,-16.612,3.1561,61.791,27.436,66.25,36.194,38.125,-7.9028,62.884
56,729.9,25.382,0,0,9.5,-56.547,-16.794,3.0589,61.6,28.041,65.862,34.533,38.944,-8.4769,63.092
