Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,5.4387,22.049,1,0,9.5,80.378,-105.95,26.163,-34.081,1.9152,-2.7032,72.796,67.94,33.033,-14.937
2,8.1486,22.046,1,0,9.5,79.761,-106.29,24.392,-34.57,0.89541,-0.39964,72.946,69.046,32.225,-16.782
3,14.566,22.04,1,0,9.5,79.716,-103.7,23.944,-36.173,1.1259,0.66661,73.257,69.669,30.834,-17.132
4,0.15693,22.031,1,0,9.5,80.19,-104.02,24.227,-36.883,2.4533,0.073281,72.009,70.294,31.619,-18.778
5,-13.507,22.02,1,0,9.5,79.675,-104.35,23.95,-34.918,3.1778,-2.0955,74.129,70.134,31.725,-18.584
6,0.6667,22.005,1,0,9.5,79.756,-104.41,23.138,-35.406,2.4183,-1.9043,74.968,70.193,32.128,-18.239
7,9.3148,21.988,1,0,9.5,78.144,-103.49,24.521,-36.657,2.4395,-0.89363,76.853,70.506,31.742,-18.822
8,-0.94397,21.969,1,0,9.5,77.904,-103.95,24.159,-35.908,3.8999,0.8416,77.374,70.02,29.758,-18.911
9,6.9693,21.948,1,0,9.5,75.888,-103.08,23.94,-37.746,4.52,1.838,77.644,70.794,29.623,-18.47
10,-5.4975,21.924,1,0,9.5,75.457,-103.59,24.556,-37.669,3.3122,4.2251,78.691,70.112,31.329,-17.202
11,3.7507,21.899,1,0,9.5,76.046,-104.16,21.585,-37.611,3.2475,4.1406,79.94,71.518,29.41,-16.57
12,-4.6233,21.873,1,0,9.5,74.627,-104.47,21.106,-37.972,3.9479,2.901,78.392,71.552,29.236,-17.179
13,11.319,21.845,1,0,9.5,73.776,-104.8,22.383,-37.714,4.2964,1.8372,78.332,74.119,30.8,-17.643
14,14.771,21.816,1,0,9.5,72.83,-103.99,24.252,-37.841,5.1731,2.4086,79.301,73.049,29.916,-18.814
15,-7.0311,21.787,1,0,9.5,72.294,-103.2,23.583,-38.694,5.5725,2.874,78.926,72.212,28.905,-17.923
16,10.105,21.757,1,0,9.5,71.102,-101.22,21.996,-38.739,4.7279,4.0492,78.247,73.599,27.864,-18.415
17,-8.5441,21.727,1,0,9.5,71.48,-100.3,21.674,-39.149,5.0858,5.0967,76.503,74.147,27.137,-17.214
18,0.29897,21.697,1,0,9.5,72.482,-101.55,21.679,-39.837,5.4703,4.6438,76.743,74.307,26.223,-16.301
19,18.348,21.666,1,0,9.5,73.697,-101.97,22.32,-41.052,5.8189,4.5928,76.219,74.089,25.037,-16.721
