Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-4.1094,19.93,1,0,9.5,81.515,-11.764,95.131,-55.307,9.346,65.076,-24.283,15.483,10.49,62.182
2,-23.903,19.923,1,0,9.5,80.508,-12.16,94.693,-53.963,7.5268,65.694,-22.616,14.29,10.064,59.985
3,1.6457,19.91,1,0,9.5,80.844,-11.904,95.275,-52.483,7.1427,66.111,-22.966,12.755,11.027,60.727
4,-1.8844,19.891,1,0,9.5,81.468,-12.196,95.869,-54.079,7.0579,68.49,-23.982,12.618,10.899,60.167
5,-13.674,19.866,1,0,9.5,81.474,-13.32,94.32,-54.108,7.2038,67.578,-25.175,11.456,8.4668,61.169
6,-0.30953,19.835,1,0,9.5,82.524,-13.148,95.018,-52.257,6.2874,69.657,-24.939,11.726,9.6771,62.551
7,10.139,19.8,1,0,9.5,83.299,-12.678,93.861,-52.204,5.8969,69.377,-24.444,10.069,9.4845,63.428
8,3.3913,19.76,1,0,9.5,82.804,-11.826,95.795,-50.977,7.5145,70.186,-24.734,10.924,9.4179,62.612
9,8.5094,19.717,1,0,9.5,82.38,-14.755,95.557,-51.328,7.141,70.162,-25.892,9.8234,10.123,62.927
10,-4.03,19.672,1,0,9.5,81.404,-13.957,95.612,-50.32,7.488,68.56,-23.446,8.3738,9.5669,62.395
11,8.1272,19.625,1,0,9.5,81.153,-12.674,97.024,-49.571,9.5636,67.999,-22.565,9.4183,12.322,63.837
12,15.883,19.578,1,0,9.5,83.151,-12.333,98.033,-49.455,9.174,68.235,-22.059,9.2521,10.364,62.785
13,16.835,19.531,1,0,9.5,83.746,-13.21,97.742,-50.736,8.8518,68.057,-21.937,7.8994,10.162,61.842
14,-6.2341,19.486,1,0,9.5,83.922,-12.723,98.032,-50.203,8.1909,69.128,-22.854,7.3833,9.8774,62.676
15,11.084,19.444,1,0,9.5,83.13,-13.251,99.557,-51.26,8.9779,69.518,-22.317,7.5856,10.101,61.487
16,4.0548,19.405,1,0,9.5,83.528,-14.201,99.587,-50.682,9.0979,68.285,-21.612,7.4748,9.6212,62.085
17,11.98,19.371,1,0,9.5,83.535,-15.297,98.657,-49.98,8.4206,67.94,-21.983,8.6309,9.9315,62.529
18,-14.264,19.343,1,0,9.5,83.422,-14.85,97.947,-48.733,6.5688,68.581,-20.701,10.037,9.6518,61.657
19,10.752,19.322,1,0,9.5,83.12,-15.366,97.127,-48.2,6.9039,67.005,-20.631,8.7828,9.1252,61.503
20,4.3957,19.308,1,0,9.5,83.278,-14.993,98.075,-46.797,6.0693,66.053,-20.23,9.023,9.2955,61.241
21,9.3478,19.302,1,0,9.5,84.77,-16.079,97.633,-46.899,5.0322,67.733,-21.623,11.283,9.2799,62.167
22,5.403,19.306,1,0,9.5,84.312,-14.389,97.534,-48.057,4.5396,67.577,-21.613,10.248,9.3854,61.3
23,3.5825,19.32,1,0,9.5,83.45,-14.856,97.698,-47.864,4.4523,66.843,-21.308,11.384,10.162,60.968
24,9.1894,19.344,1,0,9.5,84.668,-13.808,98.045,-47.796,4.9588,64.495,-22.229,11.068,10.34,61.456
25,11.09,19.379,1,0,9.5,86.337,-14.941,97.995,-48.006,4.3477,63.246,-22.601,10.675,10.544,60.694
26,8.1675,19.425,1,0,9.5,86.852,-14.378,97.207,-48.43,3.1204,63.365,-22.779,10.85,9.6606,60.761
27,9.0121,19.482,1,0,9.5,87.158,-15.218,96.302,-47.763,5.1095,63.146,-22.686,8.8034,10.205,59.174
28,41.81,19.55,1,0,9.5,86.69,-16.058,96.375,-48.421,5.7406,64.805,-21.231,11.724,11.504,58.796
29,61.274,19.629,1,0,9.5,85.174,-14.763,96.697,-48.537,6.3985,64.601,-21.038,10.343,12.18,58.975
30,108.89,19.719,1,0,9.5,85.818,-14.511,96.433,-47.334,5.9898,65.385,-21.205,12.655,12.719,59.564
31,136.84,19.819,1,0,9.5,84.827,-13.247,96.519,-47.565,5.7333,64.091,-21.505,14.749,14.19,59.854
