Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-5.4906,21.54,1,0,9.5,95.224,-60.452,-6.7171,-46.503,-105.1,-20.329,-61.869,38.018,55.327,37.912
2,-12.987,21.539,1,0,9.5,94.661,-60.85,-5.9437,-46.324,-104.97,-18.883,-60.784,37.134,54.295,35.97
3,-10.415,21.536,1,0,9.5,94.425,-62.64,-5.5799,-46.05,-105.69,-18.884,-61.255,36.61,55.069,34.472
4,-5.1601,21.532,1,0,9.5,92.915,-60.561,-5.7755,-45.938,-105.68,-18.204,-60.226,37.307,54.679,35.021
5,-8.4568,21.527,1,0,9.5,93.063,-59.823,-6.577,-45.804,-105.03,-16.258,-59.375,37.372,55.028,35.236
6,-0.77201,21.522,1,0,9.5,94.447,-60.337,-7.2748,-47.565,-104.2,-15.826,-57.703,38.794,55.866,34.678
7,-0.14558,21.516,1,0,9.5,94.528,-60.52,-8.0037,-47.141,-103.11,-15.953,-56.494,40.105,55.689,33.7
8,24.38,21.51,1,0,9.5,95.266,-59.111,-8.051,-47.954,-101.9,-16.577,-56.204,40.387,54.305,35.027
9,2.7348,21.505,1,0,9.5,96.579,-58.857,-8.2518,-49.974,-103.84,-16.249,-58.424,41.497,54.066,33.797
10,5.4528,21.5,1,0,9.5,96.698,-60.721,-7.9046,-50.079,-103.23,-17.961,-57.673,41.8,55.571,32.009
11,1.0844,21.497,1,0,9.5,95.505,-60.061,-8.0852,-50.152,-102.48,-16.657,-56.756,42.594,55.431,30.939
12,-4.3213,21.495,1,0,9.5,96.694,-59.663,-8.7739,-48.703,-101.31,-15.875,-57.772,42.755,54.983,31.484
13,0.28551,21.496,1,0,9.5,96.504,-59.866,-8.3304,-48.578,-101.39,-14.918,-58.844,44.476,56.001,31.299
14,4.3992,21.499,1,0,9.5,96.438,-59.442,-7.4113,-47.971,-102.88,-15.13,-60.767,43.341,56.377,31.789
15,1.4297,21.506,1,0,9.5,96.422,-59.579,-7.6094,-48.716,-104.57,-16.173,-60.528,42.851,58.009,31.526
16,1.8199,21.517,1,0,9.5,95.832,-59.399,-6.8473,-49.704,-105.08,-15.053,-59.472,42.366,56.713,31.133
17,10.153,21.533,1,0,9.5,95.256,-61.994,-6.8698,-50.507,-105.03,-16.65,-59.858,42.033,58.561,31.125
18,11.332,21.553,1,0,9.5,94.734,-61.031,-6.4019,-50.268,-106.28,-16.251,-60.597,41.11,59.643,29.249
19,22.162,21.579,1,0,9.5,95.372,-60.09,-5.9342,-50.372,-105.2,-15.512,-62.417,40.92,59.363,28.58
20,-6.5024,21.61,1,0,9.5,94.898,-60.394,-3.7228,-50.518,-105.97,-15.704,-61.07,40.693,59.05,28.949
21,-17.111,21.647,1,0,9.5,95.523,-61.161,-3.7192,-51.497,-106.43,-14.91,-61.474,39.936,58.619,28.766
22,-20.332,21.691,1,0,9.5,96.563,-58.6,-3.6946,-53.48,-106.58,-14.415,-60.452,40.373,58.66,28.423
23,1.0576,21.741,1,0,9.5,98.195,-58.976,-4.1325,-54.255,-105.76,-13.623,-62.488,39.057,57.596,28.544
24,11.613,21.797,1,0,9.5,96.592,-58.441,-4.4118,-54.698,-106.27,-15.174,-63.458,37.399,58.823,28.233
25,17.401,21.86,1,0,9.5,96.683,-58.095,-3.3564,-55.974,-107.13,-13.333,-62.761,38.898,59.455,26.324
26,4.0292,21.93,1,0,9.5,97.211,-58.126,-4.06,-55.081,-107.46,-12.487,-62.151,39.647,59.025,26.475
27,8.2791,22.007,1,0,9.5,96.412,-57.702,-4.0285,-55.105,-106.85,-13.287,-60.955,40.148,58.364,26.392
28,11.569,22.089,1,0,9.5,95.572,-57.056,-4.4598,-56.11,-107.38,-13.534,-61.361,39.77,58.096,27.464
29,11.578,22.178,1,0,9.5,96.004,-56.395,-3.2523,-55.661,-107.05,-12.956,-61.511,38.053,57.85,26.343
30,17.611,22.272,1,0,9.5,94.632,-54.814,-2.0165,-55.758,-107.42,-13.04,-61.787,38.772,58.213,25.827
31,17.117,22.371,1,0,9.5,94.085,-55.393,-2.8899,-55.074,-107.91,-14.515,-61.602,37.382,57.799,27.227
32,2.9545,22.475,1,0,9.5,94.45,-56.299,-2.7097,-54.275,-106.51,-15.723,-61.953,37.401,58.613,26.438
33,6.4717,22.583,1,0,9.5,93.426,-56.642,-3.7867,-55.207,-106.87,-15.471,-63.51,37.459,57.122,25.849
34,25.448,22.693,1,0,9.5,93.602,-59.523,-2.9171,-55.722,-106.78,-14.594,-63.196,36.194,58.429,26.641
35,15.509,22.806,1,0,9.5,94.706,-59.411,-3.2685,-56.048,-106.32,-15.582,-64.531,35.783,58.827,27.049
36,7.5479,22.92,1,0,9.5,94.957,-59.637,-4.3375,-56.907,-105.38,-16.76,-63.709,37.368,59.744,27.025
37,6.4002,23.035,1,0,9.5,94.373,-61.809,-4.6447,-57.583,-103.86,-17.288,-63.302,38.435,59.995,27.575
38,48.035,23.149,1,0,9.5,94.807,-60.779,-4.1477,-58.699,-103.56,-16.956,-61.395,38.602,60.274,27.784
39,78.326,23.262,1,0,9.5,95.045,-59.716,-3.8576,-57.815,-103.69,-18.222,-62.849,38.743,58.517,26.945
40,79.583,23.372,1,0,9.5,94.032,-60.333,-3.0881,-59.804,-103.37,-18.325,-62.629,38.92,56.639,25.268
41,112.7,23.478,1,0,9.5,93.935,-61.427,-2.8459,-60.591,-102.81,-18.629,-61.001,39.68,55.746,25.772
42,125.31,23.58,0,0,9.5,95.538,-62.232,-3.5446,-59.831,-103.27,-18.442,-60.431,40.001,56.208,25.147
43,142.48,23.675,0,0,9.5,96.378,-62.745,-3.2075,-60.504,-103.92,-16.751,-60.115,41.013,57.282,24.484
44,177.45,23.764,0,0,9.5,96.821,-62.779,-3.4931,-61.708,-104.06,-15.23,-60.113,39.306,57.37,23.559
45,203.77,23.845,0,0,9.5,96.771,-62.049,-5.2093,-63.606,-105.4,-14.993,-59.671,37.42,57.983,23.714
46,218.88,23.917,0,0,9.5,96.41,-61.83,-3.6803,-64.069,-105.59,-14.649,-60.463,36.446,59.599,22.973
47,235.77,23.978,0,0,9.5,97.575,-63.118,-4.9659,-64.425,-105.14,-13.569,-61.17,37.217,58.205,23.657
48,256.24,24.03,0,0,9.5,97.536,-63.202,-5.1688,-64.678,-104.37,-13.085,-60.413,37.347,58.705,23.04
49,281.31,24.069,0,0,9.5,95.779,-63.484,-7.3175,-65.262,-104.73,-11.299,-59.4,39.851,59.602,22.125
50,309.25,24.097,0,0,9.5,94.807,-62.869,-8.3997,-63.912,-104.45,-11.612,-60.007,41.99,59.678,22.38
51,321.93,24.112,0,0,9.5,94.918,-62.856,-8.5038,-63.681,-104.82,-11.302,-59.828,41.588,59.457,22.367
52,353.98,24.113,0,0,9.5,94.306,-61.881,-8.997,-63.969,-104.87,-11.542,-59.765,43.016,58.755,22.051
53,362.61,24.101,0,0,9.5,94.018,-61.473,-7.9588,-64.278,-103.96,-10.84,-60.362,43.1,58.404,22.6
54,391.7,24.075,0,0,9.5,94.688,-60.923,-7.3897,-64.883,-104.33,-9.6314,-59.997,42.898,56.646,22.92
55,410.76,24.035,0,0,9.5,92.69,-60.128,-7.4802,-65.857,-104.13,-10.56,-60.278,44.128,57.325,24.456
56,434.64,23.982,0,0,9.5,92.538,-59.568,-6.9443,-67.007,-102.94,-11.204,-58.401,44.193,56.997,24.553
57,462.19,23.914,0,0,9.5,91.314,-60.9,-7.2315,-66.936,-102.56,-10.985,-58.971,43.86,55.599,24.782
58,464.79,23.833,0,0,9.5,92.353,-60.305,-8.1773,-65.477,-102.5,-10.342,-57.99,43.797,53.896,23.928
59,497.55,23.74,0,0,9.5,91.536,-60.771,-8.7139,-64.346,-102.64,-10.811,-57.553,42.159,54.486,25.07
60,521.69,23.634,0,0,9.5,90.963,-61.089,-7.1069,-62.841,-102.11,-10.329,-58.913,43.367,55.11,24.787
61,527,23.516,0,0,9.5,90.431,-61.315,-8.2064,-63.185,-103.59,-10.711,-59.95,44.488,54.891,26.412
62,555.61,23.388,0,0,9.5,89.993,-61.851,-7.3088,-62.593,-104.61,-11.53,-59.949,44.093,54.119,28.805
63,583.31,23.251,0,0,9.5,90.204,-62.225,-7.4824,-61.066,-105.08,-11.56,-60.703,44.47,52.918,28.963
64,603.58,23.105,0,0,9.5,90.534,-62.643,-7.1805,-61.515,-105.63,-10.563,-60.242,44.473,53.988,28.673
65,624.12,22.952,0,0,9.5,89.615,-62.336,-7.0155,-60.663,-106.78,-10.793,-58.984,46.262,52.811,29.906
