Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-8.6979,16.028,1,0,9.5,9.8916,-3.0071,-15.372,16.769,42.751,-28.519,12.878,-40.803,-3.1478,5.7155
2,6.3892,16.055,1,0,9.5,11.273,-2.4973,-15.623,18.415,43.006,-27.614,12.928,-40.522,-4.0034,4.4945
3,3.4013,16.109,1,0,9.5,11.814,-2.0419,-15.301,18.536,42.835,-27.045,13.636,-39.686,-4.1731,4.7672
4,12.643,16.189,1,0,9.5,10.74,-2.0498,-15.703,18.898,42.17,-26.405,13.885,-38.212,-3.2436,4.9979
5,17.744,16.294,1,0,9.5,10.074,-1.8814,-17.365,20.748,41.513,-27.478,15.013,-37.302,-3.1729,5.1645
6,-16.512,16.424,1,0,9.5,8.7445,-0.89942,-16.946,22.394,41.532,-29.057,14.67,-36.585,-4.1744,5.6297
7,2.0625,16.578,1,0,9.5,8.3503,-0.3883,-15.861,22.537,42.215,-27.808,15.955,-36.897,-4.6966,5.8825
8,21.172,16.753,1,0,9.5,7.531,-0.4225,-13.826,24.049,41.479,-28.251,15.979,-36.935,-5.3555,8.3417
9,-0.4894,16.947,1,0,9.5,7.3798,0.51061,-13.422,23.521,42.127,-27.545,14.978,-35.888,-7.5236,6.6651
10,8.3074,17.16,1,0,9.5,7.7009,0.074343,-14.539,20.747,41.219,-27.071,15.228,-35.43,-5.1337,5.2032
11,27.572,17.389,1,0,9.5,8.4846,1.1909,-14.507,19.806,42.263,-27.464,16.965,-34.594,-4.642,5.0788
12,3.6699,17.632,1,0,9.5,6.8472,0.95063,-13.578,19.764,44.21,-26.591,19.418,-34.511,-5.1135,4.1358
13,-2.069,17.886,1,0,9.5,7.549,3.0427,-14.656,20.512,41.857,-26.669,19.466,-33.096,-4.8912,3.1276
14,3.5755,18.149,1,0,9.5,8.1781,2.8214,-13.949,21.871,41.239,-27.457,19.845,-35.7,-5.3468,2.6639
15,13.892,18.418,1,0,9.5,7.36,3.0957,-13.108,20.358,40.766,-27.891,19.676,-35.157,-6.2479,2.2777
16,25.93,18.692,1,0,9.5,6.5426,1.6951,-13.115,18.916,41.515,-29.458,20.446,-33.899,-7.0417,1.9582
17,-5.559,18.967,1,0,9.5,5.9884,-0.22839,-12.814,20.123,41.161,-27.732,20.848,-33.381,-7.5792,0.5164
18,-14.598,19.24,1,0,9.5,6.4775,-1.2589,-15.015,20.725,40.875,-27.511,20.649,-35.142,-5.7117,-0.11296
19,6.1572,19.511,1,0,9.5,7.5327,-0.89082,-15.871,20.585,39.747,-26.919,20.058,-34.066,-3.5363,2.2826
20,6.3213,19.775,1,0,9.5,8.3192,-0.41617,-16.702,20.711,41.471,-26.974,19.375,-34.391,-4.3758,1.8496
21,13.409,20.031,1,0,9.5,7.4231,-1.848,-17.916,22.292,43.031,-28.637,18.908,-34.77,-3.623,1.1231
22,-3.5087,20.276,1,0,9.5,7.8612,-2.1235,-18.674,21.957,44.663,-28.326,20.147,-36.609,-3.8007,0.19771
23,2.1122,20.509,1,0,9.5,6.7568,-3.1176,-19.429,22.937,44.342,-28.517,18.592,-37.295,-2.7185,1.4373
24,18.618,20.727,1,0,9.5,6.9638,-3.2624,-19.475,21.025,44.905,-28.443,18.44,-37.855,-3.6021,1.5586
25,10.731,20.93,1,0,9.5,7.216,-4.2273,-19.231,20.496,47.494,-27.37,19.158,-38.644,-4.8406,3.4742
26,1.5459,21.115,1,0,9.5,7.4866,-3.3805,-19.36,21.142,46.339,-26.745,19.92,-38.211,-6.0005,3.6155
27,47.949,21.281,1,0,9.5,9.1807,-3.4843,-18.752,20.48,46.984,-26.84,20.116,-36.265,-5.7303,5.5456
28,75.723,21.427,1,0,9.5,9.5458,-4.0811,-18.682,20.747,48.235,-27.204,20.608,-36.522,-7.4854,3.838
29,105.25,21.552,1,0,9.5,8.4387,-4.3558,-20.391,20.247,48.499,-27.991,22.045,-38.067,-6.8027,4.2363
30,132.67,21.657,1,0,9.5,7.27,-5.4291,-19.238,21.072,48.973,-27.978,22.161,-37.168,-5.6422,5.3669
31,164.49,21.74,1,0,9.5,9.0498,-5.8271,-20.289,18.832,48.596,-29.158,20.942,-37.099,-7.066,5.5009
32,176.31,21.802,0,0,9.5,7.9133,-8.3347,-21.662,19.449,48.689,-29.09,22.22,-36.163,-8.1744,4.361
33,214.18,21.842,0,0,9.5,8.829,-7.5912,-21.126,19.974,47.904,-29.314,24.867,-36.468,-9.6681,5.6658
34,242.01,21.863,0,0,9.5,9.086,-8.6299,-21.275,20.404,49.356,-30.63,25.496,-37.54,-9.5976,5.337
35,277.63,21.863,0,0,9.5,9.7482,-9.2145,-22.912,20.708,49.373,-31.362,24.735,-39.065,-11.008,5.9731
36,300.42,21.845,0,0,9.5,9.9388,-10.284,-23.935,19.607,50.206,-32.093,26.038,-38.844,-10.421,3.818
37,333.83,21.809,0,0,9.5,9.9861,-11.521,-22.539,17.986,50.562,-33.035,24.921,-39.433,-9.9814,3.8271
38,356.03,21.757,0,0,9.5,9.0409,-10.562,-22.835,18.093,52.449,-32.642,24.431,-39.833,-10.18,3.0475
39,396.84,21.69,0,0,9.5,9.6192,-11.087,-22.822,16.953,53.095,-33.595,24.031,-38.766,-10.476,4.4148
40,432.06,21.611,0,0,9.5,8.5243,-9.9345,-22.468,18.113,51.997,-34.483,25.913,-40.126,-11.652,4.291
41,438.35,21.521,0,0,9.5,9.8368,-10.46,-22.973,15.804,52.157,-34.194,25.938,-40.929,-12.484,3.6722
42,464.28,21.423,0,0,9.5,10.105,-10.454,-24.458,17.402,51.29,-33.281,25.637,-41.025,-10.407,2.3643
43,504.97,21.317,0,0,9.5,10.142,-10.815,-24.986,15.752,51.868,-33.239,24.251,-41.315,-9.3126,3.5207
44,535.64,21.208,0,0,9.5,9.4269,-11.419,-26.217,15.218,53.057,-32.757,22.509,-41.005,-8.3241,3.1105
45,552.37,21.097,0,0,9.5,8.8678,-11.487,-27.612,14.889,50.871,-32.697,22.921,-42.1,-5.8934,3.2572
46,589.27,20.985,0,0,9.5,9.4884,-11.338,-27.321,14.357,51.117,-33.717,21.82,-42.245,-6.3044,6.0255
47,625.55,20.877,0,0,9.5,10.261,-13.146,-26.963,12.292,50.679,-33.431,20.485,-41.7,-5.2031,6.32
48,654.68,20.773,0,0,9.5,9.8122,-11.421,-27.812,12.489,52.89,-33.837,19.548,-42.982,-6.382,6.4052
49,667.52,20.676,0,0,9.5,11.161,-11.142,-28.897,12.977,52.238,-33.723,17.644,-43.489,-7.1391,5.9334
50,701.34,20.588,0,0,9.5,11.745,-9.2795,-28.633,13.893,50.516,-32.861,17.368,-42.555,-6.2958,4.9296
51,723.58,20.51,0,0,9.5,11.715,-9.6263,-29.678,15.519,50.187,-31.619,16.539,-42.4,-7.4526,5.3174
52,743.31,20.446,0,0,9.5,10.938,-8.1337,-31.39,16.117,48.122,-30.386,16.711,-42.602,-8.1172,6.1924
53,801.51,20.395,0,0,9.5,11.825,-8.7046,-29.613,16.791,47.403,-30.6,17.656,-43.391,-7.58,6.0112
54,805.3,20.36,0,0,9.5,13.011,-8.3062,-28.168,17.667,46.434,-30.004,17.416,-41.633,-6.8381,5.9628
55,842.35,20.342,0,0,9.5,13.855,-8.3175,-27.764,16.227,46.541,-29.845,16.487,-41.377,-7.7246,6.7378
56,869.2,20.341,0,0,9.5,13.397,-8.8305,-30.002,15.409,46.756,-29.196,16.607,-39.68,-10.217,6.7981
57,897.16,20.359,0,0,9.5,13.817,-9.9453,-29.955,13.951,46.281,-28.526,16.839,-39.064,-11.359,6.092
58,942.96,20.396,0,0,9.5,12.815,-10.991,-29.442,14.521,47.003,-29.684,17.315,-39.314,-13.134,6.9718
59,957.53,20.452,0,0,9.5,11.642,-10.628,-28.673,15.117,48.54,-28.833,18.877,-39.619,-14.433,7.2808
60,1002.1,20.527,0,0,9.5,11.682,-9.9002,-27.738,14.619,48.922,-30.058,19.683,-39.318,-13.786,6.3458
61,1027.6,20.62,0,0,9.5,9.6979,-9.5606,-26.688,15.283,48.64,-30.86,18.193,-37.658,-14.957,6.621
