Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,4.4183,20.531,1,0,9.5,62.383,-43.884,-24.739,3.2069,7.4657,22.197,24.144,26.148,26.373,-35.557
2,-10.08,20.558,1,0,9.5,61.645,-44.657,-24.402,2.0509,8.1932,19.257,23.352,26.9,25.701,-36.479
3,13.552,20.612,1,0,9.5,61.368,-43.793,-24.108,0.48159,8.8076,18.743,20.713,24.006,26.179,-35.598
4,5.4378,20.691,1,0,9.5,61.706,-44.056,-23.717,1.3738,8.694,17.001,21.449,22.913,25.27,-36.157
5,5.1907,20.796,1,0,9.5,62.27,-43.065,-23.444,3.1577,10.018,16.877,20.854,22.93,25.888,-36.38
6,13.238,20.924,1,0,9.5,62.284,-42.705,-23.456,3.8697,10.13,15.713,18.76,24.017,25.796,-35.363
7,5.1832,21.076,1,0,9.5,62.363,-42.866,-21.591,4.8685,9.1687,17.22,18.2,21.871,23.248,-35.941
8,18.284,21.248,1,0,9.5,62.115,-41.769,-20.163,5.9985,9.7235,16.633,17.891,21.387,23.791,-36.168
9,4.6953,21.441,1,0,9.5,62.147,-41,-19.774,4.2977,10.005,15.228,18.438,23.124,23.737,-36.12
10,-6.1561,21.65,1,0,9.5,61.557,-42.458,-19.876,4.1213,9.7182,15.692,16.776,22.455,24.866,-35.678
11,7.5462,21.875,1,0,9.5,62.979,-42.874,-20.984,4.6437,8.5845,16.379,18.1,21.858,25.928,-32.283
12,-4.6357,22.113,1,0,9.5,62.741,-43.377,-21.66,6.8156,10.523,16.265,18.793,20.757,25.385,-31.152
13,-2.954,22.361,1,0,9.5,64.22,-41.521,-22.61,8.8851,11.626,14.518,17.364,19.401,23.842,-31.717
14,-4.0807,22.618,1,0,9.5,65.881,-42.007,-23.589,8.6096,12.163,14.565,18.393,19.189,23.448,-31.952
15,-6.4414,22.88,1,0,9.5,64.641,-42.272,-24.84,9.1451,11.136,14.57,18.709,18.253,22.639,-30.727
16,34.314,23.144,1,0,9.5,64.693,-41.938,-22.151,7.8117,9.9593,13.564,18.13,18.802,22.334,-30.753
17,6.9109,23.409,1,0,9.5,63.155,-42.06,-21.628,6.3826,7.7807,13.62,17.753,19.426,22.949,-30.823
18,10.669,23.671,1,0,9.5,62.497,-41.101,-19.365,6.2955,6.499,13.606,18.77,19.764,23.059,-31.631
19,29.804,23.928,1,0,9.5,63.523,-41.375,-20.11,8.1473,5.9887,14.225,18.088,18.794,22.856,-31.659
20,30.751,24.176,1,0,9.5,62.728,-41.591,-20.992,8.792,5.4171,14.151,17.776,18.478,24.306,-32.089
21,-2.4542,24.415,1,0,9.5,62.224,-42.989,-18.968,6.3177,5.9567,14.952,16.767,18.02,26.121,-33.321
