Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-5.1578,14.797,1,0,9.5,42.201,5.549,-17.105,-50.018,55.799,-27.835,32.666,22.233,-3.7726,-11.603
2,-10.619,14.816,1,0,9.5,43.678,5.1352,-17.074,-49.134,55.699,-26.274,31.663,21.671,-3.6952,-9.4888
3,2.7299,14.852,1,0,9.5,44.81,5.7759,-15.302,-49.972,56.63,-26.34,32.528,22.45,-2.3122,-9.1906
4,1.0875,14.906,1,0,9.5,45.526,5.7235,-15.268,-49.651,56.42,-25.527,33.476,23.875,-2.3839,-9.5889
5,-1.7021,14.978,1,0,9.5,45.665,6.2918,-15.041,-49.673,57.017,-24.458,32.744,23.243,-3.0941,-9.3885
6,-7.4518,15.067,1,0,9.5,47.392,7.0295,-14.79,-51.379,58.218,-24.805,33.824,21.576,-3.2013,-9.4892
7,-1.8774,15.173,1,0,9.5,48.256,6.665,-12.762,-51.557,57.081,-24.575,35.093,22.502,-3.3076,-10.562
8,1.5894,15.294,1,0,9.5,48.256,5.8749,-13.247,-52.03,55.801,-25.258,34.295,22.396,-2.0415,-10.499
9,15.706,15.43,1,0,9.5,47.704,7.1815,-12.162,-52.424,56.599,-25.264,36.178,21.335,-1.7694,-9.197
10,1.8598,15.58,1,0,9.5,48.527,5.4647,-12.406,-51.879,57.124,-26.687,35.254,21.132,-1.861,-7.8971
11,-2.7426,15.742,1,0,9.5,46.846,6.7308,-12.38,-51.626,56.321,-27.774,36.589,24.278,-0.97964,-7.7624
12,14.71,15.917,1,0,9.5,45.385,6.9955,-12.38,-52.695,54.658,-28.101,36.981,24.737,-1.0689,-7.1485
13,0.49659,16.102,1,0,9.5,42.989,5.1638,-11.808,-51.876,55.277,-29.38,38.314,24.25,-0.45049,-7.6624
14,1.6248,16.297,1,0,9.5,41.59,5.8366,-13.095,-51.211,54.255,-29.952,37.742,26.719,-2.0014,-7.2546
15,4.6262,16.5,1,0,9.5,40.165,6.3303,-12.856,-51.648,54.256,-30.686,36.549,26.601,-3.6256,-9.1724
16,-6.5512,16.71,1,0,9.5,39.878,6.9878,-15.838,-51.58,54.05,-30.435,37.148,27.595,-2.973,-7.9042
17,8.6459,16.925,1,0,9.5,38.719,7.2698,-17.394,-52.443,54.987,-30.168,38.031,29.995,-3.8159,-7.7684
18,8.15,17.144,1,0,9.5,38.863,6.9057,-17.99,-51.979,54.518,-31.352,40.221,29.489,-5.5752,-5.9808
19,13.14,17.366,1,0,9.5,38.758,6.0574,-17.863,-53.61,54.411,-31.175,40.844,28.594,-4.9158,-7.5759
20,-4.806,17.589,1,0,9.5,39.294,6.4753,-17.959,-53.316,53.702,-30.969,40.85,29.516,-6.292,-6.59
21,18.226,17.812,1,0,9.5,40.718,6.724,-18.027,-53.484,53.192,-31.287,40.506,30.817,-8.7032,-7.9314
22,-0.64653,18.034,1,0,9.5,41.185,7.5823,-18.599,-53.048,52.612,-30.585,39.274,28.799,-6.7845,-8.2525
23,8.7218,18.252,1,0,9.5,39.867,8.3236,-19.375,-53.404,54.473,-30.15,40.754,29.831,-6.7107,-7.0092
24,10.444,18.467,1,0,9.5,41.656,8.864,-17.748,-53.29,54.847,-30.371,40.679,28.767,-7.4429,-8.2337
25,13.602,18.675,1,0,9.5,40.169,7.9602,-17.459,-54.736,55.26,-31.374,39.877,29.444,-7.4324,-8.0345
26,1.6503,18.878,1,0,9.5,39.98,7.5632,-18.659,-52.851,54.255,-31.765,39.566,30.18,-8.0513,-9.3134
27,2.8164,19.072,1,0,9.5,39.604,10.245,-20.371,-51.524,54.413,-31.317,39.707,29.83,-6.9164,-8.9787
28,26.717,19.258,1,0,9.5,38.695,10.079,-20.455,-52.466,53.603,-31.095,37.322,29.43,-6.8962,-8.3138
29,-14.54,19.434,1,0,9.5,38.296,11.195,-18.974,-52.93,52.022,-32.066,37.634,30.468,-8.0014,-7.7793
30,7.744,19.599,1,0,9.5,37.976,10.482,-18.32,-52.91,53.869,-31.074,38.401,31.449,-9.7148,-7.4797
31,32.668,19.753,1,0,9.5,39.449,12.266,-18.337,-53.501,53.762,-30.907,37.708,31.257,-9.0947,-7.9008
32,42.587,19.895,1,0,9.5,40.359,12.373,-15.757,-53.755,51.606,-31.079,36.29,33.707,-8.9231,-6.5174
33,82.775,20.024,1,0,9.5,38.567,13.046,-17.215,-52.312,50.354,-31.341,35.562,34.264,-8.8222,-8.6382
34,101.8,20.141,1,0,9.5,37.651,13.886,-17.487,-52.011,50.53,-30.435,35.905,35.681,-9.1171,-10.638
35,128.82,20.244,1,0,9.5,35.593,14.228,-16.954,-52.979,49.405,-29.786,36.85,34.814,-8.5029,-13.155
36,160.45,20.333,1,0,9.5,37.118,13.833,-16.073,-52.361,49.7,-29.575,36.284,34.835,-8.3639,-13.734
37,168.93,20.409,0,0,9.5,35.128,14.554,-15.531,-51.608,49.675,-30.099,38.905,33.691,-8.6136,-14.243
38,187.53,20.471,0,0,9.5,34.302,15.381,-13.552,-51.722,49.913,-29.845,39.282,34.306,-6.8383,-13.491
39,223.26,20.519,0,0,9.5,34.847,15.395,-14.644,-52.548,49.478,-29.241,38.996,34.806,-6.1845,-12.053
40,236.53,20.554,0,0,9.5,33.082,15.79,-15.581,-52.142,48.943,-28.928,37.215,33.596,-6.9948,-11.752
41,271.97,20.576,0,0,9.5,31.488,16.319,-15.615,-50.747,47.692,-29.187,37.378,34.231,-6.7623,-11.145
42,290.7,20.586,0,0,9.5,32.348,16.371,-15.694,-50.256,49.3,-31.136,37.41,34.142,-6.9111,-9.2983
43,297.94,20.584,0,0,9.5,32.716,14.518,-14.843,-50.807,50.427,-30.077,36.182,33.374,-7.7984,-10.77
44,307.95,20.571,0,0,9.5,32.983,13.658,-15.995,-50.372,49.642,-29.893,35.316,32.517,-5.4611,-10.805
45,347.35,20.547,0,0,9.5,32.813,14.537,-15.59,-51.266,49.878,-30.104,34.984,32.388,-4.6248,-11.39
46,372.06,20.513,0,0,9.5,32.737,14.825,-15.708,-49.498,49.602,-28.833,35.487,33.739,-4.7735,-12.503
47,382.13,20.471,0,0,9.5,33.382,14.401,-16.217,-47.612,50.039,-28.251,35.85,33.098,-4.8163,-11.546
48,435.45,20.42,0,0,9.5,34.427,14.935,-16.784,-47.76,50.329,-28.428,36.38,33.303,-5.3607,-10.448
49,453.4,20.363,0,0,9.5,33.532,15.796,-17.229,-46.739,51.795,-28.46,35.936,32.443,-5.598,-10.2
50,473.79,20.3,0,0,9.5,32.878,16.609,-18.363,-47.346,53.332,-28.412,34.223,31.424,-7.8721,-8.4899
51,489.72,20.233,0,0,9.5,34.686,15.738,-17.466,-47.365,51.784,-29.821,33.397,30.699,-8.3625,-7.0555
52,522.97,20.162,0,0,9.5,34.433,16.95,-17.992,-47.9,52.991,-31.312,33.76,31.26,-9.6511,-7.7694
53,558.43,20.089,0,0,9.5,34.844,16.922,-19.078,-45.709,52.777,-31.009,34.423,31.008,-9.7434,-7.7907
54,556.71,20.014,0,0,9.5,35.434,16.171,-18.334,-46.822,53.561,-30.221,35.472,31.216,-8.0619,-7.4934
55,596.34,19.94,0,0,9.5,35.819,17.493,-17.855,-47.978,55.439,-30.275,35.312,31.311,-7.6778,-6.939
56,605.08,19.867,0,0,9.5,36.664,19.048,-18.181,-47.054,57.243,-29.673,36.168,31.162,-5.9819,-5.3913
57,614.83,19.796,0,0,9.5,36.736,17.618,-18.814,-46.601,57.405,-32.639,38.021,32.801,-5.1887,-4.5233
58,659.21,19.729,0,0,9.5,37.594,16.087,-17.557,-45.393,56.144,-32.368,36.688,33.478,-4.678,-5.1702
59,672.61,19.666,0,0,9.5,37.399,15.266,-16.033,-45.683,55.712,-31.771,36.467,35.815,-4.972,-7.7008
60,702.72,19.609,0,0,9.5,37.159,16.2,-17.533,-45.208,57.095,-31.9,35.864,35.774,-4.9937,-6.0717
61,719.86,19.559,0,0,9.5,37.883,14.676,-17.186,-44.063,58.084,-31.2,35.595,35.963,-2.8339,-5.0781
62,733.54,19.517,0,0,9.5,37.665,16.333,-17.913,-44.06,57.599,-31.763,36.966,36.251,-3.7037,-5.3148
63,776.91,19.483,0,0,9.5,36.683,16.133,-17.762,-43.8,57.536,-31.023,36.295,36.456,-3.2757,-5.8451
64,766.54,19.459,0,0,9.5,36.509,16.544,-17.521,-44.003,57.229,-30.93,36.818,37.16,-5.9657,-4.8642
65,807.98,19.445,0,0,9.5,37.14,15.285,-18.311,-43.684,57.251,-31.376,37.312,37.579,-4.9676,-4.8411
66,813.56,19.442,0,0,9.5,37.375,15.827,-17.717,-42.466,55.941,-33.411,37.876,38.291,-6.9232,-4.7228
67,843.93,19.451,0,0,9.5,38.628,16.371,-18.404,-41.618,55.41,-32.951,39.323,37.528,-6.837,-4.8325
68,867.93,19.471,0,0,9.5,40.436,16.557,-18.536,-40.6,53.922,-32.382,39.556,38.966,-6.1257,-4.1079
69,913.29,19.505,0,0,9.5,41.915,16.32,-19.093,-39.254,54.242,-31.613,37.933,40.508,-6.2867,-4.6721
70,921.52,19.551,0,0,9.5,40.945,15.932,-17.83,-37.977,53.817,-31.803,37.184,40.276,-6.6023,-3.2799
71,959.75,19.61,0,0,9.5,40.802,15.216,-18.974,-37.448,54.503,-30.364,38.114,40.105,-5.0451,-4.5665
72,961.75,19.683,0,0,9.5,41.227,15.732,-18.491,-38.309,53.845,-30.927,38.993,40.695,-5.3823,-6.7046
73,1000.8,19.769,0,0,9.5,42.014,14.764,-15.646,-38.224,53.836,-32.303,37.915,40.712,-5.2606,-6.6107
74,1014.8,19.869,0,0,9.5,41.04,16.132,-16.058,-39.051,53.432,-34.374,39.253,39.306,-4.9878,-6.2781
75,1061.2,19.981,0,0,9.5,40.845,17.627,-16.258,-37.501,53.334,-33.846,38.026,40.189,-5.4483,-8.8169
76,1072.9,20.107,0,0,8.4444,41.353,15.519,-16.816,-38.48,54.362,-34.811,37.415,41.911,-5.2762,-9.7486
77,1077.9,20.246,0,0,7.3889,42.417,15.961,-16.612,-39.045,54.586,-34.936,36.863,41.452,-5.9122,-10.992
78,1122.1,20.397,0,0,6.3333,43.019,17.812,-16.557,-39.437,54.239,-36.357,36.499,42.323,-5.9463,-11.182
79,1134.9,20.561,0,0,5.2778,42.477,17.456,-16.062,-38.214,55.269,-35.722,37.521,42.919,-7.8843,-12.727
80,1159,20.736,0,0,4.2222,41.391,17.392,-14.675,-39.6,55.88,-37.996,37.206,44.074,-6.3627,-13.712
81,1176,20.921,0,0,3.1667,42.349,17.811,-13.618,-41.102,53.663,-37.319,39.008,44.417,-5.7329,-12.168
82,1209.4,21.118,0,0,2.1111,40.934,17.938,-12.654,-41.073,53.357,-38.341,38.389,44.23,-5.5091,-12.619
83,1225.7,21.323,0,0,1.0556,40.133,18.091,-11.045,-41.485,52.551,-38.494,37.73,42.96,-6.3427,-12.967
84,1234.3,21.538,0,0,0,39.652,18.148,-10.894,-40.085,53.559,-37.591,35.27,42.752,-6.3171,-13.966
85,1273.3,21.761,0,0,0,38.278,17.583,-10.542,-41.358,53.254,-37.192,35.943,43.07,-4.6941,-14.074
86,1310.5,21.991,0,0,0,37.912,18.356,-9.6353,-41.696,54.045,-38.322,35.017,41.581,-3.827,-14.57
87,1308.2,22.227,0,0,0,38.248,18.766,-10.8,-41.12,53.046,-36.938,35.168,42.285,-3.1955,-16.164
88,1348.2,22.468,0,0,0,38.883,18.481,-11.08,-40.515,53.817,-37.342,34.246,43.814,-1.0445,-16.693
89,1376.5,22.714,0,0,0,41.65,18.234,-10.84,-41.225,53.137,-37.177,34.113,44.636,-1.4702,-15.385
90,1393.9,22.963,0,0,0,39.672,17.975,-10.314,-39.912,54.52,-37.38,35.536,44.45,-0.12592,-15.665
91,1413.6,23.215,0,0,0,39.657,17.902,-11.637,-41.413,54.267,-40.32,35.127,44.779,0.35505,-16.907
92,1415.5,23.468,0,0,0,38.675,18.154,-12.534,-43.524,55.135,-41.355,34.091,44.317,1.7687,-15.026
93,1466.6,23.722,0,0,0,37.362,18.828,-11.713,-41.48,57.358,-42.365,32.83,44.845,2.1229,-14.14
94,1484.8,23.975,0,0,0,38.677,20.148,-11.995,-40.646,59.4,-41.984,32.104,45.797,0.49655,-13.743
95,1511.8,24.226,0,0,0,36.465,20.305,-10.746,-41.723,59.807,-42.03,32.276,46.157,-1.0737,-13.929
