Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-12.454,17.05,1,0,9.5,17.178,75.867,36.248,71.53,-0.45458,-64.779,39.727,0.38225,-5.7719,-61.516
2,-1.9027,17.082,1,0,9.5,17.622,75.88,37.075,69.923,-0.66136,-65.286,40.5,1.3246,-5.4765,-61.092
3,-0.94929,17.145,1,0,9.5,17.195,76.126,37.239,71.098,0.86716,-63.498,41.53,1.2578,-4.7371,-62.053
4,1.3065,17.239,1,0,9.5,16.187,76.837,37.923,71.503,-0.17572,-63.418,41.499,0.014646,-4.126,-61.42
5,9.9217,17.363,1,0,9.5,16.873,77.311,37.982,71.759,-1.9882,-62.265,40.364,-0.18265,-4.178,-62.332
6,-2.0862,17.515,1,0,9.5,16.579,77.507,37.46,71.869,0.66755,-60.867,42.303,-0.9049,-3.2845,-62.388
7,13.344,17.695,1,0,9.5,17.964,76.818,36.938,73.656,0.83694,-59.405,42.4,-1.0705,-3.6862,-61.163
8,-10.471,17.9,1,0,9.5,17.789,77.438,36.402,74.448,0.92756,-59.499,42.692,-2.4689,-4.0918,-63.03
9,-6.9156,18.129,1,0,9.5,17.293,78.357,37.224,74.572,1.8595,-60.309,41.205,-3.454,-2.6412,-63.89
10,7.2985,18.379,1,0,9.5,17.075,77.508,36.842,72.811,1.4469,-60.174,42.759,-2.8514,-2.909,-62.878
11,3.5632,18.647,1,0,9.5,18.326,76.599,36.076,70.695,2.6131,-58.148,41.291,-3.6339,-3.5705,-62.333
12,-1.2719,18.932,1,0,9.5,18.329,75.819,35.019,69.402,2.3073,-56.18,40.467,-2.8719,-4.1101,-63.287
13,-5.3053,19.231,1,0,9.5,18.006,74.781,34.773,70.45,1.6463,-53.837,41.052,-1.5876,-3.6663,-63.681
14,12.38,19.54,1,0,9.5,17.426,75.757,32.91,70.567,1.0301,-54.131,41.737,-2.683,-3.4259,-64.446
15,-0.49428,19.856,1,0,9.5,18.053,74.471,35.289,71.123,1.3183,-53.545,41.152,-2.9196,-2.898,-63.01
16,4.1191,20.177,1,0,9.5,17.839,74.927,35.318,71.174,0.96446,-53.467,39.448,-4.1601,-1.5369,-63.171
17,12.626,20.499,1,0,9.5,18.867,74.093,37.265,72.609,0.35056,-53.279,38.906,-2.8113,-1.5588,-61.827
18,-1.5507,20.82,1,0,9.5,18.775,75.101,39.759,72.077,1.351,-52.565,39.065,-2.3313,-0.84248,-62.541
19,3.731,21.136,1,0,9.5,18.9,75.883,38.885,71.918,2.7425,-53.757,41.53,-4.3321,-0.50481,-61.708
20,-4.9705,21.444,1,0,9.5,18.503,75.897,38.725,71.667,4.1369,-55.744,42.242,-5.3368,-1.1102,-62.461
21,5.3341,21.742,1,0,9.5,20.174,76.393,38.917,71.399,5.4612,-57.119,42.779,-3.979,-2.5711,-64.679
22,-14.208,22.026,1,0,9.5,20.25,76.976,39.456,69.613,3.4092,-56.508,44.153,-4.9217,-3.999,-64.5
23,32.145,22.294,1,0,9.5,19.075,77.722,39.775,69.132,3.6645,-57.192,47.011,-5.6154,-3.9303,-65.143
24,8.1448,22.543,1,0,9.5,18.963,78.096,40.05,70.235,2.826,-56.482,47.466,-5.7049,-4.0135,-64.33
25,6.4804,22.771,1,0,9.5,20.534,79.354,41.592,70.701,3.5176,-58.332,46.62,-4.1594,-2.8788,-64.718
26,12.494,22.977,1,0,9.5,21.625,80.068,41.551,71.118,4.488,-58.123,46.346,-3.5435,-1.8528,-64.42
27,-6.0023,23.157,1,0,9.5,20.473,80.848,41.814,70.755,0.80566,-58.256,46.371,-3.0273,-1.8272,-65.377
28,-10.646,23.31,1,0,9.5,20.927,80.658,42.373,69.053,1.3278,-57.861,47.101,-2.1284,-2.2446,-64.286
29,-2.1406,23.436,1,0,9.5,21.395,79.552,43.476,68.944,-0.50382,-56.631,45.304,-2.2365,-2.4637,-63.281
30,20.501,23.533,1,0,9.5,22.423,78.43,42.64,68.636,-2.092,-57.047,47.932,-1.9167,-2.4174,-63.017
31,22.04,23.6,1,0,9.5,22.683,78.227,44.861,68.504,-2.1449,-57.357,46.957,-0.98207,-1.9805,-60.761
32,16.507,23.636,1,0,9.5,22.499,77.777,44.861,68.84,-2.8179,-57.731,45.996,-1.828,-2.8151,-61.289
33,12.217,23.642,1,0,9.5,23.821,76.884,44.507,69.731,-3.4013,-58.184,45.77,-1.5509,-3.9537,-62.182
34,31.003,23.618,1,0,9.5,24.735,77.683,45.749,70.011,-3.0207,-56.295,46.033,-2.9084,-3.6822,-62.196
35,60.203,23.564,1,0,9.5,25.115,76.872,44.922,71.198,-4.4509,-55.792,44.972,-2.6311,-4.4995,-61.25
36,81.367,23.481,1,0,9.5,25.76,74.998,44.806,70.47,-4.2755,-55.735,44.465,-2.9584,-5.0124,-62.009
37,82.721,23.37,1,0,9.5,24.836,74.44,44.463,69.027,-3.1269,-57.119,44.673,-2.617,-4.3999,-63.29
38,120.12,23.231,1,0,9.5,25.024,74.293,44.979,69,-4.3324,-55.721,46.313,-2.3027,-5.306,-63.547
39,136.4,23.068,1,0,9.5,26.43,73.922,43.743,67.759,-2.6359,-55.381,46.089,-3.617,-4.2589,-64.296
40,157.56,22.88,0,0,9.5,26.329,74.163,45.452,70.23,-3.7232,-56.247,44.716,-3.349,-5.0805,-64.223
41,178.48,22.671,0,0,9.5,25.558,75.393,45.316,69.14,-2.924,-56.504,42.287,-3.0545,-5.5813,-63.686
42,189.77,22.443,0,0,9.5,26.151,76.91,43.682,71.549,-2.435,-55.424,43.522,-1.5892,-6.5796,-65.166
43,210.11,22.197,0,0,9.5,24.887,75.499,43.521,71.243,-1.8521,-56.911,43.362,-0.81005,-6.972,-65.12
44,224.04,21.937,0,0,9.5,25.248,77.754,45.564,71.051,-2.5096,-56.935,43.287,-1.5708,-7.2978,-64.953
45,268.47,21.665,0,0,9.5,25.35,76.254,45.42,71.377,-2.7527,-56.053,40.535,-3.5916,-7.0122,-65.622
46,289.21,21.384,0,0,9.5,27.016,77.196,44.965,71.106,-3.4192,-56.025,42.307,-4.6455,-6.7902,-65.958
47,294.8,21.097,0,0,9.5,25.719,75.699,44.632,72.38,-2.087,-56.486,42.387,-7.3542,-6.3523,-65.379
48,320.15,20.806,0,0,9.5,27.166,74.674,45.792,73.159,-2.1266,-55.519,42.698,-6.6024,-6.2378,-65.184
49,341.4,20.514,0,0,9.5,25.528,73.485,47.906,74.149,-1.7181,-54.534,42.643,-8.9188,-7.6036,-65.314
50,362.15,20.225,0,0,9.5,25.807,72.911,48.525,73.335,-4.0905,-57.16,41.214,-9.1902,-7.6848,-67.102
51,388.18,19.941,0,0,9.5,26.38,72.808,47.504,73.756,-3.7713,-56.516,41.091,-8.5618,-8.8741,-66.073
52,400.6,19.664,0,0,9.5,26.602,72.876,46.359,75.436,-5.73,-56.77,42.986,-7.7683,-8.7465,-66.82
53,425.05,19.399,0,0,9.5,27.316,74.421,46.75,75.209,-6.785,-56.783,43.742,-8.9913,-9.1018,-67.614
54,466.99,19.146,0,0,9.5,27.056,74.683,44.257,73.409,-7.0345,-55.489,44.937,-9.5606,-9.7978,-68.891
55,495.9,18.908,0,0,9.5,27.566,76.865,45.137,73.424,-7.5846,-54.517,45.271,-9.0545,-8.3592,-67.804
56,495.93,18.688,0,0,9.5,26.689,77.381,44.519,73.757,-7.82,-52.219,45.784,-8.2128,-8.2198,-66.976
57,531.27,18.488,0,0,9.5,26.534,75.377,45.204,72.893,-7.6295,-52.501,45.021,-7.4213,-8.1923,-66.2
