Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,12.404,16.721,1,0,9.5,44.138,70.405,50.982,31.887,46.013,28.287,7.767,-75.936,2.6379,70.119
2,-3.3075,16.733,1,0,9.5,45.41,70.624,49.456,33.993,45.764,28.658,8.0345,-76.719,4.0883,71.576
3,-5.8988,16.757,1,0,9.5,44.331,71.281,49.945,34.294,45.508,27.928,7.0758,-75.931,5.7809,69.25
4,12.78,16.792,1,0,9.5,44.301,71.02,51.399,34.549,46.397,27.095,8.4958,-75.288,6.2833,69.718
5,15.632,16.839,1,0,9.5,44.965,71.361,50.397,36.501,46.785,26.298,8.651,-74.82,6.4195,69.052
6,10.972,16.896,1,0,9.5,44.212,71.887,52.8,37.837,45.479,26.974,7.997,-73.999,7.1119,70.302
7,11.992,16.964,1,0,9.5,43.456,72.323,54.162,37.726,45.291,26.274,9.4305,-73.733,6.1187,69.626
8,7.2058,17.042,1,0,9.5,44.147,72.04,51.4,37.268,45.135,26.038,9.7808,-73.412,5.8672,69.162
9,-5.1547,17.13,1,0,9.5,45.711,71.152,52,37.439,43.805,26.141,10.55,-74.531,5.7993,68.648
10,21.613,17.226,1,0,9.5,46.805,69.361,49.762,36.054,43.276,24.545,12.216,-75.254,7.1512,69.375
11,-11.989,17.33,1,0,9.5,47.972,71.661,50.238,35.923,44.225,25.922,13.251,-76.072,8.4755,67.479
12,5.4829,17.442,1,0,9.5,47.83,72.337,50.339,36.551,44.461,27.35,12.339,-75.732,7.71,69.974
13,-6.3039,17.559,1,0,9.5,46.291,72.777,51.432,37.677,42.665,27.788,12.085,-76.482,8.9156,70.805
14,11.92,17.683,1,0,9.5,44.206,72.018,48.87,38.06,42.754,28.535,11.45,-76.739,7.4295,69.898
15,6.1996,17.811,1,0,9.5,44.365,73.493,46.997,37.51,43.123,28.221,10.94,-76.249,6.6856,70.37
16,8.8902,17.942,1,0,9.5,43.033,73.762,47.443,37.36,43.371,28.652,11.937,-77.64,5.4383,72.24
17,-5.7032,18.076,1,0,9.5,42.336,72.973,47.703,38.406,44.973,31.38,11.477,-78.078,4.3678,71.648
18,35.589,18.212,1,0,9.5,43.818,71.972,49.256,38.578,46.175,30.405,11.293,-77.985,4.5279,73.271
19,17.28,18.349,1,0,9.5,45.026,72.388,49.836,38.417,46.104,30,10.769,-77.109,5.046,75.256
20,-3.909,18.485,1,0,9.5,45.721,72.04,50.132,37.9,46.788,31.711,11.626,-77.553,5.6731,75.096
21,8.9211,18.621,1,0,9.5,46.669,72.847,49.27,37.298,48.408,32.882,12.34,-77.806,7.5603,75.371
22,10.221,18.754,1,0,9.5,47.321,74.5,50.611,37.907,48.807,32.969,12.654,-77.006,7.4871,74.109
23,17.446,18.885,1,0,9.5,48.386,75.141,50.285,38.521,49.138,35.052,13.905,-76.548,7.9114,74.339
24,4.1621,19.013,1,0,9.5,48.913,75.155,49.564,38.658,50.771,33.766,13.819,-76.233,7.9781,74.926
25,10.055,19.136,1,0,9.5,49.01,73.549,49.166,37.987,50.03,33.965,14.554,-76.659,7.2546,76.035
26,-2.8251,19.254,1,0,9.5,48.506,74.76,50.105,38.532,50.469,33.567,13.772,-78.135,5.0915,76.766
27,5.2062,19.366,1,0,9.5,47.433,75.546,48.944,39.35,48.512,32.401,15.657,-77.912,4.8609,75.917
28,14.862,19.472,1,0,9.5,48.13,74.879,49.365,41.094,47.172,31.393,15.924,-77.682,2.8789,76.001
29,6.9471,19.572,1,0,9.5,47.784,75.351,49.67,42.204,46.203,30.854,17.219,-77.034,2.7331,76.284
30,-0.5392,19.665,1,0,9.5,48.066,75.194,50.633,41.867,47.035,30.74,17.164,-77.681,2.8156,76.094
31,7.4324,19.75,1,0,9.5,49.589,76.375,50.763,42.059,47.636,30.03,17.234,-78.212,2.3824,76.46
32,40.067,19.828,1,0,9.5,49.3,74.764,50.358,42.46,47.681,30.351,17.414,-78.575,1.701,76.694
33,68.914,19.899,1,0,9.5,49.807,73.904,49.379,43.652,47.009,30.842,16.308,-78.981,0.47923,77.602
34,83.19,19.961,1,0,9.5,50.884,74.725,50.301,43.596,47.539,30.888,16.718,-79.581,-0.35478,77.195
35,120.02,20.017,1,0,9.5,49.546,75.117,51.153,43.702,48.077,30.004,17.292,-78.81,-1.216,79.126
36,104.93,20.065,1,0,9.5,49.891,74.67,50.577,43.512,49.35,30.986,18.069,-78.294,-1.8271,78.664
37,151.57,20.106,1,0,9.5,48.448,74.458,49.974,44.295,49.569,31.621,17.716,-76.124,-0.23382,78.289
38,174.84,20.141,0,0,9.5,48.804,73.71,49.374,44.149,49.976,30.828,17.162,-78.039,-1.6685,77.928
39,198.25,20.169,0,0,9.5,50.566,72.338,50.272,44.776,49.458,31.279,15.062,-78.815,-3.0205,76.853
40,221.92,20.191,0,0,9.5,51.304,71.842,53.089,44.661,49.605,31.884,14.974,-78.144,-3.193,78.057
41,254.4,20.209,0,0,9.5,51.685,72.529,52.298,44.259,48.806,30.958,14.445,-78.641,-2.7734,78.828
42,310.44,20.221,0,0,9.5,52.729,72.268,50.761,43.482,48.173,31.512,15.464,-80.213,-2.2428,78.903
43,295.79,20.23,0,0,9.5,52.221,71.635,51.864,42.123,47.823,32.004,15.874,-79.595,-2.6122,80.949
44,325.59,20.236,0,0,9.5,52.747,69.739,51.03,41.154,49.441,31.379,15.312,-77.51,-4.5807,80.946
45,353.08,20.24,0,0,9.5,53.033,68.635,49.933,40.882,49.815,30.837,13.412,-76.679,-4.6833,80.764
46,388.07,20.242,0,0,9.5,52.043,68.993,49.875,39.863,48.618,28.307,13.486,-77.443,-4.4607,80.31
47,386.64,20.244,0,0,9.5,52.18,69.711,49.815,40.001,49.37,28.986,14.493,-76.426,-4.1389,79.831
48,400.6,20.246,0,0,9.5,51.174,70.958,49.359,40.213,49.283,28.505,12.951,-74.843,-2.8817,79.628
49,431.63,20.249,0,0,9.5,50.933,69.481,50.894,40.757,49.258,29.771,13.935,-75.525,-3.3508,78.919
50,456.53,20.255,0,0,9.5,51.517,70.229,51.408,41.312,48.654,30.364,14.971,-75.755,-2.0688,80.83
51,480.58,20.263,0,0,9.5,53.023,71.022,51.092,40.57,48.605,30.758,16.759,-76.174,-4.7283,80.346
52,514.44,20.276,0,0,9.5,52.52,70.434,51.254,40.398,49.52,31.663,19.008,-75.516,-4.4247,78.585
53,543.92,20.292,0,0,9.5,52.121,71.077,50.843,38.737,49.143,32.892,18.849,-77.355,-4.8268,78.588
54,561.17,20.315,0,0,9.5,51.776,70.28,51.817,39.147,49.681,34.666,18.47,-77.262,-4.2105,78.468
55,587.04,20.343,0,0,9.5,50.468,70.151,52.381,39.904,50.529,35.434,18.578,-78.576,-3.7201,77.796
56,598.96,20.378,0,0,9.5,49.883,69.435,52.85,39.026,49.822,36.323,17.644,-79.494,-3.0854,77.151
57,630.04,20.421,0,0,9.5,50.091,67.181,51.874,37,48.913,35.36,19.021,-80.256,-4.1293,75.811
58,665.67,20.472,0,0,9.5,49.393,67.047,51.366,36.673,49.268,32.433,19.339,-81.397,-2.9131,75.655
59,671.75,20.53,0,0,9.5,47.777,67.872,53.452,36.77,49.636,31.723,17.55,-80.563,-2.867,77.085
60,689.64,20.598,0,0,9.5,47.115,68.043,53.002,35.863,49.738,30.306,15.015,-80.955,-3.6082,75.606
61,750.19,20.674,0,0,9.5,45.844,69.06,52.61,34.79,48.421,29.602,16.878,-80.812,-3.1094,75.853
62,745.87,20.76,0,0,9.5,47.536,68.265,53.345,33.938,47.955,29.544,16.095,-79.362,-2.9848,76.95
63,772.1,20.854,0,0,9.5,48.805,68.342,51.325,33.621,47.509,30.519,15.144,-78.284,-1.7504,76.227
64,801.92,20.957,0,0,9.5,48.343,69.535,51.804,34.135,47.593,30.428,15.343,-78.52,-0.83647,76.775
65,829.77,21.069,0,0,9.5,47.666,70.469,53.293,33.791,47.609,30.813,14.634,-79.121,-0.9081,77.607
66,857.86,21.19,0,0,9.5,47.213,72.166,54.22,34.104,48.423,32.092,12.615,-77.889,0.059662,77.237
67,867.03,21.318,0,0,9.5,46.826,73.392,53.984,34.965,49.144,34.518,12.282,-80.958,1.4962,78.572
68,900.63,21.454,0,0,9.5,46.471,72.608,53.402,36.061,49.137,34.208,12.967,-81.078,3.122,77.116
69,909.55,21.597,0,0,9.5,45.804,72.845,54.563,34.585,49.149,34.848,13.962,-81.448,1.6,77.307
