Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,7.8398,27.515,1,0,9.5,36.541,4.6702,-18.699,15.059,-10.094,13.606,-13.725,-1.1262,18.988,56.008
2,0.67625,27.494,1,0,9.5,37.234,4.9621,-21.156,14.751,-11.284,13.37,-14.789,-1.3097,19.296,56.099
3,21.608,27.452,1,0,9.5,37.228,3.8963,-21.057,16.002,-11.799,15.155,-14.366,0.25764,18.061,55.093
4,1.0117,27.39,1,0,9.5,39.434,3.6666,-22.779,15.391,-11.683,14.436,-12.853,0.58922,19.128,54.621
5,15.54,27.308,1,0,9.5,40.623,3.0854,-22.121,15.834,-12.378,14.387,-11.309,1.1825,19.667,53.08
6,4.221,27.207,1,0,9.5,41.234,1.4738,-22.631,15.529,-12.842,14.327,-11.721,0.65683,20.717,52.632
7,10.504,27.086,1,0,9.5,42.821,0.35679,-22.997,15.302,-13.775,15.425,-12.63,1.1048,21.417,53.047
8,-0.31349,26.948,1,0,9.5,42.279,1.6439,-22.621,14.798,-14.255,15.748,-14.067,0.61184,20.409,51.773
9,16.023,26.793,1,0,9.5,42.693,2.4928,-22.275,13.922,-15.891,15.61,-15.53,0.053723,18.709,53.091
10,18.378,26.622,1,0,9.5,42.41,3.221,-22.221,11.304,-16.742,16.519,-14.188,0.056124,17.401,52.064
11,2.5816,26.436,1,0,9.5,41.96,3.7112,-20.62,11.948,-17.471,15.932,-14.691,1.5031,18.261,51.352
12,11.994,26.237,1,0,9.5,42.946,4.1376,-22.504,11.295,-17.336,17.605,-14.045,1.7452,17.92,51.643
13,14.922,26.025,1,0,9.5,43.206,2.1688,-20.804,10.687,-16.5,16.252,-15.388,1.6055,16.832,51.284
14,-8.1641,25.803,1,0,9.5,44.36,1.2826,-21.096,9.3151,-18.236,15.128,-17.097,2.6771,15.718,52.421
15,8.796,25.571,1,0,9.5,45.671,1.5501,-22.019,9.6988,-17.431,15.26,-16.777,4.2423,15.825,52.607
16,-1.6874,25.331,1,0,9.5,43.206,0.75158,-22.871,9.8923,-16.33,15.675,-18.158,2.9585,16.228,52.423
17,-1.7496,25.085,1,0,9.5,43.372,0.39086,-20.603,9.7073,-18.367,16.029,-17.9,2.2373,15.163,52.908
18,3.0067,24.833,1,0,9.5,44.932,0.21418,-21.494,10.047,-18.298,15.833,-16.743,1.2223,16.161,51.338
19,-14.014,24.579,1,0,9.5,45.51,0.60088,-21.942,11.553,-18.54,13.631,-16.709,2.0196,16.395,51.605
20,-5.8767,24.322,1,0,9.5,46.661,0.058138,-22.668,12.193,-19.945,13.087,-16.947,1.6226,12.861,52.439
21,15.276,24.065,1,0,9.5,47.05,-1.2669,-23.521,13.246,-20.088,12.104,-15.61,2.2956,11.489,52.218
22,4.8006,23.809,1,0,9.5,47.646,1.2494,-23.041,13.35,-20.658,12.216,-15.02,1.173,11.047,53.547
23,22.22,23.556,1,0,9.5,47.724,0.84738,-22.689,13.477,-22.165,12.118,-15.245,1.1849,12.1,53.997
24,13.378,23.306,1,0,9.5,49.976,3.1352,-22.003,13.077,-22.054,11.27,-17.399,0.67837,13.076,53.722
25,10.104,23.062,1,0,9.5,49.165,2.3979,-22.649,12.693,-21.866,10.954,-18.522,0.36752,13.832,53.915
26,13.865,22.823,1,0,9.5,49.876,3.0607,-21.946,13.84,-19.903,11.351,-19.602,1.7053,13.306,55.307
27,14.07,22.592,1,0,9.5,50.028,3.919,-20.689,14.925,-20.043,12.807,-19.41,2.2379,12.682,54.583
28,10.587,22.369,1,0,9.5,49.337,3.71,-20.747,13.997,-18.168,12.846,-19.631,1.6775,13.322,53.317
29,8.6318,22.156,1,0,9.5,49.411,4.0275,-21.033,13.259,-17.622,14.629,-18.912,2.9482,13.669,54.182
30,34.258,21.952,1,0,9.5,48.843,4.8987,-21.55,14.019,-18.023,16.454,-19.225,2.5635,13.274,54.555
31,64.149,21.759,1,0,9.5,50.52,4.9334,-20.78,14.138,-19.046,15.148,-19.223,3.019,12.594,55.028
32,84.077,21.578,1,0,9.5,49.515,5.2654,-23.115,14.871,-18.06,16.449,-18.049,3.2883,12.845,55.098
33,122.69,21.408,1,0,9.5,49.17,6.2929,-22.718,15.546,-18.375,16.311,-19.35,2.2582,12.714,54.241
34,168.74,21.251,0,0,9.5,48.99,5.0278,-23.339,16.492,-17.934,16.705,-17.485,2.1213,13.743,56.202
35,169.96,21.105,0,0,9.5,49.484,3.0045,-24.005,16.933,-17.6,14.358,-17.329,3.0721,11.83,56.007
36,198.27,20.973,0,0,9.5,49.27,4.5186,-25.162,17.147,-18.439,15.306,-18.021,2.5165,12.383,55.429
37,205.93,20.852,0,0,9.5,51.673,4.8157,-23.355,16.362,-19.298,14.923,-20.232,4.2898,12.799,55.465
38,255.93,20.745,0,0,9.5,50.705,3.8647,-21.869,16.349,-18.137,14.734,-20.47,2.4484,13.21,54.466
39,278.26,20.649,0,0,9.5,51.518,5.0516,-21.261,17.336,-17.781,14.761,-20.981,2.2668,12.645,53.656
40,306.03,20.565,0,0,9.5,52.035,4.1826,-21.381,17.566,-17.57,14.119,-20.88,2.3647,13.943,52.791
41,335.2,20.493,0,0,9.5,53.001,4.6678,-21.309,16.58,-16.477,14.065,-20.562,3.1619,14.943,51.795
42,337.22,20.432,0,0,9.5,54.329,5.4224,-22.115,16.865,-17.607,13.591,-19.5,3.5194,15.454,51.847
43,378.94,20.382,0,0,9.5,54.313,6.8363,-23.303,17.485,-15.529,11.967,-19.622,2.2323,16.372,52.512
44,410.1,20.341,0,0,9.5,55.564,7.0273,-20.767,16.952,-14.548,11.161,-20.53,3.3137,15.649,52.774
45,435.73,20.31,0,0,9.5,55.055,6.6693,-21.503,16.605,-13.197,10.59,-19.518,4.6157,14.622,53.155
46,466.97,20.288,0,0,9.5,56.771,6.6403,-19.983,17.384,-13.216,11.16,-19.708,5.3488,13.834,52.085
47,486.04,20.274,0,0,9.5,56.086,6.1768,-21.305,17.09,-13.892,10.827,-20.519,6.055,14.215,52.759
48,520.26,20.267,0,0,9.5,59.084,6.2124,-21.177,16.552,-13.531,10.94,-20.693,6.8195,15.213,52.232
49,535.44,20.267,0,0,9.5,57.564,6.5512,-20.788,16.663,-13.594,11.89,-21.396,5.1121,15.296,51.825
50,550.83,20.272,0,0,9.5,57.693,5.3024,-21.048,15.726,-13.053,12.618,-21.032,5.7948,13.771,51.401
51,565.28,20.283,0,0,9.5,59.01,5.8291,-21.815,16.569,-15.122,12.376,-22.602,6.3513,13.518,52.148
52,620.28,20.299,0,0,9.5,58.176,6.5747,-20.889,17.616,-13.11,11.657,-22.995,7.3775,13.968,52.969
53,629.2,20.318,0,0,9.5,56.432,6.6006,-20.668,16.065,-13.976,10.577,-23.576,6.6044,13.821,54.988
54,666.59,20.341,0,0,9.5,57.762,6.5637,-19.644,17.26,-13.737,7.1446,-24.391,6.065,14.4,54.979
55,708.23,20.366,0,0,9.5,57.827,7.4603,-21.592,16.81,-15.271,6.9075,-25.196,5.5962,15.456,53.429
56,712.55,20.393,0,0,9.5,57.098,8.6908,-20.306,19.15,-15.404,5.6802,-25.771,6.3931,15.362,54.101
57,739.12,20.422,0,0,9.5,57.253,9.5371,-19.074,18.89,-16.107,5.8173,-25.795,7.7699,15.935,53.388
58,766.2,20.453,0,0,9.5,56.897,9.7411,-18.458,17.844,-14.524,7.4724,-25.741,6.0585,15.082,52.664
59,804.74,20.484,0,0,9.5,55.983,8.6417,-17.677,17.564,-16.48,8.1673,-25.885,5.6571,15.567,52.75
60,825.7,20.516,0,0,9.5,54.725,9.0933,-18.005,17.94,-17.387,8.9654,-26.765,5.3904,15.287,52.657
61,854.69,20.549,0,0,9.5,53.208,9.1687,-16.806,16.204,-17.597,9.8623,-26.497,6.7547,15.917,51.362
62,861.56,20.582,0,0,9.5,55.422,8.3856,-16.152,16.943,-18.24,10.514,-25.342,6.4472,17.451,52.422
63,893.36,20.615,0,0,9.5,55.024,10.165,-16.817,18.069,-17.145,8.9546,-26.022,5.5652,17.054,52.206
64,921.82,20.649,0,0,9.5,53.574,10.423,-18.699,18.4,-17.149,8.2589,-25.321,4.7427,18.106,52.115
65,974.78,20.683,0,0,9.5,54.164,10.875,-18.125,18.746,-16.183,6.949,-25.784,4.0528,19.61,50.739
66,981.89,20.718,0,0,9.5,54.635,10.803,-19.524,18.13,-14.163,8.0467,-25.446,5.4745,19.25,49.919
67,1006.1,20.753,0,0,9.5,53.517,11.085,-19.488,18.852,-14.737,7.6851,-27.851,5.3495,18.516,50.722
68,1010.3,20.79,0,0,9.5,53.076,10.297,-18.499,19.705,-12.026,7.6688,-28.82,6.5608,17.453,51.225
69,1074.8,20.828,0,0,9.5,53.104,8.2355,-19.827,21.452,-11.805,9.2642,-30.071,6.3572,16.474,50.735
70,1083,20.867,0,0,8.4444,53.449,9.8837,-19.374,21.913,-11.175,8.069,-30.129,4.8142,18.094,51.332
71,1108.3,20.909,0,0,7.3889,55.453,8.391,-19.845,21.458,-10.133,9.7331,-27.726,3.9923,18.586,50.169
72,1142.6,20.954,0,0,6.3333,55.272,9.3562,-20.492,19.617,-11.564,7.8369,-26.966,2.5449,18.781,49.061
73,1166,21.001,0,0,5.2778,55.443,8.8138,-21.706,18.999,-10.569,8.8122,-25.755,2.5427,19.731,48.145
74,1202.9,21.052,0,0,4.2222,55.613,9.1159,-21.397,17.454,-11.096,7.3116,-24.765,3.4715,19.502,48.348
75,1225.1,21.107,0,0,3.1667,55.278,8.2113,-21.941,16.554,-10.819,7.8808,-26.087,2.8978,20.245,46.849
76,1253.3,21.166,0,0,2.1111,55.53,6.8865,-20.208,17.663,-11.375,9.0245,-25.325,2.7946,22.647,47.113
77,1274.5,21.23,0,0,1.0556,55.656,8.5864,-18.556,17.959,-11.438,9.5231,-26.851,1.8704,21.24,45.526
78,1293.8,21.299,0,0,0,55.853,9.7977,-17.536,15.681,-12.627,8.388,-26.68,2.5368,21.997,45.265
79,1322.5,21.373,0,0,0,56.044,8.8211,-16.589,15.234,-12.476,8.3563,-26.944,1.8426,20.563,46.867
80,1362.4,21.454,0,0,0,56.575,9.1298,-15.457,13.514,-13.362,11.378,-27.264,2.3669,19.172,47.623
81,1393.4,21.54,0,0,0,57.271,10.195,-14.291,13.631,-13.581,12.053,-26.241,2.352,19.452,46.814
82,1420.9,21.633,0,0,0,56.079,9.5026,-12.596,14.25,-12.577,14.315,-24.557,2.238,18.375,46.869
83,1433,21.732,0,0,0,55.556,10.945,-13.632,12.188,-13.514,11.251,-27.19,1.2972,19.224,46.656
