Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,11.768,20.503,1,0,9.5,-69.052,2.6712,-4.9065,7.6918,18.261,-26.953,26.261,48.691,115.35,-57.565
2,6.3779,20.519,1,0,9.5,-69.012,2.3533,-4.8626,6.9549,18.531,-27.147,25.225,47.833,116.33,-57.942
3,7.1093,20.551,1,0,9.5,-68.272,3.4171,-4.9832,6.2811,19.202,-27.497,25.565,47.215,114.99,-57.613
4,-1.2366,20.598,1,0,9.5,-68.395,3.9916,-4.4344,7.2732,17.606,-26.041,24.407,48.191,114.98,-58.149
5,-17.25,20.66,1,0,9.5,-70.006,4.7783,-6.1752,7.7156,17.283,-26.393,23.122,47.836,113.55,-59.15
6,12.61,20.738,1,0,9.5,-70.399,4.677,-7.6348,7.2174,17.545,-26.768,21.272,46.867,116.43,-60.646
7,-5.1467,20.829,1,0,9.5,-72.115,4.6729,-6.1891,7.1421,16.295,-28.856,20.025,45.716,116.92,-59.262
8,21.896,20.934,1,0,9.5,-72.263,4.2034,-5.256,5.7078,15.66,-27.914,19.504,43.519,116.12,-59.688
9,4.7253,21.051,1,0,9.5,-71.576,3.8121,-4.578,4.5474,15.272,-28.409,19.144,42.407,115.34,-59.174
10,10.557,21.181,1,0,9.5,-70.344,5.386,-4.5462,5.6597,15.354,-29.463,18.758,43.44,115.55,-58.538
11,3.591,21.322,1,0,9.5,-70.635,5.6273,-3.6651,5.5304,15.491,-29.961,16.172,44.203,114.93,-60.279
12,3.8872,21.472,1,0,9.5,-71.206,3.2739,-4.8921,5.1032,13.673,-30.227,17.103,43.691,115.11,-60.304
13,0.70423,21.632,1,0,9.5,-72.739,3.6238,-5.6347,5.1636,14.739,-30.8,16.524,44.922,117.04,-59.477
14,1.5712,21.799,1,0,9.5,-73.105,3.8489,-6.5685,4.7583,15.502,-31.705,15.204,45.418,117.4,-59.319
15,-2.0898,21.974,1,0,9.5,-72.351,4.5769,-7.5303,3.094,15.563,-32.115,15.023,44.301,117.48,-59.373
16,10.837,22.153,1,0,9.5,-73.027,5.8371,-7.9949,4.2586,14.613,-31.955,14.364,43.175,118.64,-60.535
17,-2.9472,22.336,1,0,9.5,-72.006,5.2612,-8.872,4.2166,15.589,-31.971,13.884,44.696,119.04,-60.795
18,23.492,22.523,1,0,9.5,-73.446,5.9136,-8.4698,3.3869,15.822,-32.17,14.589,45.687,118.91,-61.224
19,-5.8136,22.711,1,0,9.5,-73.979,5.0973,-8.1595,4.3161,15.61,-34.539,14.464,45.063,116.99,-62.042
20,17.388,22.899,1,0,9.5,-74.464,5.119,-7.6456,3.8213,16.192,-34.149,16.409,46.058,116.51,-60.356
21,-1.6665,23.085,1,0,9.5,-74.512,4.8371,-8.9766,3.8313,16.495,-35.586,18.688,47.155,117.26,-59.484
22,2.2856,23.27,1,0,9.5,-74.692,2.9881,-9.4719,5.6894,14.684,-34.712,18.611,47.669,115.84,-58.679
23,4.2523,23.45,1,0,9.5,-74.271,4.8228,-10.217,5.0155,14.32,-33.279,19.092,49.031,114.68,-56.966
24,13.308,23.625,1,0,9.5,-77.043,4.4325,-10.556,4.3651,14.884,-35.624,18.009,47.541,114.98,-59.462
25,-10.848,23.795,1,0,9.5,-77.342,4.4372,-10.371,5.7025,14.418,-36.105,18.611,46.427,113.84,-60.819
26,9.8883,23.956,1,0,9.5,-75.935,4.0233,-9.1701,6.8021,14.998,-36.918,19.066,46.402,113.61,-59.625
27,20.799,24.109,1,0,9.5,-76.219,3.3414,-10.969,7.7321,14.921,-37.003,19.817,47.239,112.25,-59.175
28,3.3606,24.253,1,0,9.5,-74.955,3.1478,-11.741,7.7309,15.097,-39.823,19.004,47.186,112.74,-59.957
29,43.056,24.385,1,0,9.5,-73.259,2.7642,-13.983,6.6113,13.937,-39.879,18.446,47.184,112.34,-61.195
30,60.61,24.507,1,0,9.5,-74.808,4.2985,-14.414,8.0656,14.362,-40.624,18.028,46.987,112.21,-61.022
