Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,9.8699,24.405,1,0,9.5,3.2736,-40.44,-41.416,-4.0105,37.311,-71.542,12.113,33.788,-19.673,68.473
2,17.372,24.387,1,0,9.5,2.5461,-39.245,-41.608,-3.3758,37.691,-71.043,14.234,33.821,-19.767,69.23
3,5.3442,24.353,1,0,9.5,1.4782,-38.113,-42.012,-3.6801,37.161,-68.625,15.538,33.369,-18.361,69.591
4,6.8866,24.301,1,0,9.5,2.4437,-38.167,-41.336,-5.1386,38.219,-67.439,14.735,32.428,-18.794,69.166
5,-0.0052323,24.233,1,0,9.5,2.4689,-38.462,-42.403,-4.3949,39.041,-67.023,14.247,32.921,-16.846,67.773
6,20.76,24.149,1,0,9.5,1.6228,-38.029,-41.753,-2.5944,37.906,-67.423,15.232,32.3,-17.429,68.14
7,10.061,24.05,1,0,9.5,0.9561,-38.264,-42.974,-4.7568,36.099,-67.845,14.826,33.618,-16.785,68.829
8,3.7647,23.937,1,0,9.5,2.0454,-38.428,-42.213,-4.3957,35.363,-66.929,14.079,32.528,-17.652,68.697
9,15.559,23.81,1,0,9.5,1.723,-39.276,-41.874,-4.8546,33.734,-65.472,13.077,32.545,-17.561,67.317
10,1.5154,23.671,1,0,9.5,1.9551,-38.947,-43.571,-7.0583,34.15,-63.875,13.504,33.791,-16.735,67.941
11,0.24001,23.521,1,0,9.5,2.4308,-36.693,-43.07,-7.6058,33.819,-64.055,13.887,32.623,-19.021,67.619
12,4.0687,23.361,1,0,9.5,0.42953,-36.791,-43.303,-6.8201,33.432,-65.41,13.313,32.009,-18.428,67.726
13,7.7392,23.193,1,0,9.5,1.4928,-37.063,-42.861,-7.0108,33.561,-66.356,14.035,31.031,-18.958,66.828
14,1.5739,23.018,1,0,9.5,1.8049,-37.05,-42.336,-6.8237,34.241,-65.316,13.114,31.443,-20.454,67.604
15,2.4258,22.837,1,0,9.5,1.5355,-37.153,-42.113,-8.0121,33.005,-64.479,13.601,31.373,-20.45,66.627
16,6.5184,22.652,1,0,9.5,2.0525,-36.963,-40.792,-7.2833,31.953,-65.845,14.754,32.506,-20.146,67.728
17,11.203,22.465,1,0,9.5,3.3537,-37.777,-40.587,-7.8716,35.154,-66.928,15.061,31.971,-19.565,68.387
18,24.651,22.277,1,0,9.5,2.1984,-40.626,-41.549,-6.5896,36.105,-67.903,14.056,31.166,-19.432,66.923
19,15.142,22.09,1,0,9.5,3.819,-40.834,-39.923,-6.8896,35.86,-68.9,13.655,31.355,-20.049,66.982
20,1.8497,21.904,1,0,9.5,4.5761,-39.56,-41.029,-7.4789,35.754,-69.425,13.462,30.785,-19.763,68.189
21,6.2105,21.723,1,0,9.5,4.6836,-38.854,-40.635,-7.7045,35.164,-71.02,13.006,29.455,-20.144,67.11
22,-10.63,21.547,1,0,9.5,4.5439,-38.576,-40.141,-6.8528,36.117,-71.379,13.255,28.584,-20.688,67.061
23,13.378,21.377,1,0,9.5,6.1393,-38.083,-40.661,-6.9966,36.219,-73.476,13.246,28.936,-21.41,68.622
24,18.714,21.215,1,0,9.5,4.3444,-38.442,-39.43,-5.7839,34.66,-73.785,13.749,30.268,-23.006,68.835
25,3.9596,21.062,1,0,9.5,5.8486,-39.9,-39.249,-7.2137,35.033,-72.759,15.238,28.613,-24.027,68.634
26,1.7403,20.92,1,0,9.5,4.6589,-39.804,-38.238,-5.8259,35.908,-70.207,17.06,27.765,-24.687,68.546
27,8.8143,20.789,1,0,9.5,4.5335,-39.885,-37.924,-4.6348,35.593,-73.076,16.839,27.794,-24.267,71.022
28,4.1233,20.67,1,0,9.5,5.9545,-39.334,-37.95,-2.6867,35.416,-74.709,17.416,26.987,-23.46,71.865
29,4.1049,20.564,1,0,9.5,6.4018,-36.828,-38.269,-1.8761,34.981,-74.567,17.57,26.291,-24.74,69.494
30,22.675,20.472,1,0,9.5,6.2614,-37.339,-40.581,-2.9544,35.152,-73.896,17.094,27.03,-25.006,69.265
31,20.373,20.394,1,0,9.5,5.0374,-37.366,-40.02,-3.9121,35.745,-74.326,16.918,27.865,-26.702,68.322
32,5.0926,20.331,1,0,9.5,4.123,-36.996,-41.508,-3.0359,34.836,-73.55,16.519,28.789,-26.379,68.125
33,-0.92216,20.283,1,0,9.5,2.9457,-36.585,-42.311,-3.0835,36.88,-74.078,16.613,30.002,-28.514,69.867
34,-3.5812,20.25,1,0,9.5,3.31,-36.819,-42.482,-3.0364,36.641,-73.214,15.278,29.256,-29.61,71.688
35,26.889,20.232,1,0,9.5,3.1289,-37.209,-42.289,-2.2836,35.895,-73.421,15.168,29.016,-29.914,71.632
36,55.721,20.23,1,0,9.5,3.3099,-36.931,-44.204,-1.987,36.244,-74.5,14.659,29.681,-29.205,73.272
37,52.51,20.242,1,0,9.5,3.3536,-35.444,-44.687,-3.1458,36.984,-72.858,17.593,31.76,-27.27,72.708
38,84.604,20.268,1,0,9.5,1.5504,-34.9,-46.797,-3.28,37.871,-73.637,17.835,31.458,-28.176,72.717
39,117.39,20.308,1,0,9.5,1.6397,-35.99,-46.498,-3.0214,37.179,-73.648,17.637,32.191,-27.648,73.697
40,138.21,20.36,1,0,9.5,1.0959,-36.232,-47.651,-3.7339,37.639,-74.516,16.469,32.761,-28.294,72.167
41,166.98,20.426,0,0,9.5,1.9526,-36.802,-48.405,-3.9718,36.583,-73.793,16.134,32.428,-28.027,72.792
42,177,20.502,0,0,9.5,1.402,-36.038,-48.269,-4.3031,36.066,-74.249,15.853,32.489,-28.88,72.643
43,210.54,20.589,0,0,9.5,1.2736,-35.865,-48.257,-5.026,35.187,-73.944,15.275,33.899,-30.011,72.153
44,237.75,20.685,0,0,9.5,0.1623,-34.334,-48.553,-2.7286,35.484,-74.751,12.363,34.887,-30.182,71.365
45,257.51,20.79,0,0,9.5,-1.0063,-33.091,-48.681,-2.5758,35.198,-75.498,12.315,35.603,-29.987,72.847
46,276.81,20.901,0,0,9.5,-0.64618,-31.449,-48.726,-2.8205,35.28,-76.701,11.863,36.016,-30.534,72.141
47,311.73,21.018,0,0,9.5,-1.2274,-32.858,-50.187,-1.5395,34.095,-77.493,12.695,36.741,-29.726,71.982
48,304.51,21.14,0,0,9.5,-1.5288,-31.939,-50.891,-1.1937,33.834,-78.064,11.875,37.841,-30.739,71.082
49,326.69,21.265,0,0,9.5,0.69627,-32.321,-52.606,0.33289,34.379,-78.63,11.692,37.653,-30.772,70.087
50,352.98,21.391,0,0,9.5,1.6257,-33.537,-51.875,0.81747,36.492,-78.005,12.447,37.381,-31.778,71.083
51,373.73,21.518,0,0,9.5,3.2665,-32.844,-51.531,0.1026,36.952,-78.451,12.902,38.745,-31.847,70.46
