Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-12.696,22.413,1,0,9.5,-40.85,-62.082,34.851,-42.753,17.248,70.513,89.987,-29.185,59.766,36.941
2,7.1997,22.397,1,0,9.5,-39.642,-62.441,34.857,-43.047,16.91,71.402,90.139,-29.073,61.042,38.533
3,-11.122,22.364,1,0,9.5,-38.894,-62.547,35.076,-42.543,16.456,70.814,91.116,-28.523,61.587,37.063
4,9.5403,22.315,1,0,9.5,-39.273,-63.36,35.367,-41.465,15.85,71.236,92.892,-29.268,63.22,37.226
5,-1.0508,22.252,1,0,9.5,-39.24,-63.521,36.395,-39.975,17.651,71.097,93.33,-30.587,64.098,38.516
6,-1.8903,22.173,1,0,9.5,-40.461,-62.099,35.196,-42.057,17.987,70.731,92.417,-31.484,66.364,38.801
7,-12.37,22.081,1,0,9.5,-40.655,-61.244,35.903,-40.926,17.695,70.549,92.617,-31.699,67.049,39.868
8,1.4804,21.977,1,0,9.5,-41.553,-61.257,34.087,-40.964,17.13,68.701,92.582,-31.833,68.332,41.087
9,-3.1556,21.862,1,0,9.5,-41.654,-60.047,34.17,-41.174,17.213,70.283,92.087,-33.062,67.851,41.727
10,6.3553,21.736,1,0,9.5,-42.721,-61.927,32.612,-41.933,18.062,70.081,91.569,-33.429,66.756,42.367
11,-9.5325,21.603,1,0,9.5,-41.24,-62.294,32.02,-40.912,17.382,69.776,92.061,-33.289,66.222,41.948
12,-12.8,21.462,1,0,9.5,-39.662,-61.086,32.943,-41.226,15.736,71.234,92.884,-34.92,65.096,41.351
13,19.413,21.317,1,0,9.5,-40.405,-62.9,34.549,-39.484,15.476,69.767,93.879,-34.487,65.893,41.263
14,7.4209,21.168,1,0,9.5,-40.82,-63.591,34.651,-39.467,17.073,70.13,95.72,-33.671,64.757,40.608
15,2.7789,21.019,1,0,9.5,-43.001,-62.922,33.629,-39.564,15.969,70.519,94.494,-34.031,65.361,41.337
16,10.98,20.869,1,0,9.5,-41.455,-62.151,31.577,-42.254,16.089,69.028,94.976,-32.779,66.334,41.942
17,0.13305,20.722,1,0,9.5,-40.936,-63.348,31.001,-41.052,15.978,68.715,95.701,-32.903,65.854,41.743
18,8.2582,20.579,1,0,9.5,-43.678,-63.421,30.891,-42.322,16.403,67.898,94.68,-33.216,65.444,40.447
19,5.3277,20.442,1,0,9.5,-42.787,-64.692,30.41,-44.248,16.805,68.381,94.366,-32.472,65.802,40.481
20,-0.67818,20.312,1,0,9.5,-41.295,-64.045,29.613,-44.138,18.883,69.207,93.893,-30.912,65.623,39.875
21,-7.253,20.192,1,0,9.5,-40.865,-63.411,30.373,-44.197,19.836,67.957,94.795,-29.581,67.072,39.453
22,1.6631,20.083,1,0,9.5,-41.934,-62.843,31.624,-43.248,20.765,69.416,93.425,-28.577,66.349,40.374
23,-3.0795,19.986,1,0,9.5,-40.797,-62.905,30.611,-42.308,21.443,70.034,91.862,-28.952,66.522,40.849
24,-3.4635,19.903,1,0,9.5,-41.037,-63.26,30.795,-42.706,21.652,69.3,90.913,-27.338,66.176,40.118
25,-8.3403,19.835,1,0,9.5,-41.062,-62.533,31.203,-41.286,20.569,69.928,90.833,-27.039,64.843,40.937
26,3.6672,19.782,1,0,9.5,-39.593,-62.329,30.582,-42.545,19.907,71.26,89.581,-28.835,64.494,41.155
27,22.379,19.747,1,0,9.5,-39.02,-61.68,31.396,-41.016,19.418,70.842,91.376,-28.124,65.37,40.26
28,7.7537,19.729,1,0,9.5,-36.784,-60.339,32.435,-41.58,18.619,69.197,90.337,-28.745,64.622,39.538
29,18.283,19.728,1,0,9.5,-37.143,-60.025,29.857,-42.513,18.123,68.047,90.543,-28.862,63.866,37.923
30,31.343,19.746,1,0,9.5,-36.871,-59.62,30.011,-41.28,17.354,66.316,89.098,-30.333,64.67,38.482
31,21.021,19.782,1,0,9.5,-36.49,-57.638,30.195,-40.696,17.796,65.129,89.9,-29.977,62.598,36.455
32,2.1776,19.836,1,0,9.5,-37.215,-56.104,28.302,-40.617,16.951,65.297,90.571,-31.444,62.397,35.386
33,14.028,19.908,1,0,9.5,-38.449,-55.299,27.892,-40.477,16.895,64.749,92.057,-32.525,62.691,35.649
34,25.906,19.997,1,0,9.5,-37.992,-56.528,27.29,-41.257,17.756,66.77,91.547,-31.777,63.333,36.709
35,50.47,20.103,1,0,9.5,-36.799,-56.176,28.093,-41.563,16.819,67.335,91.984,-31.82,64.842,36.277
36,78.113,20.225,1,0,9.5,-36.355,-55.383,27.109,-41.189,16.338,65.587,92.038,-31.974,66.355,36.805
37,111.19,20.361,1,0,9.5,-36.245,-54.915,26.779,-40.627,15.75,64.258,91.844,-31.42,64.568,37.978
38,133.33,20.51,0,0,9.5,-36.923,-55.089,27.412,-40.724,16.31,64.18,91.564,-32.614,65.575,38.514
39,141.38,20.672,0,0,9.5,-36.477,-55.208,28.225,-42.119,16.5,63.526,90.026,-32.95,66.04,37.557
40,174.69,20.845,0,0,9.5,-37.945,-56.359,28.427,-41.346,16.833,62.786,88.785,-31.002,65.638,37.483
41,182.12,21.026,0,0,9.5,-36.283,-57.249,27.255,-42.956,15.879,63.527,87.919,-30.506,67.975,37.838
42,211.4,21.215,0,0,9.5,-37.257,-56.845,27.457,-43.502,16.005,65.528,88.874,-28.688,67.648,38.927
43,213.74,21.409,0,0,9.5,-36.602,-56.023,28.904,-43.89,16.313,66.101,86.972,-28.326,68.659,38.797
44,248.23,21.607,0,0,9.5,-36.671,-57.656,28.923,-43.658,15.625,65.634,87.616,-29.504,68.473,37.715
45,289.59,21.806,0,0,9.5,-37.708,-57.527,30.257,-41.927,16.628,65.107,88.047,-28.689,69.129,37.89
46,297.45,22.006,0,0,9.5,-37.862,-56.839,29.467,-43.328,15.54,65.667,88.209,-28.301,67.603,37.655
47,321.83,22.203,0,0,9.5,-34.444,-55.981,29.141,-43.633,16.408,65.368,88.034,-28.579,65.999,38.407
48,327.67,22.397,0,0,9.5,-35.564,-56.69,28.13,-43.311,15.436,66.842,88.197,-27.788,67.218,40.237
49,352.67,22.585,0,0,9.5,-34.139,-56.244,27.807,-43.493,15.438,66.666,87.694,-27.767,67.801,40.984
50,378.69,22.765,0,0,9.5,-34.59,-56.305,27.056,-42.512,15.043,67.076,88.015,-28.422,67.003,40.086
51,405.66,22.937,0,0,9.5,-35.304,-55.268,26.42,-43.463,16.05,67.454,88.357,-27.781,66.068,38.726
52,434.82,23.097,0,0,9.5,-35.264,-54.632,27.76,-43.239,15.167,67.488,88.318,-26.923,67.116,39.303
53,434.59,23.246,0,0,9.5,-33.638,-55.251,28.096,-41.934,14.496,68.418,86.804,-27.305,66.383,39.349
54,473.56,23.382,0,0,9.5,-33.26,-53.162,29.091,-42.323,13.998,68.492,86.317,-26.62,65.685,39.145
55,491.29,23.502,0,0,9.5,-33.193,-51.333,29.402,-42.146,14.178,69.532,85.413,-28.166,64.308,40.536
56,502.33,23.608,0,0,9.5,-33.012,-51.354,29.957,-43.401,14.64,68.977,86.579,-27.631,64.31,41.44
57,540.8,23.697,0,0,9.5,-33.03,-54.255,31.245,-44.365,15.026,68.327,88.453,-27.674,65.045,42.234
58,550.97,23.77,0,0,9.5,-33.554,-55.2,31.546,-44.786,15.119,68.68,88.448,-27.843,64.608,42.51
59,576.91,23.825,0,0,9.5,-33.134,-54.252,32.695,-46.086,15.988,69.545,88.606,-28.021,65.6,42.921
60,596.29,23.863,0,0,9.5,-32.519,-53.352,32.54,-43.073,15.826,67.954,89.403,-27.652,66.268,42.423
61,603.63,23.884,0,0,9.5,-33.257,-53.995,33.557,-43.48,15.961,66.358,90.028,-28.428,65.221,43.315
62,646.12,23.888,0,0,9.5,-35.061,-54.483,33.129,-44.297,15.387,66.071,91.867,-29.955,65.838,42.931
63,655.72,23.875,0,0,9.5,-33.717,-55.95,32.447,-43.903,16.864,67.09,91.896,-29.922,65.866,41.758
64,692.6,23.847,0,0,9.5,-34.375,-56.102,32.407,-43.995,17.304,67.48,91.543,-30.45,65.549,43.804
65,706.18,23.803,0,0,9.5,-34.905,-55.065,32.385,-43.811,16.923,67.424,92.424,-31.925,63.554,42.077
66,734.63,23.746,0,0,9.5,-34.758,-53.373,33.508,-43.918,18.311,65.35,92.716,-31.905,62.811,41.337
67,755.15,23.675,0,0,9.5,-36.55,-54.546,34.924,-44.453,16.472,68.067,92.777,-31.918,62.558,41.522
68,768.72,23.594,0,0,9.5,-36.854,-56.19,34.675,-45.168,15.398,67.61,92.596,-32.193,63.141,40.018
69,793.5,23.502,0,0,9.5,-36.479,-55.664,33.778,-44.605,14.827,66.854,93.109,-31.517,64.025,40.118
70,816.3,23.403,0,0,9.5,-36.839,-56.61,32.747,-43.687,14.902,66.046,92.846,-30.558,63.254,38.973
71,836.78,23.297,0,0,9.5,-37.752,-53.731,34.864,-44.046,13.425,64.166,94.024,-30.779,61.863,40.152
72,846.19,23.186,0,0,9.5,-38.721,-53.173,35.339,-44.565,14.227,64.248,93.72,-32.505,61.425,40.947
73,876.36,23.073,0,0,9.5,-38.121,-53.261,36.259,-43.063,15.017,64.352,93.738,-32.746,61.997,40.77
74,906.41,22.959,0,0,9.5,-38.449,-55.178,37.293,-43.962,15.333,65.444,94.855,-31.608,60.727,41.093
75,918.29,22.847,0,0,9.5,-38.045,-55.309,37.681,-42.977,14.818,65.491,93.371,-32.529,60.386,41.043
76,946.91,22.738,0,0,9.5,-38.107,-53.33,36.996,-42.147,16.061,66.261,93.06,-31.055,59.433,40.588
77,969.7,22.634,0,0,9.5,-37.901,-53.951,38.803,-42.588,16.379,66.595,93.926,-29.329,59.888,40.109
78,992,22.538,0,0,9.5,-37.371,-52.425,40.786,-42.07,17.207,66.011,95.096,-28.973,59.308,42.042
79,1007.9,22.452,0,0,9.5,-38.812,-52.764,40.108,-41.773,16.326,65.738,93.723,-29.904,58.606,42.196
80,1037.8,22.376,0,0,9.5,-39.578,-52.708,40.327,-40.647,16.584,65.011,92.939,-28.115,57.647,40.805
81,1061.7,22.313,0,0,9.5,-41.508,-53.587,41.154,-40.111,16.388,64.488,93.83,-26.89,57.977,41.172
82,1075,22.265,0,0,8.4444,-41.399,-52.329,40.631,-39.609,14.956,65.134,94.954,-27.234,58.878,40.664
83,1091.5,22.233,0,0,7.3889,-40.647,-55.442,41.338,-39.584,15.338,63.863,94.141,-26.68,58.566,39.744
84,1124.6,22.218,0,0,6.3333,-43.165,-55.069,40.595,-38.777,17.001,64.426,93.454,-27.27,60.262,39.633
85,1126.2,22.221,0,0,5.2778,-43.844,-56.615,43.003,-40.538,19.74,64.566,93.622,-26.978,61.372,38.162
86,1161.2,22.243,0,0,4.2222,-44.499,-57.136,41.484,-40.287,21.03,64.43,93.684,-26.379,59.272,38.83
87,1172.7,22.286,0,0,3.1667,-44.621,-57.584,40.542,-40.426,19.757,65.84,92.826,-25.748,58.197,39.62
88,1216.3,22.348,0,0,2.1111,-47.264,-58.485,41.032,-40.885,18.191,64.272,92.899,-27.785,58.895,39.227
89,1227.1,22.431,0,0,1.0556,-47.705,-57.068,41.475,-40.165,17.341,64.037,92.38,-27.253,58.486,40.389
90,1261.2,22.535,0,0,0,-47.706,-57.938,40.621,-41.278,17.033,64.819,91.929,-27.734,56.604,39.372
91,1281.3,22.659,0,0,0,-47.138,-58.629,40.223,-43.198,15.698,64.533,91.648,-28.187,56.695,37.635
92,1295.7,22.802,0,0,0,-47.377,-59.639,40.472,-42.999,14.616,65.317,89.976,-28.347,55.944,38.004
93,1311.4,22.965,0,0,0,-48.7,-58.184,42.285,-42.423,15.391,65.462,90.069,-27.495,56.234,37.963
94,1330.4,23.147,0,0,0,-48.723,-57.889,44.758,-41.11,14.365,64.652,91.853,-28.894,57.306,40.726
95,1367.2,23.345,0,0,0,-47.279,-57.356,44.733,-42.839,13.726,64.749,92.053,-28.164,56.79,40.196
96,1372.7,23.559,0,0,0,-47.633,-56.276,43.796,-42.602,12.738,63.884,92.936,-29.107,54.924,41.108
97,1414,23.788,0,0,0,-48.903,-57.347,45.143,-42.858,11.408,63.196,92.228,-29.206,56.982,41.212
98,1431.4,24.028,0,0,0,-48.858,-56.402,44.091,-41.31,11.504,64.281,91.077,-29.319,57.982,42.231
99,1456.5,24.28,0,0,0,-48.04,-57.08,43.492,-42.901,11.256,63.528,92.774,-28.621,58.466,39.511
100,1473.3,24.54,0,0,0,-48.274,-57.259,43.248,-42.489,12.21,61.873,90.863,-27.779,60.043,39.488
101,1497.1,24.806,0,0,0,-48.487,-57.562,44.356,-43.338,13.353,62.036,90.282,-27.915,59.763,38.717
102,1508.5,25.076,0,0,0,-47.438,-56.645,42.857,-43.017,14.155,62.326,90.722,-27.789,60.667,38.381
103,1550.2,25.348,0,0,0,-47.835,-57.687,43.032,-41.337,12.867,62.172,90.999,-27.177,59.509,38.22
104,1550.6,25.619,0,0,0,-48.641,-57.193,44.05,-42.406,13.392,64.216,91.346,-27.103,59.273,38.583
105,1572.8,25.887,0,0,0,-48.145,-56.18,44.857,-42.842,12.43,63.421,89.825,-28.769,58.012,39.742
106,1594.9,26.149,0,0,0,-47.998,-55.178,44.389,-42.329,11.886,62.831,89.962,-29.259,57.384,38.578
107,1622.1,26.402,0,0,0,-46.515,-55.132,42.366,-41.722,13.255,62.666,91.137,-27.602,57.942,39.353
108,1642.5,26.644,0,0,0,-47.713,-54.812,42.796,-41.388,12.087,60.661,92.164,-27.656,57.101,38.672
109,1656.4,26.874,0,0,0,-47.188,-55.433,42.166,-41.867,12.066,61.558,91.652,-28.826,56.372,38.712
110,1672.6,27.087,0,0,0,-46.047,-56.718,43.311,-43.531,12.277,59.782,91.958,-29.34,55.251,38.983
