Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-8.2464,18.813,1,0,9.5,28.766,26.837,19.657,-53.809,-21.463,4.3159,-8.6389,39.688,65.151,-12.915
2,0.93079,18.827,1,0,9.5,28.5,27.205,20.676,-53.481,-21.217,4.0304,-9.5958,38.764,66.866,-12.336
3,-5.7268,18.856,1,0,9.5,29.548,28.66,22.434,-53.776,-22.272,3.7008,-9.9376,38.158,68.058,-12.59
4,4.0533,18.9,1,0,9.5,30.343,28.608,21.39,-51.242,-22.006,3.146,-9.4167,37.688,68.444,-14.218
5,-7.5684,18.957,1,0,9.5,31.23,28.549,22.994,-50.015,-22.852,3.6658,-9.5051,37.407,68.408,-14.192
6,-6.8734,19.027,1,0,9.5,31.364,26.758,22.379,-51.874,-24.898,4.2986,-9.2603,36.638,69.18,-14.66
7,16.233,19.111,1,0,9.5,32.908,27.193,21.734,-53.043,-24.605,3.9977,-9.1346,36.647,70.109,-14.373
8,6.2818,19.207,1,0,9.5,32.22,27.329,21.916,-54.54,-23.923,1.9374,-9.2131,37.048,68.462,-13.801
9,4.5838,19.315,1,0,9.5,31.801,26.826,20.226,-53.896,-23.691,2.3959,-9.0674,38.596,67.751,-13.408
10,17.431,19.434,1,0,9.5,31.581,27.934,21.514,-53.968,-22.381,1.4761,-10.167,37.587,67.447,-12.979
11,17.191,19.563,1,0,9.5,29.843,28.226,20.715,-53.806,-24.33,2.1488,-9.5018,35.66,65.345,-12.33
12,-2.6971,19.701,1,0,9.5,29.247,27.176,20.495,-52.942,-23.238,0.28817,-8.4108,36.695,65.025,-11.815
13,17.09,19.847,1,0,9.5,28.54,28.155,21.144,-53.872,-23.321,2.9412,-9.3164,37.572,65.325,-12.022
14,-2.2835,20,1,0,9.5,27.801,29.826,18.957,-52.715,-22.631,2.5789,-9.7521,35.944,66.425,-12.361
15,9.6008,20.16,1,0,9.5,27.303,30.672,19.4,-51.933,-23.302,2.0209,-9.4343,36.775,65.928,-11.699
16,14.743,20.324,1,0,9.5,27.816,30.994,20.744,-52.516,-22.899,1.8837,-9.1079,38.393,64.207,-10.781
17,8.5036,20.492,1,0,9.5,26.992,30.106,20.835,-51.408,-22.62,0.37382,-7.3496,38.185,62.491,-10.511
18,4.3902,20.663,1,0,9.5,26.266,28.81,20.162,-51.311,-21.21,0.98286,-7.1117,39.239,62.002,-10.792
19,-9.78,20.835,1,0,9.5,25.458,28.197,21.297,-52.776,-18.785,0.65363,-6.8356,40.225,62.306,-12.048
20,7.6669,21.007,1,0,9.5,26.487,28.838,20.121,-53.14,-19.217,1.1518,-7.9793,41.454,62.902,-11.664
21,2.0809,21.178,1,0,9.5,26.417,27.875,20.557,-51.307,-18.776,1.8848,-9.6938,42.655,64.1,-10.708
22,16.489,21.347,1,0,9.5,25.18,28.126,21.593,-50.548,-18.975,0.89595,-8.829,42.222,64.237,-9.7145
23,2.9025,21.511,1,0,9.5,26.414,28.279,21.633,-50.663,-18.856,1.3692,-8.5412,41.792,63.828,-8.3418
