Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-12.405,23.489,1,0,9.5,75.015,-57.303,-33.865,135.24,13.086,-47.241,13.446,51.867,55.7,-19.941
2,-9.3737,23.483,1,0,9.5,74.256,-56.682,-33.775,137.05,12.94,-48.539,11.959,53.357,57.171,-20.111
3,-1.9948,23.472,1,0,9.5,75.321,-56.404,-33.369,137.46,13.551,-48.089,12.622,52.771,55.023,-20.882
4,4.7569,23.455,1,0,9.5,74.371,-57.865,-32.911,137.58,15.144,-47.203,12.344,52.175,57.749,-20.762
5,12.259,23.433,1,0,9.5,74.902,-59.746,-33.204,137.65,15.29,-46.815,11.291,51.823,57.882,-19.964
6,8.6352,23.405,1,0,9.5,75.196,-60.619,-33.225,136.72,13.639,-46.647,8.9088,49.66,55.544,-21.406
7,7.095,23.372,1,0,9.5,74.257,-60.899,-33.294,135.53,14.14,-46.881,9.6733,48.756,55.361,-21.551
8,-6.6242,23.333,1,0,9.5,74.473,-60.35,-33.975,135.74,14.1,-47.494,10.052,47.437,53.692,-22.273
9,-8.6466,23.289,1,0,9.5,74.28,-59.807,-34.432,136.61,12.908,-45.045,11.935,48.147,54.365,-21.068
10,10.894,23.24,1,0,9.5,75.257,-59.872,-34.891,137.12,13.096,-48.335,10.969,48.43,55.624,-18.536
11,-3.2508,23.186,1,0,9.5,74.903,-59.495,-34.214,139.33,12.515,-46.95,11.59,49.038,55.652,-18.152
12,-9.8715,23.127,1,0,9.5,75.993,-58.551,-35.212,139.49,13.283,-49.552,10.517,49.895,55.311,-18.214
13,-7.292,23.062,1,0,9.5,76.145,-59.714,-35.271,139.16,12.638,-49.856,10.854,48.776,55.556,-15.178
14,20.517,22.993,1,0,9.5,77.013,-59.956,-35.947,138.14,10.356,-51.2,11.325,48.466,55.646,-15.999
15,-19.885,22.919,1,0,9.5,77.187,-59.782,-36.852,138.87,10.227,-52.774,11.192,49.036,54.972,-16.068
16,-0.077164,22.841,1,0,9.5,78.014,-58.242,-35.841,138.39,9.8229,-52.719,11.145,49.322,56.377,-15.172
17,3.4064,22.759,1,0,9.5,78.104,-57.865,-35.354,138.05,8.2333,-52.471,9.0955,50.485,54.484,-14.821
18,6.5931,22.672,1,0,9.5,77.761,-58.384,-35.316,137.13,8.5058,-51.968,9.5424,51.106,56.126,-16.588
19,15.463,22.581,1,0,9.5,76.541,-58.687,-34.855,136.58,9.3656,-50.509,9.7678,49.993,54.783,-17.363
20,-16.128,22.486,1,0,9.5,76.828,-58.762,-35.407,137.22,7.6984,-50.33,11.877,50.615,55.169,-16.909
21,25.262,22.388,1,0,9.5,75.272,-59.156,-36.973,137.39,6.0302,-49.869,13.431,52.231,55.864,-18.22
22,21.528,22.287,1,0,9.5,76.741,-58.928,-36.43,139.34,6.9052,-50.234,12.955,52.382,57.061,-19.815
23,16.237,22.182,1,0,9.5,76.768,-58.737,-37.039,138.82,6.7181,-48.93,14.06,51.262,56.262,-19.288
24,11.094,22.075,1,0,9.5,77.848,-57.276,-38.781,137.59,6.1851,-49.086,13.631,50.202,55.348,-19.333
25,19.849,21.965,1,0,9.5,80.055,-55.611,-37.919,140.49,7.6902,-47.981,11.358,49.574,55.543,-18.543
26,-4.3415,21.853,1,0,9.5,79.358,-55.415,-37.969,141.02,7.9838,-46.818,12.635,48.77,56.933,-19.015
27,15.615,21.739,1,0,9.5,78.126,-54.048,-38.302,141.03,7.1339,-45.104,14.303,49.009,56.618,-18.756
28,0.70683,21.623,1,0,9.5,78.106,-52.985,-38.343,140.86,7.9343,-45.257,14.58,47.07,55.25,-19.095
29,12.826,21.506,1,0,9.5,78.366,-52.104,-35.204,142.09,7.699,-45.021,15.526,47.68,56.923,-19.473
30,-1.8938,21.389,1,0,9.5,77.739,-53.282,-34.701,141.5,7.937,-43.729,14.969,48.263,54.245,-19.633
31,2.7991,21.27,1,0,9.5,75.432,-52.209,-35.442,142.08,7.6564,-42.081,14.534,46.226,54.256,-19.249
32,13.278,21.152,1,0,9.5,75.667,-50.497,-35.748,141.59,7.0668,-40.733,13.21,46.185,55.329,-20.3
33,16.035,21.034,1,0,9.5,75.325,-52.09,-35.671,140.38,7.7838,-40.424,12.542,46.078,56.438,-19.434
34,13.784,20.917,1,0,9.5,75.849,-51.217,-35.327,139.57,9.4112,-40.264,11.51,45.172,57.154,-19.763
35,29.337,20.801,1,0,9.5,74.372,-50.151,-35.916,140.71,11.272,-37.82,12.072,44.642,56.358,-20.197
36,53.136,20.686,1,0,9.5,74.351,-49.326,-35.962,141.42,12.857,-35.556,11.392,44.976,57.426,-20.899
37,62.057,20.573,1,0,9.5,74.3,-49.704,-37.604,141.8,13.355,-36.898,11.634,43.844,59.436,-21.47
38,93.693,20.463,1,0,9.5,72.438,-50.609,-37.461,142.13,12.98,-37.359,11.442,42.522,58.595,-22.634
39,99.129,20.356,1,0,9.5,73.392,-49.474,-35.979,140.85,14.017,-36.656,12.124,42.473,58.351,-23.643
40,139.2,20.252,1,0,9.5,73.106,-50.235,-35.872,140.02,13.113,-37.052,13.093,41.408,56.671,-23.62
41,169.25,20.153,0,0,9.5,72.586,-49.658,-36.599,140.91,13.417,-37.815,12.004,41.241,57.553,-23.64
42,170.62,20.057,0,0,9.5,74.48,-49.122,-38.303,142.37,14.248,-37.561,11.454,40.678,56.952,-24.704
43,198.62,19.967,0,0,9.5,74.817,-48.701,-37.668,142.84,13.844,-38.698,9.4053,40.3,56.144,-23.488
