Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,2.857,25.477,1,0,9.5,60.008,69.484,30.3,57.769,-29.149,-81.578,-27.81,-42.669,18.464,108.24
2,7.579,25.442,1,0,9.5,59.997,68.689,31.05,57.511,-28.564,-81.201,-29.085,-43.698,18.063,108.22
3,9.9644,25.373,1,0,9.5,58.226,70.228,30.808,57.758,-28.128,-80.39,-28.436,-43.757,17.123,107.49
4,3.9594,25.271,1,0,9.5,58.429,69.017,31.754,57.771,-26.678,-81.161,-29.172,-43.411,17.654,106.61
5,16.031,25.136,1,0,9.5,58.083,69.71,33.179,57.413,-26.146,-80.697,-29.285,-42.128,18.34,107.13
6,-0.70387,24.969,1,0,9.5,56.134,69.426,32.956,55.965,-24.769,-80.268,-26.676,-41.378,17.265,108.75
7,3.0769,24.772,1,0,9.5,57.029,70.05,32.901,56.017,-25.335,-79.764,-24.895,-41.874,16.505,110.32
8,5.1215,24.547,1,0,9.5,58.383,72.549,32.661,55.465,-24.866,-80.872,-24.301,-42.231,16.256,109.11
9,13.45,24.295,1,0,9.5,57.748,73.939,32.685,54.447,-24.413,-81.093,-24.551,-40.364,17.096,107.86
10,10.253,24.019,1,0,9.5,58.851,74.135,31.956,55.165,-24.491,-82.593,-24.285,-40.352,15.97,107.48
11,31.06,23.721,1,0,9.5,58.173,74.205,31.725,55.229,-22.42,-83.325,-26.148,-41.207,15.619,108.81
12,10.137,23.404,1,0,9.5,56.683,73.976,31.298,54.669,-21.508,-84.058,-26.961,-41.716,16.249,109.59
13,3.5914,23.07,1,0,9.5,55.957,75.213,31.15,54.847,-22.759,-82.828,-25.673,-41.343,14.603,109.64
14,7.7537,22.722,1,0,9.5,55.721,74.963,32.692,53.809,-24.214,-83.119,-25.175,-41.612,13.039,110.68
15,-5.244,22.363,1,0,9.5,55.637,76.298,31.786,53.395,-23.659,-83.834,-24.105,-39.969,13.726,110.76
16,15.804,21.996,1,0,9.5,56.328,76.377,33.04,53.919,-23.533,-83.92,-24.728,-41.215,13.795,110.84
17,9.362,21.625,1,0,9.5,57.439,75.855,32.347,54.463,-25.202,-83.513,-26.278,-39.4,15.162,110.49
18,19.669,21.252,1,0,9.5,56.143,74.372,33.071,53.106,-25.471,-82.327,-29.17,-39.143,14.234,112.5
19,4.8096,20.881,1,0,9.5,56.046,75.429,33.02,52.677,-25.807,-84.215,-28.477,-38.14,14.902,112.05
20,24.428,20.514,1,0,9.5,57.334,75.588,32.656,53.032,-25.68,-85.509,-27.951,-38.14,15.02,111.35
21,19.142,20.155,1,0,9.5,57.1,74.923,32.577,55.219,-27.027,-85.339,-27.296,-38.937,15.66,113.17
22,7.2592,19.807,1,0,9.5,58.859,74.843,31.277,54.869,-28.879,-85.419,-28.761,-39.212,17.987,113.64
23,14.181,19.472,1,0,9.5,58.452,76.85,30.704,55.365,-29.876,-86.19,-28.712,-39.471,17.835,114.08
24,7.3154,19.153,1,0,9.5,58.159,75.877,30.256,56.482,-31.446,-86.338,-30.143,-40.339,18.126,114.65
25,19.489,18.852,1,0,9.5,56.581,78.085,29.78,56.399,-31.648,-86.347,-29.41,-40.711,17.556,115.6
26,21.716,18.573,1,0,9.5,57.076,78.424,29.185,59.267,-32.202,-85.619,-29.466,-41.313,16.824,115.09
27,16.225,18.317,1,0,9.5,57.761,80.026,29.658,58.893,-33.603,-84.762,-30.614,-41.848,17.396,114.17
28,54.466,18.085,1,0,9.5,57.083,81.644,28.526,57.329,-32.105,-82.828,-32.483,-42.494,17.78,115.94
29,86.437,17.881,1,0,9.5,57.885,81.322,29.458,58.784,-32.057,-81.588,-31.529,-42.306,16.456,116.38
30,115.13,17.704,1,0,9.5,57.987,79.309,29.814,57.634,-31.903,-82.319,-31.997,-42.528,16.157,115.91
31,160.06,17.557,1,0,9.5,56.927,77.913,28.837,57.057,-32.203,-80.221,-31.659,-42.611,15.587,115.57
32,179.94,17.44,0,0,9.5,57.425,78.107,28.648,57.899,-33.972,-80.749,-30.953,-42.81,14.962,117.66
33,200.48,17.354,0,0,9.5,57.168,76.47,28.702,59.708,-33.342,-81.597,-30.847,-42.355,14.12,116.59
34,219.89,17.299,0,0,9.5,57.305,76.988,28.71,58.656,-32.271,-82.681,-30.327,-42.753,14.568,115.92
35,238.44,17.275,0,0,9.5,57.377,76.383,28.843,60.767,-32.304,-83.679,-30.476,-43.549,15.54,116.92
36,283.37,17.283,0,0,9.5,57.939,75.914,28.778,60.816,-32.262,-83.125,-29.861,-43.161,14.346,118.68
37,319.93,17.32,0,0,9.5,58.434,76.802,28.835,61.256,-31.792,-83.121,-29.068,-42.211,14.94,118.71
38,340.79,17.387,0,0,9.5,57.577,76.818,30.288,62.182,-31.777,-83.902,-27.503,-42.353,16.235,118.03
39,353.9,17.483,0,0,9.5,56.794,77.352,30.271,62.529,-30.919,-83.762,-28.002,-41.831,15.744,116.94
40,375.22,17.606,0,0,9.5,54.313,78.052,30.085,61.703,-30.835,-83.802,-29.744,-41.399,15.557,116.92
