Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,11.067,20.259,1,0,9.5,-4.3405,20.241,8.5577,24.306,-21.172,-87.507,4.6676,6.1074,-59.889,6.1107
2,7.632,20.257,1,0,9.5,-5.1269,20.455,7.2821,25.282,-20.477,-86.766,4.4163,6.1447,-60.026,5.3262
3,16.338,20.254,1,0,9.5,-3.9432,20.539,7.4474,25.442,-18.984,-85.296,4.9117,6.8528,-61.241,7.5695
4,-18.357,20.249,1,0,9.5,-5.4087,20.441,6.4895,26.11,-18.568,-85.204,6.0554,6.2542,-60.221,7.9803
5,-5.4023,20.243,1,0,9.5,-6.0798,20.684,7.0269,25.126,-20.167,-85.876,6.2962,4.8129,-59.965,7.9435
6,12.83,20.236,1,0,9.5,-4.5678,20.122,8.8235,24.18,-18.105,-86.235,6.9704,4.7355,-60.39,7.3022
7,11.288,20.228,1,0,9.5,-5.317,19.75,8.6793,23.424,-19.208,-86.871,4.8023,4.8559,-61.684,6.9022
8,5.2599,20.22,1,0,9.5,-3.6687,19.237,9.1977,22.271,-19.638,-86.804,4.7848,5.9522,-62.025,6.7782
9,-15.116,20.212,1,0,9.5,-6.4471,18.836,9.8018,22.399,-19.565,-85.521,5.4624,5.2634,-61.817,5.2192
10,17.31,20.204,1,0,9.5,-7.2837,17.589,10.106,23.415,-18.758,-85.74,6.1901,6.0418,-61.405,4.0855
11,5.436,20.198,1,0,9.5,-8.6497,16.861,10.675,25.76,-19.688,-84.202,5.045,5.8595,-60.992,2.7746
12,1.117,20.194,1,0,9.5,-8.6467,15.851,10.297,25.962,-20.098,-83.104,4.7244,6.5546,-61.142,1.4001
13,-4.5549,20.191,1,0,9.5,-8.4822,16.165,9.955,27.02,-20.55,-82.322,5.1613,6.6176,-60.192,1.6839
14,0.40033,20.192,1,0,9.5,-6.9651,16.812,8.3222,28.023,-21.192,-82.396,6.7063,7.0982,-59.99,0.37939
15,1.025,20.196,1,0,9.5,-5.3452,18.223,8.7521,27.805,-21.667,-81.698,7.3653,6.4987,-60.48,0.75009
16,-14.846,20.204,1,0,9.5,-7.2037,20.044,7.7705,28.309,-21.962,-81.568,7.6101,6.9119,-61.818,1.2404
17,-5.1799,20.217,1,0,9.5,-6.8947,20.975,7.7619,29.239,-22.13,-82.288,7.2499,7.6612,-61.557,1.928
18,8.4629,20.234,1,0,9.5,-7.188,18.953,5.8451,29.186,-21.217,-83.807,6.7369,7.9488,-61.986,1.7681
19,16.246,20.258,1,0,9.5,-8.6728,20.188,6.2239,30.946,-21.141,-82.939,5.8522,8.1098,-63.226,1.1095
20,-9.8544,20.288,1,0,9.5,-7.9769,19.76,6.9329,31.37,-21.6,-82.169,6.3703,8.846,-61.747,0.46318
21,21.488,20.325,1,0,9.5,-7.7821,19.463,6.0372,28.619,-21.146,-83.274,7.8158,9.2068,-59.879,-0.052835
22,18.79,20.368,1,0,9.5,-6.7673,17.646,8.4756,29.194,-21.401,-83.034,7.9159,8.7693,-59.542,-1.0891
23,0.49844,20.419,1,0,9.5,-7.8946,17.502,8.5202,29.385,-22.459,-83.703,8.3583,8.2344,-61.133,-2.792
24,9.547,20.478,1,0,9.5,-8.0697,18.459,7.1951,29.953,-20.436,-84.553,8.8215,8.0223,-60.878,-3.0923
25,10.999,20.545,1,0,9.5,-7.5336,17.985,7.5588,30.4,-20.166,-85.585,8.4394,10.517,-59.286,-1.8246
26,19.747,20.62,1,0,9.5,-7.6299,17.752,7.9112,29.029,-20.463,-86.032,8.8063,12.037,-56.827,-1.5924
27,1.3388,20.703,1,0,9.5,-7.2387,19.415,7.2938,29.386,-19.667,-86.609,10.258,13.112,-56.371,-3.2476
28,15.224,20.794,1,0,9.5,-8.7654,17.996,6.7639,29.544,-20.579,-86.703,10.272,11.182,-56.096,-1.2686
29,11.447,20.893,1,0,9.5,-8.9933,18.91,5.6841,28.82,-20.908,-86.638,8.5945,11.681,-56.637,-1.8011
30,21.222,20.999,1,0,9.5,-9.1002,18.065,6.6384,27.11,-19.786,-84.984,7.8341,11.984,-57.372,-2.2793
31,27.319,21.113,1,0,9.5,-9.7,17.001,7.6938,26.546,-19.637,-84.924,7.3857,12.012,-56.592,-2.0032
32,0.98386,21.233,1,0,9.5,-8.6843,18.192,8.9241,24.707,-19.562,-85.52,8.0459,11.653,-57.106,-1.0704
33,24.393,21.36,1,0,9.5,-7.9981,17.974,9.0119,25.767,-20.544,-85.821,6.0858,11.051,-57.664,-2.0907
34,55.327,21.493,1,0,9.5,-7.5211,17.404,8.7168,23.846,-21.246,-86.471,5.8441,10.434,-57.766,-3.135
35,58.362,21.63,1,0,9.5,-6.9479,18.697,8.5146,22.936,-22.352,-84.669,4.9098,9.1616,-59.045,-5.7522
36,78.8,21.772,1,0,9.5,-7.4672,18.373,9.1945,23.092,-20.135,-84.101,3.5842,9.5207,-57.576,-5.0819
37,94.154,21.917,1,0,9.5,-7.2006,18.317,10.032,22.593,-19.912,-84.242,3.2835,10.15,-58.597,-6.7813
38,129.7,22.064,1,0,9.5,-6.8349,18.312,10.961,22.555,-19.05,-85.266,2.0842,11.286,-57.117,-6.2206
39,147.36,22.212,0,0,9.5,-8.4701,18.383,11.071,23.939,-17.636,-86.199,2.9381,9.5502,-56.428,-6.4303
40,164.05,22.361,0,0,9.5,-8.5108,18.039,12.404,24.706,-17.941,-85.594,3.1142,9.4696,-55.921,-6.8483
41,182.86,22.509,0,0,9.5,-8.6621,18.764,13.519,24.546,-18.048,-84.673,2.8254,9.9103,-56.419,-6.5469
42,185.15,22.654,0,0,9.5,-8.5284,20.612,14.64,24.593,-20.941,-84.432,3.0195,9.3976,-56.166,-7.2153
43,224.61,22.796,0,0,9.5,-9.0184,21.997,15.081,23.817,-20.137,-84.268,5.0193,8.5999,-55.536,-8.8596
44,235.81,22.933,0,0,9.5,-8.9277,21.691,15.839,25.262,-19.497,-84.569,4.7723,8.596,-56.526,-6.9557
45,273.01,23.065,0,0,9.5,-9.2195,23.865,16.167,25.915,-20.031,-83.38,4.9492,7.5864,-57.419,-7.0751
46,290.5,23.189,0,0,9.5,-9.4409,26.402,14.435,26.439,-19.782,-84.846,5.8051,7.4981,-58.885,-5.7854
47,323.82,23.304,0,0,9.5,-10.397,26.061,13,25.897,-18.909,-86.931,4.8814,8.2375,-58.553,-8.03
48,333.78,23.41,0,0,9.5,-10.397,25.33,12.96,23.77,-20.734,-87.119,3.7163,9.2974,-56.7,-9.0062
49,375.05,23.505,0,0,9.5,-10.588,25.15,13.151,25.356,-19.437,-85.769,2.8391,8.9608,-56.597,-8.2364
50,391.68,23.587,0,0,9.5,-9.0521,24.646,14.605,24.95,-18.537,-85.702,0.70618,10.37,-56.291,-6.6383
51,403.99,23.656,0,0,9.5,-9.896,24.971,16.175,26.236,-17.861,-86.555,-1.3362,10.415,-55.523,-5.2069
52,428.79,23.711,0,0,9.5,-9.3551,25.278,17.136,26.352,-17.528,-88.365,-1.1605,10.76,-54.178,-4.5829
53,456.57,23.751,0,0,9.5,-9.3009,25.42,16.848,26.157,-18.51,-88.257,-1.1182,10.302,-54.44,-3.8469
54,470.68,23.775,0,0,9.5,-9.8709,25.193,17.227,25.573,-17.895,-88.289,-0.75931,11.034,-54.166,-4.8959
55,479.47,23.781,0,0,9.5,-8.8351,23.388,16.586,26.09,-18.575,-88.629,0.36516,10.491,-54.302,-4.747
56,526.86,23.77,0,0,9.5,-9.8264,23.426,17.592,26.272,-17.448,-89.843,0.19592,10.832,-57.082,-5.4644
57,533.97,23.741,0,0,9.5,-11.309,21.08,17.87,25.579,-15.76,-90.471,-0.86468,11.618,-57.671,-5.3011
58,574.9,23.693,0,0,9.5,-12.405,20.505,17.979,23.567,-15.892,-92.518,0.88336,11.528,-56.297,-5.124
59,593.31,23.626,0,0,9.5,-12.668,21.801,16.369,23.491,-17.05,-91.986,1.2632,13.145,-56.775,-7.2823
60,603.96,23.541,0,0,9.5,-11.135,21.488,17.663,23.444,-14.786,-91.984,-0.77556,14.323,-58.263,-8.5431
61,619.75,23.436,0,0,9.5,-11.271,22.133,17.81,24.486,-16.231,-92.092,-2.0492,14.639,-58.531,-10.463
62,657.4,23.312,0,0,9.5,-9.1561,22.804,18.499,24.286,-16.594,-92.734,-0.79732,13.288,-59.842,-10.217
63,672.27,23.17,0,0,9.5,-9.3202,24.295,18.32,22.027,-17.17,-93.878,-0.71499,15.25,-59.186,-8.5898
64,698.53,23.01,0,0,9.5,-9.186,23.628,18.841,22.772,-18.122,-94.003,-0.47403,17.121,-58.982,-7.5056
65,708.28,22.832,0,0,9.5,-8.7173,23.963,20.892,21.959,-18.364,-91.946,-0.40591,16.992,-59.555,-6.5719
66,747.77,22.638,0,0,9.5,-8.9731,25.876,19.191,21.846,-17.191,-91.058,-0.015339,18.706,-60.307,-5.0338
67,765.83,22.427,0,0,9.5,-10.731,26.937,19.683,22.595,-15.979,-90.552,0.12538,17.734,-59.801,-3.8406
68,787.79,22.202,0,0,9.5,-11.4,27.65,19.679,22.147,-16.554,-90.966,-0.93504,18.608,-59.462,-3.6142
69,794.58,21.963,0,0,9.5,-11.017,27.421,18.835,21.145,-17.972,-92.456,-0.41304,20.058,-58.751,-3.0784
70,830,21.711,0,0,9.5,-12.296,26.713,17.927,22.413,-18.203,-93.5,1.1855,19.959,-59.652,-2.8538
71,831.58,21.449,0,0,9.5,-12.745,24.39,17.986,23.917,-17.553,-92.071,1.2146,19.886,-60.427,-1.7205
72,869.7,21.177,0,0,9.5,-11.215,26.031,16.886,25.557,-17.055,-93.255,1.9674,20.595,-60.566,-1.3145
73,883.18,20.898,0,0,9.5,-11.718,26.537,16.099,24.358,-16.318,-92.135,0.84364,20.928,-60.701,-0.08177
