Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,19.706,20.697,1,0,9.5,-2.3999,37.979,-11.045,57.143,-50.732,45.334,17.007,66.563,37.988,9.6638
2,12.985,20.686,1,0,9.5,-2.0081,38.269,-11.588,55.006,-50.64,44.71,18.386,66.718,38.526,8.9753
3,-13.629,20.663,1,0,9.5,-1.1271,36.119,-12.197,54.897,-49.09,43.075,17.867,67.28,36.864,7.1322
4,2.1992,20.63,1,0,9.5,0.40486,36.079,-12.22,54.391,-48.567,43.077,18.36,67.293,37.859,8.5748
5,11.005,20.587,1,0,9.5,2.5555,36.145,-11.308,53.911,-46.844,42.832,18.077,67.577,36.214,6.6693
6,4.9265,20.533,1,0,9.5,2.7069,36.422,-11.833,54.241,-47.138,40.526,17.56,65.147,36.186,5.6078
7,0.55044,20.471,1,0,9.5,4.3216,36.616,-11.757,54.635,-46.714,39.526,16.447,63.609,35.192,6.3198
8,-11.669,20.4,1,0,9.5,5.0329,36.32,-11.234,53.773,-45.519,39.458,16.174,64.604,38.075,7.449
9,20.294,20.322,1,0,9.5,4.8434,37.01,-12.575,54.804,-47.109,40.285,16.971,65.315,38.557,7.3874
10,2.5657,20.237,1,0,9.5,5.3139,38.408,-13.58,56.046,-48.204,41.818,16.922,62.945,38.956,6.7426
11,13.447,20.147,1,0,9.5,7.558,39.476,-12.426,56.424,-49.519,40.89,16.86,62.966,37.749,8.2208
12,-7.272,20.053,1,0,9.5,9.2853,37.935,-12.723,57.29,-49.029,40.655,16.503,61.742,38.27,9.2292
13,16.434,19.957,1,0,9.5,9.9223,39.445,-11.31,56.52,-47.679,41.529,15.885,62.774,37.949,10.294
14,8.1058,19.859,1,0,9.5,9.963,40.786,-10.05,55.855,-47.199,41.336,14.578,63.199,38.675,8.5574
15,-2.2439,19.76,1,0,9.5,9.5688,40.683,-10.185,56,-48.362,43.986,13.599,62.15,38.721,8.7179
16,14.615,19.663,1,0,9.5,11.167,37.914,-7.614,56.181,-48.95,42.333,14.449,60.828,38.882,7.941
17,36.685,19.569,1,0,9.5,9.2946,37.849,-7.3959,57.326,-47.646,40.951,12.914,62.173,37.748,6.9507
18,17.665,19.478,1,0,9.5,10.596,37.925,-7.01,57.831,-48.095,40.258,12.575,61.319,37.052,6.8472
19,2.293,19.392,1,0,9.5,9.5551,35.752,-6.2925,57.96,-48.126,39.642,12.003,61.468,35.816,6.3173
20,10.273,19.313,1,0,9.5,10.983,35.091,-6.5293,58.06,-49.546,41.785,11.182,61.429,38.308,5.2188
21,11.374,19.242,1,0,9.5,9.6476,35.715,-5.5211,56.955,-51.451,40.846,11.979,61.52,39.553,5.3969
22,11.96,19.179,1,0,9.5,9.6324,38.093,-5.2902,56.668,-51.832,41.546,12.626,61.05,41.065,5.3386
23,1.1721,19.126,1,0,9.5,9.3151,38.62,-4.3142,57.553,-52.889,38.909,14.039,60.298,41.766,4.2303
24,5.2887,19.083,1,0,9.5,9.6677,39.192,-5.2889,57.722,-54.561,39.011,15.349,59.99,41.158,4.8857
25,9.9693,19.052,1,0,9.5,8.4382,39.647,-7.1673,57.212,-54.089,38.905,14.092,60.189,41.302,5.0051
26,-5.6288,19.033,1,0,9.5,7.0181,38.727,-8.466,57.733,-53.322,39.547,15.04,59.965,38.812,4.0025
27,14.414,19.027,1,0,9.5,7.067,37.155,-9.3337,58.498,-53.351,39.339,14.424,60.2,38.178,2.4413
28,41.096,19.034,1,0,9.5,7.7545,37.867,-9.0429,57.799,-53.488,39.591,12.455,59.153,39.324,1.1524
29,55.19,19.054,1,0,9.5,7.5856,39.259,-9.5719,59.596,-53.399,41.476,11.902,61.014,39.277,0.073469
30,83.21,19.087,1,0,9.5,7.8821,38.377,-8.2957,61.123,-54.361,42.496,12.746,61.138,37.313,-0.17017
31,105.6,19.134,1,0,9.5,8.706,38.891,-7.3731,61.279,-54.21,43.896,13.381,59.882,36.768,-1.0851
32,167.98,19.194,1,0,9.5,9.1277,38.308,-6.9556,62.797,-56.389,42.873,12.552,59.439,37.897,-2.9153
33,175.22,19.266,0,0,9.5,6.5427,38.312,-8.6633,63.085,-57.42,42.62,14.454,59.108,37.051,-2.1881
34,214.69,19.351,0,0,9.5,5.7067,38.532,-8.888,61.994,-58.519,41.336,15.495,59.67,37.128,-0.42535
35,224.09,19.448,0,0,9.5,5.7975,36.597,-9.12,63.194,-57.513,41.003,15.734,58.787,37.267,1.3889
36,264.63,19.555,0,0,9.5,6.3203,36.08,-9.0348,61.859,-57.137,39.866,15.766,58.821,36.175,2.5713
37,286.26,19.672,0,0,9.5,6.0846,37.382,-9.6718,61.302,-57.819,40.887,15.062,58.161,35.667,2.6397
38,312.21,19.798,0,0,9.5,5.158,37.673,-9.2664,62.202,-56.223,41.09,15.663,57.588,35.512,3.2876
39,359.65,19.931,0,0,9.5,6.5062,37.257,-8.9186,61.479,-57.164,42.246,15.526,59.321,35.121,1.4585
40,367.61,20.071,0,0,9.5,6.694,36.522,-10.952,60.669,-57.841,41.633,14.825,58.125,34.816,1.6324
41,384.98,20.215,0,0,9.5,5.3844,34.931,-11.787,59.797,-58.395,41.729,14.549,59.093,34.228,0.33967
42,424.73,20.363,0,0,9.5,4.7,35.576,-12.29,60.015,-57.256,42.899,14.905,59.918,33.179,-0.18347
43,449.1,20.513,0,0,9.5,5.5688,35.612,-11.234,60.116,-58.136,42.038,14.438,58.937,33.143,1.007
