Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,10.659,25.783,1,0,9.5,38.843,-99.644,0.32864,-47.513,54.425,-51.493,-42.651,-8.2449,-14.39,79.409
2,5.5295,25.737,1,0,9.5,37.205,-99.236,1.2689,-46.58,54.09,-53.062,-42.985,-9.5327,-14.268,80.443
3,0.82615,25.646,1,0,9.5,37.857,-99.858,0.3539,-45.588,56.085,-53.582,-40.596,-10.055,-14.817,81.697
4,3.9582,25.51,1,0,9.5,37.58,-100.66,-0.0022714,-45.756,55.478,-52.975,-39.65,-10.51,-15.04,83.392
5,20.125,25.332,1,0,9.5,38.547,-100.77,-0.10294,-46.668,54.333,-51.296,-38.038,-11.1,-14.472,84.785
6,-3.1189,25.113,1,0,9.5,38.845,-100.65,-1.1804,-48.243,53.895,-50.664,-39.941,-12.385,-15.924,85.13
7,18.024,24.856,1,0,9.5,39.219,-99.402,1.7319,-47.066,54.633,-51.59,-39.885,-11.504,-14.079,84.018
8,1.4641,24.564,1,0,9.5,38.99,-99.864,0.65601,-46.891,53.756,-51.425,-38.862,-13.202,-15.086,84.559
9,6.7635,24.24,1,0,9.5,38.634,-101.3,0.14051,-46.399,52.466,-51.062,-40.518,-14.109,-15.001,84.415
10,-0.86628,23.887,1,0,9.5,38.56,-102.19,-0.16051,-45.063,52.342,-51.497,-40.613,-14.023,-13.307,85.608
11,8.4638,23.511,1,0,9.5,39.109,-101.94,-1.8575,-43.855,53.224,-50.608,-41.932,-12.737,-13.314,83.884
12,-11.031,23.114,1,0,9.5,40.269,-104.12,-1.5583,-44.033,51.401,-51.898,-42.19,-13.235,-14.52,83.88
13,12.969,22.702,1,0,9.5,39.347,-104.25,-0.79044,-44.446,48.687,-51.305,-41.336,-14.126,-14.735,82.783
14,3.2604,22.28,1,0,9.5,39.489,-103.03,-2.4734,-44.749,48.592,-52.178,-40.836,-12.733,-15.886,83.072
15,-18.938,21.852,1,0,9.5,38.566,-103.28,-2.8709,-44.162,46.675,-51.052,-41.132,-12.394,-17.05,82.359
16,11.826,21.423,1,0,9.5,38.668,-105.12,-2.3715,-43.315,46.825,-51.45,-42.443,-12.571,-15.942,83.111
17,0.41854,20.998,1,0,9.5,37.409,-104.12,-2.5387,-41.189,46.85,-52.979,-41.634,-13.341,-16.946,82.578
18,3.3776,20.583,1,0,9.5,38.249,-104.1,-1.6546,-42.606,48.049,-51.147,-42.428,-14.03,-17.375,82.063
19,10.685,20.182,1,0,9.5,38.846,-103.55,-1.7813,-42.927,46.62,-50.05,-43.072,-14.542,-17.922,80.793
20,22.822,19.799,1,0,9.5,39.484,-101.25,-1.611,-41.825,48.049,-51.536,-45.346,-14.866,-17.767,81.424
21,13.562,19.44,1,0,9.5,38.899,-99.757,-1.0074,-42.058,47.159,-50.394,-45.216,-15.517,-18.858,79.437
22,5.2202,19.109,1,0,9.5,39.734,-99.61,-1.2112,-42.352,47.232,-50.263,-45.612,-14.826,-19.451,78.381
23,-14.872,18.81,1,0,9.5,41.061,-100.99,-0.80483,-43.069,48.201,-48.848,-45.92,-15.194,-18.135,78.441
24,11.198,18.546,1,0,9.5,39.799,-100.06,0.20394,-42.605,46.597,-49.277,-45.747,-15.022,-16.157,77.637
25,7.99,18.32,1,0,9.5,38.941,-99.587,-0.83648,-42.753,46.812,-49.155,-46.903,-15.146,-16.222,76.161
26,34.42,18.137,1,0,9.5,38.57,-98.741,-1.5791,-43.454,45.427,-49.377,-45.422,-15.087,-15.429,77.694
27,37.623,17.997,1,0,9.5,37.782,-99.043,-1.8813,-43.1,43.976,-48.987,-47.028,-15.12,-16.594,78.72
28,61.983,17.904,1,0,9.5,37.734,-98.17,-0.46489,-41.731,45.739,-50.23,-46.92,-14.642,-18.112,77.604
29,92.829,17.858,1,0,9.5,36.61,-97.396,0.31912,-41.373,44.852,-49.768,-46.767,-16.149,-17.369,77.787
30,124.97,17.861,1,0,9.5,36.45,-96.87,-0.52948,-41.967,45.689,-49.851,-45.84,-17.47,-17.205,77.852
31,137.13,17.913,1,0,9.5,36.283,-97.271,-1.0321,-44.03,46.505,-50.604,-46.516,-18.334,-17.635,77.963
32,149.99,18.014,0,0,9.5,35.972,-98.441,-0.053517,-46.854,46.09,-50.783,-46.279,-16.631,-15.244,77.239
33,229.9,18.163,0,0,9.5,35.747,-99.588,-1.0484,-46.376,44.824,-51.556,-46.089,-17.741,-15.267,76.752
34,227.81,18.359,0,0,9.5,36.42,-101.21,-2.3738,-46.948,45.032,-52.449,-47.512,-17.532,-16.744,76.588
35,275.94,18.6,0,0,9.5,38.157,-101.6,-1.3103,-46.989,46.015,-51.071,-47.658,-17.517,-17.731,76.685
36,304.6,18.885,0,0,9.5,38.15,-100.04,-1.6947,-46.731,47.096,-51.147,-49.069,-18.551,-17.632,75.484
37,303.61,19.21,0,0,9.5,38.056,-98.737,-2.0604,-45.762,46.639,-51.656,-47.808,-19.24,-17.238,76.756
38,327.61,19.573,0,0,9.5,38.892,-99.453,-1.686,-46.258,47.445,-50.81,-48.297,-19.759,-17.815,78.24
39,377.59,19.969,0,0,9.5,38.046,-99.478,-0.35161,-45.434,45.819,-50.923,-48.901,-20.14,-17.36,76.723
40,411.47,20.396,0,0,9.5,37.511,-100.1,-0.86915,-44.577,45.131,-50.296,-49.404,-21.17,-17.353,75.533
41,422.75,20.847,0,0,9.5,39.658,-100.63,-1.5969,-43.456,45.855,-51.023,-48.821,-21.312,-17.133,76.106
42,463.68,21.32,0,0,9.5,40.95,-100.47,-0.89122,-45.428,45.607,-51.03,-49.198,-21.711,-16.156,75.805
43,511.13,21.809,0,0,9.5,39.889,-99.937,-1.605,-45.494,46.262,-51.138,-49.328,-23.004,-17.113,75.467
44,508.96,22.308,0,0,9.5,39.717,-100.32,-1.6954,-43.31,46.559,-50.256,-48.993,-24.6,-17.037,76.385
45,564.74,22.813,0,0,9.5,38.137,-99.027,-1.5824,-43.86,48.602,-49.066,-49.381,-23.759,-15.717,76.538
46,578.87,23.318,0,0,9.5,36.511,-98.772,-1.865,-45.149,49.565,-47.962,-49.871,-24.388,-15.229,75.303
47,592.62,23.818,0,0,9.5,35.598,-97.837,-1.6304,-45.604,47.499,-48.451,-50.257,-24.942,-15.15,75.72
