Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,1.7427,21.647,1,0,9.5,-74.396,-22.503,33.098,-95.851,0.69549,-45.846,-65.987,-35.479,13.125,31.017
2,-9.4944,21.634,1,0,9.5,-74.425,-21.344,33.057,-94.55,0.25337,-43.727,-65.728,-35.929,12.119,30.24
3,-12.958,21.61,1,0,9.5,-73.35,-21.774,32.408,-94.644,-0.4777,-44.101,-66.018,-36.682,11.059,31.078
4,2.3109,21.573,1,0,9.5,-72.457,-20.346,31.406,-95.187,0.36365,-44.415,-66.222,-36.92,11.236,30.585
5,1.9834,21.525,1,0,9.5,-73.458,-19.878,29.486,-96.09,-0.01485,-43.444,-66.182,-34.982,11.829,32.013
6,-12.622,21.466,1,0,9.5,-73.964,-20.345,29.74,-97.493,-0.90208,-41.001,-67.837,-36.826,12.001,32.735
7,6.6276,21.395,1,0,9.5,-74.008,-19.458,30.433,-98.285,-0.68198,-42.994,-68.112,-36.073,10.354,33.353
8,-3.4501,21.315,1,0,9.5,-74.415,-19.361,29.932,-98.223,-1.3543,-43.306,-67.238,-34.919,9.7259,32.319
9,-1.3613,21.225,1,0,9.5,-73.304,-19.826,28.784,-96.674,-2.8287,-44.002,-68.117,-34.609,10.769,32.287
10,5.6642,21.126,1,0,9.5,-72.189,-19.689,29.386,-97.273,-3.1592,-42.829,-68.06,-34.846,8.4571,30.954
11,11.22,21.018,1,0,9.5,-71.635,-19.233,30.658,-98.043,-1.2758,-41.629,-68.989,-35.071,7.8869,30.513
12,6.5741,20.904,1,0,9.5,-72.959,-18.985,31.67,-97.384,-0.40399,-42.179,-67.92,-35.835,7.8918,29.548
13,13.224,20.783,1,0,9.5,-72.549,-20.375,31.988,-96.814,0.39254,-42.003,-66.789,-36.123,7.9672,27.854
14,-4.0818,20.657,1,0,9.5,-73.184,-19.558,32.458,-96.236,1.1314,-42.172,-67.126,-35.659,6.6366,28.523
