Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-5.006,18.851,1,0,9.5,-40.859,35.035,-72.839,32.058,50.741,89.508,12.067,9.7289,69.739,-0.94877
2,-21.355,18.866,1,0,9.5,-39.295,34.113,-71.876,33.257,50.279,90.9,11.874,11.858,70.935,-0.47102
3,3.7561,18.897,1,0,9.5,-38.898,36.032,-72.028,33.522,49.293,91.422,14.668,10.847,69.454,-0.82058
4,-8.5683,18.943,1,0,9.5,-38.269,35.717,-71.313,34.688,49.808,91.498,14.685,10.705,68.951,-0.25435
5,5.9489,19.003,1,0,9.5,-39.661,36.276,-71.841,33.708,50.899,92.315,14.2,11.706,67.947,-0.89111
6,-10.751,19.077,1,0,9.5,-37.339,36.14,-71.189,33.897,49.021,92.081,14.509,11.394,68.072,-2.482
7,15.387,19.163,1,0,9.5,-37.421,36.88,-71.129,33.425,49.991,91.638,15.065,12.293,67.719,-0.0094699
8,7.9523,19.262,1,0,9.5,-38.054,37.327,-71.347,33.191,51.488,94.194,15.261,11.373,68.517,1.0308
9,6.0733,19.372,1,0,9.5,-39.379,36.582,-72.373,33.756,53.197,93.267,16.679,13.163,68.806,-0.9482
10,-15.449,19.491,1,0,9.5,-39.103,36.931,-72.748,33.544,53.721,92.371,17.3,16.24,69.006,-1.0719
11,12.955,19.619,1,0,9.5,-37.732,36.604,-72.877,34.759,54.006,90.571,18.704,15.609,67.384,0.23285
12,24.664,19.753,1,0,9.5,-37.122,36.102,-72.872,34.564,54.482,89.812,18.451,17.423,66.617,-0.58304
13,-4.7186,19.893,1,0,9.5,-37.067,37.553,-72.342,33.733,55.256,89.677,17.524,17.747,66.241,0.60416
14,-3.4893,20.037,1,0,9.5,-37.298,36.95,-72.885,34.291,54.549,89.202,19.062,17.622,66.423,0.97569
15,9.7046,20.184,1,0,9.5,-37.253,37.244,-74.373,36.012,53.803,89.872,18.926,18.192,65.46,2.103
16,5.9621,20.331,1,0,9.5,-36.738,36.965,-75.552,37.48,52.615,88.784,21.073,19.084,64.395,1.0207
17,10.637,20.476,1,0,9.5,-36.994,38.574,-75.516,38.199,52.565,88.928,21.969,17.433,63.034,1.362
18,15.971,20.62,1,0,9.5,-37.238,38.388,-76.008,38.801,54.186,88.958,22.219,17.362,63.942,0.080952
19,8.5989,20.759,1,0,9.5,-38.429,38.5,-77.655,39.405,55.529,88.665,22.097,17.343,65.559,-1.502
20,11.754,20.892,1,0,9.5,-39.375,37.516,-77.441,37.785,55.556,88.967,22.386,18.077,64.315,-1.7822
21,-3.5478,21.018,1,0,9.5,-39.056,36.848,-77.655,38.422,55.587,90.358,22.674,18.046,63.969,-0.90805
22,10.655,21.135,1,0,9.5,-38.806,36.067,-79.334,37.594,56.327,89.341,21.157,19.05,65.015,-0.228
23,12.821,21.242,1,0,9.5,-37.687,35.166,-77.891,36.84,57.327,88.097,19.284,19.227,65.829,-0.99729
24,3.8166,21.338,1,0,9.5,-36.628,36.548,-78.452,36.125,56.538,87.478,20.63,19.341,63.933,-0.8587
25,22.122,21.422,1,0,9.5,-35.505,36.89,-78.258,33.151,56.986,88.466,19.678,18.97,63.763,-2.0737
26,13.326,21.492,1,0,9.5,-36.953,37.063,-77.095,33.928,55.872,88.456,19.723,17.475,61.813,-1.107
27,17.514,21.548,1,0,9.5,-36,37.377,-77.123,32.304,55.352,87.475,20.277,16.769,62.611,-0.27421
28,19.011,21.59,1,0,9.5,-36.409,37.417,-77.68,32.536,56.013,86.994,17.584,16.314,61.157,-1.0342
29,-4.1993,21.616,1,0,9.5,-37.356,37.164,-78.175,32.381,56.473,88.397,17.132,15.719,60.351,-0.99014
30,16.487,21.626,1,0,9.5,-36.503,37.714,-77.712,33.019,54.927,89.261,16.558,14.951,59.886,-1.2219
31,26.492,21.621,1,0,9.5,-38.911,38.056,-77.514,32.723,54.336,89.611,16.754,16.379,59.259,-1.7424
32,53.572,21.6,1,0,9.5,-39.142,38.461,-76.858,31.681,54.786,87.654,15.619,16.375,58.558,-2.8164
33,92.513,21.563,1,0,9.5,-38.624,37.904,-76.927,30.407,55.799,90.244,14.728,15.65,59.857,-2.9631
34,106.15,21.511,1,0,9.5,-37.505,38.285,-76.27,29.862,55.47,89.175,16.208,17.91,60.181,-3.6073
35,125.14,21.445,1,0,9.5,-35.245,37.424,-76.299,29.632,56.015,88.897,15.955,18.52,60.877,-5.4068
36,157.79,21.364,1,0,9.5,-35.692,36.552,-76.382,29.182,56.893,90.36,14.646,19.699,60.754,-5.8054
37,187.89,21.271,0,0,9.5,-35.442,36.904,-76.4,28.199,57.462,91.009,15.833,20.43,61.417,-4.3967
38,197.71,21.165,0,0,9.5,-37.113,38.312,-76.586,26.862,55.953,91.424,15.576,22.453,60.434,-4.6877
39,218.93,21.049,0,0,9.5,-38.051,38.471,-75.332,25.474,56.335,91.852,16.261,23.039,60.887,-4.0468
40,235.07,20.923,0,0,9.5,-38.647,39.891,-76.422,25.174,55.887,90.946,16.57,23.943,59.84,-3.9442
41,282.78,20.789,0,0,9.5,-39.685,39.721,-76.661,24.625,55.069,90.005,15.858,24.18,58.931,-2.107
42,302.75,20.649,0,0,9.5,-39.194,39.412,-76.569,24.816,54.05,90.404,15.434,26.088,57.182,-2.7083
43,324.69,20.503,0,0,9.5,-40.16,38.182,-77.55,24.487,53.517,88.816,14.743,26.291,56.871,-1.9909
44,344.35,20.355,0,0,9.5,-39.727,37.241,-78.171,26.698,52.782,88.021,13.879,27.448,55.605,-2.3217
45,380.66,20.205,0,0,9.5,-41.465,36.526,-78.82,26.677,53.446,88.565,13.79,27.554,54.283,-3.0633
46,408.98,20.055,0,0,9.5,-40.589,36.408,-78.824,26.201,54.203,89.425,14.488,29.925,53.26,-4.6791
47,424.43,19.907,0,0,9.5,-40.568,36.214,-79.641,26.607,54.347,89.881,13.227,30.482,52.741,-5.3322
48,454.35,19.763,0,0,9.5,-39.864,36.359,-79.435,26.407,53.242,87.676,12.495,30.862,53.492,-5.364
49,459.29,19.625,0,0,9.5,-39.645,35.537,-79.32,26.602,51.964,87.996,11.889,30.536,52.77,-5.7987
50,494.81,19.494,0,0,9.5,-40.515,37.179,-78.953,26.138,53.531,86.892,11.35,31.665,53.341,-4.7132
51,512.53,19.373,0,0,9.5,-41.643,36.319,-78.214,27.567,52.552,85.589,12.776,33.518,53.817,-5.2474
52,536.24,19.262,0,0,9.5,-41.023,37.389,-77.803,26.42,52.843,86.868,13.441,34.409,52.392,-5.0467
53,546.34,19.164,0,0,9.5,-41.454,36.18,-77.192,25.484,52.863,86.655,14.766,33.968,52.665,-4.4065
54,594.16,19.079,0,0,9.5,-41.596,36.019,-77.06,24.171,53.572,86.825,14.349,33.372,53.631,-6.4441
55,616.8,19.01,0,0,9.5,-41.754,36.764,-76.178,23.583,52.9,88.794,13.189,32.848,54.237,-4.2905
56,642.22,18.956,0,0,9.5,-42.054,36.69,-75.739,24.714,52.396,87.777,14.774,32.807,55.209,-3.891
57,649.15,18.921,0,0,9.5,-42.727,36.238,-74.824,24.889,51.674,88.623,16.744,33.625,54.807,-6.4667
58,691.05,18.903,0,0,9.5,-42.761,36.41,-75.76,24.237,52.881,88.772,16.367,33.327,57.153,-4.5918
59,716.37,18.904,0,0,9.5,-41.941,35.82,-75.322,23.338,52.689,88.151,16.411,33.372,58.034,-3.5879
60,738.98,18.925,0,0,9.5,-41.343,35.419,-75.555,23.346,50.762,87.245,15.174,33.026,56.104,-2.8272
61,782.36,18.965,0,0,9.5,-40.189,35.951,-74.721,21.061,51.082,87.045,15.207,34.265,56.94,-3.8994
62,783.99,19.026,0,0,9.5,-39.835,35.952,-75.034,22.313,50.176,86.719,14.49,33.549,56.966,-3.0286
63,817.78,19.106,0,0,9.5,-40.231,36.326,-74.66,22.429,49.574,85.119,14.196,32.835,56.661,-3.3762
64,832.05,19.206,0,0,9.5,-38.848,36.648,-75.764,22.263,51.194,84.937,14.02,33.922,56.688,-5.1248
65,860.79,19.326,0,0,9.5,-38.68,36.76,-75.466,20.178,49.437,83.873,13.975,33.767,55.903,-3.8741
66,903.38,19.464,0,0,9.5,-38.139,35.885,-75.652,20.421,50.179,82.926,12.808,33.532,55.39,-1.1295
67,905.83,19.621,0,0,9.5,-36.586,34.82,-76.124,21.195,49.263,82.052,12.771,32.897,55.647,-0.97359
68,932.96,19.794,0,0,9.5,-36.254,32.951,-77.069,21.825,49.483,82.619,12.928,33.749,53.305,-1.8189
69,940.48,19.984,0,0,9.5,-36.553,33.289,-77.431,22.666,49.691,83.884,12.189,35.503,50.681,-2.0222
70,983.52,20.188,0,0,9.5,-35.403,33.98,-77.19,23.915,50.257,83.174,13.231,35.323,48.766,-2.6734
