Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,6.5226,16.41,1,0,9.5,-28.732,47.46,-56.531,-30.257,0.68452,4.2994,-81.702,-14.194,-24.075,53.696
2,-7.9141,16.448,1,0,9.5,-28.284,46.599,-55.295,-29.003,1.8956,3.4697,-81.397,-12.904,-24.373,53.957
3,7.3633,16.524,1,0,9.5,-29.991,45.794,-54.9,-28.232,1.5249,3.5757,-80.611,-12.322,-25.848,53.198
4,-12.22,16.636,1,0,9.5,-30.014,44.444,-57.765,-29.776,0.4016,5.551,-80.921,-11.548,-26.438,54.818
5,1.1266,16.785,1,0,9.5,-29.653,44.143,-56.859,-29.382,1.2101,5.673,-82.031,-13.424,-28.424,57.205
6,-2.3079,16.968,1,0,9.5,-28.237,43.668,-57.66,-31.315,0.56724,4.9964,-82.205,-13.526,-29.449,58.162
7,-6.6247,17.184,1,0,9.5,-28.46,42.651,-56.111,-31.092,-0.091206,4.1391,-82.428,-11.868,-28.888,59.438
8,1.2619,17.431,1,0,9.5,-29.07,42.899,-56.235,-31.941,0.8832,6.1587,-82.933,-12.058,-29.735,58.845
9,11.692,17.707,1,0,9.5,-28.888,45.247,-56.668,-32.967,1.3952,7.3277,-84.331,-12.284,-28.819,57.303
10,9.8118,18.009,1,0,9.5,-30.519,44.754,-56.826,-33.439,1.987,7.0951,-83.059,-11.499,-28.968,57.031
11,-10.205,18.335,1,0,9.5,-29.257,43.122,-56.277,-33.112,1.9812,7.2179,-83.044,-11.686,-27.905,58.007
12,27.076,18.682,1,0,9.5,-28.328,44.292,-54.233,-31.803,4.3229,7.1628,-83.451,-12.04,-29.948,57.505
13,7.959,19.046,1,0,9.5,-28.639,43.74,-53.643,-31.161,1.2693,7.5159,-83.343,-13.074,-31.047,58.22
14,-2.0525,19.425,1,0,9.5,-28.057,44.232,-52.639,-30.17,0.45554,7.0252,-82.934,-11.855,-31.11,57.487
15,-3.9585,19.815,1,0,9.5,-29.519,43.594,-53.611,-30.879,0.96444,6.3009,-83.801,-12.172,-31.78,56.821
16,11.044,20.212,1,0,9.5,-30.175,42.562,-53.243,-29.037,0.9589,7.2526,-83.852,-11.638,-33.03,56.728
17,3.6567,20.614,1,0,9.5,-29.605,43.615,-53.522,-28.481,-0.98582,7.2392,-85.58,-12.125,-32.039,56.176
18,7.4155,21.016,1,0,9.5,-29.019,43.661,-53.319,-28.574,-1.2557,8.8677,-84.644,-13.495,-32.454,57.35
19,-18.593,21.416,1,0,9.5,-28.272,44.254,-53.93,-27.87,-2.6647,9.5616,-85.163,-13.124,-30.99,56.737
20,-3.2037,21.808,1,0,9.5,-27.606,43.894,-54.149,-29.254,-2.281,9.8206,-84.646,-11.914,-32.24,56.519
21,10.583,22.191,1,0,9.5,-26.664,44.667,-54.763,-30.065,-2.3159,11.356,-85.862,-11.987,-32.717,56.537
22,13.108,22.561,1,0,9.5,-26.994,44.56,-56.37,-32.334,-2.1092,11.25,-85.557,-10.73,-31.733,56.615
23,22.439,22.915,1,0,9.5,-27.298,47.262,-55.425,-31.287,-3.8665,12.525,-85.619,-11.41,-31.366,56.191
