Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,1.4005,22.527,1,0,9.5,28.159,30.351,-19.776,45.889,17.895,29.419,-40.332,-5.0297,-16.169,-86.736
2,-4.2439,22.514,1,0,9.5,29.955,31.266,-20.079,47.004,16.853,29.706,-39.039,-3.2938,-16.119,-88.159
3,-11.385,22.489,1,0,9.5,29.993,31.057,-20.797,46.573,18.721,29.627,-40.271,-4.0582,-16.835,-87.31
4,15.359,22.451,1,0,9.5,31.017,32.773,-20.385,45.401,17.733,29.176,-41.406,-3.8953,-17.278,-87.241
5,-6.3189,22.401,1,0,9.5,31.015,32.779,-20.232,45.81,16.841,29.661,-41.928,-3.9296,-17.265,-88.371
6,-6.8397,22.34,1,0,9.5,32.471,34.029,-21.533,46.761,17.388,29.454,-40.499,-3.8515,-18.322,-89.125
7,8.5343,22.267,1,0,9.5,33.075,35.194,-22.415,47.515,18.791,29.543,-39.827,-4.9021,-16.949,-89.858
8,11.938,22.185,1,0,9.5,33.761,36.11,-22.519,47.943,19.159,29.447,-38.862,-6.1296,-16.188,-90.406
9,3.4614,22.094,1,0,9.5,33.78,36.267,-22.907,48.265,18.718,31.105,-39.558,-5.5218,-16.615,-88.894
10,-1.576,21.995,1,0,9.5,33.475,34.007,-22.667,49.345,19.008,31.867,-38.705,-5.3417,-16.652,-88.781
11,2.1859,21.888,1,0,9.5,34.341,33.673,-22.456,49.004,19.225,29.662,-38.883,-4.7593,-15.723,-89.147
12,3.3707,21.776,1,0,9.5,35.267,34.217,-22.501,47.162,19.464,30.219,-39.427,-5.1711,-14.035,-89.901
13,-0.68189,21.659,1,0,9.5,35.713,33.828,-23.056,45.809,17.407,31.111,-40.288,-5.6846,-13.855,-90.574
14,-0.39615,21.538,1,0,9.5,35.307,33.588,-22.662,44.757,16.786,30.161,-39.435,-6.746,-13.457,-92.034
15,-23.749,21.415,1,0,9.5,35.53,33.752,-22.724,44.394,16.468,29.424,-40.591,-7.1926,-15.908,-90.956
16,-12.128,21.292,1,0,9.5,35.486,33.716,-20.123,45.385,15.112,29.721,-39.358,-8.6586,-14.141,-91.559
17,-7.6042,21.169,1,0,9.5,36.633,33.034,-21.317,45.662,13.69,29.909,-41.141,-9.0381,-13.097,-91.433
18,18.569,21.047,1,0,9.5,36.296,31.704,-19.86,46.985,13.724,28.367,-42.619,-8.4256,-12.81,-89.212
19,28.454,20.929,1,0,9.5,35.988,32.115,-18.553,47.742,14.05,29.696,-42.508,-7.5018,-13.762,-88.897
20,10.31,20.815,1,0,9.5,35.419,32.253,-17.496,47.531,14.483,30.785,-43.498,-6.9744,-14.574,-90.645
21,-10.733,20.706,1,0,9.5,35.42,31.12,-17.264,47.833,13.99,29.278,-44.736,-7.9693,-13.993,-91.117
22,3.7705,20.604,1,0,9.5,34.561,30.509,-16.502,48.317,15.547,28.273,-44.678,-7.7637,-13.362,-90.231
23,14.635,20.509,1,0,9.5,36.443,29.141,-15.873,47.319,13.95,27.313,-43.14,-7.4667,-13.277,-90.028
24,15.671,20.423,1,0,9.5,36.564,29.56,-16.353,46.116,13.935,27.047,-42.955,-5.7034,-12.17,-89.991
25,8.9014,20.347,1,0,9.5,36.56,29.154,-16.131,46.945,14.398,26.452,-42.01,-5.2998,-12.037,-90.217
26,11.19,20.28,1,0,9.5,37.059,29.12,-15.113,44.564,13.746,26.144,-41.72,-6.9968,-11.457,-90.142
