Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,0.9094,26.719,1,0,9.5,-16.923,-54.839,-3.668,-16.808,2.3509,40.249,33.035,-34.047,57.147,-85.162
2,7.7693,26.69,1,0,9.5,-14.84,-53.421,-4.126,-17.482,2.6348,40.284,34.859,-34.727,56.764,-87.086
3,4.9685,26.632,1,0,9.5,-13.611,-53.894,-3.9678,-17.113,3.8802,40.311,34.121,-36.471,57.093,-85.827
4,10.251,26.546,1,0,9.5,-12.595,-53.889,-3.6763,-18.568,1.68,39.638,33.984,-35.729,58.565,-85.839
5,0.96909,26.432,1,0,9.5,-11.403,-53.494,-4.0896,-17.738,0.90149,39.601,33.925,-35.236,57.653,-85.346
6,17.166,26.292,1,0,9.5,-12.801,-53.431,-4.4133,-16.525,1.8015,41.719,34.424,-36.334,58.757,-85.519
7,8.5206,26.128,1,0,9.5,-14.744,-52.416,-5.3077,-17.12,2.1778,40.282,34.752,-37.023,57.527,-85.07
8,4.0416,25.939,1,0,9.5,-13.325,-51.105,-6.0006,-17.037,0.36072,39.982,35.588,-38.092,57.205,-87.675
9,7.4766,25.729,1,0,9.5,-13.652,-52.335,-5.4625,-16.594,0.68269,40.875,36.927,-37.525,57.532,-88.079
10,7.2368,25.5,1,0,9.5,-14.201,-52.913,-3.9433,-17.067,0.69631,42.169,36.567,-37.982,56.191,-90.157
11,-1.1023,25.253,1,0,9.5,-14.291,-51.718,-4.7819,-18.865,1.2056,39.991,35.264,-39.415,54.85,-89.713
12,24.312,24.991,1,0,9.5,-16.13,-52.515,-5.0458,-19.485,1.8761,40.536,35.702,-39.163,56.16,-89.909
13,-8.3348,24.717,1,0,9.5,-17.01,-52.71,-3.9901,-19.707,1.8257,39.835,35.931,-38.636,56.637,-88.849
14,-16.666,24.432,1,0,9.5,-17.65,-51.868,-3.2104,-20.432,2.3126,41.445,36.529,-40.794,54.857,-89.933
15,9.1103,24.141,1,0,9.5,-18.388,-50.903,-2.7717,-20.733,2.5262,40.951,37.292,-41.673,53.532,-89.336
16,-10.088,23.845,1,0,9.5,-17.52,-51.37,-2.6364,-21.478,1.0082,41.226,37.575,-41.79,53.782,-89.443
17,15.81,23.547,1,0,9.5,-15.957,-52.663,-4.3819,-22.22,0.084863,41.195,38.395,-41.343,53.558,-89.916
18,1.5697,23.251,1,0,9.5,-15.169,-52.296,-3.3869,-23.365,0.0030634,41.556,37.095,-40.498,53.291,-91.246
19,-3.4376,22.959,1,0,9.5,-14.873,-52.519,-1.9278,-23.337,-0.6491,41.825,35.665,-39.845,50.254,-90.405
20,-0.76682,22.674,1,0,9.5,-14.1,-50.795,-2.0521,-22.636,-1.5296,40.637,34.864,-38.155,52.956,-91.068
21,0.21551,22.398,1,0,9.5,-13.014,-52.986,-1.2106,-20.664,-2.6814,40.619,34.991,-36.542,52.353,-91.036
22,23.602,22.134,1,0,9.5,-14.885,-54.917,-0.87086,-19.066,-1.5381,41.905,35.949,-35.805,52.042,-87.301
23,13.165,21.884,1,0,9.5,-15.885,-54.872,0.62828,-17.668,-0.94059,41.133,34.386,-35.37,51.307,-86.825
24,8.9912,21.652,1,0,9.5,-18.086,-54.003,-0.10555,-17.315,-0.28945,39.321,34.284,-34.415,51.638,-86.343
