Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,3.7737,23.221,1,0,9.5,23.953,-134.23,-1.8324,4.5374,-34.507,52.857,7.0467,-8.1911,11.402,26.432
2,-6.6657,23.232,1,0,9.5,23.327,-134.78,-0.088816,5.1963,-35.593,51.519,7.1646,-8.2922,11.675,27.095
3,3.4209,23.252,1,0,9.5,22.399,-133.28,-0.8648,6.1787,-34.768,52.112,6.4129,-8.0979,12.184,26.14
4,1.1084,23.282,1,0,9.5,22.71,-134.01,-0.7935,6.8549,-32.944,51.056,5.1965,-7.2256,11.476,28.331
5,12.144,23.322,1,0,9.5,20.979,-134.83,0.79046,7.9702,-30.766,50.896,5.1923,-6.7257,12.421,28.764
6,9.7011,23.371,1,0,9.5,20.98,-133.49,2.0478,8.2593,-29.85,49.609,7.7185,-6.594,11.474,29.952
7,1.7399,23.427,1,0,9.5,21.19,-132.52,2.5532,9.1775,-29.264,50.391,6.2186,-7.8199,10.574,30.038
8,0.88417,23.492,1,0,9.5,20.619,-131.62,1.78,9.2161,-27.926,50.074,6.4936,-6.2538,8.0774,28.618
9,-13.622,23.562,1,0,9.5,20.855,-131.47,1.5564,7.9541,-29.4,49.696,7.0419,-4.7029,7.47,28.838
10,-0.48288,23.639,1,0,9.5,21.568,-131.3,2.2169,6.5428,-31.114,49.665,7.546,-4.6188,8.2677,29.727
11,-10.826,23.719,1,0,9.5,20.91,-130.94,2.6168,7.0088,-31.953,50.005,7.4733,-5.8987,8.2758,29.015
12,7.7526,23.803,1,0,9.5,20.495,-129.81,2.6301,7.317,-32.105,48.392,7.631,-6.6193,9.3026,29.976
13,1.337,23.889,1,0,9.5,19.261,-128.42,1.9022,6.3524,-33.204,49.374,7.0461,-6.5734,9.9506,29.651
14,3.8767,23.976,1,0,9.5,17.778,-128.33,0.51609,5.2621,-32.084,50.181,6.1369,-7.428,9.5151,30.256
15,9.7926,24.063,1,0,9.5,18.971,-128.45,1.5956,4.2229,-33.842,50.405,6.2063,-9.7641,10.344,32.723
16,16.875,24.147,1,0,9.5,19.736,-128.38,2.4418,3.33,-33.783,51.149,6.1833,-10.256,10.425,32.171
17,7.1761,24.229,1,0,9.5,19.99,-128.87,0.97896,4.2174,-34.373,52.194,5.7837,-9.7666,10.561,33.208
18,-1.7326,24.306,1,0,9.5,19.436,-127.69,1.148,2.8467,-36.383,53.323,5.6256,-9.8779,9.1205,33.052
19,-22.01,24.377,1,0,9.5,20.906,-126.68,0.58907,3.8476,-36.222,51.818,5.9014,-10.594,8.5373,33.766
20,-12.691,24.441,1,0,9.5,20.479,-127.18,2.5225,4.209,-36.837,51.877,6.3085,-9.5818,9.1688,32.835
21,22.205,24.497,1,0,9.5,21.931,-127.82,3.533,3.9468,-38.251,51.382,7.7646,-9.8484,8.6959,31.778
22,17.772,24.543,1,0,9.5,20.601,-128.27,4.4245,2.3969,-37.684,50.759,9.0015,-9.5629,8.6192,33.053
23,16.358,24.579,1,0,9.5,20.473,-128.91,2.4734,2.3699,-36.599,50.387,8.4279,-8.8516,10.712,32.322
24,0.26979,24.604,1,0,9.5,20.224,-127.78,3.68,0.43775,-36.151,50.94,9.5747,-9.6405,10.523,30.761
25,14.332,24.616,1,0,9.5,21.764,-128.75,4.2346,-0.96127,-38.522,50.771,8.2357,-10.025,10.786,31.011
26,13.683,24.615,1,0,9.5,22.768,-127.74,4.1156,-0.83286,-37.605,52.408,8.0629,-9.7755,11.906,31.367
27,-5.0147,24.6,1,0,9.5,22.361,-127.63,6.199,-1.2492,-36.563,53.124,8.2938,-10.066,12.695,32.699
28,22.228,24.571,1,0,9.5,19.55,-125.44,6.5649,-0.050647,-36.64,51.988,5.9637,-7.1733,11.755,31.441
29,28.726,24.527,1,0,9.5,18.737,-123.66,3.4851,-0.42514,-35.888,50.643,5.6185,-5.6308,10.747,30.627
30,13.87,24.468,1,0,9.5,19.919,-123.46,3.2699,-0.86171,-35.404,51.121,6.0022,-5.5284,10.802,30.278
31,7.3819,24.394,1,0,9.5,19.785,-124.51,-0.0075212,-0.99645,-36.894,51.073,6.7809,-6.7322,9.9281,31.168
32,-6.9792,24.305,1,0,9.5,21.421,-124.46,-0.50527,0.41655,-38.865,51.636,6.4891,-7.2316,10.432,30.082
33,-2.4681,24.201,1,0,9.5,21.305,-124.25,-1.4417,0.47404,-39.485,51.866,4.3562,-7.3822,9.398,29.196
34,41.435,24.083,1,0,9.5,21.079,-124.59,0.65367,0.70619,-37.981,51.321,3.8594,-7.6831,8.727,29.751
35,45.073,23.949,1,0,9.5,21.191,-124.05,0.85599,0.8985,-37.883,51.617,4.2484,-8.6067,7.5542,28.331
36,77.295,23.803,1,0,9.5,20.507,-124.34,0.99382,1.1839,-38.424,52.74,5.877,-9.9388,9.179,28.494
37,97.697,23.643,1,0,9.5,19.741,-124.1,0.60845,1.2011,-37.566,51.04,5.8562,-10.759,8.0931,27.902
38,122.36,23.47,1,0,9.5,19.167,-125.82,0.56312,1.2898,-38.253,50.73,5.3724,-10.31,9.3366,28.241
39,132.3,23.286,1,0,9.5,16.741,-125.89,0.60892,1.52,-37.795,50.486,8.4352,-11.802,9.0674,29.256
40,142.85,23.092,1,0,9.5,18.444,-126.4,1.5025,-0.46696,-38.553,50.87,8.9053,-10.548,10.352,29.959
41,171.24,22.888,0,0,9.5,20.285,-126.83,0.91527,1.1563,-40.251,49.606,8.8033,-11.309,11.481,29.194
42,199.31,22.676,0,0,9.5,19.311,-127.86,2.3673,2.4829,-40.338,50.009,8.33,-10.931,11.856,27.726
43,199.88,22.456,0,0,9.5,19.604,-126.3,1.1913,1.7725,-39.379,50.674,7.896,-10.947,11.292,29.1
44,226.86,22.231,0,0,9.5,19.992,-124.9,0.7579,3.8691,-38.701,51.451,6.7734,-10.161,12.133,30.141
45,231.2,22.001,0,0,9.5,20.138,-123.95,2.1759,4.889,-38.311,49.267,7.0506,-9.6524,11.974,30.451
46,272.59,21.767,0,0,9.5,18.395,-123.75,0.86497,4.9725,-36.299,49.147,6.668,-8.251,11.412,31.143
47,287.58,21.531,0,0,9.5,18.75,-124.27,2.0398,3.1301,-35,49.5,6.2146,-7.2571,12.063,31.701
48,308.54,21.294,0,0,9.5,18.675,-126.04,0.49932,1.9762,-33.763,48.543,5.8722,-6.0468,12.299,30.778
49,335.93,21.058,0,0,9.5,19.183,-126.38,0.8569,2.7316,-32.641,49.532,4.9618,-7.2989,11.91,30.857
50,343.65,20.823,0,0,9.5,18.969,-125.93,0.62397,2.1642,-32.597,48.655,5.3947,-5.7795,11.766,31.072
51,370.17,20.591,0,0,9.5,18.175,-126.62,0.47423,3.7522,-33.761,49.212,6.9455,-4.0704,12.323,31.247
52,399.34,20.362,0,0,9.5,18.253,-127.5,-0.58109,5.3865,-34.059,50,6.4519,-3.1751,13.817,30.209
53,417.55,20.139,0,0,9.5,16.707,-128.5,-0.15202,4.6996,-34.087,49.278,5.4133,-4.4217,14.379,29.148
54,418.47,19.922,0,0,9.5,16.971,-127.13,-0.10269,3.7398,-34.595,51.369,4.6864,-4.8112,14.044,31.565
55,442.58,19.711,0,0,9.5,17.515,-127.7,-0.38757,4.634,-35.484,49.934,5.2182,-4.6962,13.562,31.921
56,456.32,19.508,0,0,9.5,15.339,-128.21,-0.7608,5.9988,-36.111,50.536,4.5074,-4.9075,13.418,31.205
57,498.57,19.313,0,0,9.5,15.193,-128.46,0.22034,5.2031,-36.04,50.729,3.1168,-3.0657,12.614,32.196
58,496.9,19.127,0,0,9.5,13.959,-128.54,0.31347,4.7949,-36.36,50.596,3.5704,-2.614,14.193,32.82
59,529.2,18.95,0,0,9.5,12.457,-126.97,2.3122,5.0556,-36.824,52.056,4.0722,-2.8675,12.737,33.454
60,548.16,18.783,0,0,9.5,11.705,-126.86,2.3085,4.8788,-35.782,51.807,2.6173,-3.2147,11.515,33.639
61,560.52,18.627,0,0,9.5,11.816,-126.46,2.7984,5.4091,-35.104,51.085,1.6983,-2.9999,10.278,32.404
62,580.8,18.48,0,0,9.5,11.004,-125.95,2.188,3.7065,-33.847,51.101,0.45037,-5.3016,10.562,30.809
63,627.79,18.343,0,0,9.5,9.9758,-126.33,3.0903,1.6599,-32.937,51.979,-0.15054,-4.3523,12.172,30.224
64,633.4,18.217,0,0,9.5,11.162,-126.06,3.3657,-1.2578,-32.534,51.083,0.16226,-4.6099,12.663,30.641
65,660.7,18.1,0,0,9.5,10.643,-126.27,3.8518,-1.7393,-33.803,51.134,-0.24353,-3.9497,12.97,32.762
66,669.43,17.994,0,0,9.5,9.0902,-126.57,2.9341,-3.8207,-34.436,52.259,-1.168,-2.4845,11.056,30.544
67,686.38,17.896,0,0,9.5,9.579,-126.58,2.6596,-3.8092,-34.294,52.9,-0.22394,-2.8402,11.935,31.75
68,732.35,17.808,0,0,9.5,10.784,-128.38,2.7786,-3.6223,-36.098,53.153,0.18627,-3.6449,11.904,32.708
