Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,12.969,19.533,1,0,9.5,-20.322,29.913,41.231,16.469,-36.781,-39.803,30.479,1.851,-47.489,-52.339
2,7.3493,19.548,1,0,9.5,-22.541,30.069,40.449,17.242,-37.322,-40.338,30.148,1.4724,-47.653,-50.877
3,-21.481,19.576,1,0,9.5,-22.609,30.539,39.041,17.726,-38.357,-39.747,30.233,2.5351,-46.842,-49.279
4,-1.1879,19.619,1,0,9.5,-21.808,31.892,40.304,17.568,-39.358,-39.11,29.978,1.7379,-46.806,-48.649
5,-1.6307,19.674,1,0,9.5,-23.828,32.94,40.493,17.562,-38.442,-39.405,29.809,1.6045,-47.33,-48.921
6,-7.1299,19.743,1,0,9.5,-24.028,34.829,41.14,19.066,-38.092,-39.444,29.749,2.5782,-45.092,-50.195
7,-3.279,19.824,1,0,9.5,-22.671,35.429,41.317,19.509,-37.439,-39.62,30.893,3.0912,-45.978,-51.096
8,-0.23589,19.916,1,0,9.5,-22.575,33.27,40.484,19.245,-37.318,-38.715,31.533,2.7431,-45.818,-52.16
9,10.602,20.018,1,0,9.5,-22.852,33.687,39.328,20.322,-35.3,-38.022,30.804,2.4568,-45.675,-51.686
10,-4.284,20.13,1,0,9.5,-22.583,34.942,38.277,21.322,-34.989,-38.713,31.29,2.2715,-44.873,-49.202
11,15.926,20.25,1,0,9.5,-20.856,34.1,37.078,21.408,-35.248,-39.876,31.595,1.9094,-44.255,-47.991
12,17.222,20.377,1,0,9.5,-21.87,35.212,37.614,21.439,-35.296,-39.66,30.524,2.6381,-42.106,-47.427
13,17.383,20.51,1,0,9.5,-21.899,35.488,37.231,20.488,-34.494,-39.094,30.316,2.1417,-42.048,-48.333
14,2.0845,20.647,1,0,9.5,-21.011,35.194,36.348,22.404,-35.658,-40.673,29.743,3.0619,-41.363,-47.133
15,14.11,20.786,1,0,9.5,-23.166,32.803,36.309,22.753,-34.773,-41.356,28.482,2.2625,-40.075,-46.668
16,20.761,20.928,1,0,9.5,-23.251,31.309,35.472,24.695,-35.061,-41.052,26.291,2.1914,-39.828,-47.751
17,17.834,21.069,1,0,9.5,-25.235,31.064,34.683,24.237,-34.513,-40.295,24.929,1.4118,-40.358,-49.347
18,17.098,21.21,1,0,9.5,-25.233,31.523,34.334,23.278,-33.548,-39.839,24.648,1.8516,-38.565,-48.552
19,18.031,21.347,1,0,9.5,-25.406,33.212,35.145,22.964,-33.745,-39.598,24.005,1.7739,-40.753,-48.244
20,12.6,21.481,1,0,9.5,-24.519,32.116,34.928,24.106,-35.075,-39.213,23.522,0.90115,-40.188,-49.798
21,5.7391,21.609,1,0,9.5,-22.337,30.781,34.278,25.935,-36.294,-40.749,22.388,2.818,-41.529,-48.832
22,10.164,21.731,1,0,9.5,-22.823,29.651,35.956,25.123,-35.191,-40.974,21.818,0.97855,-40.362,-49.177
23,5.1612,21.845,1,0,9.5,-23.005,29.843,35.568,25.815,-36.551,-42.708,22.257,0.8671,-39.756,-49.49
24,16.279,21.951,1,0,9.5,-20.194,28.552,35.327,26.622,-35.357,-41.245,21.945,0.32759,-41.109,-49.762
