Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,10.102,21.554,1,0,9.5,-73.762,57.634,15.2,-2.9161,54.648,88.33,-125.75,81.227,23.175,-90.279
2,-3.6577,21.551,1,0,9.5,-73.36,55.283,16.263,-4.1209,53.755,89.152,-125.97,80.341,22.947,-90.233
3,8.2685,21.543,1,0,9.5,-75.519,56.955,15.165,-3.5225,56.02,88.32,-126.02,81.314,23.347,-90.578
4,7.4678,21.532,1,0,9.5,-75.73,56.567,15.636,-4.029,55.55,86.766,-126.88,80.647,23.945,-91.295
5,8.393,21.517,1,0,9.5,-74.288,54.144,16.155,-4.14,55.745,86.999,-127.21,78.778,24.39,-88.913
6,-14.7,21.499,1,0,9.5,-74.542,54.591,15.821,-4.4702,56.765,85.84,-128.45,80.557,24.424,-88.567
7,17.937,21.478,1,0,9.5,-74.6,54.415,14.008,-5.0232,55.59,85.73,-128.68,81.322,23.73,-88.529
8,-5.0829,21.454,1,0,9.5,-75.144,53.604,11.89,-3.7699,55.611,85.844,-127.55,81.558,23.192,-90.153
9,0.1241,21.428,1,0,9.5,-77.211,54.042,12.531,-2.7857,55.844,85.113,-127.02,81.926,23.211,-90.848
10,11.118,21.4,1,0,9.5,-77.044,53.667,13.298,-2.4297,56.276,85.313,-126.92,81.287,23.11,-90.822
11,-16.305,21.37,1,0,9.5,-78.462,54.817,13.309,-3.4944,56.676,84.758,-125.12,79.266,24.577,-92.849
12,5.4446,21.339,1,0,9.5,-78.274,55.058,11.121,-4.3233,55.72,84.632,-126.86,80.562,24.068,-92.577
13,0.86493,21.307,1,0,9.5,-77.231,56.372,10.471,-3.8947,57.05,85.248,-126.61,81.681,25.055,-91.421
14,3.95,21.275,1,0,9.5,-76.693,56.413,9.0415,-3.7299,56.435,85.731,-125.32,83.366,25.129,-92.361
15,5.7798,21.244,1,0,9.5,-78.532,55.437,10.261,-3.4599,56.798,86.707,-125.03,82.315,26.403,-91.767
16,0.25915,21.213,1,0,9.5,-78.524,54.438,9.5968,-4.0778,56.87,86.219,-124.31,81.165,27.681,-90.983
17,9.324,21.183,1,0,9.5,-78.664,56.808,9.1634,-4.0835,56.202,85.064,-122.47,80.819,26.393,-89.957
18,18.246,21.155,1,0,9.5,-77.384,56.431,10.989,-4.7013,56.432,85.429,-123.57,78.322,25.315,-91.667
19,-2.7482,21.129,1,0,9.5,-76.996,55.462,11.458,-5.5231,55.725,86.147,-123.71,78.737,25.767,-91.258
20,21.057,21.106,1,0,9.5,-76.67,54.124,10.296,-5.3016,55.576,87.049,-123,79.181,28.867,-92.265
21,-11.203,21.086,1,0,9.5,-77.125,54.2,10.486,-7.4818,55.774,85.364,-122.5,80.39,27.892,-92.79
22,16.376,21.069,1,0,9.5,-75.71,52.458,10.984,-7.7053,56.362,84.717,-122.16,80.745,28.004,-92.859
23,17.29,21.057,1,0,9.5,-75.48,51.246,10.914,-8.1601,56.357,85.355,-123.58,82.321,25.416,-92.828
24,-11.972,21.049,1,0,9.5,-76.482,50.335,11.341,-7.8125,56.246,86.134,-121.75,84.425,25.132,-94.381
25,10.675,21.046,1,0,9.5,-76.832,50.559,12.28,-6.1504,55.818,85.639,-122.79,84.333,27.281,-95.248
26,14.413,21.048,1,0,9.5,-75.939,50.52,10.899,-6.355,56.143,86.017,-120.74,84.277,29.39,-96.563
27,38.093,21.055,1,0,9.5,-75.372,51.817,8.4717,-5.0345,54.721,85.179,-120.33,85.023,29.876,-97.992
28,48.485,21.067,1,0,9.5,-73.927,52.038,8.4568,-5.457,54.088,85.574,-118.29,85.526,29.678,-97.72
29,99.797,21.086,1,0,9.5,-72.666,51.185,7.9208,-6.1931,53.616,83.236,-117.7,87.645,30.337,-95.729
