Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,19.72,18.888,1,0,9.5,-31.471,24.467,14.971,10.138,-22.433,12.477,-53.895,-20.248,77.546,-39.123
2,4.6119,18.915,1,0,9.5,-31.8,23.617,15.634,11.588,-22.358,12.242,-54.136,-19.68,78.128,-38.116
3,-8.3288,18.969,1,0,9.5,-31.065,24.566,15.925,11.41,-21.606,13.258,-54.852,-19.589,76.556,-39.203
4,-6.4091,19.049,1,0,9.5,-31.439,24.958,16.497,11.859,-21.997,14.708,-53.559,-20.214,77.942,-41.226
5,-4.5426,19.156,1,0,9.5,-31.928,25.57,14.61,12.978,-20.549,16.543,-55.352,-19.755,78.025,-40.348
6,16.182,19.286,1,0,9.5,-33.744,24.402,15.668,13.843,-18.304,16.659,-52.451,-19.862,79.656,-42.563
7,6.6192,19.441,1,0,9.5,-35.434,27.179,13.943,12.723,-18.044,16.281,-52.233,-20.602,80.375,-42.235
8,9.9975,19.617,1,0,9.5,-34.507,26.964,11.615,13.981,-15.882,15.058,-54.429,-19.764,79.369,-42.34
9,10.975,19.814,1,0,9.5,-32.59,26.832,12.16,15.473,-14.92,12.443,-53.899,-19.637,79.296,-41.411
10,1.5041,20.03,1,0,9.5,-30.514,26.023,11.993,16.535,-16.045,13.071,-54.992,-19.974,78.46,-41.745
11,2.0802,20.262,1,0,9.5,-29.853,25.294,11.933,15.766,-17.886,12.129,-53.552,-19.997,79.53,-40.772
12,-5.4654,20.508,1,0,9.5,-30.036,26.191,9.6385,16.176,-16.936,11.086,-52.797,-21.03,79.912,-40.662
13,6.6384,20.767,1,0,9.5,-28.503,25.49,10.923,17.466,-17.762,9.3723,-51.314,-22.703,78.716,-40.353
14,-3.0177,21.036,1,0,9.5,-28.835,24.616,13.096,17.703,-17.069,9.1455,-51.18,-21.643,79.253,-38.734
15,-7.897,21.312,1,0,9.5,-28.491,23.902,12.14,18.284,-17.697,7.7975,-49.715,-21.086,79.474,-38.762
16,-8.5472,21.593,1,0,9.5,-27.752,24.762,13.626,16.956,-18.519,8.0819,-50.531,-21.267,79.005,-38.729
17,6.1469,21.876,1,0,9.5,-29.006,25.824,12.823,16.718,-18.427,9.0337,-49.226,-23.926,78.731,-36.911
18,1.8478,22.159,1,0,9.5,-29.982,24.436,13.853,15.878,-18.311,8.6071,-49.516,-25.327,77.273,-37.587
19,-14.084,22.44,1,0,9.5,-31.748,25.153,12.339,16.588,-18.329,8.6013,-47.771,-25.271,76.955,-37.468
20,-8.2076,22.715,1,0,9.5,-32.315,25.846,12.059,16.414,-18.347,9.7537,-47.216,-26.936,77.814,-38.79
21,-14.613,22.982,1,0,9.5,-32.15,27.454,11.046,17.322,-18.703,10.181,-47.979,-26.167,78.278,-37.981
22,12.567,23.239,1,0,9.5,-32.5,29.109,11.33,16.878,-17.431,10.469,-47.959,-26.709,79.138,-38.052
23,1.3238,23.483,1,0,9.5,-32.98,29.132,9.9,17.277,-17.753,11.608,-46.397,-26.814,79.667,-38.454
24,4.174,23.713,1,0,9.5,-34.425,28.833,9.4811,16.289,-17.672,11.192,-45.901,-27.254,79.346,-38.538
25,2.6343,23.927,1,0,9.5,-34.391,28.93,9.9646,17.31,-17.792,11.678,-47.158,-27.84,80.019,-39.532
26,3.6683,24.122,1,0,9.5,-32.345,29.617,7.4068,17.245,-17.973,10.899,-46.486,-28.704,79.906,-40.498
27,2.9089,24.297,1,0,9.5,-33.427,29.124,8.5502,16.082,-19.373,8.5347,-46.343,-28.501,81.029,-38.995
28,10.952,24.45,1,0,9.5,-35.078,29.553,9.254,17.088,-18.236,7.5303,-46.724,-29.24,79.796,-38.538
29,-3.5628,24.581,1,0,9.5,-34.476,29.513,9.0257,16.052,-17.373,8.4635,-47.04,-28.423,79.311,-38.848
30,0.12429,24.688,1,0,9.5,-35.782,29.484,7.8579,16.699,-17.654,9.3876,-47.342,-28.328,79.261,-39.34
31,27.598,24.771,1,0,9.5,-35.381,30.075,10.217,17.097,-18.552,7.3126,-47.986,-26.98,80.326,-37.764
32,23.863,24.829,1,0,9.5,-35.443,28.056,10.054,19.431,-20.098,7.9048,-47.708,-26.963,80.474,-39.776
33,28.877,24.861,1,0,9.5,-34.831,29.023,8.9334,20.1,-19.687,9.877,-48.193,-28.014,79.848,-39.063
34,0.82427,24.868,1,0,9.5,-34.023,28.246,10.335,17.995,-19.6,9.2847,-48.666,-28.455,79.652,-38.84
35,33.678,24.851,1,0,9.5,-34.118,29.296,12.571,18.531,-20.225,9.4625,-50.58,-28.798,80.03,-38.174
36,55.731,24.808,1,0,9.5,-35.053,29.991,12.228,18.065,-19.996,9.8379,-49.557,-30.565,80.073,-38.87
37,64.942,24.742,1,0,9.5,-34.362,30.187,12.877,17.651,-20.086,10.901,-48.37,-29.534,79.325,-37.386
38,88.412,24.653,1,0,9.5,-34.603,29.712,13.459,18.952,-20.337,10.5,-48.098,-29.346,77.601,-37.968
39,125.67,24.542,1,0,9.5,-34.934,30.167,13.985,18.09,-20.032,10.715,-46.922,-29.636,79.176,-38.397
40,148.61,24.411,1,0,9.5,-34.01,28.832,12.828,17.885,-19.787,11.301,-46.847,-28.404,79.56,-39.154
41,163.06,24.261,0,0,9.5,-33.447,30.491,12.77,19.501,-20.172,10.742,-47.27,-28.903,79.19,-39.932
42,169.45,24.094,0,0,9.5,-33.518,30.495,14.012,18.882,-19.695,10.058,-46.446,-29.439,79.947,-40.682
43,200.71,23.912,0,0,9.5,-34.997,31.403,12.404,19.733,-19.631,10.314,-44.945,-29.017,78.449,-40.272
44,224.32,23.718,0,0,9.5,-34.842,30.846,13.475,20.355,-21.24,9.8494,-44.329,-30.321,78.455,-39.958
45,254.69,23.512,0,0,9.5,-35.031,30.504,13.158,21.541,-22.062,11.897,-45.583,-30.579,79.199,-38.681
46,268.5,23.299,0,0,9.5,-34.499,31.777,15.004,22.14,-21.799,12.249,-45.572,-30.417,77.902,-38.381
47,289.97,23.08,0,0,9.5,-34.618,33.361,12.564,21.479,-20.935,12.536,-46.489,-30.184,78.365,-37.856
48,307.55,22.857,0,0,9.5,-36.211,33.626,12.318,20.939,-20.117,13.068,-47.058,-29.112,77.037,-38.425
49,339.56,22.633,0,0,9.5,-36.846,34.071,10.958,21.279,-19.134,13.866,-46.136,-29.748,77.868,-38.42
50,349.25,22.412,0,0,9.5,-36.936,35.302,11.079,22.266,-18.566,15.38,-46.783,-29.48,79.917,-38.767
51,379.31,22.194,0,0,9.5,-37.879,33.642,10.881,22.763,-18.874,14.855,-46.094,-27.567,80.785,-40.734
52,407.39,21.983,0,0,9.5,-38.495,33.975,12.63,21.114,-18.11,15.142,-46.039,-26.859,80.92,-40.674
53,410.29,21.782,0,0,9.5,-37.971,34.368,10.019,20.671,-19.16,14.265,-47.19,-26.395,81.62,-41.874
